Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
05/01/2012;950;950;950;950;21;19 950;49.37%
11/01/2012;898;898;898;898;8;7 184;-5.47%
13/01/2012;840;840;840;840;36;30 240;-6.46%
16/01/2012;840;840;840;840;24;20 160;0.00%
17/01/2012;840;840;840;840;65;54 600;0.00%
23/01/2012;800;800;800;800;8;6 400;-4.76%
25/01/2012;806;806;806;806;30;24 180;0.75%
26/01/2012;806;806;806;806;12;9 672;0.00%
27/01/2012;802;802;802;802;58;46 516;-0.50%
31/01/2012;802;802;802;802;100;80 200;0.00%
02/02/2012;802;802;802;802;20;16 040;0.00%
06/02/2012;802;802;802;802;20;16 040;0.00%
09/02/2012;802;802;802;802;5;4 010;0.00%
14/02/2012;802;802;802;802;51;40 902;0.00%
15/02/2012;802;802;802;802;143;114 686;0.00%
16/02/2012;800;800;800;800;28;22 400;-0.25%
17/02/2012;800;800;800;800;43;34 400;0.00%
20/02/2012;802;802;802;802;53;42 506;0.25%
21/02/2012;800;800;800;800;12;9 600;-0.25%
22/02/2012;800;800;800;800;78;62 400;0.00%
23/02/2012;800;800;800;800;2;1 600;0.00%
24/02/2012;800;800;800;800;102;81 600;0.00%
27/02/2012;800;800;800;800;39;31 200;0.00%
28/02/2012;800;800;800;800;52;41 600;0.00%
29/02/2012;800;800;800;800;10;8 000;0.00%
02/03/2012;800;800;800;800;34;27 200;0.00%
06/03/2012;800;800;800;800;49;39 200;0.00%
07/03/2012;800;800;800;800;41;32 800;0.00%
14/03/2012;798;798;798;798;73;58 254;-0.25%
15/03/2012;800;800;800;800;50;40 000;0.25%
16/03/2012;804;804;804;804;49;39 396;0.50%
19/03/2012;804;804;804;804;35;28 140;0.00%
20/03/2012;804;804;804;804;35;28 140;0.00%
27/03/2012;820;820;820;820;15;12 300;1.99%
28/03/2012;864;864;864;864;31;26 784;5.37%
30/03/2012;870;870;870;870;48;41 760;0.69%
05/04/2012;860;860;860;860;13;11 180;-1.15%
10/04/2012;870;870;870;870;14;12 180;1.16%
12/04/2012;910;910;910;910;33;30 030;4.60%
13/04/2012;910;910;910;910;31;28 210;0.00%
16/04/2012;910;910;910;910;28;25 480;0.00%
18/04/2012;960;960;960;960;63;60 480;5.49%
23/04/2012;960;960;960;960;125;120 000;0.00%
24/04/2012;958;958;958;958;33;31 614;-0.21%
26/04/2012;958;958;958;958;3;2 874;0.00%
30/04/2012;958;958;958;958;37;35 446;0.00%
03/05/2012;958;958;958;958;10;9 580;0.00%
10/05/2012;958;958;958;958;47;45 026;0.00%
11/05/2012;958;958;958;958;27;25 866;0.00%
14/05/2012;960;960;960;960;15;14 400;0.21%
15/05/2012;960;960;960;960;11;10 560;0.00%
18/05/2012;960;960;960;960;8;7 680;0.00%
21/05/2012;920;920;920;920;27;24 840;-4.17%
25/05/2012;800;800;800;800;44;35 200;-13.04%
29/05/2012;810;810;810;810;17;13 770;1.25%
30/05/2012;820;820;820;820;8;6 560;1.23%
31/05/2012;820;820;820;820;12;9 840;0.00%
01/06/2012;800;800;800;800;137;109 600;-2.44%
04/06/2012;800;800;800;800;311;248 800;0.00%
06/06/2012;860;860;860;860;15;12 900;7.50%
08/06/2012;924;924;924;924;122;112 728;7.44%
11/06/2012;993;993;993;993;114;113 202;7.47%
15/06/2012;980;980;980;980;30;29 400;-1.31%
19/06/2012;907;907;907;907;12;10 884;-7.45%
22/06/2012;920;920;920;920;10;9 200;1.43%
27/06/2012;920;920;920;920;40;36 800;0.00%
04/07/2012;960;960;960;960;12;11 520;4.35%
05/07/2012;920;920;920;920;43;39 560;-4.17%
06/07/2012;920;920;920;920;24;22 080;0.00%
09/07/2012;920;920;920;920;30;27 600;0.00%
16/07/2012;930;930;930;930;8;7 440;1.09%
17/07/2012;930;930;930;930;5;4 650;0.00%
19/07/2012;960;960;960;960;10;9 600;3.23%
20/07/2012;960;960;960;960;10;9 600;0.00%
24/07/2012;930;930;930;930;9;8 370;-3.13%
26/07/2012;930;930;930;930;9;8 370;0.00%
30/07/2012;940;940;940;940;50;47 000;1.08%
03/08/2012;960;960;960;960;30;28 800;2.13%
09/08/2012;940;940;940;940;283;266 020;-2.08%
10/08/2012;930;930;930;930;44;40 920;-1.06%
21/08/2012;960;960;960;960;82;78 720;3.23%
22/08/2012;930;930;930;930;11;10 230;-3.13%
24/08/2012;930;930;930;930;25;23 250;0.00%
27/08/2012;960;960;960;960;50;48 000;3.23%
30/08/2012;940;940;940;940;58;54 520;-2.08%
03/09/2012;940;940;940;940;221;207 740;0.00%
04/09/2012;940;940;940;940;17;15 980;0.00%
05/09/2012;960;960;960;960;21;20 160;2.13%
07/09/2012;960;960;960;960;26;24 960;0.00%
11/09/2012;940;940;940;940;10;9 400;-2.08%
12/09/2012;940;940;940;940;22;20 680;0.00%
14/09/2012;940;940;940;940;10;9 400;0.00%
17/09/2012;1 011;1 011;1 011;1 011;50;50 550;7.55%
18/09/2012;942;942;942;942;35;32 970;-6.82%
26/09/2012;950;950;950;950;45;42 750;0.85%
05/10/2012;960;960;960;960;10;9 600;1.05%
11/10/2012;960;960;960;960;73;70 080;0.00%
12/10/2012;970;970;970;970;13;12 610;1.04%
18/10/2012;970;970;970;970;550;533 500;0.00%
19/10/2012;1 043;1 043;1 043;1 043;338;352 534;7.53%
23/10/2012;1 060;1 060;1 060;1 060;8;8 480;1.63%
25/10/2012;1 080;1 080;1 080;1 080;10;10 800;1.89%
29/10/2012;1 080;1 080;1 080;1 080;7;7 560;0.00%
30/10/2012;1 160;1 160;1 160;1 160;54;62 640;7.41%
31/10/2012;1 247;1 247;1 247;1 247;13;16 211;7.50%
02/11/2012;1 260;1 260;1 260;1 260;8;10 080;1.04%
05/11/2012;1 350;1 350;1 350;1 350;22;29 700;7.14%
06/11/2012;1 260;1 260;1 260;1 260;91;114 660;-6.67%
07/11/2012;1 300;1 300;1 300;1 300;13;16 900;3.17%
08/11/2012;1 350;1 350;1 350;1 350;65;87 750;3.85%
09/11/2012;1 360;1 360;1 360;1 360;24;32 640;0.74%
12/11/2012;1 360;1 360;1 360;1 360;87;118 320;0.00%
13/11/2012;1 400;1 400;1 400;1 400;92;128 800;2.94%
14/11/2012;1 400;1 400;1 400;1 400;118;165 200;0.00%
16/11/2012;1 400;1 400;1 400;1 400;114;159 600;0.00%
19/11/2012;1 330;1 330;1 330;1 330;45;59 850;-5.00%
21/11/2012;1 370;1 370;1 370;1 370;156;213 720;3.01%
23/11/2012;1 370;1 370;1 370;1 370;20;27 400;0.00%
26/11/2012;1 370;1 370;1 370;1 370;34;46 580;0.00%
27/11/2012;1 300;1 300;1 300;1 300;20;26 000;-5.11%
28/11/2012;1 300;1 300;1 300;1 300;56;72 800;0.00%
29/11/2012;1 320;1 320;1 320;1 320;23;30 360;1.54%
04/12/2012;1 320;1 320;1 320;1 320;20;26 400;0.00%
05/12/2012;1 320;1 320;1 320;1 320;4;5 280;0.00%
06/12/2012;1 320;1 320;1 320;1 320;5;6 600;0.00%
10/12/2012;1 368;1 368;1 368;1 368;63;86 184;3.64%
11/12/2012;1 370;1 370;1 370;1 370;9;12 330;0.15%
12/12/2012;1 370;1 370;1 370;1 370;17;23 290;0.00%
13/12/2012;1 320;1 320;1 320;1 320;20;26 400;-3.65%
14/12/2012;1 370;1 370;1 370;1 370;60;82 200;3.79%
17/12/2012;1 360;1 360;1 360;1 360;29;39 440;-0.73%
18/12/2012;1 360;1 360;1 360;1 360;23;31 280;0.00%
19/12/2012;1 370;1 370;1 370;1 370;10;13 700;0.74%
20/12/2012;1 370;1 370;1 370;1 370;30;41 100;0.00%
21/12/2012;1 370;1 370;1 370;1 370;85;116 450;0.00%
24/12/2012;1 370;1 370;1 370;1 370;44;60 280;0.00%
27/12/2012;1 320;1 320;1 320;1 320;10;13 200;-2.94%
28/12/2012;1 360;1 360;1 360;1 360;15;20 400;3.03%
31/12/2012;1 400;1 400;1 400;1 400;15;21 000;2.94%
03/01/2013;1 400;1 400;1 400;1 400;1;1 400;0.00%
04/01/2013;1 400;1 400;1 400;1 400;30;42 000;0.00%
07/01/2013;1 400;1 400;1 400;1 400;23;32 200;0.00%
08/01/2013;1 400;1 400;1 400;1 400;51;71 400;0.00%
10/01/2013;1 400;1 400;1 400;1 400;30;42 000;0.00%
11/01/2013;1 400;1 400;1 400;1 400;25;35 000;0.00%
15/01/2013;1 400;1 400;1 400;1 400;13;18 200;0.00%
16/01/2013;1 360;1 360;1 360;1 360;20;27 200;-2.86%
17/01/2013;1 380;1 380;1 380;1 380;13;17 940;1.47%
18/01/2013;1 380;1 380;1 380;1 380;29;40 020;0.00%
21/01/2013;1 380;1 380;1 380;1 380;685;945 300;0.00%
22/01/2013;1 380;1 380;1 380;1 380;15;20 700;0.00%
23/01/2013;1 360;1 360;1 360;1 360;40;54 400;-1.45%
28/01/2013;1 360;1 360;1 360;1 360;27;36 720;0.00%
31/01/2013;1 400;1 400;1 400;1 400;21;29 400;2.94%
04/02/2013;1 400;1 400;1 400;1 400;64;89 600;0.00%
08/02/2013;1 505;1 505;1 505;1 505;20;30 100;7.50%
11/02/2013;1 600;1 600;1 600;1 600;535;856 000;6.31%
12/02/2013;1 560;1 560;1 560;1 560;75;117 000;-2.50%
14/02/2013;1 600;1 600;1 600;1 600;23;36 800;2.56%
