Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
27/01/2012;1 300;1 300;1 300;1 300;12;15 600;1.96%
30/01/2012;1 300;1 300;1 300;1 300;5;6 500;0.00%
03/02/2012;1 350;1 350;1 350;1 350;19;25 650;3.85%
06/02/2012;1 300;1 300;1 300;1 300;25;32 500;-3.70%
07/02/2012;1 300;1 300;1 300;1 300;20;26 000;0.00%
08/02/2012;1 303;1 303;1 303;1 303;27;35 181;0.23%
09/02/2012;1 303;1 303;1 303;1 303;1;1 303;0.00%
10/02/2012;1 303;1 303;1 303;1 303;50;65 150;0.00%
15/02/2012;1 305;1 305;1 305;1 305;40;52 200;0.15%
17/02/2012;1 310;1 310;1 310;1 310;25;32 750;0.38%
21/02/2012;1 350;1 350;1 350;1 350;34;45 900;3.05%
24/02/2012;1 425;1 425;1 425;1 425;12;17 100;5.56%
27/02/2012;1 425;1 425;1 425;1 425;16;22 800;0.00%
28/02/2012;1 430;1 430;1 430;1 430;12;17 160;0.35%
29/02/2012;1 450;1 450;1 450;1 450;20;29 000;1.40%
05/03/2012;1 450;1 450;1 450;1 450;2;2 900;0.00%
06/03/2012;1 500;1 500;1 500;1 500;30;45 000;3.45%
09/03/2012;1 500;1 500;1 500;1 500;22;33 000;0.00%
13/03/2012;1 500;1 500;1 500;1 500;40;60 000;0.00%
14/03/2012;1 500;1 500;1 500;1 500;8;12 000;0.00%
19/03/2012;1 450;1 450;1 450;1 450;39;56 550;-3.33%
20/03/2012;1 350;1 350;1 350;1 350;22;29 700;-6.90%
27/03/2012;1 500;1 500;1 500;1 500;10;15 000;11.11%
03/04/2012;1 500;1 500;1 500;1 500;15;22 500;0.00%
04/04/2012;1 500;1 500;1 500;1 500;50;75 000;0.00%
05/04/2012;1 500;1 500;1 500;1 500;14;21 000;0.00%
06/04/2012;1 500;1 500;1 500;1 500;98;147 000;0.00%
10/04/2012;1 501;1 501;1 501;1 501;18;27 018;0.07%
17/04/2012;1 501;1 501;1 501;1 501;1;1 501;0.00%
18/04/2012;1 501;1 501;1 501;1 501;5;7 505;0.00%
20/04/2012;1 525;1 525;1 525;1 525;60;91 500;1.60%
24/04/2012;1 525;1 525;1 525;1 525;10;15 250;0.00%
30/04/2012;1 525;1 525;1 525;1 525;5;7 625;0.00%
03/05/2012;1 525;1 525;1 525;1 525;15;22 875;0.00%
04/05/2012;1 525;1 525;1 525;1 525;20;30 500;0.00%
10/05/2012;1 525;1 525;1 525;1 525;55;83 875;0.00%
14/05/2012;1 525;1 525;1 525;1 525;67;102 175;0.00%
21/05/2012;1 526;1 526;1 526;1 526;20;30 520;0.07%
23/05/2012;1 600;1 600;1 600;1 600;17;27 200;4.85%
24/05/2012;1 600;1 600;1 600;1 600;166;265 600;0.00%
29/05/2012;1 600;1 600;1 600;1 600;4;6 400;0.00%
31/05/2012;1 700;1 700;1 700;1 700;24;40 800;6.25%
05/06/2012;1 700;1 700;1 700;1 700;15;25 500;0.00%
06/06/2012;1 808;1 808;1 808;1 808;30;54 240;6.35%
11/06/2012;1 850;1 850;1 850;1 850;35;64 750;2.32%
13/06/2012;1 989;1 989;1 989;1 989;10;19 890;7.51%
14/06/2012;2 138;2 138;2 138;2 138;15;32 070;7.49%
15/06/2012;2 285;2 285;2 285;2 285;120;274 200;6.88%
18/06/2012;2 456;2 456;2 456;2 456;235;577 160;7.48%
19/06/2012;2 300;2 300;2 300;2 300;360;828 000;-6.35%
20/06/2012;2 450;2 450;2 450;2 450;213;521 850;6.52%
25/06/2012;2 400;2 400;2 400;2 400;396;950 400;-2.04%
26/06/2012;2 400;2 400;2 400;2 400;56;134 400;0.00%
27/06/2012;2 300;2 300;2 300;2 300;153;351 900;-4.17%
28/06/2012;2 200;2 200;2 200;2 200;30;66 000;-4.35%
03/07/2012;2 250;2 250;2 250;2 250;11;24 750;0.00%
05/07/2012;2 275;2 275;2 275;2 275;9;20 475;1.11%
10/07/2012;2 071;2 071;2 071;2 071;8;16 568;-8.97%
11/07/2012;2 070;2 070;2 070;2 070;20;41 400;-0.05%
19/07/2012;2 050;2 050;2 050;2 050;10;20 500;-0.97%
20/07/2012;1 915;1 915;1 915;1 915;24;45 960;-6.59%
24/07/2012;2 050;2 050;2 050;2 050;63;129 150;7.05%
10/08/2012;2 204;2 204;2 204;2 204;14;30 856;7.51%
13/08/2012;2 204;2 204;2 204;2 204;24;52 896;0.00%
14/08/2012;2 200;2 200;2 200;2 200;20;44 000;-0.18%
17/08/2012;2 200;2 200;2 200;2 200;207;455 400;0.00%
21/08/2012;2 200;2 200;2 200;2 200;300;660 000;0.00%
22/08/2012;2 200;2 200;2 200;2 200;28;61 600;0.00%
23/08/2012;2 200;2 200;2 200;2 200;10;22 000;0.00%
27/08/2012;2 200;2 200;2 200;2 200;15;33 000;0.00%
28/08/2012;2 200;2 200;2 200;2 200;43;94 600;0.00%
29/08/2012;2 225;2 225;2 225;2 225;8;17 800;1.14%
30/08/2012;2 225;2 225;2 225;2 225;6;13 350;0.00%
31/08/2012;2 250;2 250;2 250;2 250;13;29 250;1.12%
03/09/2012;2 200;2 200;2 200;2 200;208;457 600;-2.22%
04/09/2012;2 200;2 200;2 200;2 200;7;15 400;0.00%
05/09/2012;2 200;2 200;2 200;2 200;86;189 200;0.00%
11/09/2012;2 225;2 225;2 225;2 225;300;667 500;1.14%
12/09/2012;2 225;2 225;2 225;2 225;12;26 700;0.00%
14/09/2012;2 225;2 225;2 225;2 225;11;24 475;0.00%
17/09/2012;2 225;2 225;2 225;2 225;140;311 500;0.00%
18/09/2012;2 225;2 225;2 225;2 225;20;44 500;0.00%
21/09/2012;2 225;2 225;2 225;2 225;23;51 175;0.00%
26/09/2012;2 225;2 225;2 225;2 225;3;6 675;0.00%
03/10/2012;2 058;2 058;2 058;2 058;50;102 900;-7.51%
09/10/2012;2 100;2 100;2 100;2 100;540;1 134 000;2.04%
11/10/2012;2 100;2 100;2 100;2 100;10;21 000;0.00%
12/10/2012;2 100;2 100;2 100;2 100;10;21 000;0.00%
15/10/2012;2 100;2 100;2 100;2 100;1;2 100;0.00%
16/10/2012;2 100;2 100;2 100;2 100;1;2 100;0.00%
18/10/2012;2 100;2 100;2 100;2 100;2;4 200;0.00%
19/10/2012;2 100;2 100;2 100;2 100;66;138 600;0.00%
22/10/2012;2 100;2 100;2 100;2 100;65;136 500;0.00%
25/10/2012;2 100;2 100;2 100;2 100;50;105 000;0.00%
06/11/2012;2 250;2 250;2 250;2 250;60;135 000;7.14%
07/11/2012;2 250;2 250;2 250;2 250;40;90 000;0.00%
08/11/2012;2 290;2 290;2 290;2 290;43;98 470;1.78%
09/11/2012;2 375;2 375;2 375;2 375;72;171 000;3.71%
13/11/2012;2 375;2 375;2 375;2 375;15;35 625;0.00%
14/11/2012;2 375;2 375;2 375;2 375;1;2 375;0.00%
20/11/2012;2 375;2 375;2 375;2 375;113;268 375;0.00%
26/11/2012;2 400;2 400;2 400;2 400;13;31 200;1.05%
28/11/2012;2 400;2 400;2 400;2 400;47;112 800;0.00%
30/11/2012;2 400;2 400;2 400;2 400;15;36 000;0.00%
03/12/2012;2 400;2 400;2 400;2 400;5;12 000;0.00%
13/12/2012;2 400;2 400;2 400;2 400;8;19 200;0.00%
14/12/2012;2 425;2 425;2 425;2 425;30;72 750;1.04%
20/12/2012;2 350;2 350;2 350;2 350;48;112 800;-3.09%
21/12/2012;2 350;2 350;2 350;2 350;1;2 350;0.00%
31/12/2012;2 500;2 500;2 500;2 500;15;37 500;4.17%
07/01/2013;2 500;2 500;2 500;2 500;5;12 500;0.00%
09/01/2013;2 400;2 400;2 400;2 400;30;72 000;-4.00%
10/01/2013;2 500;2 500;2 500;2 500;20;50 000;4.17%
14/01/2013;2 500;2 500;2 500;2 500;69;172 500;0.00%
17/01/2013;2 505;2 505;2 505;2 505;13;32 565;0.20%
18/01/2013;2 500;2 500;2 500;2 500;21;52 500;-0.20%
21/01/2013;2 510;2 510;2 510;2 510;314;788 140;0.40%
22/01/2013;2 510;2 510;2 510;2 510;4;10 040;0.00%
25/01/2013;2 510;2 510;2 510;2 510;9;22 590;0.00%
28/01/2013;2 510;2 510;2 510;2 510;10;25 100;0.00%
29/01/2013;2 550;2 550;2 550;2 550;17;43 350;1.59%
31/01/2013;2 550;2 550;2 550;2 550;50;127 500;0.00%
05/02/2013;2 688;2 688;2 688;2 688;14;37 632;5.41%
07/02/2013;2 750;2 750;2 750;2 750;8;22 000;2.31%
11/02/2013;2 750;2 750;2 750;2 750;7;19 250;0.00%
14/02/2013;2 750;2 750;2 750;2 750;2;5 500;0.00%
19/02/2013;2 956;2 956;2 956;2 956;18;53 208;7.49%
21/02/2013;3 178;3 178;3 178;3 178;8;25 424;7.51%
22/02/2013;3 400;3 400;3 400;3 400;8;27 200;6.99%
26/02/2013;3 400;3 400;3 400;3 400;6;20 400;0.00%
28/02/2013;3 400;3 400;3 400;3 400;10;34 000;0.00%
01/03/2013;3 425;3 425;3 425;3 425;63;215 775;0.74%
04/03/2013;3 682;3 682;3 682;3 682;12;44 184;7.50%
05/03/2013;3 958;3 958;3 958;3 958;243;961 794;7.50%
06/03/2013;4 250;4 250;4 250;4 250;97;412 250;7.38%
07/03/2013;4 569;4 569;4 569;4 569;147;671 643;7.51%
11/03/2013;4 250;4 250;4 250;4 250;100;425 000;-6.98%
12/03/2013;4 200;4 200;4 200;4 200;21;88 200;-1.18%
13/03/2013;4 000;4 000;4 000;4 000;52;208 000;-4.76%
14/03/2013;4 000;4 000;4 000;4 000;13;52 000;0.00%
15/03/2013;3 950;3 950;3 950;3 950;56;221 200;-1.25%
03/04/2013;3 654;3 654;3 654;3 654;9;32 886;-7.49%
04/04/2013;3 500;3 500;3 500;3 500;60;210 000;-4.21%
05/04/2013;3 380;3 380;3 380;3 380;120;405 600;-3.43%
10/04/2013;3 135;3 135;3 135;3 135;8;25 080;-7.25%
11/04/2013;3 130;3 130;3 130;3 130;28;87 640;-0.16%
12/04/2013;3 130;3 130;3 130;3 130;14;43 820;0.00%
15/04/2013;3 130;3 130;3 130;3 130;38;118 940;0.00%
17/04/2013;3 175;3 175;3 175;3 175;10;31 750;1.44%
18/04/2013;3 175;3 175;3 175;3 175;5;15 875;0.00%
23/04/2013;3 175;3 175;3 175;3 175;50;158 750;0.00%
26/04/2013;3 250;3 250;3 250;3 250;8;26 000;2.36%
29/04/2013;3 250;3 250;3 250;3 250;38;123 500;0.00%
30/04/2013;3 494;3 494;3 494;3 494;600;2 096 400;7.51%
03/05/2013;3 403;3 403;3 403;3 403;24;81 672;-2.60%
07/05/2013;3 400;3 400;3 400;3 400;14;47 600;-0.09%
13/05/2013;3 405;3 405;3 405;3 405;27;91 935;0.15%
30/05/2013;3 550;3 550;3 550;3 550;21;74 550;4.26%
31/05/2013;3 550;3 550;3 550;3 550;12;42 600;0.00%
04/06/2013;3 450;3 450;3 450;3 450;42;144 900;-2.82%
11/06/2013;3 550;3 550;3 550;3 550;53;188 150;2.90%
12/06/2013;3 550;3 550;3 550;3 550;208;738 400;0.00%
20/06/2013;3 550;3 550;3 550;3 550;8;28 400;0.00%
01/07/2013;3 500;3 500;3 500;3 500;14;49 000;-6.67%
03/07/2013;3 500;3 500;3 500;3 500;5;17 500;0.00%
05/07/2013;3 400;3 400;3 400;3 400;18;61 200;-2.86%
09/07/2013;3 400;3 400;3 400;3 400;15;51 000;0.00%
12/07/2013;3 400;3 400;3 400;3 400;15;51 000;0.00%
15/07/2013;3 500;3 500;3 500;3 500;9;31 500;2.94%
17/07/2013;3 400;3 400;3 400;3 400;9;30 600;-2.86%
18/07/2013;3 400;3 400;3 400;3 400;85;289 000;0.00%
19/07/2013;3 450;3 450;3 450;3 450;110;379 500;1.47%
24/07/2013;3 500;3 500;3 500;3 500;10;35 000;1.45%
25/07/2013;3 500;3 500;3 500;3 500;104;364 000;0.00%
31/07/2013;3 500;3 500;3 500;3 500;58;203 000;0.00%
06/08/2013;3 500;3 500;3 500;3 500;37;129 500;0.00%
13/08/2013;3 505;3 505;3 505;3 505;28;98 140;0.14%
14/08/2013;3 505;3 505;3 505;3 505;20;70 100;0.00%
20/08/2013;3 505;3 505;3 505;3 505;2;7 010;0.00%
23/08/2013;3 500;3 500;3 500;3 500;36;126 000;-0.14%
27/08/2013;3 400;3 400;3 400;3 400;33;112 200;-2.86%
29/08/2013;3 400;3 400;3 400;3 400;6;20 400;0.00%
09/09/2013;3 300;3 300;3 300;3 300;15;49 500;-2.94%
11/09/2013;3 130;3 130;3 130;3 130;19;59 470;-5.15%
12/09/2013;3 130;3 130;3 130;3 130;1;3 130;0.00%
13/09/2013;3 150;3 150;3 150;3 150;70;220 500;0.64%
16/09/2013;3 150;3 150;3 150;3 150;110;346 500;0.00%
17/09/2013;3 150;3 150;3 150;3 150;2;6 300;0.00%
