Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
29/04/2025;5 610;5 600;5 610;5 600;5 036;28 226 780;0.18%
30/04/2025;5 495;5 600;5 600;5 495;897;4 976 108;-2.05%
01/05/2025;5 495;5 600;5 600;5 495;897;4 976 108;0.00%
02/05/2025;5 600;5 300;5 600;5 300;11 767;64 130 150;1.91%
05/05/2025;5 350;5 500;5 500;5 350;606;3 287 550;-4.46%
06/05/2025;5 390;5 500;5 500;5 390;2 640;14 374 800;0.75%
07/05/2025;5 350;5 205;5 350;5 205;2 069;10 919 148;-0.74%
08/05/2025;5 220;5 340;5 340;5 220;12 670;66 897 600;-2.43%
09/05/2025;5 595;5 320;5 595;5 320;11 998;65 479 085;7.18%
12/05/2025;5 450;5 400;5 450;5 400;876;4 752 300;-2.59%
13/05/2025;5 400;5 400;5 400;5 400;3 164;17 085 600;-0.92%
14/05/2025;5 400;5 400;5 400;5 400;3 186;17 204 400;0.00%
15/05/2025;5 400;5 400;5 400;5 400;364;1 965 600;0.00%
16/05/2025;5 450;5 310;5 450;5 310;5 256;28 277 280;0.93%
19/05/2025;5 395;5 400;5 400;5 395;796;4 296 410;-1.01%
20/05/2025;5 340;5 375;5 375;5 340;989;5 298 568;-1.02%
21/05/2025;5 330;5 330;5 330;5 330;2 541;13 543 530;-0.19%
22/05/2025;5 225;5 205;5 225;5 205;3 145;16 401 175;-1.97%
23/05/2025;5 300;5 205;5 300;5 205;6 088;31 977 220;1.44%
26/05/2025;5 300;5 245;5 300;5 245;16 339;86 147 378;0.00%
27/05/2025;5 350;5 225;5 350;5 225;790;4 177 125;0.94%
28/05/2025;5 355;5 350;5 355;5 350;1 762;9 431 105;0.09%
29/05/2025;5 355;5 350;5 355;5 350;1 762;9 431 105;0.00%
30/05/2025;5 350;5 345;5 350;5 345;1 938;10 363 455;-0.09%
02/06/2025;5 350;5 350;5 350;5 350;1 289;6 896 150;0.00%
03/06/2025;5 350;5 350;5 350;5 350;601;3 215 350;0.00%
04/06/2025;5 340;5 340;5 340;5 340;1 287;6 872 580;-0.19%
05/06/2025;5 350;5 300;5 350;5 300;2 156;11 480 700;0.19%
10/06/2025;5 730;5 300;5 730;5 300;11 541;63 648 615;7.10%
11/06/2025;5 600;5 410;5 600;5 410;3 273;18 017 865;-2.27%
12/06/2025;5 550;5 600;5 600;5 550;446;2 486 450;-0.89%
13/06/2025;5 595;5 550;5 595;5 550;1 143;6 369 368;0.81%
16/06/2025;5 600;5 415;5 600;5 415;433;2 384 748;0.09%
17/06/2025;5 500;5 650;5 650;5 500;1 854;10 336 050;-1.79%
18/06/2025;5 500;5 500;5 500;5 500;1 794;9 867 000;0.00%
19/06/2025;5 595;5 500;5 595;5 500;3 675;20 387 063;1.73%
20/06/2025;5 600;5 595;5 600;5 595;2 138;11 967 455;0.09%
23/06/2025;5 595;5 600;5 600;5 595;1 468;8 217 130;-0.09%
24/06/2025;5 500;5 595;5 595;5 500;2 198;12 193 405;-1.70%
25/06/2025;5 450;5 500;5 500;5 450;663;3 629 925;-0.91%
26/06/2025;5 500;5 450;5 500;5 450;2 932;16 052 700;0.92%
27/06/2025;5 445;5 445;5 445;5 445;5 610;30 546 450;-1.00%
30/06/2025;5 340;5 040;5 340;5 040;7 468;38 758 920;-1.93%
01/07/2025;5 295;5 050;5 295;5 050;5 640;29 172 900;-0.84%
02/07/2025;5 285;5 290;5 290;5 285;1 838;9 718 425;-0.19%
03/07/2025;5 250;5 100;5 250;5 100;571;2 954 925;-0.66%
04/07/2025;5 200;5 250;5 250;5 200;4 331;22 629 475;-0.95%
07/07/2025;5 200;5 150;5 200;5 150;1 392;7 203 600;0.00%
08/07/2025;5 150;5 200;5 200;5 150;12 302;63 662 850;-0.96%
09/07/2025;5 250;5 100;5 250;5 100;7 236;37 446 300;1.94%
10/07/2025;5 240;5 245;5 245;5 240;962;5 043 285;-0.19%
11/07/2025;5 350;5 225;5 350;5 225;6 666;35 246 475;2.10%
14/07/2025;5 290;5 335;5 335;5 290;390;2 071 875;-1.12%
15/07/2025;5 255;5 270;5 270;5 255;244;1 284 050;-0.66%
16/07/2025;5 255;5 250;5 255;5 250;980;5 147 450;0.00%
17/07/2025;5 250;5 245;5 250;5 245;4 477;23 493 058;-0.10%
18/07/2025;5 265;5 250;5 265;5 250;596;3 133 470;0.29%
21/07/2025;5 270;5 285;5 285;5 270;4 727;24 946 743;0.09%
22/07/2025;5 295;5 255;5 295;5 255;770;4 061 750;0.47%
23/07/2025;5 495;5 250;5 495;5 250;2 957;15 886 483;3.78%
24/07/2025;5 400;5 495;5 495;5 400;152;828 020;-1.73%
25/07/2025;5 300;5 495;5 495;5 300;158;852 805;-1.85%
28/07/2025;5 300;5 300;5 300;5 300;1 533;8 124 900;0.00%
29/07/2025;5 360;5 300;5 360;5 300;714;3 805 620;1.13%
30/07/2025;5 360;5 350;5 360;5 350;619;3 314 745;0.00%
