Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
11/01/2012;3 100;3 100;3 100;3 100;1 036;3 211 600;-3.13%
13/01/2012;3 100;3 100;3 100;3 100;10;31 000;0.00%
16/01/2012;3 100;3 100;3 100;3 100;191;592 100;0.00%
17/01/2012;3 100;3 100;3 100;3 100;20;62 000;0.00%
18/01/2012;3 100;3 100;3 100;3 100;132;409 200;0.00%
26/01/2012;3 200;3 200;3 200;3 200;33;105 600;3.23%
27/01/2012;3 205;3 205;3 205;3 205;60;192 300;0.16%
01/02/2012;3 201;3 201;3 201;3 201;30;96 030;-0.12%
02/02/2012;3 201;3 201;3 201;3 201;17;54 417;0.00%
03/02/2012;3 251;3 251;3 251;3 251;105;341 355;1.56%
06/02/2012;3 300;3 300;3 300;3 300;75;247 500;1.51%
08/02/2012;3 300;3 300;3 300;3 300;8;26 400;0.00%
09/02/2012;3 300;3 300;3 300;3 300;10;33 000;0.00%
16/02/2012;3 301;3 301;3 301;3 301;12;39 612;0.03%
20/02/2012;3 301;3 301;3 301;3 301;1;3 301;0.00%
27/02/2012;3 301;3 301;3 301;3 301;3;9 903;0.00%
28/02/2012;3 301;3 301;3 301;3 301;12;39 612;0.00%
07/03/2012;3 500;3 500;3 500;3 500;10;35 000;6.03%
08/03/2012;3 500;3 500;3 500;3 500;1;3 500;0.00%
09/03/2012;3 763;3 763;3 763;3 763;20;75 260;7.51%
12/03/2012;3 763;3 763;3 763;3 763;43;161 809;0.00%
16/03/2012;3 763;3 763;3 763;3 763;47;176 861;0.00%
19/03/2012;3 700;3 700;3 700;3 700;37;136 900;-1.67%
28/03/2012;3 700;3 700;3 700;3 700;21;77 700;0.00%
03/04/2012;3 700;3 700;3 700;3 700;205;758 500;0.00%
05/04/2012;3 700;3 700;3 700;3 700;65;240 500;0.00%
06/04/2012;3 699;3 699;3 699;3 699;11;40 689;-0.03%
12/04/2012;3 700;3 700;3 700;3 700;50;185 000;0.03%
26/04/2012;3 600;3 600;3 600;3 600;52;187 200;-2.70%
04/05/2012;3 600;3 600;3 600;3 600;124;446 400;0.00%
10/05/2012;3 600;3 600;3 600;3 600;1;3 600;0.00%
14/05/2012;3 600;3 600;3 600;3 600;12;43 200;0.00%
15/05/2012;3 600;3 600;3 600;3 600;27;97 200;0.00%
21/05/2012;3 550;3 550;3 550;3 550;10;35 500;-1.39%
22/05/2012;3 500;3 500;3 500;3 500;10;35 000;-1.41%
23/05/2012;3 500;3 500;3 500;3 500;20;70 000;0.00%
25/05/2012;3 500;3 500;3 500;3 500;14;49 000;0.00%
29/05/2012;3 500;3 500;3 500;3 500;322;1 127 000;0.00%
01/06/2012;3 500;3 500;3 500;3 500;4;14 000;0.00%
04/06/2012;3 500;3 500;3 500;3 500;16;56 000;0.00%
05/06/2012;3 600;3 600;3 600;3 600;41;147 600;2.86%
07/06/2012;3 600;3 600;3 600;3 600;334;1 202 400;0.00%
18/06/2012;3 600;3 600;3 600;3 600;56;201 600;0.00%
21/06/2012;3 610;3 610;3 610;3 610;145;523 450;0.28%
27/06/2012;3 610;3 610;3 610;3 610;67;241 870;0.00%
03/07/2012;3 611;3 611;3 611;3 611;29;104 719;0.03%
11/07/2012;3 611;3 611;3 611;3 611;11;39 721;0.00%
12/07/2012;3 611;3 611;3 611;3 611;1;3 611;0.00%
13/07/2012;3 611;3 611;3 611;3 611;18;64 998;0.00%
16/07/2012;3 611;3 611;3 611;3 611;7;25 277;0.00%
17/07/2012;3 600;3 600;3 600;3 600;125;450 000;-0.30%
19/07/2012;3 600;3 600;3 600;3 600;7;25 200;0.00%
20/07/2012;3 700;3 700;3 700;3 700;12;44 400;2.78%
23/07/2012;3 700;3 700;3 700;3 700;130;481 000;0.00%
24/07/2012;3 700;3 700;3 700;3 700;10;37 000;0.00%
30/07/2012;3 700;3 700;3 700;3 700;100;370 000;0.00%
31/07/2012;3 700;3 700;3 700;3 700;105;388 500;0.00%
02/08/2012;3 600;3 600;3 600;3 600;40;144 000;-2.70%
