Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
06/01/2012;1 200;1 200;1 200;1 200;146;175 200;0.00%
11/01/2012;1 200;1 200;1 200;1 200;450;540 000;0.00%
12/01/2012;1 200;1 200;1 200;1 200;4 072;4 886 400;0.00%
13/01/2012;1 200;1 200;1 200;1 200;1 200;1 440 000;0.00%
16/01/2012;1 200;1 200;1 200;1 200;120;144 000;0.00%
17/01/2012;1 200;1 200;1 200;1 200;150;180 000;0.00%
19/01/2012;1 200;1 200;1 200;1 200;140;168 000;0.00%
23/01/2012;1 200;1 200;1 200;1 200;90;108 000;0.00%
24/01/2012;1 200;1 200;1 200;1 200;78;93 600;0.00%
25/01/2012;1 200;1 200;1 200;1 200;44;52 800;0.00%
30/01/2012;1 200;1 200;1 200;1 200;44;52 800;0.00%
31/01/2012;1 200;1 200;1 200;1 200;6;7 200;0.00%
01/02/2012;1 200;1 200;1 200;1 200;140;168 000;0.00%
02/02/2012;1 200;1 200;1 200;1 200;80;96 000;0.00%
03/02/2012;1 200;1 200;1 200;1 200;16;19 200;0.00%
06/02/2012;1 200;1 200;1 200;1 200;20;24 000;0.00%
08/02/2012;1 200;1 200;1 200;1 200;34;40 800;0.00%
09/02/2012;1 200;1 200;1 200;1 200;20;24 000;0.00%
10/02/2012;1 200;1 200;1 200;1 200;60;72 000;0.00%
15/02/2012;1 200;1 200;1 200;1 200;30;36 000;0.00%
20/02/2012;1 200;1 200;1 200;1 200;108;129 600;0.00%
22/02/2012;1 200;1 200;1 200;1 200;50;60 000;0.00%
27/02/2012;1 201;1 201;1 201;1 201;500;600 250;0.04%
28/02/2012;1 214;1 214;1 214;1 214;800;971 200;1.12%
29/02/2012;1 225;1 225;1 225;1 225;44;53 900;0.91%
01/03/2012;1 227;1 227;1 227;1 227;200;245 300;0.12%
07/03/2012;1 230;1 230;1 230;1 230;86;105 780;0.29%
08/03/2012;1 275;1 275;1 275;1 275;540;688 500;3.66%
19/03/2012;1 371;1 371;1 371;1 371;36;49 338;7.49%
20/03/2012;1 375;1 375;1 375;1 375;428;588 500;0.33%
26/03/2012;1 350;1 350;1 350;1 350;20;27 000;-1.82%
05/04/2012;1 350;1 350;1 350;1 350;52;70 200;0.00%
12/04/2012;1 350;1 350;1 350;1 350;100;135 000;0.00%
13/04/2012;1 350;1 350;1 350;1 350;200;270 000;0.00%
18/04/2012;1 350;1 350;1 350;1 350;198;267 300;0.00%
20/04/2012;1 350;1 350;1 350;1 350;2;2 700;0.00%
23/04/2012;1 350;1 350;1 350;1 350;44;59 400;0.00%
24/04/2012;1 375;1 375;1 375;1 375;30;41 250;1.85%
25/04/2012;1 350;1 350;1 350;1 350;80;108 000;-1.82%
30/04/2012;1 338;1 338;1 338;1 338;400;535 000;-0.93%
02/05/2012;1 338;1 338;1 338;1 338;500;668 750;0.00%
03/05/2012;1 338;1 338;1 338;1 338;336;449 400;0.00%
07/05/2012;1 338;1 338;1 338;1 338;1 302;1 741 425;0.00%
08/05/2012;1 338;1 338;1 338;1 338;28;37 450;0.00%
10/05/2012;1 338;1 338;1 338;1 338;38;50 825;0.00%
15/05/2012;1 338;1 338;1 338;1 338;124;165 850;0.00%
16/05/2012;1 350;1 350;1 350;1 350;46;62 100;0.93%
22/05/2012;1 338;1 338;1 338;1 338;556;743 650;-0.93%
23/05/2012;1 338;1 338;1 338;1 338;2;2 675;0.00%
24/05/2012;1 350;1 350;1 350;1 350;30;40 500;0.93%
25/05/2012;1 350;1 350;1 350;1 350;42;56 700;0.00%
30/05/2012;1 350;1 350;1 350;1 350;438;591 300;0.00%
01/06/2012;1 350;1 350;1 350;1 350;76;102 600;0.00%
04/06/2012;1 350;1 350;1 350;1 350;120;162 000;0.00%
05/06/2012;1 350;1 350;1 350;1 350;736;993 600;0.00%
07/06/2012;1 350;1 350;1 350;1 350;4;5 400;0.00%
12/06/2012;1 350;1 350;1 350;1 350;20;27 000;0.00%
14/06/2012;1 350;1 350;1 350;1 350;36;48 600;0.00%
18/06/2012;1 350;1 350;1 350;1 350;400;540 000;0.00%
19/06/2012;1 350;1 350;1 350;1 350;754;1 017 900;0.00%
20/06/2012;1 353;1 353;1 353;1 353;136;183 940;0.19%
21/06/2012;1 353;1 353;1 353;1 353;952;1 287 580;0.00%
27/06/2012;1 363;1 363;1 363;1 363;30;40 875;0.74%
02/07/2012;1 363;1 363;1 363;1 363;32;43 600;0.00%
04/07/2012;1 363;1 363;1 363;1 363;100;136 250;0.00%
05/07/2012;1 363;1 363;1 363;1 363;556;757 550;0.00%
06/07/2012;1 363;1 363;1 363;1 363;64;87 200;0.00%
11/07/2012;1 350;1 350;1 350;1 350;1 200;1 620 000;-0.92%
13/07/2012;1 363;1 363;1 363;1 363;20;27 250;0.93%
18/07/2012;1 363;1 363;1 363;1 363;40;54 500;0.00%
19/07/2012;1 350;1 350;1 350;1 350;488;658 800;-0.92%
20/07/2012;1 350;1 350;1 350;1 350;70;94 500;0.00%
25/07/2012;1 350;1 350;1 350;1 350;8;10 800;0.00%
26/07/2012;1 350;1 350;1 350;1 350;334;450 900;0.00%
27/07/2012;1 350;1 350;1 350;1 350;12;16 200;0.00%
31/07/2012;1 350;1 350;1 350;1 350;146;197 100;0.00%
02/08/2012;1 363;1 363;1 363;1 363;24;32 700;0.93%
03/08/2012;1 350;1 350;1 350;1 350;30;40 500;-0.92%
08/08/2012;1 350;1 350;1 350;1 350;118;159 300;0.00%
14/08/2012;1 350;1 350;1 350;1 350;48;64 800;0.00%
21/08/2012;1 363;1 363;1 363;1 363;246;335 175;0.93%
23/08/2012;1 375;1 375;1 375;1 375;200;275 000;0.92%
28/08/2012;1 364;1 364;1 364;1 364;46;62 744;-0.80%
03/09/2012;1 363;1 363;1 363;1 363;100;136 250;-0.11%
07/09/2012;1 375;1 375;1 375;1 375;176;242 000;0.92%
10/09/2012;1 375;1 375;1 375;1 375;82;112 750;0.00%
13/09/2012;1 363;1 363;1 363;1 363;1 336;1 820 300;-0.91%
14/09/2012;1 375;1 375;1 375;1 375;20;27 500;0.92%
17/09/2012;1 363;1 363;1 363;1 363;1 360;1 853 000;-0.91%
19/09/2012;1 363;1 363;1 363;1 363;20;27 250;0.00%
24/09/2012;1 400;1 400;1 400;1 400;3 000;4 200 000;2.75%
25/09/2012;1 363;1 363;1 363;1 363;20;27 250;-2.68%
26/09/2012;1 363;1 363;1 363;1 363;88;119 900;0.00%
28/09/2012;1 375;1 375;1 375;1 375;100;137 500;0.92%
01/10/2012;1 375;1 375;1 375;1 375;34;46 750;0.00%
03/10/2012;1 375;1 375;1 375;1 375;3 054;4 199 250;0.00%
04/10/2012;1 375;1 375;1 375;1 375;874;1 201 750;0.00%
05/10/2012;1 375;1 375;1 375;1 375;4;5 500;0.00%
09/10/2012;1 375;1 375;1 375;1 375;20;27 500;0.00%
10/10/2012;1 360;1 360;1 360;1 360;16;21 760;-1.09%
12/10/2012;1 360;1 360;1 360;1 360;52;70 720;0.00%
19/10/2012;1 363;1 363;1 363;1 363;40;54 500;0.18%
25/10/2012;1 375;1 375;1 375;1 375;44;60 500;0.92%
29/10/2012;1 360;1 360;1 360;1 360;26;35 360;-1.09%
02/11/2012;1 350;1 350;1 350;1 350;2 000;2 700 000;-0.74%
06/11/2012;1 350;1 350;1 350;1 350;14;18 900;0.00%
09/11/2012;1 363;1 363;1 363;1 363;22;29 975;0.93%
12/11/2012;1 363;1 363;1 363;1 363;20;27 250;0.00%
13/11/2012;1 363;1 363;1 363;1 363;3 788;5 161 150;0.00%
14/11/2012;1 363;1 363;1 363;1 363;156;212 550;0.00%
19/11/2012;1 375;1 375;1 375;1 375;278;382 250;0.92%
20/11/2012;1 375;1 375;1 375;1 375;22;30 250;0.00%
26/11/2012;1 375;1 375;1 375;1 375;4;5 500;0.00%
28/11/2012;1 478;1 478;1 478;1 478;20;29 560;7.49%
29/11/2012;1 375;1 375;1 375;1 375;1 090;1 498 750;-6.97%
30/11/2012;1 375;1 375;1 375;1 375;6;8 250;0.00%
