Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;1 848;1 848;1 848;1 848;958;1 769 905;-2.51%
03/01/2020;1 800;1 848;1 848;1 800;3 092;5 639 035;-2.57%
06/01/2020;1 875;1 765;1 875;1 765;1 018;1 852 760;4.17%
07/01/2020;1 775;1 848;1 848;1 775;802;1 452 623;-5.33%
08/01/2020;1 815;1 850;1 850;1 815;1 498;2 745 085;2.25%
09/01/2020;1 850;1 800;1 850;1 800;3 540;6 460 500;1.93%
10/01/2020;1 753;1 845;1 845;1 753;420;755 475;-5.27%
13/01/2020;1 758;1 753;1 758;1 753;1 654;2 902 770;0.29%
14/01/2020;1 800;1 763;1 800;1 763;870;1 549 688;2.42%
15/01/2020;1 830;1 850;1 850;1 830;198;364 320;1.67%
16/01/2020;1 873;1 830;1 873;1 830;278;514 648;2.32%
17/01/2020;1 873;1 873;1 873;1 873;224;419 440;0.00%
20/01/2020;1 868;1 850;1 868;1 850;1 156;2 148 715;-0.27%
21/01/2020;1 870;1 868;1 870;1 868;688;1 285 700;0.13%
22/01/2020;1 853;1 853;1 853;1 853;150;277 875;-0.94%
23/01/2020;1 858;1 853;1 858;1 853;620;1 150 100;0.27%
24/01/2020;1 860;1 870;1 870;1 860;5 390;10 052 350;0.13%
27/01/2020;1 865;1 865;1 865;1 865;1 220;2 275 300;0.27%
29/01/2020;1 950;1 868;1 950;1 868;1 596;3 046 365;4.56%
30/01/2020;1 950;1 913;1 950;1 913;5 148;9 942 075;0.00%
31/01/2020;1 925;1 950;1 950;1 925;886;1 716 625;-1.28%
03/02/2020;1 900;1 925;1 925;1 900;1 900;3 633 750;-1.30%
04/02/2020;1 860;1 898;1 898;1 860;5 072;9 529 020;-2.11%
05/02/2020;1 865;1 898;1 898;1 865;464;872 900;0.27%
06/02/2020;1 865;1 865;1 865;1 865;4 518;8 426 070;0.00%
07/02/2020;1 860;1 865;1 865;1 860;364;677 950;-0.27%
10/02/2020;1 860;1 865;1 865;1 860;5 978;11 134 025;0.00%
11/02/2020;1 800;1 855;1 855;1 800;9 952;18 187 280;-3.23%
12/02/2020;1 800;1 855;1 855;1 800;9 952;18 187 280;0.00%
13/02/2020;1 775;1 803;1 803;1 775;1 530;2 736 788;-1.39%
14/02/2020;1 700;1 775;1 775;1 700;3 942;6 849 225;-4.23%
17/02/2020;1 725;1 703;1 725;1 703;364;623 805;1.47%
18/02/2020;1 750;1 725;1 750;1 725;3 050;5 299 375;1.45%
19/02/2020;1 750;1 750;1 750;1 750;124;217 000;0.00%
20/02/2020;1 860;1 775;1 860;1 775;574;1 043 245;6.29%
21/02/2020;1 778;1 860;1 860;1 778;6;10 913;-4.44%
24/02/2020;1 755;1 800;1 800;1 755;802;1 425 555;-1.27%
25/02/2020;1 860;1 775;1 860;1 775;6 042;10 981 335;5.98%
26/02/2020;1 778;1 778;1 778;1 778;484;860 310;-4.44%
27/02/2020;1 800;1 800;1 800;1 800;32;57 600;1.27%
28/02/2020;1 850;1 860;1 860;1 850;208;385 840;2.78%
02/03/2020;1 855;1 855;1 855;1 855;120;222 600;0.27%
03/03/2020;1 850;1 850;1 850;1 850;506;936 100;-0.27%
04/03/2020;1 850;1 850;1 850;1 850;514;950 900;0.00%
05/03/2020;1 850;1 850;1 850;1 850;162;299 700;0.00%
06/03/2020;1 800;1 853;1 853;1 800;418;763 373;-2.70%
