Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
19/01/2012;700;700;700;700;162;113 400;-3.45%
23/01/2012;699;699;699;699;120;83 880;-0.14%
24/01/2012;700;700;700;700;242;169 400;0.14%
25/01/2012;725;725;725;725;266;192 850;3.57%
26/01/2012;725;725;725;725;60;43 500;0.00%
30/01/2012;725;725;725;725;246;178 350;0.00%
01/02/2012;725;725;725;725;14;10 150;0.00%
02/02/2012;718;718;718;718;180;129 150;-1.03%
06/02/2012;700;700;700;700;38;26 600;-2.44%
08/02/2012;700;700;700;700;76;53 200;0.00%
14/02/2012;700;700;700;700;16;11 200;0.00%
17/02/2012;688;688;688;688;26;17 875;-1.79%
20/02/2012;688;688;688;688;62;42 625;0.00%
22/02/2012;688;688;688;688;2;1 375;0.00%
23/02/2012;688;688;688;688;520;357 500;0.00%
24/02/2012;670;670;670;670;20;13 400;-2.55%
27/02/2012;675;675;675;675;22;14 850;0.75%
29/02/2012;675;675;675;675;1 078;727 650;0.00%
02/03/2012;675;675;675;675;120;81 000;0.00%
05/03/2012;675;675;675;675;16;10 800;0.00%
08/03/2012;663;663;663;663;30;19 890;-1.78%
09/03/2012;675;675;675;675;4 472;3 018 600;1.81%
13/03/2012;700;700;700;700;40;28 000;3.70%
15/03/2012;700;700;700;700;468;327 600;0.00%
16/03/2012;700;700;700;700;356;249 200;0.00%
20/03/2012;700;700;700;700;6;4 200;0.00%
21/03/2012;700;700;700;700;22;15 400;0.00%
23/03/2012;700;700;700;700;100;70 000;0.00%
27/03/2012;700;700;700;700;74;51 800;0.00%
28/03/2012;700;700;700;700;76;53 200;0.00%
29/03/2012;700;700;700;700;136;95 200;0.00%
30/03/2012;700;700;700;700;16;11 200;0.00%
03/04/2012;700;700;700;700;550;385 000;0.00%
04/04/2012;700;700;700;700;20;14 000;0.00%
06/04/2012;648;648;648;648;40;25 900;-7.50%
10/04/2012;648;648;648;648;100;64 750;0.00%
12/04/2012;638;638;638;638;48;30 600;-1.54%
13/04/2012;648;648;648;648;60;38 850;1.57%
17/04/2012;638;638;638;638;36;22 950;-1.54%
20/04/2012;650;650;650;650;20;13 000;1.96%
23/04/2012;675;675;675;675;44;29 700;3.85%
24/04/2012;650;650;650;650;218;141 700;-3.70%
25/04/2012;675;675;675;675;302;203 850;3.85%
26/04/2012;675;675;675;675;8;5 400;0.00%
27/04/2012;675;675;675;675;202;136 350;0.00%
30/04/2012;725;725;725;725;820;594 500;7.41%
02/05/2012;725;725;725;725;6;4 350;0.00%
03/05/2012;725;725;725;725;28;20 300;0.00%
04/05/2012;725;725;725;725;4;2 900;0.00%
07/05/2012;725;725;725;725;3 360;2 436 000;0.00%
08/05/2012;725;725;725;725;98;71 050;0.00%
09/05/2012;730;730;730;730;100;73 000;0.69%
10/05/2012;730;730;730;730;120;87 600;0.00%
11/05/2012;738;738;738;738;92;67 850;1.03%
15/05/2012;738;738;738;738;80;59 000;0.00%
16/05/2012;738;738;738;738;134;98 825;0.00%
18/05/2012;730;730;730;730;50;36 500;-1.02%
29/05/2012;713;713;713;713;20;14 250;-2.40%
04/06/2012;713;713;713;713;48;34 200;0.00%
05/06/2012;713;713;713;713;1 030;733 875;0.00%
06/06/2012;718;718;718;718;2 000;1 435 000;0.70%
14/06/2012;713;713;713;713;68;48 450;-0.70%
15/06/2012;738;738;738;738;30;22 125;3.51%
18/06/2012;750;750;750;750;100;75 000;1.69%
19/06/2012;750;750;750;750;52;39 000;0.00%
20/06/2012;750;750;750;750;2 000;1 500 000;0.00%
21/06/2012;750;750;750;750;1 096;822 000;0.00%
25/06/2012;750;750;750;750;120;90 000;0.00%
26/06/2012;725;725;725;725;10 000;7 250 000;-3.33%
04/07/2012;700;700;700;700;22 372;15 660 400;0.00%
05/07/2012;700;700;700;700;1 552;1 086 400;0.00%
06/07/2012;700;700;700;700;100;70 000;0.00%
10/07/2012;700;700;700;700;106;74 200;0.00%
11/07/2012;700;700;700;700;50;35 000;0.00%
13/07/2012;700;700;700;700;200;140 000;0.00%
17/07/2012;700;700;700;700;356;249 200;0.00%
18/07/2012;700;700;700;700;44;30 800;0.00%
19/07/2012;700;700;700;700;26;18 200;0.00%
23/07/2012;725;725;725;725;404;292 900;3.57%
24/07/2012;700;700;700;700;50;35 000;-3.45%
25/07/2012;698;698;698;698;36;25 110;-0.36%
27/07/2012;700;700;700;700;36;25 200;0.36%
31/07/2012;725;725;725;725;200;145 000;3.57%
03/08/2012;738;738;738;738;200;147 500;1.72%
08/08/2012;738;738;738;738;200;147 500;0.00%
