Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
01/06/2016;2 311;2 311;2 311;2 311;15;34 660;7.47%
02/06/2016;2 483;2 483;2 483;2 483;328;814 533;7.47%
03/06/2016;2 670;2 670;2 670;2 670;30;80 100;7.52%
06/06/2016;2 870;2 870;2 870;2 870;21;60 270;7.49%
07/06/2016;3 085;3 085;3 085;3 085;7;21 593;7.48%
09/06/2016;3 565;3 565;3 565;3 565;600;2 138 800;7.50%
10/06/2016;3 831;3 831;3 831;3 831;88;337 157;7.48%
13/06/2016;4 119;4 119;4 119;4 119;322;1 326 211;7.50%
14/06/2016;4 427;4 427;4 427;4 427;370;1 638 113;7.49%
15/06/2016;4 759;4 759;4 759;4 759;6 619;31 502 027;7.50%
16/06/2016;5 117;5 117;5 117;5 117;2 464;12 607 467;7.51%
17/06/2016;5 500;5 500;5 500;5 500;2 043;11 236 500;7.49%
20/06/2016;5 913;5 913;5 913;5 913;6 666;39 413 836;7.50%
21/06/2016;5 778;5 778;5 778;5 778;32 988;190 604 664;-2.28%
22/06/2016;5 345;5 345;5 345;5 345;6 925;37 011 817;-7.50%
23/06/2016;5 333;5 333;5 333;5 333;20 434;108 981 333;-0.21%
24/06/2016;5 379;5 379;5 379;5 379;5 401;29 050 179;0.85%
27/06/2016;5 778;5 778;5 778;5 778;7 288;42 110 064;7.42%
28/06/2016;5 955;5 955;5 955;5 955;5 667;33 748 874;3.07%
29/06/2016;6 045;6 045;6 045;6 045;4 801;29 020 445;1.50%
30/06/2016;5 867;5 867;5 867;5 867;2 587;15 177 067;-2.94%
01/07/2016;5 875;5 875;5 875;5 875;3 292;19 341 597;0.15%
04/07/2016;5 689;5 689;5 689;5 689;4 239;24 114 258;-3.18%
05/07/2016;5 955;5 955;5 955;5 955;8 224;48 971 179;4.68%
07/07/2016;5 640;5 640;5 640;5 640;2 076;11 708 640;-5.28%
08/07/2016;5 778;5 778;5 778;5 778;1 626;9 395 028;2.45%
11/07/2016;5 345;5 345;5 345;5 345;618;3 303 004;-7.50%
12/07/2016;4 978;4 978;4 978;4 978;3 373;16 790 794;-6.86%
13/07/2016;5 246;5 246;5 246;5 246;1 278;6 704 388;5.38%
14/07/2016;5 245;5 245;5 245;5 245;1 041;5 459 698;-0.03%
15/07/2016;5 289;5 289;5 289;5 289;2 004;10 598 488;0.84%
18/07/2016;5 245;5 245;5 245;5 245;423;2 218 494;-0.83%
19/07/2016;5 245;5 245;5 245;5 245;2 022;10 604 716;0.00%
20/07/2016;5 245;5 245;5 245;5 245;1 686;8 842 508;0.00%
21/07/2016;5 245;5 245;5 245;5 245;861;4 515 658;0.00%
22/07/2016;5 325;5 325;5 325;5 325;411;2 188 438;1.53%
25/07/2016;5 245;5 245;5 245;5 245;447;2 344 366;-1.50%
26/07/2016;5 245;5 245;5 245;5 245;607;3 183 513;0.00%
27/07/2016;5 245;5 245;5 245;5 245;709;3 718 469;0.00%
28/07/2016;5 245;5 245;5 245;5 245;996;5 223 688;0.00%
29/07/2016;5 333;5 333;5 333;5 333;2 088;11 136 000;1.69%
01/08/2016;5 333;5 333;5 333;5 333;1 038;5 536 000;0.00%
02/08/2016;5 289;5 289;5 289;5 289;697;3 686 201;-0.84%
03/08/2016;5 246;5 246;5 246;5 246;2 283;11 976 618;-0.81%
04/08/2016;5 245;5 245;5 245;5 245;1 357;7 117 013;-0.03%
05/08/2016;5 271;5 271;5 271;5 271;243;1 280 772;0.50%
09/08/2016;5 271;5 271;5 271;5 271;1 231;6 488 191;0.00%
10/08/2016;5 245;5 245;5 245;5 245;403;2 113 601;-0.49%
11/08/2016;5 244;5 244;5 244;5 244;411;2 155 284;-0.01%
12/08/2016;5 165;5 165;5 165;5 165;645;3 331 210;-1.51%
16/08/2016;5 165;5 165;5 165;5 165;561;2 897 752;0.01%
17/08/2016;5 165;5 165;5 165;5 165;1 485;7 669 530;-0.01%
18/08/2016;5 173;5 173;5 173;5 173;687;3 554 080;0.17%
19/08/2016;5 173;5 173;5 173;5 173;1 551;8 023 840;0.00%
22/08/2016;5 178;5 178;5 178;5 178;867;4 489 326;0.09%
23/08/2016;5 173;5 173;5 173;5 173;1 065;5 509 600;-0.09%
24/08/2016;5 200;5 200;5 200;5 200;2 605;13 546 000;0.52%
25/08/2016;5 200;5 200;5 200;5 200;2 889;15 022 800;0.00%
26/08/2016;5 200;5 200;5 200;5 200;1 720;8 944 000;0.00%
29/08/2016;5 200;5 200;5 200;5 200;2 001;10 405 200;0.00%
30/08/2016;5 222;5 222;5 222;5 222;580;3 028 760;0.42%
31/08/2016;5 227;5 227;5 227;5 227;808;4 223 147;0.09%
01/09/2016;5 298;5 298;5 298;5 298;2 329;12 339 042;1.36%
