Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
05/01/2012;1 491;1 491;1 491;1 491;48;71 550;0.00%
06/01/2012;1 491;1 491;1 491;1 491;57;84 966;0.00%
12/01/2012;1 443;1 443;1 443;1 443;57;82 223;-3.23%
17/01/2012;1 491;1 491;1 491;1 491;30;44 719;3.34%
18/01/2012;1 491;1 491;1 491;1 491;22;32 794;0.00%
19/01/2012;1 491;1 491;1 491;1 491;80;119 250;0.00%
20/01/2012;1 491;1 491;1 491;1 491;96;143 100;0.00%
24/01/2012;1 491;1 491;1 491;1 491;153;228 066;0.00%
25/01/2012;1 491;1 491;1 491;1 491;41;61 116;0.00%
26/01/2012;1 514;1 514;1 514;1 514;27;40 888;1.59%
31/01/2012;1 539;1 539;1 539;1 539;92;141 565;1.61%
02/02/2012;1 539;1 539;1 539;1 539;691;1 063 276;0.00%
03/02/2012;1 539;1 539;1 539;1 539;112;172 340;0.00%
06/02/2012;1 539;1 539;1 539;1 539;19;29 236;0.00%
07/02/2012;1 539;1 539;1 539;1 539;75;115 406;0.00%
08/02/2012;1 539;1 539;1 539;1 539;1;1 539;0.00%
09/02/2012;1 514;1 514;1 514;1 514;254;384 651;-1.58%
10/02/2012;1 586;1 586;1 586;1 586;160;253 800;4.75%
14/02/2012;1 586;1 586;1 586;1 586;916;1 453 005;0.00%
15/02/2012;1 586;1 586;1 586;1 586;24;38 070;0.00%
16/02/2012;1 586;1 586;1 586;1 586;212;336 285;0.00%
17/02/2012;1 586;1 586;1 586;1 586;99;157 039;0.00%
20/02/2012;1 514;1 514;1 514;1 514;67;101 463;-4.53%
22/02/2012;1 514;1 514;1 514;1 514;382;578 491;0.00%
24/02/2012;1 514;1 514;1 514;1 514;12;18 173;0.00%
28/02/2012;1 514;1 514;1 514;1 514;196;296 818;0.00%
29/02/2012;1 514;1 514;1 514;1 514;480;726 900;0.00%
01/03/2012;1 514;1 514;1 514;1 514;800;1 211 500;0.00%
02/03/2012;1 514;1 514;1 514;1 514;502;760 216;0.00%
07/03/2012;1 586;1 586;1 586;1 586;80;126 900;4.75%
08/03/2012;1 514;1 514;1 514;1 514;806;1 220 586;-4.53%
09/03/2012;1 577;1 577;1 577;1 577;56;88 305;4.13%
12/03/2012;1 577;1 577;1 577;1 577;67;105 651;0.00%
13/03/2012;1 577;1 577;1 577;1 577;75;118 266;0.00%
14/03/2012;1 577;1 577;1 577;1 577;132;208 148;0.00%
15/03/2012;1 586;1 586;1 586;1 586;590;935 888;0.59%
16/03/2012;1 586;1 586;1 586;1 586;217;344 216;0.00%
19/03/2012;1 587;1 587;1 587;1 587;96;152 340;0.04%
21/03/2012;1 586;1 586;1 586;1 586;99;157 039;-0.04%
22/03/2012;1 586;1 586;1 586;1 586;49;77 726;0.00%
26/03/2012;1 587;1 587;1 587;1 587;92;145 993;0.04%
28/03/2012;1 611;1 611;1 611;1 611;12;19 328;1.50%
29/03/2012;1 731;1 731;1 731;1 731;12;20 775;7.49%
30/03/2012;1 639;1 639;1 639;1 639;4 544;7 449 320;-5.31%
03/04/2012;1 587;1 587;1 587;1 587;891;1 413 906;-5.72%
06/04/2012;1 683;1 683;1 683;1 683;12;20 198;6.07%
12/04/2012;1 779;1 779;1 779;1 779;12;21 345;5.68%
13/04/2012;1 779;1 779;1 779;1 779;83;147 636;0.00%
16/04/2012;1 779;1 779;1 779;1 779;81;144 079;0.00%
17/04/2012;1 786;1 786;1 786;1 786;16;28 580;0.42%
18/04/2012;1 786;1 786;1 786;1 786;16;28 580;0.00%
23/04/2012;1 827;1 827;1 827;1 827;89;162 592;2.27%
24/04/2012;1 827;1 827;1 827;1 827;88;160 765;0.00%
27/04/2012;1 832;1 832;1 832;1 832;14;25 646;0.27%
07/05/2012;1 923;1 923;1 923;1 923;92;176 928;4.98%
09/05/2012;1 928;1 928;1 928;1 928;48;92 550;0.26%
10/05/2012;1 972;1 972;1 972;1 972;16;31 550;2.27%
11/05/2012;1 976;1 976;1 976;1 976;132;260 865;0.22%
14/05/2012;2 072;2 072;2 072;2 072;96;198 900;4.84%
15/05/2012;2 072;2 072;2 072;2 072;62;128 456;0.00%
16/05/2012;2 019;2 019;2 019;2 019;3 955;7 986 628;-2.53%
18/05/2012;2 043;2 043;2 043;2 043;19;38 819;1.18%
21/05/2012;2 043;2 043;2 043;2 043;44;89 898;0.00%
22/05/2012;1 563;1 563;1 563;1 563;81;126 563;-23.52%
23/05/2012;1 563;1 563;1 563;1 563;14;21 875;0.00%
24/05/2012;1 563;1 563;1 563;1 563;14;21 875;0.00%
01/06/2012;1 563;1 563;1 563;1 563;2 424;3 787 500;0.00%
04/06/2012;1 563;1 563;1 563;1 563;8;12 500;0.00%
05/06/2012;1 563;1 563;1 563;1 563;12;18 750;0.00%
06/06/2012;1 563;1 563;1 563;1 563;3;4 688;0.00%
07/06/2012;1 586;1 586;1 586;1 586;25;39 656;1.52%
08/06/2012;1 586;1 586;1 586;1 586;27;42 829;0.00%
11/06/2012;1 586;1 586;1 586;1 586;8;12 690;0.00%
13/06/2012;1 586;1 586;1 586;1 586;30;47 588;0.00%
18/06/2012;1 591;1 591;1 591;1 591;91;144 804;0.32%
19/06/2012;1 591;1 591;1 591;1 591;9;14 321;0.00%
21/06/2012;1 711;1 711;1 711;1 711;16;27 370;7.50%
22/06/2012;1 803;1 803;1 803;1 803;36;64 913;5.41%
25/06/2012;1 591;1 591;1 591;1 591;41;65 241;-11.75%
26/06/2012;1 594;1 594;1 594;1 594;212;337 875;0.16%
27/06/2012;1 586;1 586;1 586;1 586;176;279 180;-0.47%
28/06/2012;1 591;1 591;1 591;1 591;390;620 588;0.32%
03/07/2012;1 591;1 591;1 591;1 591;294 491;468 608 804;0.00%
04/07/2012;1 594;1 594;1 594;1 594;190;302 813;0.16%
06/07/2012;1 591;1 591;1 591;1 591;124;197 315;-0.16%
09/07/2012;1 596;1 596;1 596;1 596;68;108 545;0.31%
10/07/2012;1 616;1 616;1 616;1 616;262;423 294;1.21%
11/07/2012;1 634;1 634;1 634;1 634;528;862 950;1.16%
12/07/2012;1 563;1 563;1 563;1 563;320;500 000;-4.40%
13/07/2012;1 611;1 611;1 611;1 611;160;257 700;3.08%
17/07/2012;1 611;1 611;1 611;1 611;230;370 444;0.00%
18/07/2012;1 611;1 611;1 611;1 611;176;283 470;0.00%
19/07/2012;1 611;1 611;1 611;1 611;32;51 540;0.00%
20/07/2012;1 634;1 634;1 634;1 634;195;318 703;1.47%
24/07/2012;1 635;1 635;1 635;1 635;211;344 985;0.04%
25/07/2012;1 635;1 635;1 635;1 635;148;241 980;0.00%
26/07/2012;1 758;1 758;1 758;1 758;240;421 800;7.49%
27/07/2012;1 635;1 635;1 635;1 635;46;75 210;-6.97%
30/07/2012;1 636;1 636;1 636;1 636;152;248 615;0.04%
31/07/2012;1 635;1 635;1 635;1 635;265;433 275;-0.04%
08/08/2012;1 636;1 636;1 636;1 636;75;122 672;0.04%
09/08/2012;1 758;1 758;1 758;1 758;48;84 390;7.49%
10/08/2012;1 644;1 644;1 644;1 644;59;97 018;-6.47%
17/08/2012;1 659;1 659;1 659;1 659;40;66 350;0.87%
21/08/2012;1 659;1 659;1 659;1 659;182;301 893;0.00%
22/08/2012;1 659;1 659;1 659;1 659;22;36 493;0.00%
23/08/2012;1 659;1 659;1 659;1 659;3 553;5 893 539;0.00%
27/08/2012;1 683;1 683;1 683;1 683;176;296 120;1.43%
28/08/2012;1 683;1 683;1 683;1 683;182;306 215;0.00%
30/08/2012;1 707;1 707;1 707;1 707;390;665 681;1.45%
31/08/2012;1 683;1 683;1 683;1 683;470;790 775;-1.43%
03/09/2012;1 683;1 683;1 683;1 683;214;360 055;0.00%
04/09/2012;1 683;1 683;1 683;1 683;480;807 600;0.00%
05/09/2012;1 659;1 659;1 659;1 659;244;404 735;-1.41%
07/09/2012;1 683;1 683;1 683;1 683;404;679 730;1.43%
10/09/2012;1 659;1 659;1 659;1 659;960;1 592 400;-1.41%
11/09/2012;1 659;1 659;1 659;1 659;100;165 875;0.00%
12/09/2012;1 683;1 683;1 683;1 683;32;53 840;1.43%
13/09/2012;1 683;1 683;1 683;1 683;268;450 910;0.00%
14/09/2012;1 683;1 683;1 683;1 683;48;80 760;0.00%
18/09/2012;1 659;1 659;1 659;1 659;20;33 175;-1.41%
19/09/2012;1 659;1 659;1 659;1 659;172;285 305;0.00%
20/09/2012;1 659;1 659;1 659;1 659;160;265 400;0.00%
24/09/2012;1 658;1 658;1 658;1 658;62;102 804;-0.04%
26/09/2012;1 635;1 635;1 635;1 635;16;26 160;-1.39%
28/09/2012;1 633;1 633;1 633;1 633;16;26 120;-0.11%
01/10/2012;1 683;1 683;1 683;1 683;851;1 431 808;3.06%
04/10/2012;1 683;1 683;1 683;1 683;49;82 443;0.00%
08/10/2012;1 683;1 683;1 683;1 683;326;548 495;0.00%
09/10/2012;1 704;1 704;1 704;1 704;160;272 700;1.30%
11/10/2012;1 832;1 832;1 832;1 832;80;146 550;7.48%
12/10/2012;1 731;1 731;1 731;1 731;12;20 768;-5.53%
15/10/2012;1 779;1 779;1 779;1 779;3 065;5 451 869;2.78%
17/10/2012;1 755;1 755;1 755;1 755;16;28 080;-1.34%
19/10/2012;1 731;1 731;1 731;1 731;721;1 247 781;-1.39%
24/10/2012;1 731;1 731;1 731;1 731;28;48 458;0.00%
25/10/2012;1 707;1 707;1 707;1 707;417;711 767;-1.37%
29/10/2012;1 707;1 707;1 707;1 707;72;122 895;0.00%
30/10/2012;1 707;1 707;1 707;1 707;17;29 017;0.00%
02/11/2012;1 707;1 707;1 707;1 707;3;5 121;0.00%
05/11/2012;1 707;1 707;1 707;1 707;4;6 828;0.00%
06/11/2012;1 683;1 683;1 683;1 683;24;40 380;-1.43%
07/11/2012;1 683;1 683;1 683;1 683;16;26 920;0.00%
08/11/2012;1 707;1 707;1 707;1 707;614;1 048 021;1.45%
09/11/2012;1 731;1 731;1 731;1 731;160;276 900;1.39%
14/11/2012;1 731;1 731;1 731;1 731;160;276 900;0.00%
16/11/2012;1 731;1 731;1 731;1 731;764;1 322 198;0.00%
19/11/2012;1 731;1 731;1 731;1 731;57;98 681;0.04%
21/11/2012;1 731;1 731;1 731;1 731;284;491 498;-0.04%
22/11/2012;1 731;1 731;1 731;1 731;337;583 221;0.00%
26/11/2012;1 731;1 731;1 731;1 731;84;145 373;0.00%
27/11/2012;1 731;1 731;1 731;1 731;19;32 882;0.00%
28/11/2012;1 731;1 731;1 731;1 731;928;1 606 600;0.04%
29/11/2012;1 736;1 736;1 736;1 736;2 425;4 208 891;0.25%
30/11/2012;1 736;1 736;1 736;1 736;30;52 069;0.00%
04/12/2012;1 731;1 731;1 731;1 731;22;38 074;-0.29%
06/12/2012;1 755;1 755;1 755;1 755;499;875 745;1.41%
07/12/2012;1 755;1 755;1 755;1 755;209;366 795;0.00%
11/12/2012;1 755;1 755;1 755;1 755;448;786 240;0.00%
