Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
11/12/2014;1 155;1 155;1 155;1 155;7;8 087;7.44%
12/12/2014;1 242;1 242;1 242;1 242;3;3 726;7.50%
15/12/2014;1 335;1 335;1 335;1 335;4;5 341;7.51%
17/12/2014;1 543;1 543;1 543;1 543;822;1 268 072;7.48%
18/12/2014;1 658;1 658;1 658;1 658;8 457;14 021 706;7.48%
19/12/2014;1 783;1 783;1 783;1 783;3 726;6 642 216;7.52%
22/12/2014;1 916;1 916;1 916;1 916;1 470;2 816 520;7.48%
23/12/2014;2 033;2 033;2 033;2 033;4 984;10 134 133;6.12%
24/12/2014;2 017;2 017;2 017;2 017;1 296;2 613 600;-0.82%
26/12/2014;2 033;2 033;2 033;2 033;2 568;5 221 600;0.83%
29/12/2014;2 067;2 067;2 067;2 067;888;1 835 200;1.64%
30/12/2014;2 117;2 117;2 117;2 117;120;254 000;2.42%
31/12/2014;2 150;2 150;2 150;2 150;2 269;4 878 350;1.57%
02/01/2015;2 247;2 247;2 247;2 247;94;211 187;4.50%
05/01/2015;2 217;2 217;2 217;2 217;220;487 667;-1.34%
06/01/2015;2 167;2 167;2 167;2 167;345;747 500;-2.26%
07/01/2015;2 167;2 167;2 167;2 167;1 909;4 136 167;0.00%
08/01/2015;2 067;2 067;2 067;2 067;4 146;8 568 400;-4.62%
09/01/2015;2 167;2 167;2 167;2 167;667;1 445 167;4.84%
12/01/2015;2 070;2 070;2 070;2 070;66;136 620;-4.46%
13/01/2015;2 033;2 033;2 033;2 033;298;605 933;-1.77%
14/01/2015;2 100;2 100;2 100;2 100;1 473;3 093 300;3.28%
15/01/2015;2 000;2 000;2 000;2 000;1 638;3 276 000;-4.76%
16/01/2015;2 000;2 000;2 000;2 000;720;1 440 000;0.00%
19/01/2015;2 000;2 000;2 000;2 000;258;516 000;0.00%
20/01/2015;2 000;2 000;2 000;2 000;55;110 000;0.00%
21/01/2015;2 000;2 000;2 000;2 000;721;1 442 000;0.00%
22/01/2015;2 000;2 000;2 000;2 000;234;468 000;0.00%
23/01/2015;2 000;2 000;2 000;2 000;349;698 000;0.00%
26/01/2015;1 967;1 967;1 967;1 967;417;820 100;-1.67%
