Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
03/01/2012;850;850;850;850;25;21 250;0.00%
04/01/2012;875;875;875;875;53;46 375;2.94%
05/01/2012;941;941;941;941;83;78 103;7.54%
06/01/2012;941;941;941;941;10;9 410;0.00%
11/01/2012;825;825;825;825;189;155 925;-12.33%
13/01/2012;953;953;953;953;100;95 300;15.52%
16/01/2012;1 000;1 000;1 000;1 000;128;128 000;4.93%
18/01/2012;955;955;955;955;51;48 705;-4.50%
20/01/2012;978;978;978;978;30;29 340;2.41%
23/01/2012;1 000;1 000;1 000;1 000;60;60 000;2.25%
27/01/2012;1 025;1 025;1 025;1 025;35;35 875;2.50%
30/01/2012;954;954;954;954;49;46 746;-6.93%
01/02/2012;1 010;1 010;1 010;1 010;26;26 260;5.87%
02/02/2012;1 050;1 050;1 050;1 050;67;70 350;3.96%
03/02/2012;1 049;1 049;1 049;1 049;50;52 450;-0.10%
06/02/2012;1 025;1 025;1 025;1 025;121;124 025;-2.29%
07/02/2012;1 025;1 025;1 025;1 025;36;36 900;0.00%
08/02/2012;1 025;1 025;1 025;1 025;20;20 500;0.00%
09/02/2012;1 025;1 025;1 025;1 025;49;50 225;0.00%
10/02/2012;1 000;1 000;1 000;1 000;91;91 000;-2.44%
14/02/2012;1 000;1 000;1 000;1 000;22;22 000;0.00%
15/02/2012;1 000;1 000;1 000;1 000;25;25 000;0.00%
16/02/2012;1 025;1 025;1 025;1 025;101;103 525;2.50%
17/02/2012;1 102;1 102;1 102;1 102;156;171 912;7.51%
20/02/2012;1 125;1 125;1 125;1 125;114;128 250;2.09%
21/02/2012;1 209;1 209;1 209;1 209;70;84 630;7.47%
24/02/2012;1 293;1 293;1 293;1 293;232;299 976;6.95%
27/02/2012;1 200;1 200;1 200;1 200;643;771 600;-7.19%
28/02/2012;1 200;1 200;1 200;1 200;217;260 400;0.00%
29/02/2012;1 250;1 250;1 250;1 250;71;88 750;4.17%
01/03/2012;1 250;1 250;1 250;1 250;69;86 250;0.00%
02/03/2012;1 245;1 245;1 245;1 245;97;120 765;-0.40%
05/03/2012;1 250;1 250;1 250;1 250;50;62 500;0.40%
06/03/2012;1 200;1 200;1 200;1 200;39;46 800;-4.00%
07/03/2012;1 250;1 250;1 250;1 250;30;37 500;4.17%
08/03/2012;1 199;1 199;1 199;1 199;31;37 169;-4.08%
09/03/2012;1 199;1 199;1 199;1 199;98;117 502;0.00%
