Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
27/12/2016;6 771;6 771;6 771;6 771;49;331 779;7.49%
28/12/2016;7 277;7 277;7 277;7 277;5 024;36 559 648;7.47%
29/12/2016;7 822;7 822;7 822;7 822;314;2 456 108;7.49%
30/12/2016;8 408;8 408;8 408;8 408;236;1 984 288;7.49%
02/01/2017;7 778;7 778;7 778;7 778;4 691;36 486 598;-7.49%
03/01/2017;8 361;8 361;8 361;8 361;2 913;24 355 593;7.50%
04/01/2017;8 398;8 398;8 398;8 398;1 397;11 732 006;0.44%
05/01/2017;8 789;8 789;8 789;8 789;2 344;20 601 416;4.66%
06/01/2017;9 375;9 375;9 375;9 375;2 448;22 950 000;6.67%
09/01/2017;9 180;9 180;9 180;9 180;2 321;21 306 780;-2.08%
10/01/2017;8 498;8 498;8 498;8 498;1 072;9 109 856;-7.43%
11/01/2017;9 063;9 063;9 063;9 063;1 476;13 376 988;6.65%
12/01/2017;8 789;8 789;8 789;8 789;801;7 039 989;-3.02%
13/01/2017;9 072;9 072;9 072;9 072;1 856;16 837 632;3.22%
16/01/2017;9 092;9 092;9 092;9 092;3 097;28 157 924;0.22%
17/01/2017;9 180;9 180;9 180;9 180;3 618;33 213 240;0.97%
18/01/2017;9 766;9 766;9 766;9 766;2 782;27 169 012;6.38%
19/01/2017;9 765;9 765;9 765;9 765;1 533;14 969 745;-0.01%
20/01/2017;9 570;9 570;9 570;9 570;718;6 871 260;-2.00%
23/01/2017;9 570;9 570;9 570;9 570;360;3 445 200;0.00%
24/01/2017;9 570;9 570;9 570;9 570;272;2 603 040;0.00%
25/01/2017;9 570;9 570;9 570;9 570;945;9 043 650;0.00%
26/01/2017;9 569;9 569;9 569;9 569;685;6 554 765;-0.01%
27/01/2017;9 668;9 668;9 668;9 668;2 865;27 698 820;1.03%
30/01/2017;9 570;9 570;9 570;9 570;437;4 182 090;-1.01%
31/01/2017;9 766;9 766;9 766;9 766;3 906;38 145 996;2.05%
01/02/2017;9 766;9 766;9 766;9 766;2 718;26 543 988;0.00%
02/02/2017;9 766;9 766;9 766;9 766;3 675;35 890 050;0.00%
03/02/2017;9 746;9 746;9 746;9 746;1 581;15 408 426;-0.20%
06/02/2017;9 766;9 766;9 766;9 766;1 553;15 166 598;0.21%
07/02/2017;9 764;9 764;9 764;9 764;2 190;21 383 160;-0.02%
08/02/2017;9 570;9 570;9 570;9 570;1 450;13 876 500;-1.99%
09/02/2017;9 668;9 668;9 668;9 668;2 668;25 794 224;1.02%
10/02/2017;9 766;9 766;9 766;9 766;3 300;32 227 800;1.01%
13/02/2017;9 570;9 570;9 570;9 570;281;2 689 170;-2.01%
14/02/2017;9 570;9 570;9 570;9 570;599;5 732 430;0.00%
15/02/2017;9 570;9 570;9 570;9 570;253;2 421 210;0.00%
16/02/2017;9 569;9 569;9 569;9 569;307;2 937 683;-0.01%
17/02/2017;9 570;9 570;9 570;9 570;1 153;11 034 210;0.01%
20/02/2017;9 570;9 570;9 570;9 570;2 111;20 202 270;0.00%
21/02/2017;8 984;8 984;8 984;8 984;795;7 142 280;-6.12%
22/02/2017;9 473;9 473;9 473;9 473;1 622;15 365 206;5.44%
23/02/2017;9 570;9 570;9 570;9 570;4 702;44 998 140;1.02%
24/02/2017;10 288;10 288;10 288;10 288;5 421;55 771 248;7.50%
27/02/2017;10 938;10 938;10 938;10 938;5 786;63 287 268;6.32%
28/02/2017;10 938;10 938;10 938;10 938;3 469;37 943 922;0.00%
