Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
13/01/2012;591;591;591;591;1 520;898 320;7.48%
22/02/2012;550;550;550;550;440;242 000;-6.94%
28/02/2012;550;550;550;550;200;110 000;0.00%
01/03/2012;550;550;550;550;80;44 000;0.00%
05/03/2012;550;550;550;550;440;242 000;0.00%
12/03/2012;550;550;550;550;120;66 000;0.00%
20/03/2012;550;550;550;550;280;154 000;0.00%
29/03/2012;550;550;550;550;80;44 000;0.00%
18/05/2012;550;550;550;550;240;132 030;0.00%
23/05/2012;550;550;550;550;160;88 020;0.00%
24/05/2012;550;550;550;550;1 640;902 410;0.02%
04/06/2012;550;550;550;550;1 000;550 250;0.00%
15/06/2012;550;550;550;550;600;330 150;0.00%
21/06/2012;550;550;550;550;200;110 050;0.00%
28/06/2012;550;550;550;550;200;110 050;0.00%
10/07/2012;550;550;550;550;720;396 180;0.00%
18/07/2012;550;550;550;550;1 000;550 375;0.02%
31/07/2012;592;592;592;592;840;496 965;7.49%
01/08/2012;592;592;592;592;360;212 985;0.00%
09/08/2012;592;592;592;592;400;236 650;0.00%
21/08/2012;592;592;592;592;240;141 990;0.00%
06/09/2012;592;592;592;592;120;70 995;0.00%
17/09/2012;592;592;592;592;1 320;780 945;0.00%
25/09/2012;575;575;575;575;1 000;575 000;-2.81%
23/10/2012;550;550;550;550;400;220 000;0.46%
25/10/2012;550;550;550;550;1 040;572 000;0.00%
31/10/2012;550;550;550;550;600;330 000;0.00%
06/11/2012;550;550;550;550;1 280;704 000;0.00%
08/11/2012;550;550;550;550;480;264 000;0.00%
13/11/2012;525;525;525;525;1 400;735 000;-4.55%
14/11/2012;525;525;525;525;800;420 000;0.00%
16/11/2012;525;525;525;525;1 200;630 000;0.00%
20/11/2012;500;500;500;500;2 160;1 080 000;-4.76%
28/11/2012;500;500;500;500;1 120;560 140;0.03%
12/12/2012;500;500;500;500;960;480 120;0.00%
14/12/2012;500;500;500;500;400;200 050;0.00%
20/12/2012;538;538;538;538;800;430 000;7.47%
24/12/2012;550;550;550;550;4 000;2 200 000;2.33%
04/01/2013;591;591;591;591;160;94 600;0.00%
22/01/2013;550;550;550;550;2 000;1 100 000;-6.98%
23/01/2013;550;550;550;550;1 000;550 000;0.00%
01/02/2013;575;575;575;575;800;460 000;4.55%
06/02/2013;575;575;575;575;200;115 000;0.00%
21/02/2013;575;575;575;575;200;115 000;0.00%
25/02/2013;575;575;575;575;800;460 000;0.00%
18/03/2013;618;618;618;618;1 000;618 125;7.50%
09/04/2013;664;664;664;664;1 600;1 063 000;7.48%
10/04/2013;705;705;705;705;400;282 000;6.11%
15/04/2013;705;705;705;705;80;56 400;0.00%
16/04/2013;750;750;750;750;600;450 000;6.38%
23/04/2013;750;750;750;750;400;300 000;0.00%
02/05/2013;750;750;750;750;280;210 000;0.00%
07/05/2013;750;750;750;750;800;600 000;0.00%
17/05/2013;806;806;806;806;400;322 500;7.50%
22/05/2013;806;806;806;806;1 320;1 064 250;0.00%
28/05/2013;805;805;805;805;1 000;805 000;-0.16%
31/05/2013;745;745;745;745;960;714 840;-7.50%
04/06/2013;745;745;745;745;160;119 140;0.00%
05/06/2013;700;700;700;700;1 120;784 000;-5.99%
06/06/2013;700;700;700;700;1 760;1 232 000;0.00%
24/07/2013;700;700;700;700;40;28 000;0.00%
14/08/2013;700;700;700;700;40;28 000;0.00%
03/09/2013;700;700;700;700;160;112 000;0.00%
04/09/2013;700;700;700;700;240;168 000;0.00%
09/09/2013;700;700;700;700;200;140 000;0.00%
20/09/2013;700;700;700;700;400;280 000;0.00%
14/10/2013;700;700;700;700;200;140 000;0.00%
16/10/2013;700;700;700;700;1 200;840 000;0.00%
17/10/2013;700;700;700;700;200;140 000;0.00%
21/10/2013;700;700;700;700;200;140 000;0.00%
30/10/2013;753;753;753;753;2 600;1 956 500;7.50%
13/11/2013;775;775;775;775;160;124 000;2.99%
18/11/2013;813;813;813;813;200;162 500;4.84%
20/11/2013;753;753;753;753;560;421 400;-7.38%
21/11/2013;696;696;696;696;1 480;1 030 450;-7.48%
22/11/2013;748;748;748;748;400;299 350;7.49%
25/11/2013;804;804;804;804;760;611 325;7.48%
02/12/2013;865;865;865;865;240;207 510;7.49%
09/12/2013;929;929;929;929;200;185 875;7.49%
12/12/2013;999;999;999;999;6 800;6 791 500;7.46%
17/12/2013;1 000;1 000;1 000;1 000;40;40 000;0.13%
20/12/2013;1 013;1 013;1 013;1 013;3 240;3 280 500;1.25%
24/01/2014;937;937;937;937;80;74 940;-7.48%
13/02/2014;925;925;925;925;400;370 000;-1.25%
19/02/2014;925;925;925;925;4 000;3 700 000;0.00%
20/02/2014;925;925;925;925;160;148 000;0.00%
26/02/2014;925;925;925;925;560;518 000;0.00%
07/04/2014;923;923;923;923;40;36 900;-0.26%
28/04/2014;900;900;900;900;400;360 000;-2.44%
29/04/2014;900;900;900;900;40;36 000;0.00%
21/05/2014;838;838;838;838;840;703 500;-6.94%
27/05/2014;775;775;775;775;2 000;1 550 250;-7.45%
02/06/2014;775;775;775;775;1 640;1 271 205;0.00%
03/06/2014;775;775;775;775;2 800;2 170 350;0.00%
04/06/2014;775;775;775;775;1 480;1 147 185;0.00%
05/06/2014;775;775;775;775;360;279 045;0.00%
01/07/2014;775;775;775;775;80;62 010;0.00%
08/07/2014;775;775;775;775;640;496 080;0.00%
10/07/2014;775;775;775;775;40;31 005;0.00%
21/07/2014;717;717;717;717;3 200;2 294 400;-7.50%
23/07/2014;718;718;718;718;6 800;4 879 000;0.07%
25/07/2014;718;718;718;718;2 280;1 635 900;0.00%
01/08/2014;718;718;718;718;1 680;1 205 400;0.00%
04/08/2014;718;718;718;718;520;373 100;0.00%
05/08/2014;713;713;713;713;120;85 500;-0.70%
06/08/2014;660;660;660;660;7 400;4 880 300;-7.44%
11/08/2014;660;660;660;660;5 800;3 826 550;0.04%
12/08/2014;659;659;659;659;3 800;2 505 150;-0.08%
13/08/2014;659;659;659;659;3 040;2 004 120;0.00%
14/08/2014;659;659;659;659;480;316 380;-0.02%
18/08/2014;659;659;659;659;800;527 300;0.00%
21/08/2014;659;659;659;659;4 400;2 900 150;0.00%
25/08/2014;659;659;659;659;3 600;2 372 850;0.00%
26/08/2014;659;659;659;659;400;263 700;0.02%
29/08/2014;660;660;660;660;1 600;1 056 000;0.11%
03/09/2014;660;660;660;660;400;264 050;0.02%
09/09/2014;660;660;660;660;840;554 505;0.00%
22/09/2014;660;660;660;660;1 200;792 150;-6.70%
24/09/2014;661;661;661;661;600;396 750;0.17%
26/09/2014;661;661;661;661;400;264 500;0.00%
30/09/2014;660;660;660;660;1 520;1 003 200;-0.19%
01/10/2014;660;660;660;660;80;52 800;0.00%
06/10/2014;660;660;660;660;40;26 400;0.00%
07/10/2014;611;611;611;611;960;586 080;-7.50%
15/10/2014;611;611;611;611;200;122 100;0.00%
17/10/2014;600;600;600;600;800;480 000;-1.72%
20/10/2014;600;600;600;600;480;288 000;0.00%
22/10/2014;600;600;600;600;40;24 000;0.00%
27/10/2014;600;600;600;600;80;48 000;0.00%
28/10/2014;588;588;588;588;1 560;917 280;-2.00%
03/11/2014;588;588;588;588;3 200;1 881 600;0.00%
06/11/2014;588;588;588;588;360;211 680;0.00%
19/11/2014;585;585;585;585;400;234 000;-0.51%
21/11/2014;575;575;575;575;800;460 200;-1.67%
26/11/2014;575;575;575;575;1 600;920 000;-0.04%
01/12/2014;575;575;575;575;80;46 000;0.00%
05/12/2014;575;575;575;575;480;276 000;0.00%
08/12/2014;575;575;575;575;120;69 030;0.04%
15/12/2014;575;575;575;575;200;115 050;0.00%
29/12/2014;575;575;575;575;120;69 030;0.00%
13/01/2015;575;575;575;575;40;23 010;0.00%
