Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
13/12/2017;4 622;4 622;4 622;4 622;6 063;28 023 186;7.49%
14/12/2017;4 890;4 890;4 890;4 890;5 854;28 626 060;5.80%
15/12/2017;5 199;5 199;5 199;5 199;18 446;95 900 754;6.32%
18/12/2017;5 588;5 588;5 588;5 588;33 219;185 627 772;7.48%
19/12/2017;6 000;6 000;6 000;6 000;11 940;71 640 000;7.37%
20/12/2017;6 300;6 300;6 300;6 300;70 025;441 157 500;5.00%
21/12/2017;6 379;6 379;6 379;6 379;19 615;125 124 085;1.25%
22/12/2017;6 000;6 000;6 000;6 000;25 825;154 950 000;-5.94%
26/12/2017;5 999;5 999;5 999;5 999;47 667;285 954 333;-0.02%
27/12/2017;5 600;5 600;5 600;5 600;38 784;217 190 400;-6.65%
28/12/2017;5 600;5 600;5 600;5 600;36 368;203 660 800;0.00%
29/12/2017;5 936;5 936;5 936;5 936;39 685;235 570 160;6.00%
02/01/2018;5 700;5 700;5 700;5 700;235;1 339 500;-3.98%
03/01/2018;5 499;5 499;5 499;5 499;121;665 379;-3.53%
04/01/2018;5 100;5 100;5 100;5 100;136;693 600;-7.26%
05/01/2018;5 098;5 098;5 098;5 098;1 961;9 997 178;-0.04%
08/01/2018;4 716;4 716;4 716;4 716;4 016;18 939 456;-7.49%
09/01/2018;4 622;4 622;4 622;4 622;949;4 386 278;-1.99%
10/01/2018;4 622;4 622;4 622;4 622;1 589;7 344 358;0.00%
11/01/2018;4 622;4 622;4 622;4 622;557;2 574 454;0.00%
12/01/2018;4 622;4 622;4 622;4 622;1 882;8 698 604;0.00%
15/01/2018;4 620;4 620;4 620;4 620;615;2 841 300;-0.04%
16/01/2018;4 600;4 600;4 600;4 600;891;4 098 600;-0.43%
17/01/2018;4 945;4 945;4 945;4 945;1 346;6 655 970;7.50%
18/01/2018;4 800;4 800;4 800;4 800;127;609 600;-2.93%
19/01/2018;4 704;4 704;4 704;4 704;609;2 864 736;-2.00%
22/01/2018;4 780;4 780;4 780;4 780;1 045;4 995 100;1.62%
23/01/2018;4 685;4 685;4 685;4 685;291;1 363 335;-1.99%
24/01/2018;4 800;4 800;4 800;4 800;157;753 600;2.45%
25/01/2018;5 000;5 000;5 000;5 000;4 655;23 275 000;4.17%
26/01/2018;4 820;4 820;4 820;4 820;1 488;7 172 160;-3.60%
29/01/2018;4 798;4 798;4 798;4 798;549;2 634 102;-0.46%
30/01/2018;4 760;4 760;4 760;4 760;463;2 203 880;-0.79%
31/01/2018;4 799;4 799;4 799;4 799;599;2 874 601;0.82%
01/02/2018;4 800;4 800;4 800;4 800;2 767;13 281 600;0.02%
02/02/2018;4 800;4 800;4 800;4 800;64;307 200;0.00%
05/02/2018;4 800;4 800;4 800;4 800;1 590;7 632 000;0.00%
06/02/2018;4 760;4 760;4 760;4 760;1 790;8 520 400;-0.83%
07/02/2018;4 799;4 799;4 799;4 799;2 230;10 701 770;0.82%
08/02/2018;4 740;4 740;4 740;4 740;4 740;22 467 600;-1.23%
09/02/2018;4 741;4 741;4 741;4 741;1 570;7 443 370;0.02%
12/02/2018;4 760;4 760;4 760;4 760;3 660;17 421 600;0.40%
13/02/2018;4 720;4 720;4 720;4 720;1 550;7 316 000;-0.84%
14/02/2018;4 980;4 980;4 980;4 980;4 160;20 716 800;5.51%
15/02/2018;5 000;5 000;5 000;5 000;1 110;5 550 000;0.40%
16/02/2018;5 197;5 197;5 197;5 197;16 440;85 438 680;3.94%
19/02/2018;5 100;5 100;5 100;5 100;170;867 000;-1.87%
20/02/2018;5 100;5 100;5 100;5 100;985 110;5 024 061 000;0.00%
21/02/2018;5 001;5 001;5 001;5 001;310;1 550 310;-1.94%
22/02/2018;4 800;4 800;4 800;4 800;6 230;29 904 000;-4.02%
23/02/2018;4 896;4 896;4 896;4 896;2 030;9 938 880;2.00%
26/02/2018;4 820;4 820;4 820;4 820;750;3 615 000;-1.55%
27/02/2018;4 900;4 900;4 900;4 900;3 160;15 484 000;1.66%
01/03/2018;5 000;5 000;5 000;5 000;390;1 950 000;0.00%
02/03/2018;4 998;4 998;4 998;4 998;2 700;13 494 600;-0.04%
05/03/2018;4 900;4 900;4 900;4 900;2 630;12 887 000;-1.96%
06/03/2018;5 000;5 000;5 000;5 000;5 070;25 350 000;2.04%
07/03/2018;5 200;5 200;5 200;5 200;11 020;57 304 000;4.00%
08/03/2018;4 810;4 810;4 810;4 810;1 010;4 858 100;-7.50%
09/03/2018;5 000;5 000;5 000;5 000;2 760;13 800 000;3.95%
12/03/2018;4 999;4 999;4 999;4 999;600;2 999 400;-0.02%
13/03/2018;4 999;4 999;4 999;4 999;7 530;37 642 470;0.00%
14/03/2018;5 180;5 180;5 180;5 180;11 550;59 829 000;3.62%
15/03/2018;5 000;5 000;5 000;5 000;500;2 500 000;-3.47%
16/03/2018;5 000;5 000;5 000;5 000;7 090;35 450 000;0.00%
19/03/2018;4 999;4 999;4 999;4 999;600;2 999 400;-0.02%
20/03/2018;5 099;5 099;5 099;5 099;3 170;16 163 830;2.00%
21/03/2018;5 030;5 030;5 030;5 030;2 500;12 575 000;-1.35%
22/03/2018;5 019;5 019;5 019;5 019;1 620;8 130 780;-0.22%
23/03/2018;5 001;5 001;5 001;5 001;1 950;9 751 950;-0.36%
26/03/2018;5 099;5 099;5 099;5 099;790;4 028 210;1.96%
27/03/2018;5 139;5 139;5 139;5 139;5 410;27 801 990;0.78%
28/03/2018;5 470;5 470;5 470;5 470;7 120;38 946 400;6.44%
29/03/2018;5 400;5 400;5 400;5 400;4 710;25 434 000;-1.28%
30/03/2018;5 499;5 499;5 499;5 499;8 030;44 156 970;1.83%
03/04/2018;5 342;5 342;5 342;5 342;2 020;10 790 840;-2.86%
04/04/2018;5 398;5 398;5 398;5 398;5 840;31 524 320;1.05%
05/04/2018;5 278;5 278;5 278;5 278;6 970;36 787 660;-2.22%
06/04/2018;5 260;5 260;5 260;5 260;790;4 155 400;-0.34%
09/04/2018;5 278;5 278;5 278;5 278;1 610;8 497 580;0.34%
10/04/2018;5 300;5 300;5 300;5 300;3 490;18 497 000;0.42%
11/04/2018;5 300;5 300;5 300;5 300;1 700;9 010 000;0.00%
12/04/2018;5 140;5 140;5 140;5 140;2 620;13 466 800;-3.02%
13/04/2018;5 100;5 100;5 100;5 100;213 900;1 090 890 000;-0.78%
16/04/2018;5 199;5 199;5 199;5 199;1 830;9 514 170;1.94%
17/04/2018;5 200;5 200;5 200;5 200;1 980;10 296 000;0.02%
18/04/2018;5 198;5 198;5 198;5 198;1 180;6 133 640;-0.04%
19/04/2018;5 000;5 000;5 000;5 000;1 230;6 150 000;-3.81%
20/04/2018;5 000;5 000;5 000;5 000;1 240;6 200 000;0.00%
23/04/2018;5 090;5 090;5 090;5 090;5 350;27 231 500;1.80%
24/04/2018;5 090;5 090;5 090;5 090;2 220;11 299 800;0.00%
25/04/2018;5 160;5 160;5 160;5 160;2 210;11 403 600;1.38%
26/04/2018;5 100;5 100;5 100;5 100;7 300;37 230 000;-1.16%
27/04/2018;5 100;5 100;5 100;5 100;7 550;38 505 000;0.00%
30/04/2018;5 102;5 102;5 102;5 102;40;204 080;0.04%
02/05/2018;5 198;5 198;5 198;5 198;1 190;6 185 620;1.88%
03/05/2018;5 080;5 080;5 080;5 080;3 260;16 560 800;-2.27%
04/05/2018;5 000;5 000;5 000;5 000;3 680;18 400 000;-1.57%
07/05/2018;4 999;4 999;4 999;4 999;4 050;20 245 950;-0.02%
08/05/2018;5 000;5 000;5 000;5 000;2 530;12 650 000;0.02%
09/05/2018;4 800;4 800;4 800;4 800;1 950;9 360 000;-4.00%
11/05/2018;4 610;4 610;4 610;4 610;2 750;12 677 500;-3.96%
14/05/2018;4 779;4 779;4 779;4 779;6 600;31 541 400;3.67%
15/05/2018;4 999;4 999;4 999;4 999;440;2 199 560;4.60%
16/05/2018;4 977;4 977;4 977;4 977;450;2 239 650;-0.44%
17/05/2018;4 640;4 640;4 640;4 640;5 050;23 432 000;-6.77%
18/05/2018;4 800;4 800;4 800;4 800;2 180;10 464 000;3.45%
22/05/2018;4 960;4 960;4 960;4 960;650;3 224 000;3.33%
23/05/2018;5 000;5 000;5 000;5 000;3 100;15 500 000;0.81%
24/05/2018;4 960;4 960;4 960;4 960;1 020;5 059 200;-0.80%
25/05/2018;4 920;4 920;4 920;4 920;600;2 952 000;-0.81%
28/05/2018;4 940;4 940;4 940;4 940;1 930;9 534 200;0.41%
30/05/2018;5 000;5 000;5 000;5 000;1 100;5 500 000;0.04%
31/05/2018;4 999;4 999;4 999;4 999;330;1 649 670;-0.02%
01/06/2018;5 000;5 000;5 000;5 000;11 030;55 150 000;0.02%
04/06/2018;4 920;4 920;4 920;4 920;3 640;17 908 800;-1.60%
05/06/2018;4 999;4 999;4 999;4 999;5 500;27 494 500;1.61%
06/06/2018;4 999;4 999;4 999;4 999;3 340;16 696 660;0.00%
07/06/2018;4 998;4 998;4 998;4 998;780;3 898 440;-0.02%
08/06/2018;4 999;4 999;4 999;4 999;9 070;45 340 930;0.02%
12/06/2018;5 097;5 097;5 097;5 097;1 130;5 759 610;1.96%
13/06/2018;5 099;5 099;5 099;5 099;390;1 988 610;0.04%
15/06/2018;5 160;5 160;5 160;5 160;5 700;29 412 000;1.20%
18/06/2018;5 011;5 011;5 011;5 011;8 200;41 090 200;-2.89%
19/06/2018;5 200;5 200;5 200;5 200;80;416 000;3.77%
20/06/2018;4 897;4 897;4 897;4 897;420;2 056 740;-5.83%
21/06/2018;4 630;4 630;4 630;4 630;1 710;7 917 300;-5.45%
22/06/2018;4 632;4 632;4 632;4 632;200;926 400;0.04%
25/06/2018;4 641;4 641;4 641;4 641;690;3 202 290;0.19%
26/06/2018;4 680;4 680;4 680;4 680;3 150;14 742 000;0.84%
27/06/2018;4 879;4 879;4 879;4 879;3 540;17 271 660;4.25%
28/06/2018;4 860;4 860;4 860;4 860;650;3 159 000;-0.39%
29/06/2018;4 860;4 860;4 860;4 860;3 200;15 552 000;0.00%
02/07/2018;4 800;4 800;4 800;4 800;40;192 000;-1.23%
03/07/2018;4 859;4 859;4 859;4 859;3 310;16 083 290;1.23%
04/07/2018;4 840;4 840;4 840;4 840;1 560;7 550 400;-0.39%
