Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
14/07/2014;48;48;48;48;244 880;11 754 240;2.13%
15/07/2014;48;48;48;48;109 500;5 256 000;0.00%
16/07/2014;48;48;48;48;162 211;7 786 128;0.00%
17/07/2014;49;49;49;49;21 084;1 033 116;2.08%
18/07/2014;48;48;48;48;62 458;2 997 984;-2.04%
21/07/2014;48;48;48;48;170 615;8 189 520;0.00%
22/07/2014;48;48;48;48;127 910;6 139 680;0.00%
23/07/2014;49;49;49;49;159 421;7 811 629;2.08%
25/07/2014;48;48;48;48;264 416;12 691 968;-2.04%
29/07/2014;48;48;48;48;12 762;612 576;0.00%
30/07/2014;48;48;48;48;59 598;2 860 704;0.00%
31/07/2014;48;48;48;48;245 006;11 760 288;0.00%
01/08/2014;48;48;48;48;149 485;7 175 280;0.00%
04/08/2014;49;49;49;49;10 046 586;492 282 714;2.08%
05/08/2014;48;48;48;48;44 763;2 148 624;-2.04%
06/08/2014;49;49;49;49;199 432;9 772 168;2.08%
07/08/2014;49;49;49;49;199 432;9 772 168;0.00%
08/08/2014;49;49;49;49;2 876 749;140 960 701;0.00%
11/08/2014;50;50;50;50;7 293 820;364 691 000;2.04%
12/08/2014;51;51;51;51;141 648;7 224 048;2.00%
13/08/2014;50;50;50;50;126 383;6 319 150;-1.96%
14/08/2014;49;49;49;49;230 985;11 318 265;-2.00%
18/08/2014;49;49;49;49;356 232;17 455 368;0.00%
19/08/2014;49;49;49;49;266 037;13 035 813;0.00%
20/08/2014;49;49;49;49;58 832;2 882 768;0.00%
21/08/2014;50;50;50;50;15 843;792 150;2.04%
22/08/2014;50;50;50;50;11 388;569 400;0.00%
25/08/2014;50;50;50;50;1 060;53 000;0.00%
26/08/2014;50;50;50;50;65 748;3 287 400;0.00%
27/08/2014;49;49;49;49;453 831;22 237 719;-2.00%
28/08/2014;50;50;50;50;5 256;262 800;2.04%
29/08/2014;50;50;50;50;425 312;21 265 600;0.00%
01/09/2014;50;50;50;50;3 640;182 000;0.00%
02/09/2014;50;50;50;50;266 586;13 329 300;0.00%
03/09/2014;50;50;50;50;141 818;7 090 900;0.00%
04/09/2014;51;51;51;51;108 297;5 523 147;2.00%
05/09/2014;51;51;51;51;84 031;4 285 581;0.00%
08/09/2014;53;53;53;53;79 392;4 207 776;3.92%
09/09/2014;53;53;53;53;14 044;744 332;0.00%
10/09/2014;52;52;52;52;36 995;1 923 740;-1.89%
11/09/2014;53;53;53;53;147 405;7 812 465;1.92%
12/09/2014;52;52;52;52;735 077;38 224 004;-1.89%
15/09/2014;55;55;55;55;27 838;1 531 090;5.77%
16/09/2014;59;59;59;59;124 383;7 338 597;7.27%
18/09/2014;63;63;63;63;499 567;31 472 721;3.28%
19/09/2014;64;64;64;64;674 668;43 178 752;1.59%
22/09/2014;64;64;64;64;3 086 205;197 517 120;0.00%
23/09/2014;63;63;63;63;724 250;45 627 750;-1.56%
24/09/2014;63;63;63;63;1 321 191;83 235 033;0.00%
25/09/2014;63;63;63;63;2 247 093;141 566 859;0.00%
26/09/2014;63;63;63;63;234 532;14 775 516;0.00%
29/09/2014;62;62;62;62;110 309;6 839 158;-1.59%
30/09/2014;62;62;62;62;422 069;26 168 278;0.00%
01/10/2014;63;63;63;63;156 675;9 870 525;1.61%
02/10/2014;62;62;62;62;578 446;35 863 652;-1.59%
03/10/2014;60;60;60;60;403 391;24 203 460;-3.23%
06/10/2014;62;62;62;62;6 300;390 600;3.33%
07/10/2014;61;61;61;61;59 581;3 634 441;-1.61%
08/10/2014;60;60;60;60;13 061;783 660;-1.64%
09/10/2014;60;60;60;60;214 896;12 893 760;0.00%
10/10/2014;59;59;59;59;674 730;39 809 070;-1.67%
13/10/2014;57;57;57;57;14 301;815 157;-3.39%
14/10/2014;60;60;60;60;16 429;985 740;5.26%
15/10/2014;57;57;57;57;72 000;4 104 000;-5.00%
16/10/2014;57;57;57;57;5 814;331 398;0.00%
17/10/2014;56;56;56;56;295 062;16 523 472;-1.75%
20/10/2014;53;53;53;53;81 147;4 300 791;-5.36%
21/10/2014;52;52;52;52;224 611;11 679 772;-1.89%
22/10/2014;52;52;52;52;36 943;1 921 036;0.00%
23/10/2014;53;53;53;53;478 354;25 352 762;1.92%
24/10/2014;52;52;52;52;232 591;12 094 732;-1.89%
27/10/2014;53;53;53;53;785 070;41 608 710;1.92%
28/10/2014;52;52;52;52;27 320;1 420 640;-1.89%
29/10/2014;53;53;53;53;455 282;24 129 946;1.92%
30/10/2014;53;53;53;53;549 855;29 142 315;0.00%
31/10/2014;54;54;54;54;32 000;1 728 000;1.89%
03/11/2014;54;54;54;54;79 124;4 272 696;0.00%
04/11/2014;54;54;54;54;442 595;23 900 130;0.00%
05/11/2014;54;54;54;54;58 484;3 158 136;0.00%
06/11/2014;55;55;55;55;936 527;51 508 985;1.85%
07/11/2014;54;54;54;54;24 160;1 304 640;-1.82%
10/11/2014;54;54;54;54;15 862;856 548;0.00%
11/11/2014;52;52;52;52;160 736;8 358 272;-3.70%
12/11/2014;53;53;53;53;304 635;16 145 655;1.92%
13/11/2014;53;53;53;53;304 635;16 145 655;0.00%
14/11/2014;53;53;53;53;34 641;1 835 973;0.00%
17/11/2014;53;53;53;53;2 540;134 620;0.00%
18/11/2014;52;52;52;52;59 220;3 079 440;-1.89%
19/11/2014;53;53;53;53;87 673;4 646 669;1.92%
20/11/2014;52;52;52;52;44 958;2 337 816;-1.89%
21/11/2014;52;52;52;52;64 960;3 377 920;0.00%
24/11/2014;51;51;51;51;55 863;2 849 013;-1.92%
25/11/2014;53;53;53;53;450 305;23 866 165;3.92%
26/11/2014;51;51;51;51;46 526;2 372 826;-3.77%
27/11/2014;52;52;52;52;8 552;444 704;1.96%
28/11/2014;52;52;52;52;189 000;9 828 000;0.00%
01/12/2014;52;52;52;52;336 531;17 499 612;0.00%
02/12/2014;51;51;51;51;611 286;31 175 586;-1.92%
03/12/2014;51;51;51;51;73 538;3 750 438;0.00%
04/12/2014;49;49;49;49;1 052 908;51 592 492;-3.92%
08/12/2014;48;48;48;48;138 530;6 649 440;-2.04%
09/12/2014;50;50;50;50;580 204;29 010 200;4.17%
10/12/2014;49;49;49;49;1 593 966;78 104 334;-2.00%
11/12/2014;49;49;49;49;1 409 135;69 047 615;0.00%
12/12/2014;50;50;50;50;355 482;17 774 100;2.04%
15/12/2014;50;50;50;50;65 590;3 279 500;0.00%
17/12/2014;50;50;50;50;416 592;20 829 600;0.00%
18/12/2014;49;49;49;49;201 217;9 859 633;-2.00%
19/12/2014;49;49;49;49;39 150;1 918 350;0.00%
22/12/2014;48;48;48;48;566 300;27 182 400;-2.04%
