Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
04/01/2012;675;675;675;675;450;303 750;0.00%
05/01/2012;675;675;675;675;549;370 575;0.00%
06/01/2012;675;675;675;675;140;94 500;0.00%
09/01/2012;675;675;675;675;40;27 000;0.00%
10/01/2012;663;663;663;663;40;26 520;-1.78%
11/01/2012;675;675;675;675;50;33 750;1.81%
12/01/2012;675;675;675;675;84;56 700;0.00%
17/01/2012;675;675;675;675;189;127 575;0.00%
19/01/2012;663;663;663;663;35;23 205;-1.78%
20/01/2012;663;663;663;663;100;66 300;0.00%
25/01/2012;675;675;675;675;250;168 750;1.81%
26/01/2012;663;663;663;663;40;26 520;-1.78%
27/01/2012;675;675;675;675;84;56 700;1.81%
30/01/2012;675;675;675;675;70;47 250;0.00%
01/02/2012;675;675;675;675;155;104 625;0.00%
02/02/2012;663;663;663;663;99;65 637;-1.78%
03/02/2012;663;663;663;663;70;46 410;0.00%
07/02/2012;663;663;663;663;20;13 260;0.00%
09/02/2012;663;663;663;663;10;6 630;0.00%
14/02/2012;663;663;663;663;2;1 326;0.00%
15/02/2012;663;663;663;663;263;174 369;0.00%
16/02/2012;663;663;663;663;92;60 996;0.00%
17/02/2012;663;663;663;663;38;25 194;0.00%
20/02/2012;663;663;663;663;20;13 260;0.00%
21/02/2012;663;663;663;663;360;238 680;0.00%
22/02/2012;625;625;625;625;55;34 375;-5.73%
24/02/2012;625;625;625;625;200;125 000;0.00%
27/02/2012;633;633;633;633;168;106 344;1.28%
29/02/2012;650;650;650;650;50;32 500;2.69%
01/03/2012;663;663;663;663;235;155 805;2.00%
02/03/2012;663;663;663;663;32;21 216;0.00%
05/03/2012;651;651;651;651;200;130 200;-1.81%
07/03/2012;650;650;650;650;30;19 500;-0.15%
08/03/2012;663;663;663;663;30;19 890;2.00%
09/03/2012;663;663;663;663;311;206 193;0.00%
12/03/2012;663;663;663;663;243;161 109;0.00%
13/03/2012;663;663;663;663;95;62 985;0.00%
14/03/2012;663;663;663;663;261;173 043;0.00%
15/03/2012;650;650;650;650;200;130 000;-1.96%
16/03/2012;650;650;650;650;24;15 600;0.00%
19/03/2012;663;663;663;663;1 529;1 013 727;2.00%
20/03/2012;650;650;650;650;100;65 000;-1.96%
21/03/2012;650;650;650;650;150;97 500;0.00%
22/03/2012;663;663;663;663;424;281 112;2.00%
23/03/2012;663;663;663;663;60;39 780;0.00%
26/03/2012;663;663;663;663;1 135;752 505;0.00%
27/03/2012;663;663;663;663;473;313 599;0.00%
28/03/2012;675;675;675;675;18;12 150;1.81%
29/03/2012;688;688;688;688;50;34 400;1.93%
10/04/2012;869;869;869;869;54;46 926;24.14%
11/04/2012;869;869;869;869;1 465;1 273 085;0.00%
12/04/2012;870;870;870;870;200;174 000;0.12%
13/04/2012;870;870;870;870;200;174 000;0.00%
16/04/2012;871;871;871;871;160;139 360;0.11%
17/04/2012;871;871;871;871;3;2 613;0.00%
20/04/2012;850;850;850;850;90;76 500;-2.41%
23/04/2012;800;800;800;800;450;360 000;-5.88%
24/04/2012;800;800;800;800;50;40 000;0.00%
26/04/2012;775;775;775;775;66;51 150;-3.13%
27/04/2012;750;750;750;750;166;124 500;-3.23%
30/04/2012;775;775;775;775;200;155 000;3.33%
02/05/2012;775;775;775;775;22;17 050;0.00%
03/05/2012;775;775;775;775;20;15 500;0.00%
04/05/2012;725;725;725;725;24;17 400;-6.45%
07/05/2012;675;675;675;675;37;24 975;-6.90%
08/05/2012;700;700;700;700;47;32 900;3.70%
09/05/2012;700;700;700;700;4;2 800;0.00%
10/05/2012;750;750;750;750;540;405 000;7.14%
11/05/2012;750;750;750;750;146;109 500;0.00%
14/05/2012;750;750;750;750;20;15 000;0.00%
15/05/2012;750;750;750;750;15;11 250;0.00%
16/05/2012;750;750;750;750;24;18 000;0.00%
18/05/2012;750;750;750;750;314;235 500;0.00%
21/05/2012;738;738;738;738;450;332 100;-1.60%
22/05/2012;725;725;725;725;80;58 000;-1.76%
23/05/2012;725;725;725;725;114;82 650;0.00%
24/05/2012;725;725;725;725;8;5 800;0.00%
25/05/2012;725;725;725;725;23;16 675;0.00%
29/05/2012;725;725;725;725;131;94 975;0.00%
30/05/2012;725;725;725;725;44;31 900;0.00%
04/06/2012;701;701;701;701;66;46 266;-3.31%
05/06/2012;701;701;701;701;54;37 854;0.00%
08/06/2012;750;750;750;750;60;45 000;6.99%
11/06/2012;700;700;700;700;76;53 200;-6.67%
12/06/2012;700;700;700;700;131;91 700;0.00%
13/06/2012;700;700;700;700;68;47 600;0.00%
14/06/2012;750;750;750;750;20;15 000;7.14%
15/06/2012;750;750;750;750;550;412 500;0.00%
18/06/2012;694;694;694;694;150;104 100;-7.47%
20/06/2012;700;700;700;700;23;16 100;0.86%
21/06/2012;750;750;750;750;1 370;1 027 500;7.14%
22/06/2012;750;750;750;750;1 993;1 494 750;0.00%
25/06/2012;750;750;750;750;1 658;1 243 500;0.00%
26/06/2012;750;750;750;750;1 413;1 059 750;0.00%
27/06/2012;750;750;750;750;2 355;1 766 250;0.00%
28/06/2012;775;775;775;775;38;29 450;3.33%
02/07/2012;800;800;800;800;1 198;958 400;3.23%
03/07/2012;860;860;860;860;120;103 200;7.50%
05/07/2012;875;875;875;875;530;463 750;1.74%
06/07/2012;925;925;925;925;192;177 600;5.71%
09/07/2012;975;975;975;975;212;206 700;5.41%
10/07/2012;1 000;1 000;1 000;1 000;276;276 000;2.56%
11/07/2012;1 075;1 075;1 075;1 075;1 047;1 125 525;7.50%
12/07/2012;1 155;1 155;1 155;1 155;20;23 100;7.44%
13/07/2012;1 225;1 225;1 225;1 225;1 644;2 013 900;6.06%
16/07/2012;1 250;1 250;1 250;1 250;1 502;1 877 500;2.04%
17/07/2012;1 253;1 253;1 253;1 253;3 166;3 966 998;0.24%
18/07/2012;1 200;1 200;1 200;1 200;189;226 800;-4.23%
19/07/2012;1 120;1 120;1 120;1 120;17;19 040;-6.67%
20/07/2012;1 075;1 075;1 075;1 075;14;15 050;-4.02%
23/07/2012;995;995;995;995;61;60 695;-7.44%
24/07/2012;995;995;995;995;1 026;1 020 870;0.00%
25/07/2012;995;995;995;995;55;54 725;0.00%
27/07/2012;995;995;995;995;21;20 895;0.00%
30/07/2012;995;995;995;995;3;2 985;0.00%
31/07/2012;995;995;995;995;11;10 945;0.00%
01/08/2012;995;995;995;995;164;163 180;0.00%
02/08/2012;995;995;995;995;53;52 735;0.00%
03/08/2012;995;995;995;995;68;67 660;0.00%
09/08/2012;925;925;925;925;470;434 750;-7.04%
13/08/2012;875;875;875;875;1 862;1 629 250;-5.41%
14/08/2012;875;875;875;875;239;209 125;0.00%
16/08/2012;826;826;826;826;73;60 298;-5.60%
17/08/2012;813;813;813;813;525;426 825;-1.57%
21/08/2012;813;813;813;813;119;96 747;0.00%
22/08/2012;815;815;815;815;20;16 300;0.25%
28/08/2012;818;818;818;818;23;18 814;0.37%
03/09/2012;800;800;800;800;1 504;1 203 200;-2.20%
04/09/2012;825;825;825;825;30;24 750;3.13%
05/09/2012;825;825;825;825;10;8 250;0.00%
07/09/2012;826;826;826;826;40;33 040;0.12%
10/09/2012;875;875;875;875;50;43 750;5.93%
11/09/2012;900;900;900;900;22;19 800;2.86%
12/09/2012;900;900;900;900;120;108 000;0.00%
14/09/2012;901;901;901;901;500;450 500;0.11%
18/09/2012;950;950;950;950;350;332 500;5.44%
19/09/2012;975;975;975;975;20;19 500;2.63%
20/09/2012;1 000;1 000;1 000;1 000;50;50 000;2.56%
21/09/2012;1 000;1 000;1 000;1 000;93;93 000;0.00%
24/09/2012;975;975;975;975;100;97 500;-2.50%
25/09/2012;975;975;975;975;114;111 150;0.00%
26/09/2012;999;999;999;999;20;19 980;2.46%
28/09/2012;988;988;988;988;278;274 664;0.00%
01/10/2012;988;988;988;988;145;143 260;0.00%
02/10/2012;988;988;988;988;242;239 096;0.00%
03/10/2012;988;988;988;988;758;748 904;0.00%
04/10/2012;988;988;988;988;305;301 340;0.00%
05/10/2012;1 060;1 060;1 060;1 060;828;877 680;7.29%
08/10/2012;1 050;1 050;1 050;1 050;139;145 950;-0.94%
10/10/2012;975;975;975;975;844;822 900;-7.14%
11/10/2012;1 000;1 000;1 000;1 000;492;492 000;2.56%
12/10/2012;1 000;1 000;1 000;1 000;207;207 000;0.00%
15/10/2012;1 000;1 000;1 000;1 000;500;500 000;0.00%
16/10/2012;1 000;1 000;1 000;1 000;512;512 000;0.00%
17/10/2012;1 075;1 075;1 075;1 075;425;456 875;7.50%
18/10/2012;1 155;1 155;1 155;1 155;216;249 480;7.44%
19/10/2012;1 241;1 241;1 241;1 241;87;107 967;7.45%
22/10/2012;1 334;1 334;1 334;1 334;365;486 910;7.49%
23/10/2012;1 434;1 434;1 434;1 434;156;223 704;7.50%
24/10/2012;1 541;1 541;1 541;1 541;783;1 206 603;7.46%
25/10/2012;1 656;1 656;1 656;1 656;125;207 000;7.46%
29/10/2012;1 655;1 655;1 655;1 655;804;1 330 620;-0.06%
30/10/2012;1 540;1 540;1 540;1 540;731;1 125 740;-6.95%
31/10/2012;1 425;1 425;1 425;1 425;694;988 950;-7.47%
02/11/2012;1 425;1 425;1 425;1 425;884;1 259 700;0.00%
05/11/2012;1 475;1 475;1 475;1 475;320;472 000;3.51%
06/11/2012;1 474;1 474;1 474;1 474;1 508;2 222 792;-0.07%
07/11/2012;1 473;1 473;1 473;1 473;403;593 619;-0.07%
08/11/2012;1 425;1 425;1 425;1 425;258;367 650;-3.26%
09/11/2012;1 425;1 425;1 425;1 425;50;71 250;0.00%
12/11/2012;1 425;1 425;1 425;1 425;40;57 000;0.00%
13/11/2012;1 425;1 425;1 425;1 425;213;303 525;0.00%
14/11/2012;1 425;1 425;1 425;1 425;150;213 750;0.00%
16/11/2012;1 531;1 531;1 531;1 531;125;191 375;7.44%
19/11/2012;1 550;1 550;1 550;1 550;36;55 800;1.24%
20/11/2012;1 500;1 500;1 500;1 500;47;70 500;-3.23%
21/11/2012;1 550;1 550;1 550;1 550;175;271 250;3.33%
22/11/2012;1 435;1 435;1 435;1 435;30;43 050;-7.42%
23/11/2012;1 525;1 525;1 525;1 525;393;599 325;6.27%
26/11/2012;1 525;1 525;1 525;1 525;197;300 425;0.00%
27/11/2012;1 525;1 525;1 525;1 525;120;183 000;0.00%
29/11/2012;1 525;1 525;1 525;1 525;307;468 175;0.00%
03/12/2012;1 500;1 500;1 500;1 500;210;315 000;-1.64%
04/12/2012;1 500;1 500;1 500;1 500;225;337 500;0.00%
05/12/2012;1 550;1 550;1 550;1 550;23;35 650;3.33%
06/12/2012;1 500;1 500;1 500;1 500;197;295 500;-3.23%
07/12/2012;1 425;1 425;1 425;1 425;102;145 350;-5.00%
11/12/2012;1 425;1 425;1 425;1 425;100;142 500;0.00%
12/12/2012;1 425;1 425;1 425;1 425;127;180 975;0.00%
17/12/2012;1 425;1 425;1 425;1 425;110;156 750;0.00%
18/12/2012;1 425;1 425;1 425;1 425;390;555 750;0.00%
19/12/2012;1 425;1 425;1 425;1 425;32;45 600;0.00%
21/12/2012;1 425;1 425;1 425;1 425;105;149 625;0.00%
24/12/2012;1 425;1 425;1 425;1 425;25;35 625;0.00%
27/12/2012;1 525;1 525;1 525;1 525;214;326 350;0.00%
28/12/2012;1 525;1 525;1 525;1 525;64;97 600;0.00%
31/12/2012;1 525;1 525;1 525;1 525;1 019;1 553 975;0.00%
02/01/2013;1 523;1 523;1 523;1 523;44;67 012;-0.13%
03/01/2013;1 520;1 520;1 520;1 520;144;218 880;-0.20%
04/01/2013;1 523;1 523;1 523;1 523;95;144 685;0.20%
08/01/2013;1 513;1 513;1 513;1 513;200;302 600;-0.66%
09/01/2013;1 500;1 500;1 500;1 500;111;166 500;-0.86%
10/01/2013;1 500;1 500;1 500;1 500;60;90 000;0.00%
11/01/2013;1 500;1 500;1 500;1 500;52;78 000;0.00%
14/01/2013;1 500;1 500;1 500;1 500;154;231 000;0.00%
15/01/2013;1 500;1 500;1 500;1 500;36;54 000;0.00%
16/01/2013;1 500;1 500;1 500;1 500;261;391 500;0.00%
17/01/2013;1 500;1 500;1 500;1 500;110;165 000;0.00%
18/01/2013;1 500;1 500;1 500;1 500;190;285 000;0.00%
21/01/2013;1 500;1 500;1 500;1 500;307;460 500;0.00%
22/01/2013;1 500;1 500;1 500;1 500;41;61 500;0.00%
23/01/2013;1 500;1 500;1 500;1 500;20;30 000;0.00%
25/01/2013;1 499;1 499;1 499;1 499;447;670 053;-0.07%
28/01/2013;1 499;1 499;1 499;1 499;150;224 850;0.00%
29/01/2013;1 500;1 500;1 500;1 500;892;1 338 000;0.07%
30/01/2013;1 500;1 500;1 500;1 500;261;391 500;0.00%
04/02/2013;1 525;1 525;1 525;1 525;65;99 125;1.67%
05/02/2013;1 525;1 525;1 525;1 525;1 215;1 852 875;0.00%
06/02/2013;1 538;1 538;1 538;1 538;10;15 380;0.85%
07/02/2013;1 653;1 653;1 653;1 653;60;99 180;7.48%
08/02/2013;1 776;1 776;1 776;1 776;88;156 288;7.44%
11/02/2013;1 773;1 773;1 773;1 773;276;489 348;-0.17%
12/02/2013;1 776;1 776;1 776;1 776;20;35 520;0.17%
13/02/2013;1 800;1 800;1 800;1 800;111;199 800;1.35%
14/02/2013;1 775;1 775;1 775;1 775;228;404 700;-1.39%
18/02/2013;1 750;1 750;1 750;1 750;162;283 500;-1.41%
19/02/2013;1 750;1 750;1 750;1 750;108;189 000;0.00%
20/02/2013;1 750;1 750;1 750;1 750;1;1 750;0.00%
21/02/2013;1 751;1 751;1 751;1 751;41;71 791;0.06%
22/02/2013;1 800;1 800;1 800;1 800;45;81 000;2.80%
25/02/2013;1 875;1 875;1 875;1 875;125;234 375;4.17%
26/02/2013;2 000;2 000;2 000;2 000;301;602 000;6.67%
27/02/2013;2 150;2 150;2 150;2 150;150;322 500;7.50%
28/02/2013;2 250;2 250;2 250;2 250;65;146 250;4.65%
01/03/2013;2 248;2 248;2 248;2 248;154;346 192;-0.09%
04/03/2013;2 248;2 248;2 248;2 248;58;130 384;0.00%
05/03/2013;2 250;2 250;2 250;2 250;102;229 500;0.09%
06/03/2013;2 248;2 248;2 248;2 248;19;42 712;-0.09%
07/03/2013;2 223;2 223;2 223;2 223;60;133 380;-1.11%
08/03/2013;2 225;2 225;2 225;2 225;1 000;2 225 000;0.09%
11/03/2013;2 059;2 059;2 059;2 059;118;242 962;-7.46%
12/03/2013;2 059;2 059;2 059;2 059;31;63 829;0.00%
13/03/2013;1 905;1 905;1 905;1 905;1 068;2 034 540;-7.48%
14/03/2013;1 763;1 763;1 763;1 763;793;1 398 059;-7.45%
15/03/2013;1 763;1 763;1 763;1 763;96;169 248;0.00%
18/03/2013;1 874;1 874;1 874;1 874;179;335 446;6.30%
19/03/2013;1 874;1 874;1 874;1 874;172;322 328;0.00%
21/03/2013;1 850;1 850;1 850;1 850;443;819 550;-1.28%
25/03/2013;1 850;1 850;1 850;1 850;71;131 350;0.00%
27/03/2013;1 863;1 863;1 863;1 863;135;251 505;0.70%
28/03/2013;1 875;1 875;1 875;1 875;420;787 500;0.64%
29/03/2013;1 775;1 775;1 775;1 775;104 748;185 927 700;-5.33%
02/04/2013;1 908;1 908;1 908;1 908;59;112 572;7.49%
03/04/2013;1 775;1 775;1 775;1 775;779;1 382 725;-6.97%
04/04/2013;1 775;1 775;1 775;1 775;79;140 225;0.00%
05/04/2013;1 775;1 775;1 775;1 775;411;729 525;0.00%
08/04/2013;1 825;1 825;1 825;1 825;111;202 575;2.82%
09/04/2013;1 950;1 950;1 950;1 950;458;893 100;6.85%
10/04/2013;1 950;1 950;1 950;1 950;280;546 000;0.00%
11/04/2013;1 950;1 950;1 950;1 950;223;434 850;0.00%
12/04/2013;1 950;1 950;1 950;1 950;180;351 000;0.00%
15/04/2013;1 804;1 804;1 804;1 804;150;270 600;-7.49%
16/04/2013;1 875;1 875;1 875;1 875;93;174 375;3.94%
17/04/2013;1 999;1 999;1 999;1 999;81;161 919;6.61%
18/04/2013;2 000;2 000;2 000;2 000;495;990 000;0.05%
19/04/2013;2 000;2 000;2 000;2 000;78;156 000;0.00%
22/04/2013;2 000;2 000;2 000;2 000;72;144 000;0.00%
