Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
16/12/2024;5 150;5 160;5 160;5 150;5 894;30 383 570;-0.19%
17/12/2024;5 100;5 100;5 100;5 100;45 527;232 187 700;-0.97%
18/12/2024;5 100;5 095;5 100;5 095;8 151;41 549 723;0.00%
19/12/2024;4 895;4 900;4 900;4 895;11 051;54 122 273;-4.02%
20/12/2024;5 000;4 800;5 000;4 800;8 589;42 086 100;2.15%
23/12/2024;5 000;4 900;5 000;4 900;4 447;22 012 650;0.00%
24/12/2024;4 985;4 985;4 985;4 985;507;2 527 395;-0.30%
25/12/2024;4 985;4 995;4 995;4 985;507;2 529 930;0.00%
26/12/2024;4 950;4 950;4 950;4 950;1 007;4 984 650;-0.70%
27/12/2024;4 950;4 950;4 950;4 950;516;2 554 200;0.00%
30/12/2024;4 900;4 950;4 950;4 900;493;2 428 025;-1.01%
31/12/2024;4 730;4 800;4 800;4 730;203;967 295;-3.47%
01/01/2025;4 730;4 800;4 800;4 730;203;967 295;0.00%
02/01/2025;4 750;4 750;4 750;4 750;2 657;12 620 750;0.42%
03/01/2025;4 845;4 700;4 845;4 700;935;4 462 288;2.00%
06/01/2025;4 845;4 800;4 845;4 800;206;993 435;0.00%
07/01/2025;4 845;4 830;4 845;4 830;1 422;6 878 925;0.00%
08/01/2025;4 845;4 835;4 845;4 835;3 505;16 964 200;0.00%
09/01/2025;4 825;4 845;4 845;4 825;511;2 470 685;-0.41%
10/01/2025;4 845;4 845;4 845;4 845;665;3 221 925;0.41%
13/01/2025;4 845;4 845;4 845;4 845;250;1 211 250;0.00%
14/01/2025;4 845;4 715;4 845;4 715;1 135;5 425 300;0.00%
15/01/2025;4 845;4 845;4 845;4 845;435;2 107 575;0.00%
16/01/2025;4 840;4 800;4 840;4 800;1 912;9 215 840;-0.10%
17/01/2025;4 850;4 840;4 850;4 840;1 783;8 638 635;0.21%
20/01/2025;4 850;4 800;4 850;4 800;552;2 663 400;0.00%
21/01/2025;4 850;4 845;4 850;4 845;3 857;18 696 808;0.00%
22/01/2025;4 875;4 850;4 875;4 850;4 849;23 578 263;0.52%
23/01/2025;4 875;4 870;4 875;4 870;3 706;18 057 485;0.00%
24/01/2025;4 875;4 860;4 875;4 860;7 614;37 061 145;0.00%
27/01/2025;4 875;4 800;4 875;4 800;192;928 800;0.00%
28/01/2025;4 875;4 800;4 875;4 800;1 656;8 010 900;0.00%
29/01/2025;4 875;4 850;4 875;4 850;678;3 296 775;0.00%
