Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
22/03/2012;120;120;120;120;7;840;0.00%
23/05/2012;111;111;111;111;20;2 220;-7.50%
01/06/2012;111;111;111;111;1;111;0.00%
04/06/2012;111;111;111;111;1;111;0.00%
06/06/2012;111;111;111;111;3;333;0.00%
11/06/2012;111;111;111;111;10;1 110;0.00%
13/06/2012;111;111;111;111;1;111;0.00%
20/06/2012;111;111;111;111;4;444;0.00%
28/06/2012;111;111;111;111;3;333;0.00%
06/07/2012;111;111;111;111;48;5 328;6.73%
11/07/2012;111;111;111;111;50;5 550;0.00%
13/07/2012;111;111;111;111;25;2 775;0.00%
08/08/2012;111;111;111;111;14;1 554;0.00%
21/08/2012;111;111;111;111;10;1 110;0.00%
29/11/2012;111;111;111;111;8;888;0.00%
05/12/2012;103;103;103;103;40;4 120;-7.21%
12/04/2013;95;95;95;95;10;950;-7.77%
29/04/2013;95;95;95;95;4;380;0.00%
23/05/2013;88;88;88;88;42;3 696;-7.37%
29/05/2013;88;88;88;88;20;1 760;0.00%
03/06/2013;88;88;88;88;14;1 232;0.00%
07/06/2013;88;88;88;88;13;1 144;0.00%
12/06/2013;88;88;88;88;358;31 504;0.00%
14/06/2013;88;88;88;88;60;5 280;0.00%
08/07/2013;102;102;102;102;29;2 958;7.37%
24/07/2013;102;102;102;102;9;918;0.00%
30/07/2013;108;108;108;108;37;3 996;5.88%
13/08/2013;116;116;116;116;30;3 480;7.41%
19/08/2013;125;125;125;125;45;5 625;7.76%
22/08/2013;134;134;134;134;10;1 340;7.20%
26/08/2013;134;134;134;134;140;18 760;0.00%
02/09/2013;144;144;144;144;10;1 440;7.46%
03/09/2013;144;144;144;144;10;1 440;0.00%
06/09/2013;144;144;144;144;10;1 440;0.00%
10/09/2013;154;154;154;154;10;1 540;6.94%
12/09/2013;166;166;166;166;10;1 660;7.79%
13/09/2013;178;178;178;178;15;2 670;7.23%
16/09/2013;191;191;191;191;13;2 483;7.30%
17/09/2013;192;192;192;192;39;7 488;0.52%
19/09/2013;200;200;200;200;60;12 000;4.17%
20/09/2013;200;200;200;200;37;7 400;0.00%
24/09/2013;228;228;228;228;10;2 280;6.05%
25/09/2013;228;228;228;228;175;39 900;0.00%
30/09/2013;228;228;228;228;1;228;0.00%
01/10/2013;245;245;245;245;137;33 565;7.46%
02/10/2013;245;245;245;245;110;26 950;0.00%
03/10/2013;245;245;245;245;73;17 885;0.00%
04/10/2013;248;248;248;248;15;3 720;1.22%
14/10/2013;248;248;248;248;6;1 488;0.00%
17/10/2013;266;266;266;266;189;50 274;7.26%
