Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
01/04/2020;255;255;255;255;10;2 550;6.25%
03/04/2020;240;255;255;240;864;213 840;-5.88%
07/04/2020;255;255;255;255;83;21 165;6.25%
08/04/2020;255;250;255;250;305;77 013;0.00%
10/04/2020;255;255;255;255;10;2 550;0.00%
13/04/2020;255;255;255;255;10;2 550;0.00%
14/04/2020;240;250;250;240;1 147;281 015;-5.88%
15/04/2020;230;230;230;230;280;64 400;-4.17%
16/04/2020;225;225;225;225;760;171 000;-2.17%
17/04/2020;220;220;220;220;1 996;439 120;-2.22%
20/04/2020;205;215;215;205;3 126;656 460;-6.82%
21/04/2020;200;210;210;200;422;86 510;-2.44%
22/04/2020;200;200;200;200;6 606;1 321 200;0.00%
23/04/2020;200;200;200;200;2 102;420 400;0.00%
24/04/2020;200;200;200;200;1 790;358 000;0.00%
29/04/2020;210;210;210;210;149;31 290;5.00%
07/05/2020;225;225;225;225;1;225;7.14%
08/05/2020;240;240;240;240;6;1 440;6.67%
11/05/2020;240;240;240;240;11;2 640;0.00%
13/05/2020;255;255;255;255;1;255;6.25%
14/05/2020;270;270;270;270;1;270;5.88%
15/05/2020;270;270;270;270;84;22 680;0.00%
18/05/2020;290;290;290;290;1;290;7.41%
19/05/2020;285;285;285;285;16;4 560;-1.72%
22/05/2020;305;290;305;290;314;93 415;7.02%
25/05/2020;310;310;310;310;501;155 310;1.64%
26/05/2020;325;310;325;310;466;147 955;4.84%
27/05/2020;325;330;330;325;195;63 863;0.00%
28/05/2020;325;325;325;325;293;95 225;0.00%
29/05/2020;345;325;345;325;669;224 115;6.15%
01/06/2020;345;325;345;325;669;224 115;0.00%
02/06/2020;345;345;345;345;722;249 090;0.00%
03/06/2020;370;370;370;370;1;370;7.25%
04/06/2020;370;370;370;370;430;159 100;0.00%
05/06/2020;360;360;360;360;40 000;14 400 000;-2.70%
08/06/2020;365;365;365;365;71;25 915;1.39%
09/06/2020;370;345;370;345;997;356 428;1.37%
10/06/2020;345;345;345;345;1 000;345 000;-6.76%
11/06/2020;365;365;365;365;156;56 940;5.80%
12/06/2020;365;365;365;365;4;1 460;0.00%
15/06/2020;365;360;365;360;541;196 113;0.00%
16/06/2020;360;345;360;345;11;3 878;-1.37%
17/06/2020;365;365;365;365;72;26 280;1.39%
18/06/2020;345;360;360;345;1 253;441 683;-5.48%
19/06/2020;355;320;355;320;13;4 388;2.90%
22/06/2020;345;345;345;345;400;138 000;-2.82%
23/06/2020;355;360;360;355;111;39 683;2.90%
25/06/2020;345;360;360;345;72;25 380;-2.82%
26/06/2020;345;350;350;345;24 800;8 618 000;0.00%
01/07/2020;320;320;320;320;100;32 000;0.00%
02/07/2020;310;320;320;310;75;23 625;-3.13%
06/07/2020;320;310;320;310;76;23 940;3.23%
07/07/2020;325;325;325;325;1;325;1.56%
08/07/2020;330;330;330;330;100;33 000;1.54%
10/07/2020;310;320;320;310;259;81 585;-6.06%
15/07/2020;300;300;300;300;110;33 000;-3.23%
16/07/2020;300;300;300;300;52;15 600;0.00%
20/07/2020;300;300;300;300;98;29 400;0.00%
22/07/2020;300;300;300;300;5;1 500;0.00%
23/07/2020;300;300;300;300;196;58 800;0.00%
24/07/2020;300;300;300;300;44;13 200;0.00%
29/07/2020;300;300;300;300;105;31 500;0.00%
30/07/2020;300;300;300;300;20;6 000;0.00%
31/07/2020;300;300;300;300;20;6 000;0.00%
03/08/2020;295;300;300;295;117;34 808;-1.67%
04/08/2020;300;300;300;300;65;19 500;1.69%
05/08/2020;300;300;300;300;50;15 000;0.00%
06/08/2020;300;300;300;300;90;27 000;0.00%
07/08/2020;300;300;300;300;90;27 000;0.00%
10/08/2020;300;300;300;300;40;12 000;0.00%
11/08/2020;320;300;320;300;546;169 260;6.67%
12/08/2020;300;300;300;300;22;6 600;-6.25%
13/08/2020;280;320;320;280;16;4 800;-6.67%
14/08/2020;280;300;300;280;16;4 640;0.00%
17/08/2020;280;280;280;280;5;1 400;0.00%
21/08/2020;280;280;280;280;14;3 920;0.00%
25/08/2020;280;280;280;280;21;5 880;0.00%
26/08/2020;280;280;280;280;302 958;84 828 240;0.00%
27/08/2020;280;280;280;280;2;560;0.00%
01/09/2020;280;280;280;280;210;58 800;0.00%
07/09/2020;270;270;270;270;759;204 930;-3.57%
08/09/2020;270;270;270;270;3;810;0.00%
10/09/2020;270;270;270;270;50;13 500;0.00%
02/10/2020;260;270;270;260;698;184 970;-3.70%
05/10/2020;260;260;260;260;25;6 500;0.00%
06/10/2020;260;260;260;260;1;260;0.00%
09/10/2020;250;260;260;250;150;38 250;-3.85%
12/10/2020;260;235;260;235;1 284;317 790;4.00%
14/10/2020;245;245;245;245;1;245;-5.77%
15/10/2020;235;235;235;235;1;235;-4.08%
19/10/2020;235;235;235;235;1;235;0.00%
21/10/2020;235;235;235;235;50;11 750;0.00%
27/10/2020;250;250;250;250;2;500;6.38%
30/10/2020;265;265;265;265;3;795;6.00%
02/11/2020;280;265;280;265;5;1 363;5.66%
04/11/2020;300;300;300;300;2;600;7.14%
05/11/2020;320;320;320;320;2;640;6.67%
06/11/2020;340;340;340;340;2;680;6.25%
09/11/2020;330;330;330;330;200;66 000;-2.94%
10/11/2020;340;325;340;325;30 221;10 048 483;3.03%
11/11/2020;340;340;340;340;311;105 740;0.00%
12/11/2020;340;340;340;340;109;37 060;0.00%
17/11/2020;340;340;340;340;53;18 020;0.00%
18/11/2020;350;350;350;350;194;67 900;2.94%
19/11/2020;350;350;350;350;45;15 750;0.00%
20/11/2020;345;345;345;345;40;13 800;-1.43%
23/11/2020;340;340;340;340;8;2 720;-1.45%
25/11/2020;315;315;315;315;50;15 750;-7.35%
26/11/2020;315;315;315;315;250;78 750;0.00%
30/11/2020;320;315;320;315;31;9 843;1.59%
01/12/2020;300;300;300;300;533;159 900;-6.25%
02/12/2020;300;300;300;300;46;13 800;0.00%
03/12/2020;300;300;300;300;344;103 200;0.00%
08/12/2020;320;320;320;320;11;3 520;6.67%
09/12/2020;300;310;310;300;1 195;364 475;-6.25%
10/12/2020;310;310;310;310;159;49 290;3.33%
11/12/2020;320;300;320;300;12 192;3 779 520;3.23%
15/12/2020;320;320;320;320;97;31 040;0.00%
17/12/2020;320;325;325;320;290;93 525;0.00%
21/12/2020;320;320;320;320;605;193 600;0.00%
23/12/2020;340;340;340;340;1;340;6.25%
24/12/2020;350;350;350;350;1 964;687 400;2.94%
25/12/2020;350;350;350;350;1 964;687 400;0.00%
30/12/2020;320;330;330;320;260;84 500;-3.03%
31/12/2020;320;320;320;320;50;16 000;0.00%
04/01/2021;340;320;340;320;403;132 990;6.25%
05/01/2021;355;350;355;350;1 842;649 305;4.41%
06/01/2021;365;365;365;365;160;58 400;2.82%
07/01/2021;365;365;365;365;50;18 250;0.00%
08/01/2021;375;375;375;375;250;93 750;2.74%
11/01/2021;400;395;400;395;743;295 343;6.67%
13/01/2021;430;400;430;400;2 550;1 058 250;7.50%
14/01/2021;450;400;450;400;2 035;864 875;4.65%
15/01/2021;430;430;430;430;995;427 850;-4.44%
18/01/2021;460;430;460;430;1 556;692 420;6.98%
19/01/2021;450;450;450;450;721;324 450;-2.17%
20/01/2021;480;450;480;450;7 524;3 498 660;6.67%
21/01/2021;515;480;515;480;81;40 298;7.29%
22/01/2021;550;550;550;550;4 280;2 354 000;6.80%
25/01/2021;590;550;590;550;1 193;680 010;7.27%
26/01/2021;595;625;625;595;5 717;3 487 370;0.85%
27/01/2021;635;625;635;625;8 716;5 491 080;6.72%
28/01/2021;645;645;645;645;5;3 225;1.57%
29/01/2021;690;650;690;650;105;70 350;6.98%
01/02/2021;740;700;740;700;3 308;2 381 760;7.25%
02/02/2021;745;740;745;740;1 175;872 438;0.68%
03/02/2021;745;740;745;740;435;322 988;0.00%
04/02/2021;740;740;740;740;20;14 800;-0.67%
05/02/2021;740;740;740;740;88;65 120;0.00%
08/02/2021;700;700;700;700;277;193 900;-5.41%
09/02/2021;700;700;700;700;95;66 500;0.00%
10/02/2021;650;650;650;650;140;91 000;-7.14%
11/02/2021;605;650;650;605;79;49 573;-6.92%
12/02/2021;600;600;600;600;110;66 000;-0.83%
15/02/2021;555;600;600;555;140;80 850;-7.50%
16/02/2021;555;550;555;550;2 561;1 414 953;0.00%
17/02/2021;595;595;595;595;193;114 835;7.21%
18/02/2021;595;595;595;595;40;23 800;0.00%
19/02/2021;600;595;600;595;251;149 973;0.84%
22/02/2021;645;600;645;600;144;89 640;7.50%
23/02/2021;690;645;690;645;142;94 785;6.98%
24/02/2021;700;700;700;700;4;2 800;1.45%
25/02/2021;705;700;705;700;983;690 558;0.71%
26/02/2021;705;705;705;705;100;70 500;0.00%
01/03/2021;725;705;725;705;90;64 350;2.84%
02/03/2021;725;720;725;720;699;505 028;0.00%
03/03/2021;750;730;750;730;500;370 000;3.45%
04/03/2021;750;750;750;750;315;236 250;0.00%
05/03/2021;725;725;725;725;128;92 800;-3.33%
08/03/2021;730;730;730;730;2;1 460;0.69%
09/03/2021;725;730;730;725;81;58 928;-0.68%
10/03/2021;725;725;725;725;50;36 250;0.00%
12/03/2021;720;720;720;720;11;7 920;-0.69%
15/03/2021;720;720;720;720;11;7 920;0.00%
16/03/2021;710;710;710;710;25;17 750;-1.39%
17/03/2021;710;710;710;710;53;37 630;0.00%
18/03/2021;710;710;710;710;28;19 880;0.00%
19/03/2021;700;700;700;700;100;70 000;-1.41%
22/03/2021;695;700;700;695;55;38 363;-0.71%
29/03/2021;645;645;645;645;353;227 685;0.00%
30/03/2021;645;645;645;645;225;145 125;0.00%
31/03/2021;620;620;620;620;100;62 000;-3.88%
01/04/2021;615;620;620;615;260;160 550;-0.81%
02/04/2021;620;620;620;620;10;6 200;0.81%
