Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
25/10/2017;10 400;10 400;10 400;10 400;18 444;191 817 600;7.49%
26/10/2017;9 850;9 850;9 850;9 850;61 557;606 336 450;-5.29%
27/10/2017;9 115;9 115;9 115;9 115;18 294;166 749 810;-7.46%
30/10/2017;9 700;9 700;9 700;9 700;20 407;197 947 900;6.42%
31/10/2017;10 000;10 000;10 000;10 000;20 372;203 720 000;3.09%
02/11/2017;9 890;9 890;9 890;9 890;5 086;50 300 540;-1.10%
03/11/2017;9 435;9 435;9 435;9 435;20 610;194 455 350;-4.60%
06/11/2017;9 425;9 425;9 425;9 425;6 475;61 026 875;-0.11%
07/11/2017;9 400;9 400;9 400;9 400;13 465;126 571 000;-0.27%
08/11/2017;9 220;9 220;9 220;9 220;5 430;50 064 600;-1.91%
09/11/2017;9 340;9 340;9 340;9 340;43 287;404 300 580;1.30%
10/11/2017;9 200;9 200;9 200;9 200;5 214;47 968 800;-1.50%
13/11/2017;9 100;9 100;9 100;9 100;893;8 126 300;-1.09%
14/11/2017;9 145;9 145;9 145;9 145;14 580;133 334 100;0.49%
16/11/2017;9 090;9 090;9 090;9 090;7 229;65 711 610;-0.60%
17/11/2017;9 085;9 085;9 085;9 085;10 882;98 862 970;-0.06%
20/11/2017;9 075;9 075;9 075;9 075;1 021;9 265 575;-0.11%
21/11/2017;9 070;9 070;9 070;9 070;1 471;13 341 970;-0.06%
22/11/2017;9 050;9 050;9 050;9 050;60 790;550 149 500;-0.22%
23/11/2017;9 040;9 040;9 040;9 040;6 008;54 312 320;-0.11%
24/11/2017;9 040;9 040;9 040;9 040;4 162;37 624 480;0.00%
27/11/2017;9 035;9 035;9 035;9 035;1 718;15 522 130;-0.06%
28/11/2017;9 020;9 020;9 020;9 020;34 119;307 753 380;-0.17%
29/11/2017;9 005;9 005;9 005;9 005;1 343;12 093 715;-0.17%
04/12/2017;9 000;9 000;9 000;9 000;2 687;24 183 000;0.00%
05/12/2017;9 000;9 000;9 000;9 000;5 602;50 418 000;0.00%
06/12/2017;9 000;9 000;9 000;9 000;7 914;71 226 000;0.00%
07/12/2017;9 000;9 000;9 000;9 000;6 199;55 791 000;0.00%
08/12/2017;9 000;9 000;9 000;9 000;5 857;52 713 000;0.00%
11/12/2017;9 000;9 000;9 000;9 000;16 170;145 530 000;0.00%
12/12/2017;9 000;9 000;9 000;9 000;9 701;87 309 000;0.00%
13/12/2017;8 990;8 990;8 990;8 990;458;4 117 420;-0.11%
14/12/2017;8 900;8 900;8 900;8 900;3 294;29 316 600;-1.00%
15/12/2017;9 000;9 000;9 000;9 000;8 158;73 422 000;1.12%
18/12/2017;8 990;8 990;8 990;8 990;1 761;15 831 390;-0.11%
19/12/2017;8 950;8 950;8 950;8 950;4 937;44 186 150;-0.44%
20/12/2017;8 945;8 945;8 945;8 945;11 243;100 568 635;-0.06%
21/12/2017;8 795;8 795;8 795;8 795;1 706;15 004 270;-1.68%
22/12/2017;8 900;8 900;8 900;8 900;4 066;36 187 400;1.19%
26/12/2017;9 000;9 000;9 000;9 000;12 724;114 516 000;1.12%
27/12/2017;9 000;9 000;9 000;9 000;7 467;67 203 000;0.00%
28/12/2017;8 990;8 990;8 990;8 990;2 132;19 166 680;-0.11%
29/12/2017;9 660;9 660;9 660;9 660;99 390;960 107 400;7.45%
02/01/2018;9 000;9 000;9 000;9 000;145;1 305 000;-6.83%
03/01/2018;8 760;8 760;8 760;8 760;1 822;15 960 720;-2.67%
04/01/2018;8 900;8 900;8 900;8 900;2 381;21 190 900;1.60%
05/01/2018;8 880;8 880;8 880;8 880;3 297;29 277 360;-0.22%
08/01/2018;8 800;8 800;8 800;8 800;915;8 052 000;-0.90%
09/01/2018;8 750;8 750;8 750;8 750;655;5 731 250;-0.57%
10/01/2018;8 845;8 845;8 845;8 845;405;3 582 225;1.09%
11/01/2018;8 840;8 840;8 840;8 840;1 765;15 602 600;-0.06%
12/01/2018;8 700;8 700;8 700;8 700;1 272;11 066 400;-1.58%
15/01/2018;8 700;8 700;8 700;8 700;301;2 618 700;0.00%
16/01/2018;8 700;8 700;8 700;8 700;578;5 028 600;0.00%
17/01/2018;8 700;8 700;8 700;8 700;695;6 046 500;0.00%
18/01/2018;8 700;8 700;8 700;8 700;5 156;44 857 200;0.00%
19/01/2018;8 695;8 695;8 695;8 695;1 034;8 990 630;-0.06%
22/01/2018;8 500;8 500;8 500;8 500;418;3 553 000;-2.24%
23/01/2018;8 600;8 600;8 600;8 600;2 574;22 136 400;1.18%
24/01/2018;8 400;8 400;8 400;8 400;209;1 755 600;-2.33%
25/01/2018;8 400;8 400;8 400;8 400;4 343;36 481 200;0.00%
26/01/2018;8 400;8 400;8 400;8 400;530;4 452 000;0.00%
29/01/2018;8 300;8 300;8 300;8 300;974;8 084 200;-1.19%
30/01/2018;8 150;8 150;8 150;8 150;1 242;10 122 300;-1.81%
31/01/2018;8 400;8 400;8 400;8 400;6 666;55 994 400;3.07%
01/02/2018;8 800;8 800;8 800;8 800;17 336;152 556 800;4.76%
02/02/2018;8 800;8 800;8 800;8 800;4 911;43 216 800;0.00%
05/02/2018;8 400;8 400;8 400;8 400;302;2 536 800;-4.55%
06/02/2018;8 500;8 500;8 500;8 500;1 180;10 030 000;1.19%
07/02/2018;8 500;8 500;8 500;8 500;11 510;97 835 000;0.00%
08/02/2018;8 500;8 500;8 500;8 500;1 390;11 815 000;0.00%
09/02/2018;8 500;8 500;8 500;8 500;290;2 465 000;0.00%
12/02/2018;8 490;8 490;8 490;8 490;360;3 056 400;-0.12%
13/02/2018;8 450;8 450;8 450;8 450;780;6 591 000;-0.47%
14/02/2018;8 440;8 440;8 440;8 440;290;2 447 600;-0.12%
15/02/2018;8 450;8 450;8 450;8 450;1 600;13 520 000;0.12%
16/02/2018;8 445;8 445;8 445;8 445;1 140;9 627 300;-0.06%
19/02/2018;8 350;8 350;8 350;8 350;2 400;20 040 000;-1.12%
20/02/2018;8 400;8 400;8 400;8 400;2 720;22 848 000;0.60%
21/02/2018;8 400;8 400;8 400;8 400;1 500;12 600 000;0.00%
22/02/2018;8 400;8 400;8 400;8 400;600;5 040 000;0.00%
23/02/2018;8 400;8 400;8 400;8 400;1 060;8 904 000;0.00%
26/02/2018;8 395;8 395;8 395;8 395;1 490;12 508 550;-0.06%
27/02/2018;8 395;8 395;8 395;8 395;580;4 869 100;0.00%
01/03/2018;8 400;8 400;8 400;8 400;790;6 636 000;0.00%
02/03/2018;8 400;8 400;8 400;8 400;5 540;46 536 000;0.00%
05/03/2018;8 395;8 395;8 395;8 395;1 350;11 333 250;-0.06%
06/03/2018;8 390;8 390;8 390;8 390;3 800;31 882 000;-0.06%
07/03/2018;8 295;8 295;8 295;8 295;2 240;18 580 800;-1.13%
08/03/2018;8 295;8 295;8 295;8 295;470;3 898 650;0.00%
09/03/2018;8 300;8 300;8 300;8 300;690;5 727 000;0.06%
12/03/2018;8 295;8 295;8 295;8 295;1 190;9 871 050;-0.06%
13/03/2018;8 125;8 125;8 125;8 125;640;5 200 000;-2.05%
14/03/2018;8 295;8 295;8 295;8 295;2 140;17 751 300;2.09%
15/03/2018;8 295;8 295;8 295;8 295;3 360;27 871 200;0.00%
16/03/2018;8 295;8 295;8 295;8 295;560;4 645 200;0.00%
19/03/2018;8 290;8 290;8 290;8 290;240;1 989 600;-0.06%
20/03/2018;8 290;8 290;8 290;8 290;590;4 891 100;0.00%
21/03/2018;8 200;8 200;8 200;8 200;1 130;9 266 000;-1.09%
22/03/2018;8 200;8 200;8 200;8 200;2 790;22 878 000;0.00%
23/03/2018;8 240;8 240;8 240;8 240;2 060;16 974 400;0.49%
26/03/2018;8 200;8 200;8 200;8 200;7 000;57 400 000;-0.49%
27/03/2018;8 190;8 190;8 190;8 190;350;2 866 500;-0.12%
