Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
11/01/2012;4 340;4 340;4 340;4 340;25;108 500;-1.36%
12/01/2012;4 340;4 340;4 340;4 340;20;86 800;0.00%
17/01/2012;4 300;4 300;4 300;4 300;18;77 400;-0.92%
19/01/2012;4 200;4 200;4 200;4 200;10;42 000;-2.33%
20/01/2012;4 180;4 180;4 180;4 180;310;1 295 800;-0.48%
27/01/2012;4 100;4 100;4 100;4 100;8;32 800;-1.91%
30/01/2012;4 120;4 120;4 120;4 120;16;65 920;0.49%
31/01/2012;4 100;4 100;4 100;4 100;18;73 800;-0.49%
01/02/2012;4 100;4 100;4 100;4 100;19;77 900;0.00%
02/02/2012;4 100;4 100;4 100;4 100;122;500 200;0.00%
10/02/2012;4 100;4 100;4 100;4 100;384;1 574 400;0.00%
14/02/2012;4 100;4 100;4 100;4 100;84;344 400;0.00%
20/02/2012;4 100;4 100;4 100;4 100;25;102 500;0.00%
21/02/2012;4 100;4 100;4 100;4 100;2;8 200;0.00%
22/02/2012;4 100;4 100;4 100;4 100;400;1 640 000;0.00%
27/02/2012;4 100;4 100;4 100;4 100;2;8 200;0.00%
28/02/2012;4 000;4 000;4 000;4 000;16;64 000;-2.44%
29/02/2012;4 000;4 000;4 000;4 000;6;24 000;0.00%
05/03/2012;4 000;4 000;4 000;4 000;525;2 100 000;0.00%
26/03/2012;4 000;4 000;4 000;4 000;103;412 000;0.00%
24/04/2012;3 800;3 800;3 800;3 800;200;760 000;-5.00%
26/04/2012;3 800;3 800;3 800;3 800;68;258 400;0.00%
27/04/2012;3 850;3 850;3 850;3 850;30;115 500;1.32%
03/05/2012;3 800;3 800;3 800;3 800;30;114 000;-1.30%
07/05/2012;3 800;3 800;3 800;3 800;50;190 000;0.00%
09/05/2012;3 800;3 800;3 800;3 800;161;611 800;0.00%
10/05/2012;3 800;3 800;3 800;3 800;63;239 400;0.00%
16/05/2012;3 800;3 800;3 800;3 800;24;91 200;0.00%
18/05/2012;3 800;3 800;3 800;3 800;18;68 400;0.00%
21/05/2012;3 800;3 800;3 800;3 800;15;57 000;0.00%
22/05/2012;3 800;3 800;3 800;3 800;53;201 400;0.00%
25/05/2012;3 840;3 840;3 840;3 840;31;119 040;1.05%
29/05/2012;4 000;4 000;4 000;4 000;10;40 000;4.17%
30/05/2012;4 010;4 010;4 010;4 010;289;1 158 890;0.25%
01/06/2012;4 000;4 000;4 000;4 000;100;400 000;-0.25%
08/06/2012;3 900;3 900;3 900;3 900;20;78 000;-2.50%
11/06/2012;3 720;3 720;3 720;3 720;100;372 000;-4.62%
12/06/2012;3 721;3 721;3 721;3 721;44;163 724;0.03%
13/06/2012;3 801;3 801;3 801;3 801;44;167 244;2.15%
14/06/2012;3 850;3 850;3 850;3 850;50;192 500;1.29%
18/06/2012;3 810;3 810;3 810;3 810;84;320 040;-1.04%
19/06/2012;3 810;3 810;3 810;3 810;21;80 010;0.00%
20/06/2012;3 810;3 810;3 810;3 810;500;1 905 000;0.00%
21/06/2012;3 810;3 810;3 810;3 810;11;41 910;0.00%
26/06/2012;3 810;3 810;3 810;3 810;100;381 000;0.00%
27/06/2012;3 810;3 810;3 810;3 810;100;381 000;0.00%
28/06/2012;4 000;4 000;4 000;4 000;382;1 528 000;4.99%
04/07/2012;4 000;4 000;4 000;4 000;8;32 000;0.00%
10/07/2012;3 900;3 900;3 900;3 900;50;195 000;-2.50%
13/07/2012;3 900;3 900;3 900;3 900;159;620 100;0.00%
16/07/2012;3 900;3 900;3 900;3 900;341;1 329 900;0.00%
17/07/2012;3 850;3 850;3 850;3 850;100;385 000;-1.28%
18/07/2012;3 900;3 900;3 900;3 900;502;1 957 800;1.30%
23/07/2012;3 900;3 900;3 900;3 900;25;97 500;0.00%
24/07/2012;3 900;3 900;3 900;3 900;637;2 484 300;0.00%
25/07/2012;4 000;4 000;4 000;4 000;512;2 048 000;2.56%
26/07/2012;4 000;4 000;4 000;4 000;525;2 100 000;0.00%
27/07/2012;4 030;4 030;4 030;4 030;73;294 190;0.75%
30/07/2012;4 200;4 200;4 200;4 200;163;684 600;4.22%
31/07/2012;4 203;4 203;4 203;4 203;263;1 105 389;0.07%
01/08/2012;4 300;4 300;4 300;4 300;164;705 200;2.31%
02/08/2012;4 500;4 500;4 500;4 500;382;1 719 000;4.65%
03/08/2012;4 501;4 501;4 501;4 501;190;855 190;0.02%
08/08/2012;4 500;4 500;4 500;4 500;159;715 500;-0.02%
