Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
17/04/2019;4 150;4 170;4 170;4 150;12 877;53 568 320;-1.07%
18/04/2019;4 100;4 000;4 100;4 000;37 495;151 854 750;-1.20%
19/04/2019;4 165;4 095;4 165;4 095;37 547;155 069 110;1.59%
22/04/2019;4 165;4 095;4 165;4 095;37 547;155 069 110;0.00%
23/04/2019;4 200;4 100;4 200;4 100;29 060;120 599 000;0.84%
24/04/2019;4 270;4 000;4 270;4 000;44 259;183 010 965;1.67%
25/04/2019;4 300;4 000;4 300;4 000;36 520;151 558 000;0.70%
26/04/2019;4 495;4 215;4 495;4 215;13 558;59 045 090;4.53%
29/04/2019;4 690;4 300;4 690;4 300;14 846;66 732 770;4.34%
30/04/2019;4 995;4 425;4 995;4 425;10 614;49 991 940;6.50%
01/05/2019;4 995;4 425;4 995;4 425;10 614;49 991 940;0.00%
02/05/2019;5 000;4 625;5 000;4 625;31 416;151 189 500;0.10%
03/05/2019;4 890;4 885;4 890;4 885;49;239 488;-2.20%
06/05/2019;4 600;4 585;4 600;4 585;518;2 378 915;-5.93%
07/05/2019;4 440;4 495;4 495;4 440;23;102 753;-3.48%
08/05/2019;4 300;4 340;4 340;4 300;35;151 200;-3.15%
09/05/2019;4 100;4 275;4 275;4 100;498;2 085 375;-4.65%
10/05/2019;4 100;4 050;4 100;4 050;947;3 859 025;0.00%
13/05/2019;4 100;4 070;4 100;4 070;1 532;6 258 220;0.00%
14/05/2019;4 100;4 000;4 100;4 000;2 652;10 740 600;0.00%
15/05/2019;4 100;4 095;4 100;4 095;351;1 438 223;0.00%
16/05/2019;4 100;4 100;4 100;4 100;490;2 009 000;0.00%
17/05/2019;4 100;4 050;4 100;4 050;575;2 343 125;0.00%
20/05/2019;4 100;4 100;4 100;4 100;70;287 000;0.00%
21/05/2019;4 100;4 000;4 100;4 000;2 870;11 623 500;0.00%
22/05/2019;4 100;4 095;4 100;4 095;32;131 120;0.00%
23/05/2019;4 100;4 000;4 100;4 000;799;3 235 950;0.00%
27/05/2019;4 100;4 000;4 100;4 000;1 804;7 306 200;0.00%
28/05/2019;4 100;3 920;4 100;3 920;270;1 082 700;0.00%
29/05/2019;4 100;3 950;4 100;3 950;2 440;9 821 000;0.00%
30/05/2019;4 100;3 950;4 100;3 950;2 440;9 821 000;0.00%
31/05/2019;4 100;4 095;4 100;4 095;423;1 733 243;0.00%
03/06/2019;4 100;3 920;4 100;3 920;493;1 976 930;0.00%
05/06/2019;4 100;3 920;4 100;3 920;6 381;25 587 810;0.00%
06/06/2019;4 100;4 095;4 100;4 095;2 000;8 195 000;0.00%
11/06/2019;4 100;4 025;4 100;4 025;2 016;8 190 000;0.00%
12/06/2019;4 100;3 920;4 100;3 920;2 113;8 473 130;0.00%
14/06/2019;4 100;4 050;4 100;4 050;1 010;4 115 750;0.00%
17/06/2019;4 100;4 050;4 100;4 050;1 262;5 142 650;0.00%
18/06/2019;4 100;4 090;4 100;4 090;4 110;16 830 450;0.00%
19/06/2019;4 100;4 090;4 100;4 090;4 073;16 678 935;0.00%
20/06/2019;4 100;4 095;4 100;4 095;1 501;6 150 348;0.00%
21/06/2019;4 100;4 050;4 100;4 050;531;2 163 825;0.00%
24/06/2019;4 100;4 050;4 100;4 050;935;3 810 125;0.00%
25/06/2019;4 100;4 045;4 100;4 045;3 800;15 475 500;0.00%
26/06/2019;4 100;4 090;4 100;4 090;2 923;11 969 685;0.00%
27/06/2019;4 000;4 000;4 000;4 000;502;2 008 000;-2.44%
01/07/2019;4 000;4 000;4 000;4 000;150;600 000;0.00%
02/07/2019;4 000;4 000;4 000;4 000;2;8 000;0.00%
03/07/2019;4 000;3 995;4 000;3 995;142;567 645;0.00%
04/07/2019;4 000;3 900;4 000;3 900;282;1 113 900;0.00%
05/07/2019;4 000;4 000;4 000;4 000;349;1 396 000;0.00%
08/07/2019;4 000;3 900;4 000;3 900;403;1 591 850;0.00%
09/07/2019;4 000;4 000;4 000;4 000;100;400 000;0.00%
10/07/2019;4 000;3 995;4 000;3 995;176;703 560;0.00%
11/07/2019;4 000;3 995;4 000;3 995;703;2 810 243;0.00%
12/07/2019;4 000;4 000;4 000;4 000;450;1 800 000;0.00%
15/07/2019;4 000;3 995;4 000;3 995;758;3 030 105;0.00%
16/07/2019;4 000;3 995;4 000;3 995;439;1 754 903;0.00%
17/07/2019;4 000;3 900;4 000;3 900;537;2 121 150;0.00%
18/07/2019;4 000;4 000;4 000;4 000;150;600 000;0.00%
19/07/2019;4 000;4 000;4 000;4 000;100;400 000;0.00%
22/07/2019;4 000;3 900;4 000;3 900;907;3 582 650;0.00%
23/07/2019;4 000;3 900;4 000;3 900;105;414 750;0.00%
24/07/2019;4 000;3 995;4 000;3 995;1 022;4 085 445;0.00%
25/07/2019;4 000;3 900;4 000;3 900;1 805;7 129 750;0.00%
26/07/2019;4 000;3 900;4 000;3 900;320;1 264 000;0.00%
29/07/2019;4 000;4 000;4 000;4 000;119;476 000;0.00%
30/07/2019;4 000;3 710;4 000;3 710;68;262 140;0.00%
31/07/2019;4 000;3 710;4 000;3 710;821;3 164 955;0.00%
01/08/2019;4 000;3 975;4 000;3 975;221;881 238;0.00%
02/08/2019;4 000;3 900;4 000;3 900;316;1 248 200;0.00%
05/08/2019;4 000;4 000;4 000;4 000;205;820 000;0.00%
06/08/2019;4 000;3 800;4 000;3 800;2 219;8 654 100;0.00%
07/08/2019;4 000;3 800;4 000;3 800;2 219;8 654 100;0.00%
08/08/2019;4 000;3 995;4 000;3 995;70;279 825;0.00%
09/08/2019;4 000;4 000;4 000;4 000;1 837;7 348 000;0.00%
12/08/2019;4 000;4 000;4 000;4 000;1 837;7 348 000;0.00%
14/08/2019;4 000;3 990;4 000;3 990;413;1 649 935;0.00%
15/08/2019;4 000;3 990;4 000;3 990;413;1 649 935;0.00%
16/08/2019;4 000;3 985;4 000;3 985;1 784;7 122 620;0.00%
19/08/2019;3 995;3 900;3 995;3 900;1 256;4 958 060;-0.13%
20/08/2019;4 000;3 950;4 000;3 950;239;950 025;0.13%
21/08/2019;4 000;3 800;4 000;3 800;1 952;7 612 800;0.00%
23/08/2019;4 000;3 965;4 000;3 965;1 371;5 460 008;0.63%
26/08/2019;4 000;3 920;4 000;3 920;2 937;11 630 520;0.00%
27/08/2019;4 000;4 000;4 000;4 000;20;80 000;0.00%
28/08/2019;3 995;3 950;3 995;3 950;421;1 672 423;-0.13%
30/08/2019;4 000;3 950;4 000;3 950;1 580;6 280 500;0.13%
02/09/2019;4 000;4 000;4 000;4 000;5;20 000;0.00%
03/09/2019;4 000;3 990;4 000;3 990;179;715 105;0.00%
04/09/2019;3 995;3 990;3 995;3 990;210;838 425;-0.13%
05/09/2019;4 000;3 995;4 000;3 995;410;1 638 975;0.13%
06/09/2019;4 000;3 990;4 000;3 990;152;607 240;0.00%
09/09/2019;4 000;3 995;4 000;3 995;1 045;4 177 388;0.00%
10/09/2019;4 000;4 000;4 000;4 000;100;400 000;0.00%
11/09/2019;4 000;3 995;4 000;3 995;21;83 948;0.00%
12/09/2019;4 000;3 995;4 000;3 995;1 951;7 799 123;0.00%
13/09/2019;3 995;3 920;3 995;3 920;355;1 404 913;-0.13%
16/09/2019;4 000;3 990;4 000;3 990;772;3 084 140;0.13%
17/09/2019;4 000;3 990;4 000;3 990;560;2 237 200;0.00%
18/09/2019;3 995;3 760;3 995;3 760;177;686 318;-0.13%
19/09/2019;3 990;3 990;3 990;3 990;7;27 930;-0.13%
20/09/2019;3 990;3 805;3 990;3 805;425;1 656 438;0.00%
23/09/2019;3 990;3 990;3 990;3 990;100;399 000;0.00%
24/09/2019;3 990;3 805;3 990;3 805;529;2 061 778;0.00%
25/09/2019;3 990;3 990;3 990;3 990;5;19 950;0.00%
26/09/2019;3 990;3 990;3 990;3 990;916;3 654 840;0.00%
30/09/2019;3 990;3 805;3 990;3 805;241;939 298;0.00%
01/10/2019;3 990;3 900;3 990;3 900;100;394 500;0.00%
02/10/2019;3 990;3 985;3 990;3 985;501;1 997 738;0.00%
03/10/2019;3 990;3 915;3 990;3 915;1 451;5 735 078;0.00%
04/10/2019;3 990;3 805;3 990;3 805;120;467 700;0.00%
07/10/2019;3 990;3 800;3 990;3 800;15;58 425;0.00%
08/10/2019;3 990;3 980;3 990;3 980;30;119 550;0.00%
09/10/2019;3 980;3 920;3 980;3 920;262;1 034 900;-0.25%
10/10/2019;3 980;3 975;3 980;3 975;591;2 350 703;0.00%
11/10/2019;3 980;3 980;3 980;3 980;1;3 980;0.00%
14/10/2019;3 980;3 970;3 980;3 970;513;2 039 175;0.00%
15/10/2019;3 980;3 950;3 980;3 950;1 050;4 163 250;0.00%
16/10/2019;3 980;3 950;3 980;3 950;5 055;20 043 075;0.00%
17/10/2019;3 950;3 975;3 975;3 950;401;1 588 963;-0.75%
18/10/2019;3 975;3 975;3 975;3 975;10;39 750;0.63%
21/10/2019;3 975;3 975;3 975;3 975;280;1 113 000;0.00%
22/10/2019;3 945;3 945;3 945;3 945;30;118 350;-0.75%
23/10/2019;3 980;3 945;3 980;3 945;583;2 310 138;0.89%
24/10/2019;3 975;3 975;3 975;3 975;1 819;7 230 525;-0.13%
25/10/2019;3 965;3 950;3 965;3 950;132;522 390;-0.25%
28/10/2019;3 960;3 895;3 960;3 895;1 614;6 338 985;-0.13%
29/10/2019;3 965;3 950;3 965;3 950;46;182 045;0.13%
30/10/2019;3 965;3 855;3 965;3 855;1 287;5 032 170;0.00%
31/10/2019;3 965;3 965;3 965;3 965;5;19 825;0.00%
01/11/2019;3 965;3 965;3 965;3 965;5;19 825;0.00%
04/11/2019;3 955;3 960;3 960;3 955;640;2 532 800;-0.25%
05/11/2019;3 955;3 965;3 965;3 955;389;1 540 440;0.00%
06/11/2019;3 975;3 955;3 975;3 955;1 917;7 600 905;0.51%
07/11/2019;3 975;3 950;3 975;3 950;524;2 076 350;0.00%
08/11/2019;3 965;3 955;3 965;3 955;678;2 684 880;-0.25%
11/11/2019;3 975;3 945;3 975;3 945;1 434;5 678 640;0.25%
12/11/2019;3 975;3 975;3 975;3 975;33;131 175;0.00%
13/11/2019;3 955;3 945;3 955;3 945;80;316 000;-0.50%
14/11/2019;3 970;3 970;3 970;3 970;10;39 700;0.38%
18/11/2019;3 940;3 940;3 940;3 940;702;2 765 880;-0.76%
19/11/2019;3 940;3 935;3 940;3 935;385;1 515 938;0.00%
21/11/2019;3 950;3 945;3 950;3 945;144;568 440;0.00%
22/11/2019;3 955;3 950;3 955;3 950;172;679 830;0.13%
