Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
14/07/2014;17 505;17 505;17 505;17 505;475;8 314 875;-2.75%
15/07/2014;18 800;18 800;18 800;18 800;67;1 259 600;7.40%
16/07/2014;18 800;18 800;18 800;18 800;203;3 816 400;0.00%
17/07/2014;18 500;18 500;18 500;18 500;5 510;101 935 000;-1.60%
18/07/2014;18 400;18 400;18 400;18 400;50;920 000;-0.54%
21/07/2014;18 800;18 800;18 800;18 800;23 193;436 028 400;2.17%
22/07/2014;18 700;18 700;18 700;18 700;9 694;181 277 800;-0.53%
23/07/2014;18 500;18 500;18 500;18 500;82;1 517 000;-1.07%
25/07/2014;18 500;18 500;18 500;18 500;56;1 036 000;0.00%
29/07/2014;18 505;18 505;18 505;18 505;336;6 217 680;0.03%
30/07/2014;18 700;18 700;18 700;18 700;1 852;34 632 400;1.05%
31/07/2014;18 800;18 800;18 800;18 800;114;2 143 200;0.53%
01/08/2014;18 700;18 700;18 700;18 700;2 504;46 824 800;-0.53%
04/08/2014;18 695;18 695;18 695;18 695;144;2 692 080;-0.03%
05/08/2014;18 600;18 600;18 600;18 600;56;1 041 600;-0.51%
06/08/2014;18 695;18 695;18 695;18 695;211;3 944 645;0.51%
07/08/2014;18 695;18 695;18 695;18 695;211;3 944 645;0.00%
08/08/2014;19 000;19 000;19 000;19 000;18 100;343 900 000;1.63%
11/08/2014;18 600;18 600;18 600;18 600;347;6 454 200;-2.11%
12/08/2014;18 605;18 605;18 605;18 605;1 100;20 465 500;0.03%
13/08/2014;19 000;19 000;19 000;19 000;156;2 964 000;2.12%
14/08/2014;18 800;18 800;18 800;18 800;323;6 072 400;-1.05%
18/08/2014;18 800;18 800;18 800;18 800;875;16 450 000;0.00%
19/08/2014;18 800;18 800;18 800;18 800;155;2 914 000;0.00%
20/08/2014;18 800;18 800;18 800;18 800;163;3 064 400;0.00%
21/08/2014;18 800;18 800;18 800;18 800;387;7 275 600;0.00%
22/08/2014;18 600;18 600;18 600;18 600;478;8 890 800;-1.06%
25/08/2014;18 900;18 900;18 900;18 900;28;529 200;1.61%
26/08/2014;18 650;18 650;18 650;18 650;2 942;54 868 300;-1.32%
27/08/2014;18 500;18 500;18 500;18 500;699;12 931 500;-0.80%
28/08/2014;18 005;18 005;18 005;18 005;2 032;36 586 160;-2.68%
29/08/2014;18 000;18 000;18 000;18 000;255;4 590 000;-0.03%
01/09/2014;18 000;18 000;18 000;18 000;519;9 342 000;0.00%
02/09/2014;18 000;18 000;18 000;18 000;44;792 000;0.00%
03/09/2014;17 995;17 995;17 995;17 995;70;1 259 650;-0.03%
04/09/2014;18 000;18 000;18 000;18 000;365;6 570 000;0.03%
05/09/2014;17 650;17 650;17 650;17 650;109;1 923 850;-1.94%
08/09/2014;17 655;17 655;17 655;17 655;63;1 112 265;0.03%
09/09/2014;17 500;17 500;17 500;17 500;1 216;21 280 000;-0.88%
