Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
22/02/2012;272;272;272;272;3;816;0.00%
23/02/2012;272;272;272;272;17;4 624;0.00%
08/03/2012;272;272;272;272;1;272;0.00%
10/05/2012;320;320;320;320;100;32 000;17.65%
14/05/2012;320;320;320;320;9;2 880;0.00%
18/05/2012;320;320;320;320;1;320;0.00%
23/05/2012;320;320;320;320;3;960;0.00%
11/06/2012;320;320;320;320;8;2 560;0.00%
20/06/2012;320;320;320;320;5;1 600;0.00%
21/06/2012;320;320;320;320;4;1 280;0.00%
25/06/2012;320;320;320;320;8;2 560;0.00%
23/08/2012;328;328;328;328;20;6 560;2.50%
30/08/2012;328;328;328;328;6;1 968;0.00%
10/09/2012;328;328;328;328;9;2 952;0.00%
18/09/2012;328;328;328;328;100;32 800;0.00%
23/10/2012;328;328;328;328;9;2 952;0.00%
28/11/2012;328;328;328;328;12;3 936;0.00%
04/12/2012;320;320;320;320;12;3 840;-2.44%
06/12/2012;320;320;320;320;10;3 200;0.00%
12/12/2012;336;336;336;336;97;32 592;5.00%
18/12/2012;336;336;336;336;5;1 680;0.00%
17/01/2013;336;336;336;336;8;2 688;0.00%
12/02/2013;336;336;336;336;11;3 696;0.00%
13/02/2013;336;336;336;336;19;6 384;0.00%
20/02/2013;336;336;336;336;10;3 360;0.00%
21/02/2013;336;336;336;336;15;5 040;0.00%
07/03/2013;336;336;336;336;2;672;0.00%
08/03/2013;336;336;336;336;7;2 352;0.00%
13/03/2013;336;336;336;336;16;5 376;0.00%
18/03/2013;361;361;361;361;10;3 610;7.44%
04/04/2013;361;361;361;361;40;14 440;0.00%
17/04/2013;368;368;368;368;208;76 544;1.94%
29/05/2013;368;368;368;368;20;7 360;0.00%
11/06/2013;368;368;368;368;5;1 840;0.00%
13/06/2013;368;368;368;368;8;2 944;0.00%
18/06/2013;368;368;368;368;9;3 312;0.00%
01/07/2013;395;395;395;395;5;1 975;0.00%
05/07/2013;416;416;416;416;8;3 328;5.32%
09/07/2013;445;445;445;445;8;3 560;6.97%
16/07/2013;456;456;456;456;103;46 968;2.47%
18/07/2013;490;490;490;490;10;4 900;7.46%
19/07/2013;480;480;480;480;47;22 560;-2.04%
22/07/2013;480;480;480;480;100;48 000;0.00%
29/07/2013;516;516;516;516;100;51 600;7.50%
02/08/2013;555;555;555;555;10;5 550;7.56%
05/08/2013;555;555;555;555;29;16 095;0.00%
16/08/2013;555;555;555;555;13;7 215;0.00%
19/08/2013;555;555;555;555;39;21 645;0.00%
26/08/2013;555;555;555;555;21;11 655;0.00%
02/09/2013;584;584;584;584;55;32 120;5.23%
13/09/2013;584;584;584;584;3;1 752;0.00%
16/09/2013;592;592;592;592;6;3 552;1.37%
18/09/2013;636;636;636;636;30;19 080;7.43%
25/09/2013;640;640;640;640;10;6 400;0.00%
27/09/2013;627;627;627;627;8;5 016;-2.03%
02/10/2013;624;624;624;624;1;624;-0.48%
03/10/2013;624;624;624;624;30;18 720;0.00%
22/10/2013;624;624;624;624;42;26 208;0.00%
30/10/2013;624;624;624;624;4;2 496;0.00%
31/10/2013;624;624;624;624;10;6 240;0.00%
05/11/2013;624;624;624;624;9;5 616;0.00%
21/11/2013;577;577;577;577;1;577;-7.53%
02/12/2013;584;584;584;584;1;584;1.21%
06/12/2013;578;578;578;578;1;578;-1.03%
09/12/2013;578;578;578;578;1;578;0.00%
17/12/2013;576;576;576;576;19;10 944;-0.35%
18/12/2013;576;576;576;576;1;576;0.00%
19/12/2013;576;576;576;576;13;7 488;0.00%
20/12/2013;576;576;576;576;13;7 488;0.00%
04/02/2014;528;528;528;528;15;7 920;-0.94%
06/02/2014;528;528;528;528;1;528;0.00%
07/02/2014;528;528;528;528;15;7 920;0.00%
26/02/2014;528;528;528;528;50;26 400;0.00%
12/03/2014;533;533;533;533;25;13 325;0.95%
16/04/2014;528;528;528;528;7;3 696;0.00%
13/05/2014;488;488;488;488;35;17 080;-7.58%
15/05/2014;452;452;452;452;1;452;-7.38%
06/06/2014;486;486;486;486;2;972;7.52%
10/06/2014;486;486;486;486;3;1 458;0.00%
09/09/2014;449;449;449;449;15;6 735;-7.61%
10/09/2014;448;448;448;448;55;24 640;-0.22%
12/09/2014;448;448;448;448;8;3 584;0.00%
01/10/2014;464;464;464;464;1;464;0.00%
15/10/2014;429;429;429;429;8;3 432;-7.54%
03/11/2014;421;421;421;421;20;8 420;-1.86%
10/11/2014;389;389;389;389;3;1 167;-7.60%
28/11/2014;389;389;389;389;31;12 059;0.00%
11/12/2014;389;389;389;389;1;389;0.00%
12/12/2014;389;389;389;389;2;778;0.00%
15/12/2014;384;384;384;384;20;7 680;-1.29%
23/12/2014;389;389;389;389;1;389;0.00%
26/12/2014;381;381;381;381;26;9 906;-2.06%
29/12/2014;381;381;381;381;3;1 143;0.00%
07/01/2015;381;381;381;381;3;1 143;0.00%
09/01/2015;382;382;382;382;27;10 314;0.26%
14/01/2015;368;368;368;368;63;23 184;-3.66%
11/02/2015;384;384;384;384;68;26 112;4.35%
12/02/2015;38;38;38;38;1 700;64 600;-90.10%
24/02/2015;384;384;384;384;5;1 920;910.53%
20/03/2015;392;392;392;392;2;784;2.08%
30/03/2015;384;384;384;384;2;768;-2.04%
01/04/2015;384;384;384;384;1;384;0.00%
01/06/2015;413;413;413;413;13;5 369;7.55%
04/06/2015;443;443;443;443;1;443;7.26%
24/06/2015;476;476;476;476;2;952;0.00%
26/06/2015;443;443;443;443;3;1 329;-6.93%
23/07/2015;443;443;443;443;10;4 430;0.00%
24/07/2015;443;443;443;443;8;3 544;0.00%
30/07/2015;443;443;443;443;67;29 681;0.00%
06/08/2015;443;443;443;443;7;3 101;0.00%
07/08/2015;44;44;44;44;175;7 700;-90.07%
12/08/2015;443;443;443;443;1;443;906.82%
14/08/2015;440;440;440;440;2;880;-0.68%
18/08/2015;440;440;440;440;11;4 840;0.00%
20/08/2015;440;440;440;440;25;11 000;0.00%
25/08/2015;440;440;440;440;19;8 360;0.00%
09/09/2015;440;440;440;440;5;2 200;0.00%
25/09/2015;438;438;438;438;2;876;-0.45%
28/09/2015;440;440;440;440;101;44 440;0.46%
08/10/2015;440;440;440;440;3;1 320;0.00%
14/10/2015;440;440;440;440;8;3 520;0.00%
30/10/2015;440;440;440;440;4;1 760;0.00%
03/11/2015;440;440;440;440;1;440;0.00%
01/12/2015;464;464;464;464;128;59 392;5.45%
02/12/2015;473;473;473;473;76;35 948;1.94%
03/12/2015;450;450;450;450;5;2 250;-4.86%
04/12/2015;473;473;473;473;128;60 544;5.11%
07/12/2015;496;496;496;496;10;4 960;4.86%
08/12/2015;496;496;496;496;13;6 448;0.00%
08/01/2016;560;560;560;560;68;38 080;6.06%
12/01/2016;560;560;560;560;10;5 600;0.00%
15/01/2016;592;592;592;592;6;3 552;5.71%
25/01/2016;568;568;568;568;33;18 744;-4.05%
15/02/2016;576;576;576;576;150;86 400;1.41%
16/02/2016;560;560;560;560;111;62 160;-2.78%
19/02/2016;544;544;544;544;12;6 528;-2.86%
23/03/2016;466;466;466;466;9;4 194;-7.36%
24/03/2016;431;431;431;431;1;431;-7.51%
29/03/2016;432;432;432;432;2;864;0.23%
30/03/2016;432;432;432;432;45;19 440;0.00%
07/04/2016;432;432;432;432;8;3 456;0.00%
12/04/2016;432;432;432;432;1;432;0.00%
21/04/2016;432;432;432;432;9;3 888;0.00%
03/05/2016;442;442;442;442;2;884;2.31%
11/05/2016;475;475;475;475;3;1 425;7.47%
13/05/2016;475;475;475;475;86;40 850;0.00%
16/05/2016;47;47;47;47;2 150;101 050;-90.11%
24/05/2016;475;475;475;475;10;4 750;910.64%
15/06/2016;549;549;549;549;15;8 235;7.65%
17/06/2016;590;590;590;590;20;11 800;7.47%
20/06/2016;634;634;634;634;5;3 170;7.46%
24/06/2016;681;681;681;681;7;4 767;7.41%
27/06/2016;634;634;634;634;1;634;-6.90%
29/06/2016;680;680;680;680;2;1 360;7.26%
01/07/2016;672;672;672;672;26;17 472;-1.18%
04/07/2016;722;722;722;722;5;3 610;7.44%
07/07/2016;672;672;672;672;10;6 720;-6.93%
08/07/2016;656;656;656;656;1;656;-2.38%
22/07/2016;607;607;607;607;2;1 214;-7.47%
28/07/2016;561;561;561;561;1;561;-7.58%
11/08/2016;519;519;519;519;1;519;-7.49%
12/08/2016;512;512;512;512;4;2 048;-1.35%
15/08/2016;51;51;51;51;100;5 100;-90.04%
16/08/2016;512;512;512;512;11;5 632;903.92%
17/08/2016;512;512;512;512;25;12 800;0.00%
25/08/2016;480;480;480;480;19;9 120;-6.25%
29/08/2016;480;480;480;480;2;960;0.00%
30/08/2016;448;448;448;448;13;5 824;-6.67%
02/09/2016;456;456;456;456;1;456;1.79%
08/09/2016;432;432;432;432;7;3 024;0.00%
22/09/2016;432;432;432;432;1;432;0.00%
23/09/2016;416;416;416;416;3;1 248;-3.70%
30/09/2016;400;400;400;400;13;5 200;-3.85%
06/10/2016;400;400;400;400;43;17 200;0.00%
10/10/2016;400;400;400;400;4;1 600;0.00%
11/10/2016;400;400;400;400;9;3 600;0.00%
14/10/2016;400;400;400;400;1;400;0.00%
17/10/2016;371;371;371;371;4;1 484;-7.25%
19/10/2016;371;371;371;371;1;371;0.00%
26/10/2016;371;371;371;371;3;1 113;0.00%
27/10/2016;398;398;398;398;47;18 706;7.28%
28/10/2016;398;398;398;398;88;35 024;0.00%
02/11/2016;398;398;398;398;15;5 970;0.00%
08/11/2016;398;398;398;398;2;796;0.00%
11/11/2016;398;398;398;398;16;6 368;0.00%
01/12/2016;398;398;398;398;5;1 990;0.00%
02/12/2016;398;398;398;398;4;1 592;0.00%
06/12/2016;398;398;398;398;22;8 756;0.00%
28/12/2016;368;368;368;368;5;1 840;-7.54%
30/12/2016;368;368;368;368;1;368;0.00%
12/01/2017;368;368;368;368;1;368;0.00%
16/01/2017;340;340;340;340;3;1 020;-7.61%
20/01/2017;340;340;340;340;2;680;0.00%
24/01/2017;336;336;336;336;5;1 680;-1.18%
25/01/2017;336;336;336;336;90;30 240;0.00%
13/02/2017;311;311;311;311;10;3 110;-7.44%
14/02/2017;320;320;320;320;69;22 080;2.89%
22/02/2017;344;344;344;344;5;1 720;7.50%
23/02/2017;370;370;370;370;1;370;7.56%
24/02/2017;397;397;397;397;1;397;7.30%
28/02/2017;370;370;370;370;1;370;-6.80%
01/03/2017;397;397;397;397;29;11 513;7.30%
16/03/2017;427;427;427;427;49;20 923;7.56%
05/04/2017;424;424;424;424;37;15 688;-0.70%
10/04/2017;424;424;424;424;100;42 400;0.00%
12/04/2017;424;424;424;424;20;8 480;0.00%
21/04/2017;424;424;424;424;71;30 104;0.00%
02/05/2017;392;392;392;392;1;392;-7.55%
12/05/2017;363;363;363;363;4;1 452;-7.40%
15/05/2017;344;344;344;344;2;688;-5.23%
18/05/2017;318;318;318;318;265;84 270;-7.56%
19/05/2017;320;320;320;320;30;9 600;0.63%
24/05/2017;304;304;304;304;3;912;-5.00%
26/05/2017;296;296;296;296;14;4 144;-2.63%
29/05/2017;288;288;288;288;7;2 016;-2.70%
