Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
03/01/2012;8 000;8 000;8 000;8 000;307;2 456 000;0.00%
04/01/2012;8 000;8 000;8 000;8 000;449;3 592 000;0.00%
05/01/2012;8 001;8 001;8 001;8 001;126;1 008 126;0.01%
06/01/2012;8 100;8 100;8 100;8 100;36;291 600;1.24%
09/01/2012;8 020;8 020;8 020;8 020;33;264 660;-0.99%
10/01/2012;7 999;7 999;7 999;7 999;580;4 639 420;-0.26%
11/01/2012;7 800;7 800;7 800;7 800;391;3 049 800;-2.49%
12/01/2012;7 800;7 800;7 800;7 800;290;2 262 000;0.00%
13/01/2012;7 800;7 800;7 800;7 800;3 185;24 843 000;0.00%
16/01/2012;8 000;8 000;8 000;8 000;447;3 576 000;2.56%
17/01/2012;8 000;8 000;8 000;8 000;283;2 264 000;0.00%
18/01/2012;8 000;8 000;8 000;8 000;7 619;60 952 000;0.00%
19/01/2012;8 210;8 210;8 210;8 210;52;426 920;2.63%
20/01/2012;8 300;8 300;8 300;8 300;40;332 000;1.10%
23/01/2012;8 200;8 200;8 200;8 200;280;2 296 000;-1.20%
24/01/2012;8 200;8 200;8 200;8 200;92;754 400;0.00%
26/01/2012;8 500;8 500;8 500;8 500;335;2 847 500;3.66%
27/01/2012;8 400;8 400;8 400;8 400;144;1 209 600;-1.18%
30/01/2012;8 400;8 400;8 400;8 400;188;1 579 200;0.00%
31/01/2012;8 402;8 402;8 402;8 402;318;2 671 836;0.02%
01/02/2012;8 400;8 400;8 400;8 400;4 874;40 941 600;-0.02%
02/02/2012;8 400;8 400;8 400;8 400;752;6 316 800;0.00%
03/02/2012;8 410;8 410;8 410;8 410;230;1 934 300;0.12%
06/02/2012;8 400;8 400;8 400;8 400;2 956;24 830 400;-0.12%
07/02/2012;8 421;8 421;8 421;8 421;168;1 414 728;0.25%
08/02/2012;8 500;8 500;8 500;8 500;41;348 500;0.94%
09/02/2012;8 400;8 400;8 400;8 400;3 018;25 351 200;-1.18%
10/02/2012;8 400;8 400;8 400;8 400;425;3 570 000;0.00%
14/02/2012;8 400;8 400;8 400;8 400;1 603;13 465 200;0.00%
15/02/2012;8 400;8 400;8 400;8 400;226;1 898 400;0.00%
16/02/2012;8 400;8 400;8 400;8 400;361;3 032 400;0.00%
17/02/2012;8 400;8 400;8 400;8 400;536;4 502 400;0.00%
20/02/2012;8 420;8 420;8 420;8 420;423;3 561 660;0.24%
21/02/2012;8 820;8 820;8 820;8 820;1 185;10 451 700;4.75%
22/02/2012;8 900;8 900;8 900;8 900;475;4 227 500;0.91%
23/02/2012;9 567;9 567;9 567;9 567;157;1 502 019;7.49%
24/02/2012;9 100;9 100;9 100;9 100;293;2 666 300;-4.88%
27/02/2012;9 780;9 780;9 780;9 780;134;1 310 520;7.47%
28/02/2012;9 780;9 780;9 780;9 780;456;4 459 680;0.00%
29/02/2012;9 800;9 800;9 800;9 800;2 636;25 832 800;0.20%
01/03/2012;9 800;9 800;9 800;9 800;169;1 656 200;0.00%
02/03/2012;9 420;9 420;9 420;9 420;30;282 600;-3.88%
06/03/2012;10 200;10 200;10 200;10 200;1 886;19 237 200;8.28%
07/03/2012;10 000;10 000;10 000;10 000;291;2 910 000;-1.96%
08/03/2012;10 000;10 000;10 000;10 000;22;220 000;0.00%
09/03/2012;9 800;9 800;9 800;9 800;274;2 685 200;-2.00%
12/03/2012;10 000;10 000;10 000;10 000;82;820 000;2.04%
13/03/2012;10 200;10 200;10 200;10 200;893;9 108 600;2.00%
14/03/2012;10 200;10 200;10 200;10 200;195;1 989 000;0.00%
15/03/2012;10 400;10 400;10 400;10 400;234;2 433 600;1.96%
16/03/2012;10 400;10 400;10 400;10 400;1 513;15 735 200;0.00%
19/03/2012;10 600;10 600;10 600;10 600;152;1 611 200;1.92%
20/03/2012;10 500;10 500;10 500;10 500;414;4 347 000;-0.94%
21/03/2012;10 398;10 398;10 398;10 398;200;2 079 600;-0.97%
22/03/2012;10 200;10 200;10 200;10 200;504;5 140 800;-1.90%
23/03/2012;10 200;10 200;10 200;10 200;1 697;17 309 400;0.00%
26/03/2012;10 000;10 000;10 000;10 000;419;4 190 000;-1.96%
27/03/2012;10 000;10 000;10 000;10 000;1 700;17 000 000;0.00%
28/03/2012;10 000;10 000;10 000;10 000;158;1 580 000;0.00%
29/03/2012;10 001;10 001;10 001;10 001;234;2 340 234;0.01%
30/03/2012;10 000;10 000;10 000;10 000;43;430 000;-0.01%
03/04/2012;10 000;10 000;10 000;10 000;1 113;11 130 000;0.00%
04/04/2012;10 000;10 000;10 000;10 000;301;3 010 000;0.00%
05/04/2012;10 000;10 000;10 000;10 000;15 146;151 460 000;0.00%
06/04/2012;10 000;10 000;10 000;10 000;572;5 720 000;0.00%
10/04/2012;10 021;10 021;10 021;10 021;135;1 352 835;0.21%
11/04/2012;10 000;10 000;10 000;10 000;742;7 420 000;-0.21%
12/04/2012;10 000;10 000;10 000;10 000;202;2 020 000;0.00%
13/04/2012;10 000;10 000;10 000;10 000;231;2 310 000;0.00%
16/04/2012;10 000;10 000;10 000;10 000;378;3 780 000;0.00%
17/04/2012;10 000;10 000;10 000;10 000;95;950 000;0.00%
18/04/2012;10 000;10 000;10 000;10 000;365;3 650 000;0.00%
19/04/2012;10 000;10 000;10 000;10 000;231;2 310 000;0.00%
20/04/2012;10 000;10 000;10 000;10 000;310;3 100 000;0.00%
23/04/2012;10 000;10 000;10 000;10 000;131;1 310 000;0.00%
24/04/2012;10 000;10 000;10 000;10 000;292;2 920 000;0.00%
25/04/2012;10 001;10 001;10 001;10 001;64;640 064;0.01%
26/04/2012;10 000;10 000;10 000;10 000;405;4 050 000;-0.01%
27/04/2012;10 000;10 000;10 000;10 000;86;860 000;0.00%
30/04/2012;10 000;10 000;10 000;10 000;222;2 220 000;0.00%
02/05/2012;10 000;10 000;10 000;10 000;52;520 000;0.00%
03/05/2012;10 000;10 000;10 000;10 000;200;2 000 000;0.00%
04/05/2012;10 000;10 000;10 000;10 000;542;5 420 000;0.00%
07/05/2012;10 000;10 000;10 000;10 000;1 221;12 210 000;0.00%
08/05/2012;9 978;9 978;9 978;9 978;608;6 066 624;-0.22%
09/05/2012;9 740;9 740;9 740;9 740;188;1 831 120;-2.39%
10/05/2012;9 899;9 899;9 899;9 899;233;2 306 467;1.63%
11/05/2012;9 899;9 899;9 899;9 899;549;5 434 551;0.00%
14/05/2012;9 898;9 898;9 898;9 898;471;4 661 958;-0.01%
15/05/2012;9 860;9 860;9 860;9 860;336;3 312 960;-0.38%
16/05/2012;9 800;9 800;9 800;9 800;1 643;16 101 400;-0.61%
18/05/2012;9 780;9 780;9 780;9 780;745;7 286 100;-0.20%
21/05/2012;9 760;9 760;9 760;9 760;189;1 844 640;-0.20%
22/05/2012;9 760;9 760;9 760;9 760;127;1 239 520;0.00%
23/05/2012;9 600;9 600;9 600;9 600;391;3 753 600;-1.64%
24/05/2012;9 600;9 600;9 600;9 600;115;1 104 000;0.00%
25/05/2012;9 600;9 600;9 600;9 600;850;8 160 000;0.00%
29/05/2012;9 400;9 400;9 400;9 400;415;3 901 000;-2.08%
30/05/2012;9 395;9 395;9 395;9 395;1 608;15 107 160;-0.05%
31/05/2012;9 200;9 200;9 200;9 200;2 324;21 380 800;-2.08%
01/06/2012;9 202;9 202;9 202;9 202;94;864 988;0.02%
04/06/2012;9 400;9 400;9 400;9 400;496;4 662 400;2.15%
05/06/2012;9 402;9 402;9 402;9 402;3 796;35 689 992;0.02%
06/06/2012;9 503;9 503;9 503;9 503;247;2 347 241;1.07%
07/06/2012;9 620;9 620;9 620;9 620;3 383;32 544 460;1.23%
08/06/2012;9 600;9 600;9 600;9 600;1 750;16 800 000;-0.21%
11/06/2012;9 800;9 800;9 800;9 800;432;4 233 600;2.08%
12/06/2012;10 000;10 000;10 000;10 000;725;7 250 000;2.04%
13/06/2012;9 800;9 800;9 800;9 800;2 680;26 264 000;-2.00%
14/06/2012;9 820;9 820;9 820;9 820;2 906;28 536 920;0.20%
15/06/2012;9 980;9 980;9 980;9 980;1 115;11 127 700;1.63%
18/06/2012;10 000;10 000;10 000;10 000;560;5 600 000;0.20%
19/06/2012;10 200;10 200;10 200;10 200;766;7 813 200;2.00%
20/06/2012;8 900;8 900;8 900;8 900;821;7 306 900;-12.75%
21/06/2012;8 800;8 800;8 800;8 800;697;6 133 600;-1.12%
22/06/2012;8 400;8 400;8 400;8 400;375;3 150 000;-4.55%
25/06/2012;8 000;8 000;8 000;8 000;3 239;25 912 000;-4.76%
26/06/2012;8 000;8 000;8 000;8 000;1 430;11 440 000;0.00%
27/06/2012;8 040;8 040;8 040;8 040;224;1 800 960;0.50%
28/06/2012;8 000;8 000;8 000;8 000;669;5 352 000;-0.50%
02/07/2012;8 000;8 000;8 000;8 000;688;5 504 000;0.00%
03/07/2012;8 000;8 000;8 000;8 000;3 510;28 080 000;0.00%
04/07/2012;8 002;8 002;8 002;8 002;106;848 212;0.03%
05/07/2012;8 400;8 400;8 400;8 400;127;1 066 800;4.97%
06/07/2012;8 400;8 400;8 400;8 400;393;3 301 200;0.00%
09/07/2012;8 000;8 000;8 000;8 000;730;5 840 000;-4.76%
10/07/2012;7 800;7 800;7 800;7 800;872;6 801 600;-2.50%
11/07/2012;7 600;7 600;7 600;7 600;250;1 900 000;-2.56%
12/07/2012;7 400;7 400;7 400;7 400;209;1 546 600;-2.63%
13/07/2012;7 000;7 000;7 000;7 000;416;2 912 000;-5.41%
16/07/2012;7 000;7 000;7 000;7 000;383;2 681 000;0.00%
17/07/2012;6 999;6 999;6 999;6 999;374;2 617 626;-0.01%
