Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
03/01/2020;1 255;1 260;1 260;1 255;2 258;2 839 435;0.00%
06/01/2020;1 250;1 245;1 250;1 245;120;149 700;-0.40%
07/01/2020;1 260;1 255;1 260;1 255;5 244;6 594 330;0.80%
08/01/2020;1 205;1 300;1 300;1 205;2 745;3 438 113;-4.37%
09/01/2020;1 225;1 225;1 225;1 225;170;208 250;1.66%
10/01/2020;1 295;1 250;1 295;1 250;2 655;3 378 488;5.71%
13/01/2020;1 300;1 290;1 300;1 290;2 518;3 260 810;0.39%
14/01/2020;1 300;1 295;1 300;1 295;75;97 313;0.00%
15/01/2020;1 300;1 300;1 300;1 300;543;705 900;0.00%
16/01/2020;1 310;1 305;1 310;1 305;1 258;1 644 835;0.77%
17/01/2020;1 405;1 395;1 405;1 395;18;25 200;7.25%
20/01/2020;1 465;1 450;1 465;1 450;806;1 174 745;4.27%
21/01/2020;1 565;1 510;1 565;1 510;219;336 713;6.83%
23/01/2020;1 565;1 510;1 565;1 510;1 479;2 273 963;0.00%
24/01/2020;1 560;1 560;1 560;1 560;825;1 287 000;-0.32%
27/01/2020;1 525;1 515;1 525;1 515;1 693;2 573 360;-2.24%
29/01/2020;1 500;1 500;1 500;1 500;7 297;10 945 500;-1.64%
30/01/2020;1 500;1 495;1 500;1 495;1 414;2 117 465;0.00%
31/01/2020;1 515;1 495;1 515;1 495;1 757;2 644 285;1.00%
03/02/2020;1 520;1 515;1 520;1 515;464;704 120;0.33%
04/02/2020;1 570;1 520;1 570;1 520;335;517 575;3.29%
05/02/2020;1 570;1 570;1 570;1 570;184;288 880;0.00%
06/02/2020;1 565;1 565;1 565;1 565;27;42 255;-0.32%
07/02/2020;1 520;1 535;1 535;1 520;473;722 508;-2.88%
10/02/2020;1 465;1 520;1 520;1 465;3 419;5 102 858;-3.62%
11/02/2020;1 465;1 500;1 500;1 465;833;1 234 923;0.00%
12/02/2020;1 465;1 500;1 500;1 465;833;1 234 923;0.00%
13/02/2020;1 360;1 360;1 360;1 360;863;1 173 680;-7.17%
14/02/2020;1 360;1 360;1 360;1 360;481;654 160;0.00%
17/02/2020;1 305;1 320;1 320;1 305;182;238 875;-4.04%
18/02/2020;1 315;1 315;1 315;1 315;90;118 350;0.77%
19/02/2020;1 315;1 410;1 410;1 315;102;138 975;0.00%
20/02/2020;1 310;1 320;1 320;1 310;130;170 950;-0.38%
21/02/2020;1 305;1 315;1 315;1 305;259;339 290;-0.38%
