Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
16/02/2012;48;48;48;48;14;672;0.00%
07/03/2012;47;47;47;47;12;564;-2.08%
21/03/2012;44;44;44;44;12;528;-6.38%
25/06/2012;44;44;44;44;3;132;0.00%
25/07/2012;44;44;44;44;54;2 376;0.00%
26/07/2012;45;45;45;45;13;585;2.27%
31/07/2012;45;45;45;45;36;1 620;0.00%
02/08/2012;45;45;45;45;12;540;0.00%
16/08/2012;45;45;45;45;51;2 295;0.00%
22/08/2012;48;48;48;48;11;528;6.67%
23/08/2012;52;52;52;52;14;728;8.33%
30/08/2012;52;52;52;52;22;1 144;0.00%
03/09/2012;52;52;52;52;13;676;0.00%
04/09/2012;52;52;52;52;8;416;0.00%
17/09/2012;56;56;56;56;236;13 216;7.69%
18/09/2012;56;56;56;56;64;3 584;0.00%
20/09/2012;59;59;59;59;50;2 950;5.36%
05/10/2012;59;59;59;59;34;2 006;0.00%
11/10/2012;63;63;63;63;8;504;6.78%
15/10/2012;63;63;63;63;15;945;0.00%
22/10/2012;68;68;68;68;17;1 156;7.94%
23/10/2012;73;73;73;73;13;949;7.35%
25/10/2012;79;79;79;79;10;790;8.22%
30/10/2012;85;85;85;85;10;850;7.59%
31/10/2012;85;85;85;85;170;14 450;0.00%
07/11/2012;85;85;85;85;66;5 610;0.00%
08/11/2012;85;85;85;85;60;5 100;0.00%
09/11/2012;85;85;85;85;17;1 445;0.00%
20/11/2012;85;85;85;85;85;7 225;0.00%
27/11/2012;84;84;84;84;8;672;-1.18%
07/01/2013;84;84;84;84;8;672;0.00%
21/01/2013;78;78;78;78;55;4 290;-7.14%
31/01/2013;78;78;78;78;5;390;0.00%
08/02/2013;78;78;78;78;1;78;0.00%
19/02/2013;78;78;78;78;1;78;0.00%
20/02/2013;78;78;78;78;1;78;0.00%
21/02/2013;78;78;78;78;27;2 106;0.00%
06/03/2013;78;78;78;78;2;156;0.00%
18/04/2013;84;84;84;84;200;16 800;7.69%
19/04/2013;78;78;78;78;50;3 900;-7.14%
26/04/2013;78;78;78;78;5;390;0.00%
06/05/2013;78;78;78;78;3;234;0.00%
27/05/2013;83;83;83;83;8;664;6.41%
06/06/2013;85;85;85;85;25;2 125;2.41%
12/06/2013;91;91;91;91;8;728;7.06%
14/06/2013;98;98;98;98;10;980;7.69%
17/06/2013;91;91;91;91;143;13 013;-7.14%
18/06/2013;98;98;98;98;8;784;7.69%
19/06/2013;105;105;105;105;10;1 050;7.14%
21/06/2013;113;113;113;113;10;1 130;7.62%
