Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
03/01/2012;4 000;4 000;4 000;4 000;10;40 000;0.00%
04/01/2012;3 800;3 800;3 800;3 800;24;91 200;-5.00%
05/01/2012;3 800;3 800;3 800;3 800;39;148 200;0.00%
09/01/2012;3 800;3 800;3 800;3 800;1 400;5 320 000;0.00%
12/01/2012;4 000;4 000;4 000;4 000;27;108 000;5.26%
13/01/2012;3 900;3 900;3 900;3 900;10;39 000;-2.50%
17/01/2012;3 900;3 900;3 900;3 900;6;23 400;0.00%
18/01/2012;4 000;4 000;4 000;4 000;14;56 000;2.56%
19/01/2012;4 200;4 200;4 200;4 200;50;210 000;5.00%
20/01/2012;4 500;4 500;4 500;4 500;24;108 000;7.14%
23/01/2012;4 490;4 490;4 490;4 490;26;116 740;-0.22%
24/01/2012;4 490;4 490;4 490;4 490;15;67 350;0.00%
25/01/2012;4 290;4 290;4 290;4 290;46;197 340;-4.45%
26/01/2012;4 020;4 020;4 020;4 020;25;100 500;-6.29%
27/01/2012;3 719;3 719;3 719;3 719;106;394 214;-7.49%
30/01/2012;3 600;3 600;3 600;3 600;136;489 600;-3.20%
31/01/2012;3 650;3 650;3 650;3 650;62;226 300;1.39%
01/02/2012;3 719;3 719;3 719;3 719;106;394 214;1.89%
02/02/2012;3 720;3 720;3 720;3 720;20;74 400;0.03%
03/02/2012;3 720;3 720;3 720;3 720;10;37 200;0.00%
06/02/2012;3 800;3 800;3 800;3 800;26;98 800;2.15%
08/02/2012;3 800;3 800;3 800;3 800;2;7 600;0.00%
09/02/2012;3 850;3 850;3 850;3 850;16;61 600;1.32%
10/02/2012;4 000;4 000;4 000;4 000;122;488 000;3.90%
14/02/2012;4 000;4 000;4 000;4 000;13;52 000;0.00%
15/02/2012;4 000;4 000;4 000;4 000;5;20 000;0.00%
16/02/2012;4 000;4 000;4 000;4 000;39;156 000;0.00%
17/02/2012;4 000;4 000;4 000;4 000;16;64 000;0.00%
20/02/2012;3 980;3 980;3 980;3 980;112;445 760;-0.50%
21/02/2012;3 900;3 900;3 900;3 900;1 012;3 946 800;-2.01%
22/02/2012;3 900;3 900;3 900;3 900;352;1 372 800;0.00%
23/02/2012;3 900;3 900;3 900;3 900;295;1 150 500;0.00%
27/02/2012;4 100;4 100;4 100;4 100;14;57 400;5.13%
28/02/2012;4 300;4 300;4 300;4 300;30;129 000;4.88%
29/02/2012;4 300;4 300;4 300;4 300;20;86 000;0.00%
01/03/2012;4 300;4 300;4 300;4 300;560;2 408 000;0.00%
02/03/2012;4 200;4 200;4 200;4 200;127;533 400;-2.33%
05/03/2012;4 200;4 200;4 200;4 200;61;256 200;0.00%
06/03/2012;4 150;4 150;4 150;4 150;47;195 050;-1.19%
07/03/2012;4 150;4 150;4 150;4 150;30;124 500;0.00%
08/03/2012;4 150;4 150;4 150;4 150;24;99 600;0.00%
12/03/2012;4 150;4 150;4 150;4 150;5;20 750;0.00%
13/03/2012;4 000;4 000;4 000;4 000;2 326;9 304 000;-3.61%
14/03/2012;3 900;3 900;3 900;3 900;9;35 100;-2.50%
15/03/2012;3 900;3 900;3 900;3 900;56;218 400;0.00%
16/03/2012;3 900;3 900;3 900;3 900;50;195 000;0.00%
19/03/2012;4 000;4 000;4 000;4 000;369;1 476 000;2.56%
20/03/2012;4 000;4 000;4 000;4 000;56;224 000;0.00%
21/03/2012;4 000;4 000;4 000;4 000;100;400 000;0.00%
22/03/2012;4 000;4 000;4 000;4 000;10;40 000;0.00%
23/03/2012;3 900;3 900;3 900;3 900;98;382 200;-2.50%
26/03/2012;4 000;4 000;4 000;4 000;46;184 000;2.56%
27/03/2012;4 000;4 000;4 000;4 000;35;140 000;0.00%
28/03/2012;3 900;3 900;3 900;3 900;28;109 200;-2.50%
29/03/2012;3 900;3 900;3 900;3 900;1;3 900;0.00%
30/03/2012;4 000;4 000;4 000;4 000;133;532 000;2.56%
04/04/2012;4 000;4 000;4 000;4 000;1 241;4 964 000;2.56%
05/04/2012;4 000;4 000;4 000;4 000;15;60 000;0.00%
06/04/2012;4 000;4 000;4 000;4 000;685;2 740 000;0.00%
10/04/2012;4 000;4 000;4 000;4 000;13;52 000;0.00%
