Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
28/10/2016;1 618;1 618;1 618;1 618;40;64 700;7.48%
31/10/2016;1 739;1 739;1 739;1 739;172;299 022;7.48%
02/11/2016;1 869;1 869;1 869;1 869;274;511 969;7.48%
03/11/2016;2 009;2 009;2 009;2 009;38;76 323;7.49%
04/11/2016;2 159;2 159;2 159;2 159;658;1 420 622;7.49%
07/11/2016;2 321;2 321;2 321;2 321;510;1 183 455;7.48%
08/11/2016;2 495;2 495;2 495;2 495;5 892;14 697 594;7.50%
09/11/2016;2 682;2 682;2 682;2 682;10 662;28 590 153;7.50%
10/11/2016;2 481;2 481;2 481;2 481;79 950;198 315 975;-7.50%
11/11/2016;2 300;2 300;2 300;2 300;54 428;125 184 400;-7.28%
14/11/2016;2 400;2 400;2 400;2 400;11 770;28 248 000;4.35%
16/11/2016;2 401;2 401;2 401;2 401;22 440;53 878 440;0.04%
17/11/2016;2 500;2 500;2 500;2 500;7 626;19 065 000;4.12%
18/11/2016;2 313;2 313;2 313;2 313;9 806;22 676 375;-7.50%
21/11/2016;2 380;2 380;2 380;2 380;2 456;5 845 280;2.92%
22/11/2016;2 250;2 250;2 250;2 250;3 330;7 492 500;-5.46%
23/11/2016;2 200;2 200;2 200;2 200;4 178;9 191 600;-2.22%
24/11/2016;2 061;2 061;2 061;2 061;6 566;13 529 243;-6.34%
25/11/2016;2 050;2 050;2 050;2 050;7 594;15 567 700;-0.51%
28/11/2016;2 050;2 050;2 050;2 050;4 130;8 466 500;0.00%
29/11/2016;2 040;2 040;2 040;2 040;6 466;13 190 640;-0.49%
30/11/2016;2 193;2 193;2 193;2 193;6 718;14 732 574;7.50%
01/12/2016;2 357;2 357;2 357;2 357;4 286;10 102 102;7.48%
02/12/2016;2 400;2 400;2 400;2 400;23 512;56 428 800;1.82%
06/12/2016;2 200;2 200;2 200;2 200;2 964;6 519 318;-4.35%
07/12/2016;2 100;2 100;2 100;2 100;28 198;59 215 800;-4.52%
08/12/2016;2 150;2 150;2 150;2 150;13 220;28 423 000;2.38%
09/12/2016;2 152;2 152;2 152;2 152;1 842;3 963 063;0.07%
13/12/2016;2 100;2 100;2 100;2 100;4 870;10 227 000;-2.39%
14/12/2016;2 126;2 126;2 126;2 126;9 558;20 315 529;1.21%
15/12/2016;2 201;2 201;2 201;2 201;6 482;14 266 882;3.55%
16/12/2016;2 220;2 220;2 220;2 220;3 026;6 717 720;0.86%
19/12/2016;2 221;2 221;2 221;2 221;2 362;5 244 821;0.02%
20/12/2016;2 250;2 250;2 250;2 250;6 040;13 590 000;1.33%
21/12/2016;2 250;2 250;2 250;2 250;3 942;8 869 500;0.00%
22/12/2016;2 250;2 250;2 250;2 250;3 370;7 582 500;0.00%
