Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
09/01/2012;775;775;775;775;60;46 500;0.00%
12/01/2012;775;775;775;775;71;55 025;0.00%
13/01/2012;775;775;775;775;18;13 950;0.00%
16/01/2012;775;775;775;775;18;13 950;0.00%
17/01/2012;775;775;775;775;6;4 650;0.00%
20/01/2012;775;775;775;775;10;7 750;0.00%
24/01/2012;775;775;775;775;10;7 750;0.00%
25/01/2012;775;775;775;775;7;5 425;0.00%
30/01/2012;750;750;750;750;8;6 000;-3.23%
01/02/2012;763;763;763;763;16;12 208;1.73%
02/02/2012;763;763;763;763;23;17 549;0.00%
03/02/2012;763;763;763;763;11;8 393;0.00%
06/02/2012;775;775;775;775;10;7 750;1.57%
07/02/2012;775;775;775;775;69;53 475;0.00%
09/02/2012;775;775;775;775;283;219 325;0.00%
15/02/2012;775;775;775;775;3;2 325;0.00%
24/02/2012;775;775;775;775;513;397 575;0.00%
27/02/2012;788;788;788;788;500;394 000;1.68%
28/02/2012;800;800;800;800;10;8 000;1.52%
29/02/2012;800;800;800;800;505;404 000;0.00%
02/03/2012;803;803;803;803;10;8 030;0.38%
06/03/2012;813;813;813;813;343;278 859;1.25%
08/03/2012;813;813;813;813;15;12 195;0.00%
09/03/2012;813;813;813;813;3;2 439;0.00%
15/03/2012;813;813;813;813;2;1 626;0.00%
19/03/2012;800;800;800;800;15;12 000;-1.60%
21/03/2012;800;800;800;800;1;800;0.00%
22/03/2012;800;800;800;800;4;3 200;0.00%
23/03/2012;813;813;813;813;30;24 390;1.63%
26/03/2012;813;813;813;813;100;81 300;0.00%
27/03/2012;813;813;813;813;400;325 200;0.00%
28/03/2012;813;813;813;813;112;91 056;0.00%
29/03/2012;813;813;813;813;421;342 273;0.00%
30/03/2012;813;813;813;813;502;408 126;0.00%
06/04/2012;800;800;800;800;15;12 000;0.00%
16/04/2012;800;800;800;800;16;12 800;0.00%
17/04/2012;800;800;800;800;33;26 400;0.00%
20/04/2012;800;800;800;800;4;3 200;0.00%
24/04/2012;800;800;800;800;23;18 400;0.00%
25/04/2012;800;800;800;800;74;59 200;0.00%
