Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
27/02/2012;3 795;3 795;3 795;3 795;10;37 950;0.00%
01/03/2012;3 795;3 795;3 795;3 795;20;75 900;0.00%
16/03/2012;3 795;3 795;3 795;3 795;1;3 795;0.00%
20/09/2012;3 600;3 600;3 600;3 600;10;36 000;0.00%
08/11/2012;3 600;3 600;3 600;3 600;120;432 000;0.00%
29/11/2012;3 600;3 600;3 600;3 600;7;25 200;0.00%
03/12/2012;3 600;3 600;3 600;3 600;6;21 600;0.00%
15/02/2013;3 600;3 600;3 600;3 600;5;18 000;0.00%
18/02/2013;3 600;3 600;3 600;3 600;96;345 600;0.00%
14/03/2013;3 600;3 600;3 600;3 600;4;14 400;0.00%
15/03/2013;3 600;3 600;3 600;3 600;10;36 000;0.00%
31/05/2013;3 600;3 600;3 600;3 600;1;3 600;0.00%
30/07/2013;3 600;3 600;3 600;3 600;8;28 800;0.00%
01/08/2013;3 600;3 600;3 600;3 600;10;36 000;0.00%
21/08/2013;3 330;3 330;3 330;3 330;30;99 900;-7.50%
27/08/2013;3 330;3 330;3 330;3 330;190;632 700;0.00%
06/09/2013;3 330;3 330;3 330;3 330;3;9 990;0.00%
25/09/2013;3 600;3 600;3 600;3 600;10;36 000;0.70%
01/10/2013;3 600;3 600;3 600;3 600;9;32 400;0.00%
03/10/2013;3 330;3 330;3 330;3 330;5;16 650;-7.50%
10/10/2013;3 330;3 330;3 330;3 330;10;33 300;0.00%
25/10/2013;3 330;3 330;3 330;3 330;5;16 650;0.00%
09/01/2014;3 085;3 085;3 085;3 085;2;6 170;-7.36%
14/01/2014;3 310;3 310;3 310;3 310;2;6 620;7.29%
16/01/2014;3 310;3 310;3 310;3 310;8;26 480;0.00%
21/01/2014;3 555;3 555;3 555;3 555;30;106 650;7.40%
24/01/2014;3 820;3 820;3 820;3 820;7;26 740;7.45%
29/01/2014;3 820;3 820;3 820;3 820;16;61 120;0.00%
10/02/2014;4 105;4 105;4 105;4 105;5;20 525;7.46%
13/02/2014;4 400;4 400;4 400;4 400;10;44 000;7.19%
18/02/2014;4 400;4 400;4 400;4 400;72;316 800;0.00%
19/02/2014;4 100;4 100;4 100;4 100;3;12 300;-6.82%
14/03/2014;4 100;4 100;4 100;4 100;57;233 700;0.00%
08/04/2014;4 405;4 405;4 405;4 405;300;1 321 500;0.00%
09/04/2014;4 405;4 405;4 405;4 405;25;110 125;0.00%
10/04/2014;4 405;4 405;4 405;4 405;20;88 100;0.00%
11/04/2014;4 405;4 405;4 405;4 405;7;30 835;0.00%
17/04/2014;4 405;4 405;4 405;4 405;5;22 025;0.00%
24/04/2014;4 405;4 405;4 405;4 405;10;44 050;0.00%
05/05/2014;4 405;4 405;4 405;4 405;5;22 025;0.00%
08/05/2014;4 405;4 405;4 405;4 405;20;88 100;0.00%
13/05/2014;4 405;4 405;4 405;4 405;50;220 250;0.00%
14/05/2014;4 405;4 405;4 405;4 405;48;211 440;0.00%
21/05/2014;4 735;4 735;4 735;4 735;10;47 350;7.49%
30/06/2014;5 105;5 105;5 105;5 105;11;56 155;7.47%
21/07/2014;5 300;5 300;5 300;5 300;10;53 000;3.82%
29/07/2014;5 305;5 305;5 305;5 305;5;26 525;0.09%
