Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
04/01/2012;3 155;3 155;3 155;3 155;18;56 790;0.00%
05/01/2012;3 155;3 155;3 155;3 155;17;53 635;0.00%
06/01/2012;3 155;3 155;3 155;3 155;24;75 720;0.00%
10/01/2012;3 155;3 155;3 155;3 155;5;15 775;0.00%
11/01/2012;3 155;3 155;3 155;3 155;60;189 300;0.00%
12/01/2012;3 155;3 155;3 155;3 155;50;157 750;0.00%
13/01/2012;3 155;3 155;3 155;3 155;16;50 480;0.00%
16/01/2012;3 150;3 150;3 150;3 150;24;75 600;-0.16%
17/01/2012;3 150;3 150;3 150;3 150;17;53 550;0.00%
18/01/2012;3 150;3 150;3 150;3 150;15;47 250;0.00%
19/01/2012;3 150;3 150;3 150;3 150;60;189 000;0.00%
25/01/2012;3 200;3 200;3 200;3 200;372;1 190 400;1.59%
26/01/2012;3 175;3 175;3 175;3 175;9;28 575;-0.78%
27/01/2012;3 175;3 175;3 175;3 175;15;47 625;0.00%
30/01/2012;3 175;3 175;3 175;3 175;15;47 625;0.00%
01/02/2012;3 175;3 175;3 175;3 175;8;25 400;0.00%
03/02/2012;3 175;3 175;3 175;3 175;13;41 275;0.00%
06/02/2012;3 175;3 175;3 175;3 175;10;31 750;0.00%
07/02/2012;3 175;3 175;3 175;3 175;15;47 625;0.00%
08/02/2012;3 176;3 176;3 176;3 176;30;95 280;0.03%
14/02/2012;3 200;3 200;3 200;3 200;13;41 600;0.76%
15/02/2012;3 176;3 176;3 176;3 176;8;25 408;-0.75%
17/02/2012;3 175;3 175;3 175;3 175;27;85 725;-0.03%
22/02/2012;3 176;3 176;3 176;3 176;21;66 696;0.03%
23/02/2012;3 176;3 176;3 176;3 176;23;73 048;0.00%
27/02/2012;3 200;3 200;3 200;3 200;15;48 000;0.76%
28/02/2012;3 200;3 200;3 200;3 200;53;169 600;0.00%
01/03/2012;3 250;3 250;3 250;3 250;8;26 000;1.56%
02/03/2012;3 255;3 255;3 255;3 255;49;159 495;0.15%
08/03/2012;3 499;3 499;3 499;3 499;11;38 489;7.50%
09/03/2012;3 761;3 761;3 761;3 761;9;33 849;7.49%
12/03/2012;3 761;3 761;3 761;3 761;10;37 610;0.00%
13/03/2012;4 000;4 000;4 000;4 000;32;128 000;6.35%
14/03/2012;3 800;3 800;3 800;3 800;25;95 000;-5.00%
15/03/2012;3 800;3 800;3 800;3 800;1;3 800;0.00%
20/03/2012;3 800;3 800;3 800;3 800;92;349 600;0.00%
21/03/2012;3 800;3 800;3 800;3 800;5;19 000;0.00%
22/03/2012;3 800;3 800;3 800;3 800;32;121 600;0.00%
23/03/2012;3 800;3 800;3 800;3 800;18;68 400;0.00%
26/03/2012;3 800;3 800;3 800;3 800;119;452 200;0.00%
27/03/2012;3 999;3 999;3 999;3 999;70;279 930;5.24%
29/03/2012;3 800;3 800;3 800;3 800;31;117 800;-4.98%
03/04/2012;3 750;3 750;3 750;3 750;40;150 000;-1.32%
04/04/2012;3 750;3 750;3 750;3 750;53;198 750;0.00%
06/04/2012;3 450;3 450;3 450;3 450;246;848 700;-8.00%
11/04/2012;3 400;3 400;3 400;3 400;200;680 000;-1.45%
12/04/2012;3 400;3 400;3 400;3 400;109;370 600;0.00%
16/04/2012;3 450;3 450;3 450;3 450;14;48 300;1.47%
17/04/2012;3 450;3 450;3 450;3 450;84;289 800;0.00%
18/04/2012;3 450;3 450;3 450;3 450;21;72 450;0.00%
20/04/2012;3 450;3 450;3 450;3 450;10;34 500;0.00%
24/04/2012;3 250;3 250;3 250;3 250;25;81 250;-5.80%
25/04/2012;3 250;3 250;3 250;3 250;18;58 500;0.00%
26/04/2012;3 250;3 250;3 250;3 250;5;16 250;0.00%
02/05/2012;3 250;3 250;3 250;3 250;3;9 750;0.00%
