Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
09/01/2012;4 750;4 750;4 750;4 750;30;142 500;-6.97%
10/01/2012;4 750;4 750;4 750;4 750;30;142 500;0.00%
11/01/2012;4 750;4 750;4 750;4 750;1;4 750;0.00%
18/01/2012;4 750;4 750;4 750;4 750;52;247 000;0.00%
26/01/2012;5 000;5 000;5 000;5 000;20;100 000;5.26%
02/02/2012;4 750;4 750;4 750;4 750;150;712 500;-5.00%
09/02/2012;4 750;4 750;4 750;4 750;1;4 750;0.00%
15/02/2012;4 750;4 750;4 750;4 750;412;1 957 000;0.00%
22/02/2012;4 775;4 775;4 775;4 775;12;57 300;0.53%
23/02/2012;4 750;4 750;4 750;4 750;100;475 000;-0.52%
27/02/2012;4 750;4 750;4 750;4 750;450;2 137 500;0.00%
28/02/2012;4 750;4 750;4 750;4 750;170;807 500;0.00%
29/02/2012;4 750;4 750;4 750;4 750;3;14 250;0.00%
01/03/2012;4 750;4 750;4 750;4 750;1;4 750;0.00%
02/03/2012;4 750;4 750;4 750;4 750;11;52 250;0.00%
09/03/2012;4 750;4 750;4 750;4 750;100;475 000;0.00%
12/03/2012;4 750;4 750;4 750;4 750;300;1 425 000;0.00%
14/03/2012;4 750;4 750;4 750;4 750;16;76 000;0.00%
19/03/2012;4 750;4 750;4 750;4 750;311;1 477 250;0.00%
20/03/2012;4 750;4 750;4 750;4 750;25;118 750;0.00%
21/03/2012;4 750;4 750;4 750;4 750;3;14 250;0.00%
27/03/2012;4 750;4 750;4 750;4 750;10;47 500;0.00%
12/04/2012;4 749;4 749;4 749;4 749;1;4 749;0.00%
24/04/2012;4 749;4 749;4 749;4 749;10;47 490;0.00%
25/04/2012;4 749;4 749;4 749;4 749;10;47 490;0.00%
27/04/2012;4 500;4 500;4 500;4 500;30;135 000;-5.24%
04/05/2012;4 499;4 499;4 499;4 499;25;112 475;-0.02%
07/05/2012;4 250;4 250;4 250;4 250;62;263 500;-5.53%
21/05/2012;4 250;4 250;4 250;4 250;16;68 000;0.00%
22/05/2012;4 250;4 250;4 250;4 250;2;8 500;0.00%
31/05/2012;4 250;4 250;4 250;4 250;20;85 000;0.00%
04/06/2012;4 250;4 250;4 250;4 250;48;204 000;0.00%
05/06/2012;4 249;4 249;4 249;4 249;50;212 450;-0.02%
07/06/2012;4 249;4 249;4 249;4 249;22;93 478;0.00%
08/06/2012;4 249;4 249;4 249;4 249;5;21 245;0.00%
11/06/2012;4 249;4 249;4 249;4 249;93;395 157;0.00%
12/06/2012;4 249;4 249;4 249;4 249;34;144 466;0.00%
18/06/2012;4 250;4 250;4 250;4 250;14;59 500;0.02%
19/06/2012;4 250;4 250;4 250;4 250;50;212 500;0.00%
20/06/2012;4 000;4 000;4 000;4 000;10;40 000;-5.88%
25/06/2012;4 000;4 000;4 000;4 000;153;612 000;0.00%
10/07/2012;4 500;4 500;4 500;4 500;39;175 500;5.86%
11/07/2012;4 750;4 750;4 750;4 750;102;484 500;5.56%
08/08/2012;4 763;4 763;4 763;4 763;100;476 300;0.27%
09/08/2012;5 000;5 000;5 000;5 000;9;45 000;4.98%
10/08/2012;5 000;5 000;5 000;5 000;171;855 000;0.00%
13/08/2012;4 988;4 988;4 988;4 988;50;249 400;-0.24%
14/08/2012;5 000;5 000;5 000;5 000;12;60 000;0.24%
16/08/2012;4 775;4 775;4 775;4 775;34;162 350;-4.50%
17/08/2012;4 775;4 775;4 775;4 775;5;23 875;0.00%
23/08/2012;5 000;5 000;5 000;5 000;210;1 050 000;4.71%
27/08/2012;5 000;5 000;5 000;5 000;32;160 000;0.00%
28/08/2012;5 000;5 000;5 000;5 000;8;40 000;0.00%
29/08/2012;5 000;5 000;5 000;5 000;49;245 000;0.00%
30/08/2012;5 000;5 000;5 000;5 000;15;75 000;0.00%
31/08/2012;5 000;5 000;5 000;5 000;150;750 000;0.00%
03/09/2012;5 000;5 000;5 000;5 000;8;40 000;0.00%
04/09/2012;5 000;5 000;5 000;5 000;200;1 000 000;0.00%
05/09/2012;5 000;5 000;5 000;5 000;47;235 000;0.00%
06/09/2012;5 000;5 000;5 000;5 000;10;50 000;0.00%
07/09/2012;5 000;5 000;5 000;5 000;160;800 000;0.00%
11/09/2012;5 000;5 000;5 000;5 000;5;25 000;0.00%
12/09/2012;4 750;4 750;4 750;4 750;33;156 750;-5.00%
14/09/2012;4 750;4 750;4 750;4 750;230;1 092 500;0.00%
18/09/2012;4 753;4 753;4 753;4 753;222;1 055 166;0.06%
19/09/2012;4 750;4 750;4 750;4 750;100;475 000;-0.06%
21/09/2012;4 750;4 750;4 750;4 750;244;1 159 000;0.00%
24/09/2012;5 000;5 000;5 000;5 000;10;50 000;5.26%
25/09/2012;5 000;5 000;5 000;5 000;300;1 500 000;0.00%
