Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
12/01/2012;1 860;1 860;1 860;1 860;18;33 480;0.54%
13/01/2012;1 900;1 900;1 900;1 900;17;32 300;2.15%
16/01/2012;1 900;1 900;1 900;1 900;10;19 000;0.00%
17/01/2012;1 900;1 900;1 900;1 900;29;55 100;0.00%
20/01/2012;1 911;1 911;1 911;1 911;30;57 330;0.58%
26/01/2012;2 208;2 208;2 208;2 208;412;909 696;15.54%
01/02/2012;2 200;2 200;2 200;2 200;60;132 000;-0.36%
02/02/2012;2 200;2 200;2 200;2 200;20;44 000;0.00%
03/02/2012;2 035;2 035;2 035;2 035;31;63 085;-7.50%
06/02/2012;1 950;1 950;1 950;1 950;29;56 550;-4.18%
07/02/2012;1 950;1 950;1 950;1 950;30;58 500;0.00%
08/02/2012;1 951;1 951;1 951;1 951;13;25 363;0.05%
10/02/2012;1 951;1 951;1 951;1 951;51;99 501;0.00%
14/02/2012;1 952;1 952;1 952;1 952;125;244 000;0.05%
15/02/2012;1 960;1 960;1 960;1 960;55;107 800;0.41%
16/02/2012;2 050;2 050;2 050;2 050;50;102 500;4.59%
17/02/2012;2 204;2 204;2 204;2 204;65;143 260;7.51%
20/02/2012;2 211;2 211;2 211;2 211;39;86 229;0.32%
21/02/2012;2 374;2 374;2 374;2 374;85;201 790;7.37%
22/02/2012;2 552;2 552;2 552;2 552;30;76 560;7.50%
23/02/2012;2 700;2 700;2 700;2 700;135;364 500;5.80%
24/02/2012;2 898;2 898;2 898;2 898;45;130 410;7.33%
27/02/2012;2 898;2 898;2 898;2 898;51;147 798;0.00%
28/02/2012;2 681;2 681;2 681;2 681;30;80 430;-7.49%
29/02/2012;2 600;2 600;2 600;2 600;135;351 000;-3.02%
01/03/2012;2 600;2 600;2 600;2 600;21;54 600;0.00%
02/03/2012;2 600;2 600;2 600;2 600;36;93 600;0.00%
06/03/2012;2 600;2 600;2 600;2 600;264;686 400;0.00%
09/03/2012;2 600;2 600;2 600;2 600;144;374 400;0.00%
13/03/2012;2 450;2 450;2 450;2 450;503;1 232 350;-5.77%
14/03/2012;2 500;2 500;2 500;2 500;45;112 500;2.04%
15/03/2012;2 500;2 500;2 500;2 500;75;187 500;0.00%
16/03/2012;2 400;2 400;2 400;2 400;9;21 600;-4.00%
20/03/2012;2 405;2 405;2 405;2 405;52;125 060;0.21%
23/03/2012;2 406;2 406;2 406;2 406;58;139 548;0.04%
26/03/2012;2 407;2 407;2 407;2 407;10;24 070;0.04%
27/03/2012;2 412;2 412;2 412;2 412;194;467 928;0.21%
04/04/2012;2 592;2 592;2 592;2 592;25;64 800;0.00%
05/04/2012;2 592;2 592;2 592;2 592;25;64 800;0.00%
