Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
04/01/2012;5 599;5 599;5 599;5 599;40;223 960;1.78%
05/01/2012;5 600;5 600;5 600;5 600;69;386 400;0.02%
09/01/2012;5 600;5 600;5 600;5 600;31;173 600;0.00%
10/01/2012;5 200;5 200;5 200;5 200;279;1 450 800;-7.14%
12/01/2012;5 500;5 500;5 500;5 500;12;66 000;5.77%
13/01/2012;5 600;5 600;5 600;5 600;50;280 000;1.82%
16/01/2012;5 400;5 400;5 400;5 400;22;118 800;-3.57%
17/01/2012;5 600;5 600;5 600;5 600;30;168 000;3.70%
18/01/2012;5 500;5 500;5 500;5 500;301;1 655 500;-1.79%
19/01/2012;5 500;5 500;5 500;5 500;40;220 000;0.00%
20/01/2012;5 600;5 600;5 600;5 600;17;95 200;1.82%
24/01/2012;5 600;5 600;5 600;5 600;60;336 000;0.00%
25/01/2012;5 600;5 600;5 600;5 600;3;16 800;0.00%
26/01/2012;5 600;5 600;5 600;5 600;144;806 400;0.00%
27/01/2012;5 600;5 600;5 600;5 600;3 000;16 800 000;0.00%
30/01/2012;5 800;5 800;5 800;5 800;10;58 000;3.57%
31/01/2012;5 800;5 800;5 800;5 800;4;23 200;0.00%
01/02/2012;5 650;5 650;5 650;5 650;38;214 700;-2.59%
02/02/2012;5 800;5 800;5 800;5 800;110;638 000;2.65%
03/02/2012;5 800;5 800;5 800;5 800;66;382 800;0.00%
06/02/2012;5 800;5 800;5 800;5 800;10;58 000;0.00%
07/02/2012;5 650;5 650;5 650;5 650;10;56 500;-2.59%
08/02/2012;5 650;5 650;5 650;5 650;33;186 450;0.00%
09/02/2012;5 650;5 650;5 650;5 650;3;16 950;0.00%
10/02/2012;5 800;5 800;5 800;5 800;116;672 800;2.65%
15/02/2012;5 800;5 800;5 800;5 800;56;324 800;0.00%
16/02/2012;5 820;5 820;5 820;5 820;1 540;8 962 800;0.34%
17/02/2012;5 820;5 820;5 820;5 820;872;5 075 040;0.00%
20/02/2012;5 870;5 870;5 870;5 870;109;639 830;0.86%
21/02/2012;6 000;6 000;6 000;6 000;95;570 000;2.21%
22/02/2012;6 100;6 100;6 100;6 100;288;1 756 800;1.67%
23/02/2012;6 300;6 300;6 300;6 300;31;195 300;3.28%
24/02/2012;6 400;6 400;6 400;6 400;284;1 817 600;1.59%
27/02/2012;6 501;6 501;6 501;6 501;534;3 471 534;1.58%
28/02/2012;6 600;6 600;6 600;6 600;375;2 475 000;1.52%
29/02/2012;6 750;6 750;6 750;6 750;9;60 750;2.27%
01/03/2012;6 900;6 900;6 900;6 900;111;765 900;2.22%
02/03/2012;7 000;7 000;7 000;7 000;720;5 040 000;1.45%
05/03/2012;7 000;7 000;7 000;7 000;1 134;7 938 000;0.00%
06/03/2012;7 500;7 500;7 500;7 500;1 004;7 530 000;7.14%
07/03/2012;7 000;7 000;7 000;7 000;97;679 000;-6.67%
08/03/2012;7 000;7 000;7 000;7 000;319;2 233 000;0.00%
09/03/2012;7 400;7 400;7 400;7 400;109;806 600;5.71%
12/03/2012;7 650;7 650;7 650;7 650;75;573 750;3.38%
13/03/2012;7 503;7 503;7 503;7 503;320;2 400 960;-1.92%
14/03/2012;7 500;7 500;7 500;7 500;54;405 000;-0.04%
