Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
11/01/2012;8 200;8 200;8 200;8 200;990;8 118 297;0.62%
26/01/2012;8 500;8 500;8 500;8 500;70;595 000;3.65%
30/01/2012;8 500;8 500;8 500;8 500;30;255 000;0.00%
07/02/2012;8 500;8 500;8 500;8 500;90;765 000;0.00%
08/02/2012;8 500;8 500;8 500;8 500;100;850 000;0.00%
14/02/2012;8 585;8 585;8 585;8 585;90;772 650;1.00%
15/02/2012;8 585;8 585;8 585;8 585;30;257 550;0.00%
17/02/2012;8 585;8 585;8 585;8 585;140;1 201 900;0.00%
27/02/2012;8 615;8 615;8 615;8 615;150;1 292 250;0.35%
15/03/2012;9 261;9 261;9 261;9 261;90;833 490;7.50%
19/03/2012;9 261;9 261;9 261;9 261;140;1 296 540;0.00%
20/03/2012;9 261;9 261;9 261;9 261;340;3 148 740;0.00%
21/03/2012;9 261;9 261;9 261;9 261;10;92 610;0.00%
10/04/2012;9 300;9 300;9 300;9 300;20;186 000;0.00%
17/04/2012;9 300;9 300;9 300;9 300;20;186 000;0.00%
01/06/2012;9 325;9 325;9 325;9 325;170;1 585 250;0.27%
15/06/2012;9 325;9 325;9 325;9 325;10;93 250;0.00%
25/06/2012;9 325;9 325;9 325;9 325;130;1 212 250;0.00%
10/07/2012;9 400;9 400;9 400;9 400;90;846 000;0.00%
11/07/2012;9 400;9 400;9 400;9 400;290;2 726 000;0.00%
03/08/2012;9 463;9 463;9 463;9 463;150;1 419 375;0.66%
08/08/2012;9 460;9 460;9 460;9 460;90;851 400;-0.03%
13/08/2012;9 460;9 460;9 460;9 460;240;2 270 400;0.00%
14/08/2012;10 150;10 150;10 150;10 150;510;5 176 500;7.29%
17/08/2012;9 562;9 562;9 562;9 562;220;2 103 640;-5.79%
27/08/2012;9 596;9 596;9 596;9 596;320;3 070 720;0.36%
29/08/2012;9 611;9 611;9 611;9 611;150;1 441 650;0.16%
03/10/2012;9 775;9 775;9 775;9 775;10;97 750;0.00%
12/10/2012;10 000;10 000;10 000;10 000;240;2 400 000;2.30%
15/10/2012;10 750;10 750;10 750;10 750;240;2 580 000;7.50%
19/10/2012;10 750;10 750;10 750;10 750;290;3 117 500;0.00%
25/10/2012;9 944;9 944;9 944;9 944;460;4 574 148;-7.50%
31/10/2012;9 944;9 944;9 944;9 944;240;2 386 512;0.00%
02/11/2012;9 944;9 944;9 944;9 944;560;5 568 528;0.00%
06/11/2012;9 944;9 944;9 944;9 944;590;5 866 842;0.00%
08/11/2012;9 944;9 944;9 944;9 944;50;497 190;0.00%
14/11/2012;10 690;10 690;10 690;10 690;70;748 265;7.50%
16/11/2012;11 491;11 491;11 491;11 491;70;804 370;7.50%
20/11/2012;12 350;12 350;12 350;12 350;390;4 816 500;7.48%
28/11/2012;11 425;11 425;11 425;11 425;180;2 056 500;-7.49%
30/11/2012;11 382;11 382;11 382;11 382;160;1 821 088;-0.38%
05/12/2012;11 386;11 386;11 386;11 386;170;1 935 586;0.04%
07/12/2012;11 400;11 400;11 400;11 400;2 890;32 946 000;0.12%
12/12/2012;11 500;11 500;11 500;11 500;190;2 185 000;0.88%
13/12/2012;11 500;11 500;11 500;11 500;10;115 000;0.00%
17/12/2012;11 500;11 500;11 500;11 500;40;460 000;0.00%
20/12/2012;11 500;11 500;11 500;11 500;150;1 725 000;0.00%
09/01/2013;11 554;11 554;11 554;11 554;50;577 675;0.00%
11/01/2013;12 250;12 250;12 250;12 250;80;980 000;6.03%
18/01/2013;12 250;12 250;12 250;12 250;600;7 350 000;0.00%
25/01/2013;12 250;12 250;12 250;12 250;40;490 000;0.00%
30/01/2013;12 250;12 250;12 250;12 250;-;0;0.00%
31/01/2013;12 250;12 250;12 250;12 250;90;1 102 500;0.00%
05/02/2013;12 250;12 250;12 250;12 250;10;122 500;0.00%
11/02/2013;12 255;12 255;12 255;12 255;100;1 225 500;0.04%
26/02/2013;12 500;12 500;12 500;12 500;90;1 125 000;2.00%
