Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
04/01/2012;12 000;12 000;12 000;12 000;2 153;25 836 000;-0.01%
05/01/2012;12 000;12 000;12 000;12 000;1 791;21 492 000;0.00%
06/01/2012;12 500;12 500;12 500;12 500;1 007;12 587 500;4.17%
09/01/2012;12 500;12 500;12 500;12 500;359;4 487 500;0.00%
10/01/2012;12 500;12 500;12 500;12 500;258;3 225 000;0.00%
11/01/2012;12 500;12 500;12 500;12 500;327;4 087 500;0.00%
12/01/2012;12 500;12 500;12 500;12 500;600;7 500 000;0.00%
13/01/2012;12 500;12 500;12 500;12 500;3 200;40 000 000;0.00%
16/01/2012;12 490;12 490;12 490;12 490;13;162 370;-0.08%
17/01/2012;12 400;12 400;12 400;12 400;5 000;62 000 000;-0.72%
18/01/2012;12 490;12 490;12 490;12 490;5 005;62 512 450;0.73%
19/01/2012;12 480;12 480;12 480;12 480;85;1 060 800;-0.08%
20/01/2012;12 400;12 400;12 400;12 400;3 984;49 401 600;-0.64%
23/01/2012;12 300;12 300;12 300;12 300;201;2 472 300;-0.81%
24/01/2012;12 200;12 200;12 200;12 200;154;1 878 800;-0.81%
25/01/2012;12 000;12 000;12 000;12 000;1 567;18 804 000;-1.64%
26/01/2012;12 000;12 000;12 000;12 000;587;7 044 000;0.00%
27/01/2012;12 001;12 001;12 001;12 001;124;1 488 124;0.01%
30/01/2012;12 000;12 000;12 000;12 000;1 719;20 628 000;-0.01%
31/01/2012;12 000;12 000;12 000;12 000;495;5 940 000;0.00%
01/02/2012;12 000;12 000;12 000;12 000;148;1 776 000;0.00%
02/02/2012;12 000;12 000;12 000;12 000;2 853;34 236 000;0.00%
03/02/2012;12 400;12 400;12 400;12 400;151;1 872 400;3.33%
06/02/2012;12 400;12 400;12 400;12 400;235;2 914 000;0.00%
07/02/2012;12 400;12 400;12 400;12 400;400;4 960 000;0.00%
08/02/2012;12 400;12 400;12 400;12 400;287;3 558 800;0.00%
09/02/2012;12 400;12 400;12 400;12 400;3 709;45 991 600;0.00%
10/02/2012;12 405;12 405;12 405;12 405;177;2 195 685;0.04%
14/02/2012;12 400;12 400;12 400;12 400;162;2 008 800;-0.04%
15/02/2012;12 400;12 400;12 400;12 400;753;9 337 200;0.00%
16/02/2012;12 400;12 400;12 400;12 400;2 086;25 866 400;0.00%
17/02/2012;12 500;12 500;12 500;12 500;382;4 775 000;0.81%
20/02/2012;12 500;12 500;12 500;12 500;215;2 687 500;0.00%
21/02/2012;12 500;12 500;12 500;12 500;95;1 187 500;0.00%
22/02/2012;12 500;12 500;12 500;12 500;154;1 925 000;0.00%
23/02/2012;12 501;12 501;12 501;12 501;125;1 562 625;0.01%
24/02/2012;12 600;12 600;12 600;12 600;565;7 119 000;0.79%
27/02/2012;12 600;12 600;12 600;12 600;1 708;21 520 800;0.00%
28/02/2012;12 600;12 600;12 600;12 600;325;4 095 000;0.00%
29/02/2012;12 600;12 600;12 600;12 600;287;3 616 200;0.00%
01/03/2012;12 600;12 600;12 600;12 600;493;6 211 800;0.00%
02/03/2012;12 600;12 600;12 600;12 600;525;6 615 000;0.00%
05/03/2012;12 600;12 600;12 600;12 600;2 005;25 263 000;0.00%
06/03/2012;12 600;12 600;12 600;12 600;881;11 100 600;0.00%
07/03/2012;12 600;12 600;12 600;12 600;720;9 072 000;0.00%
08/03/2012;12 600;12 600;12 600;12 600;3 714;46 796 400;0.00%
09/03/2012;12 595;12 595;12 595;12 595;346;4 357 870;-0.04%
12/03/2012;12 595;12 595;12 595;12 595;167;2 103 365;0.00%
13/03/2012;12 595;12 595;12 595;12 595;250;3 148 750;0.00%
14/03/2012;12 590;12 590;12 590;12 590;713;8 976 670;-0.04%
15/03/2012;12 595;12 595;12 595;12 595;341;4 294 895;0.04%
16/03/2012;12 601;12 601;12 601;12 601;18;226 818;0.05%
19/03/2012;12 601;12 601;12 601;12 601;1 373;17 301 173;0.00%
20/03/2012;12 610;12 610;12 610;12 610;1 219;15 371 590;0.07%
21/03/2012;12 601;12 601;12 601;12 601;1 471;18 536 071;-0.07%
22/03/2012;12 601;12 601;12 601;12 601;673;8 480 473;0.00%
23/03/2012;12 601;12 601;12 601;12 601;311;3 918 911;0.00%
26/03/2012;12 601;12 601;12 601;12 601;1 277;16 091 477;0.00%
27/03/2012;12 601;12 601;12 601;12 601;335;4 221 335;0.00%
28/03/2012;12 650;12 650;12 650;12 650;2 029;25 666 850;0.39%
29/03/2012;12 650;12 650;12 650;12 650;24;303 600;0.00%
30/03/2012;12 700;12 700;12 700;12 700;304;3 860 800;0.40%
03/04/2012;12 800;12 800;12 800;12 800;676;8 652 800;-1.54%
04/04/2012;12 800;12 800;12 800;12 800;758;9 702 400;0.00%
05/04/2012;12 800;12 800;12 800;12 800;3 856;49 356 800;0.00%
06/04/2012;13 001;13 001;13 001;13 001;11;143 011;1.57%
10/04/2012;12 900;12 900;12 900;12 900;254;3 276 600;-0.78%
11/04/2012;12 800;12 800;12 800;12 800;216;2 764 800;-0.78%
12/04/2012;12 600;12 600;12 600;12 600;425;5 355 000;-1.56%
13/04/2012;12 600;12 600;12 600;12 600;314;3 956 400;0.00%
16/04/2012;12 600;12 600;12 600;12 600;1 677;21 130 200;0.00%
17/04/2012;12 600;12 600;12 600;12 600;508;6 400 800;0.00%
18/04/2012;12 600;12 600;12 600;12 600;196;2 469 600;0.00%
19/04/2012;12 600;12 600;12 600;12 600;1 687;21 256 200;0.00%
20/04/2012;12 700;12 700;12 700;12 700;154;1 955 800;0.79%
23/04/2012;12 600;12 600;12 600;12 600;1 679;21 155 400;-0.79%
24/04/2012;12 590;12 590;12 590;12 590;666;8 384 940;-0.08%
25/04/2012;12 500;12 500;12 500;12 500;359;4 487 500;-0.71%
26/04/2012;12 500;12 500;12 500;12 500;204;2 550 000;0.00%
27/04/2012;12 500;12 500;12 500;12 500;491;6 137 500;0.00%
02/05/2012;10 500;10 500;10 500;10 500;10;105 000;-16.00%
04/05/2012;11 300;11 300;11 300;11 300;329;3 717 700;7.62%
07/05/2012;11 200;11 200;11 200;11 200;2 112;23 654 400;-0.88%
08/05/2012;11 200;11 200;11 200;11 200;1 172;13 126 400;0.00%
09/05/2012;11 200;11 200;11 200;11 200;2 487;27 854 400;0.00%
10/05/2012;11 300;11 300;11 300;11 300;3 068;34 668 400;0.89%
11/05/2012;11 300;11 300;11 300;11 300;4 758;53 765 400;0.00%
14/05/2012;11 300;11 300;11 300;11 300;129;1 457 700;0.00%
15/05/2012;11 300;11 300;11 300;11 300;713;8 056 900;0.00%
16/05/2012;11 300;11 300;11 300;11 300;4 012;45 335 600;0.00%
18/05/2012;11 300;11 300;11 300;11 300;413;4 666 900;0.00%
21/05/2012;11 300;11 300;11 300;11 300;886;10 011 800;0.00%
22/05/2012;11 300;11 300;11 300;11 300;870;9 831 000;0.00%
23/05/2012;11 300;11 300;11 300;11 300;757;8 554 100;0.00%
24/05/2012;11 300;11 300;11 300;11 300;1 124;12 701 200;0.00%
25/05/2012;11 300;11 300;11 300;11 300;384;4 339 200;0.00%
29/05/2012;11 300;11 300;11 300;11 300;14 319;161 804 700;0.00%
30/05/2012;11 400;11 400;11 400;11 400;3 070;34 998 000;0.88%
31/05/2012;11 400;11 400;11 400;11 400;1 364;15 549 600;0.00%
01/06/2012;11 300;11 300;11 300;11 300;1 025;11 582 500;-0.88%
04/06/2012;11 400;11 400;11 400;11 400;305;3 477 000;0.88%
05/06/2012;11 400;11 400;11 400;11 400;1 031;11 753 400;0.00%
06/06/2012;11 400;11 400;11 400;11 400;296;3 374 400;0.00%
07/06/2012;11 400;11 400;11 400;11 400;578;6 589 200;0.00%
08/06/2012;11 300;11 300;11 300;11 300;879;9 932 700;-0.88%
11/06/2012;11 399;11 399;11 399;11 399;1 335;15 217 665;0.88%
12/06/2012;11 350;11 350;11 350;11 350;1 348;15 299 800;-0.43%
13/06/2012;11 300;11 300;11 300;11 300;325;3 672 500;-0.44%
14/06/2012;11 350;11 350;11 350;11 350;194;2 201 900;0.44%
15/06/2012;11 300;11 300;11 300;11 300;4 548;51 392 400;-0.44%
18/06/2012;11 300;11 300;11 300;11 300;230;2 599 000;0.00%
19/06/2012;11 290;11 290;11 290;11 290;170;1 919 300;-0.09%
20/06/2012;11 300;11 300;11 300;11 300;1 826;20 633 800;0.09%
21/06/2012;11 300;11 300;11 300;11 300;1 606;18 147 800;0.00%
22/06/2012;11 300;11 300;11 300;11 300;111;1 254 300;0.00%
25/06/2012;11 400;11 400;11 400;11 400;800;9 120 000;0.88%
26/06/2012;11 400;11 400;11 400;11 400;1 324;15 093 600;0.00%
27/06/2012;11 400;11 400;11 400;11 400;868;9 895 200;0.00%
28/06/2012;11 300;11 300;11 300;11 300;276;3 118 800;-0.88%
02/07/2012;11 400;11 400;11 400;11 400;530;6 042 000;0.00%
03/07/2012;11 400;11 400;11 400;11 400;501;5 711 400;0.00%
04/07/2012;11 400;11 400;11 400;11 400;266;3 032 400;0.00%
