Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
30/12/2016;3 755;3 755;3 755;3 755;120;450 600;7.47%
02/01/2017;3 624;3 624;3 624;3 624;9 978;36 160 272;-3.49%
03/01/2017;3 500;3 500;3 500;3 500;3 822;13 377 000;-3.42%
04/01/2017;3 499;3 499;3 499;3 499;1 131;3 957 369;-0.03%
05/01/2017;3 425;3 425;3 425;3 425;1 727;5 914 975;-2.11%
06/01/2017;3 375;3 375;3 375;3 375;882;2 976 750;-1.46%
09/01/2017;3 250;3 250;3 250;3 250;1 269;4 124 250;-3.70%
10/01/2017;3 250;3 250;3 250;3 250;1 403;4 559 750;0.00%
11/01/2017;3 200;3 200;3 200;3 200;835;2 672 000;-1.54%
12/01/2017;3 211;3 211;3 211;3 211;744;2 388 984;0.34%
13/01/2017;3 013;3 013;3 013;3 013;569;1 714 397;-6.17%
16/01/2017;3 013;3 013;3 013;3 013;1 673;5 040 749;0.00%
17/01/2017;3 000;3 000;3 000;3 000;411;1 233 000;-0.43%
18/01/2017;2 800;2 800;2 800;2 800;623;1 744 400;-6.67%
19/01/2017;2 873;2 873;2 873;2 873;1 428;4 102 644;2.61%
20/01/2017;2 875;2 875;2 875;2 875;765;2 199 375;0.07%
23/01/2017;2 875;2 875;2 875;2 875;1 246;3 582 250;0.00%
24/01/2017;2 876;2 876;2 876;2 876;519;1 492 644;0.03%
25/01/2017;2 903;2 903;2 903;2 903;730;2 119 190;0.94%
26/01/2017;2 924;2 924;2 924;2 924;718;2 099 432;0.72%
27/01/2017;2 924;2 924;2 924;2 924;969;2 833 356;0.00%
30/01/2017;2 750;2 750;2 750;2 750;742;2 040 500;-5.95%
31/01/2017;2 750;2 750;2 750;2 750;224;616 000;0.00%
01/02/2017;2 800;2 800;2 800;2 800;2 217;6 207 600;1.82%
02/02/2017;2 800;2 800;2 800;2 800;1 642;4 597 600;0.00%
03/02/2017;2 925;2 925;2 925;2 925;3 217;9 409 725;4.46%
06/02/2017;2 944;2 944;2 944;2 944;1 473;4 336 512;0.65%
07/02/2017;2 875;2 875;2 875;2 875;267;767 625;-2.34%
08/02/2017;2 828;2 828;2 828;2 828;1 002;2 833 656;-1.63%
09/02/2017;2 828;2 828;2 828;2 828;355;1 003 940;0.00%
10/02/2017;2 825;2 825;2 825;2 825;178;502 850;-0.11%
13/02/2017;2 775;2 775;2 775;2 775;394;1 093 350;-1.77%
14/02/2017;2 848;2 848;2 848;2 848;203;578 144;2.63%
15/02/2017;2 925;2 925;2 925;2 925;1 959;5 730 075;2.70%
16/02/2017;2 825;2 825;2 825;2 825;326;920 950;-3.42%
17/02/2017;2 799;2 799;2 799;2 799;119;333 081;-0.92%
