Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
04/01/2012;740;740;740;740;11;8 140;0.01%
17/01/2012;740;740;740;740;195;144 300;0.00%
18/01/2012;740;740;740;740;13;9 619;-0.01%
19/01/2012;730;730;730;730;20;14 600;-1.34%
20/01/2012;730;730;730;730;11;8 030;0.00%
27/01/2012;700;700;700;700;20;14 000;-4.11%
30/01/2012;700;700;700;700;46;32 200;0.00%
02/02/2012;700;700;700;700;4;2 800;0.00%
06/02/2012;710;710;710;710;12;8 520;1.43%
07/02/2012;730;730;730;730;8;5 840;2.82%
09/02/2012;730;730;730;730;3;2 190;0.00%
17/02/2012;701;701;701;701;16;11 216;-3.97%
20/02/2012;701;701;701;701;5;3 505;0.00%
24/02/2012;701;701;701;701;8;5 608;0.00%
27/02/2012;701;701;701;701;35;24 537;0.01%
28/02/2012;705;705;705;705;11;7 755;0.56%
09/03/2012;720;720;720;720;8;5 760;2.13%
15/03/2012;720;720;720;720;32;23 040;0.00%
19/03/2012;720;720;720;720;45;32 400;0.00%
20/03/2012;720;720;720;720;4;2 880;0.00%
21/03/2012;720;720;720;720;2;1 440;0.00%
23/03/2012;720;720;720;720;6;4 320;0.00%
28/03/2012;720;720;720;720;1;720;0.00%
30/03/2012;720;720;720;720;5;3 600;0.00%
04/04/2012;720;720;720;720;45;32 400;0.00%
05/04/2012;720;720;720;720;73;52 560;0.00%
06/04/2012;720;720;720;720;35;25 200;0.00%
13/04/2012;720;720;720;720;11;7 920;0.00%
18/04/2012;725;725;725;725;10;7 251;0.70%
19/04/2012;770;770;770;770;10;7 700;6.20%
20/04/2012;775;775;775;775;27;20 925;0.65%
23/04/2012;720;720;720;720;30;21 600;-7.10%
24/04/2012;720;720;720;720;15;10 800;0.00%
30/04/2012;720;720;720;720;9;6 480;0.00%
04/05/2012;770;770;770;770;71;54 670;6.94%
07/05/2012;800;800;800;800;200;160 000;3.90%
15/05/2012;801;801;801;801;70;56 035;0.06%
16/05/2012;800;800;800;800;650;520 000;-0.06%
18/05/2012;800;800;800;800;100;80 000;0.00%
21/05/2012;799;799;799;799;50;39 950;-0.13%
23/05/2012;775;775;775;775;108;83 700;-3.00%
01/06/2012;775;775;775;775;34;26 350;0.00%
04/06/2012;775;775;775;775;5;3 875;0.00%
05/06/2012;775;775;775;775;10;7 750;0.00%
11/06/2012;800;800;800;800;25;20 000;3.23%
13/06/2012;801;801;801;801;50;40 050;0.13%
15/06/2012;800;800;800;800;53;42 400;-0.12%
20/06/2012;800;800;800;800;2;1 600;0.00%
22/06/2012;800;800;800;800;4;3 200;0.00%
28/06/2012;810;810;810;810;13;10 530;1.25%
06/07/2012;810;810;810;810;5;4 050;0.00%
09/07/2012;810;810;810;810;5;4 050;0.00%
10/07/2012;810;810;810;810;10;8 100;0.00%
11/07/2012;810;810;810;810;21;17 010;0.00%
13/07/2012;800;800;800;800;8;6 400;-1.23%
17/07/2012;800;800;800;800;20;16 002;0.01%
23/07/2012;810;810;810;810;46;37 260;1.24%
27/07/2012;810;810;810;810;4;3 240;0.00%
30/07/2012;820;820;820;820;54;44 280;1.23%
03/08/2012;880;880;880;880;92;80 960;7.32%
09/08/2012;880;880;880;880;54;47 520;0.00%
10/08/2012;880;880;880;880;50;44 000;0.00%
17/08/2012;880;880;880;880;2;1 760;0.00%
