Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
23/02/2015;1 387;1 387;1 387;1 387;32;44 384;7.52%
24/02/2015;1 490;1 490;1 490;1 490;115;171 350;7.43%
25/02/2015;1 602;1 602;1 602;1 602;40;64 080;7.52%
26/02/2015;1 722;1 722;1 722;1 722;13;22 386;7.49%
27/02/2015;1 851;1 851;1 851;1 851;50;92 550;7.49%
02/03/2015;1 989;1 989;1 989;1 989;15;29 835;7.46%
03/03/2015;2 138;2 138;2 138;2 138;60;128 280;7.49%
04/03/2015;2 298;2 298;2 298;2 298;50;114 900;7.48%
05/03/2015;2 470;2 470;2 470;2 470;20;49 400;7.48%
06/03/2015;2 655;2 655;2 655;2 655;10;26 550;7.49%
09/03/2015;2 854;2 854;2 854;2 854;11 220;32 021 880;7.50%
10/03/2015;3 068;3 068;3 068;3 068;12 419;38 101 492;7.50%
11/03/2015;3 298;3 298;3 298;3 298;13 976;46 092 848;7.50%
12/03/2015;3 545;3 545;3 545;3 545;3 973;14 084 285;7.49%
13/03/2015;3 811;3 811;3 811;3 811;15 551;59 264 861;7.50%
17/03/2015;3 810;3 810;3 810;3 810;2 048;7 802 880;-2.31%
18/03/2015;3 600;3 600;3 600;3 600;429;1 544 400;-5.51%
19/03/2015;3 350;3 350;3 350;3 350;1 236;4 140 600;-6.94%
20/03/2015;3 349;3 349;3 349;3 349;571;1 912 279;-0.03%
23/03/2015;3 101;3 101;3 101;3 101;1 247;3 866 947;-7.41%
24/03/2015;3 090;3 090;3 090;3 090;1 107;3 420 630;-0.35%
25/03/2015;3 090;3 090;3 090;3 090;346;1 069 140;0.00%
26/03/2015;3 070;3 070;3 070;3 070;928;2 848 960;-0.65%
27/03/2015;3 070;3 070;3 070;3 070;410;1 258 700;0.00%
30/03/2015;3 070;3 070;3 070;3 070;1 315;4 037 050;0.00%
31/03/2015;3 090;3 090;3 090;3 090;763;2 357 670;0.65%
01/04/2015;3 090;3 090;3 090;3 090;639;1 974 510;0.00%
02/04/2015;3 050;3 050;3 050;3 050;653;1 991 650;-1.29%
03/04/2015;3 000;3 000;3 000;3 000;102;306 000;-1.64%
06/04/2015;3 000;3 000;3 000;3 000;1 020;3 060 000;0.00%
07/04/2015;3 000;3 000;3 000;3 000;717;2 151 000;0.00%
