Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
06/01/2012;1 250;1 250;1 250;1 250;5;6 250;0.00%
13/01/2012;1 250;1 250;1 250;1 250;10;12 500;0.00%
18/01/2012;1 250;1 250;1 250;1 250;13;16 250;0.00%
24/01/2012;1 250;1 250;1 250;1 250;9;11 250;0.00%
25/01/2012;1 250;1 250;1 250;1 250;1;1 250;0.00%
08/02/2012;1 250;1 250;1 250;1 250;7;8 750;0.00%
20/02/2012;1 250;1 250;1 250;1 250;5;6 250;0.00%
23/02/2012;1 250;1 250;1 250;1 250;10;12 500;0.00%
20/04/2012;1 313;1 313;1 313;1 313;9;11 817;2.50%
18/05/2012;1 411;1 411;1 411;1 411;8;11 288;7.46%
14/06/2012;1 327;1 327;1 327;1 327;55;72 985;-5.95%
25/06/2012;1 327;1 327;1 327;1 327;1;1 327;0.00%
03/07/2012;1 327;1 327;1 327;1 327;2;2 654;0.00%
17/07/2012;1 327;1 327;1 327;1 327;1;1 327;0.00%
30/07/2012;1 328;1 328;1 328;1 328;9;11 952;0.08%
16/08/2012;1 250;1 250;1 250;1 250;50;62 500;-5.87%
23/08/2012;1 250;1 250;1 250;1 250;2;2 500;0.00%
28/08/2012;1 344;1 344;1 344;1 344;8;10 752;7.52%
31/08/2012;1 344;1 344;1 344;1 344;3;4 032;0.00%
03/09/2012;1 250;1 250;1 250;1 250;27;33 750;-6.99%
04/09/2012;1 344;1 344;1 344;1 344;20;26 880;7.52%
12/09/2012;1 250;1 250;1 250;1 250;27;33 750;-6.99%
31/10/2012;1 375;1 375;1 375;1 375;8;11 000;7.34%
19/11/2012;1 383;1 383;1 383;1 383;11;15 213;0.58%
28/11/2012;1 406;1 406;1 406;1 406;8;11 248;1.66%
03/12/2012;1 512;1 512;1 512;1 512;11;16 632;7.54%
05/12/2012;1 563;1 563;1 563;1 563;9;14 067;3.37%
06/12/2012;1 563;1 563;1 563;1 563;13;20 319;0.00%
