Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
09/01/2012;38 040;38 040;38 040;38 040;1;38 040;0.00%
16/01/2012;38 040;38 040;38 040;38 040;3;114 120;0.00%
17/01/2012;38 040;38 040;38 040;38 040;2;76 080;0.00%
18/01/2012;38 005;38 005;38 005;38 005;40;1 520 200;-0.09%
19/01/2012;38 005;38 005;38 005;38 005;71;2 698 355;0.00%
20/01/2012;38 005;38 005;38 005;38 005;10;380 050;0.00%
23/01/2012;38 005;38 005;38 005;38 005;5;190 025;0.00%
27/01/2012;38 005;38 005;38 005;38 005;55;2 090 275;0.00%
03/02/2012;38 000;38 000;38 000;38 000;10;380 000;-0.01%
08/02/2012;38 005;38 005;38 005;38 005;10;380 050;0.01%
09/02/2012;38 015;38 015;38 015;38 015;51;1 938 765;0.03%
15/02/2012;38 505;38 505;38 505;38 505;54;2 079 270;1.29%
17/02/2012;38 505;38 505;38 505;38 505;12;462 060;0.00%
20/02/2012;38 505;38 505;38 505;38 505;1;38 505;0.00%
21/02/2012;38 515;38 515;38 515;38 515;53;2 041 295;0.03%
22/02/2012;38 505;38 505;38 505;38 505;13;500 565;-0.03%
27/02/2012;38 505;38 505;38 505;38 505;1;38 505;0.00%
05/03/2012;38 000;38 000;38 000;38 000;27;1 026 000;-1.31%
07/03/2012;38 000;38 000;38 000;38 000;1;38 000;0.00%
08/03/2012;38 005;38 005;38 005;38 005;13;494 065;0.01%
12/03/2012;38 000;38 000;38 000;38 000;89;3 382 000;-0.01%
20/03/2012;38 000;38 000;38 000;38 000;1;38 000;0.00%
21/03/2012;38 000;38 000;38 000;38 000;61;2 318 000;0.00%
23/03/2012;38 000;38 000;38 000;38 000;200;7 600 000;0.00%
28/03/2012;38 000;38 000;38 000;38 000;4;152 000;0.00%
30/03/2012;38 000;38 000;38 000;38 000;4;152 000;0.00%
04/04/2012;38 000;38 000;38 000;38 000;43;1 634 000;0.00%
17/04/2012;38 000;38 000;38 000;38 000;9;342 000;0.00%
24/04/2012;38 000;38 000;38 000;38 000;61;2 318 000;0.00%
26/04/2012;38 000;38 000;38 000;38 000;18;684 000;0.00%
30/04/2012;38 000;38 000;38 000;38 000;34;1 292 000;0.00%
02/05/2012;38 000;38 000;38 000;38 000;10;380 000;0.00%
04/05/2012;38 000;38 000;38 000;38 000;1;38 000;0.00%
14/05/2012;40 005;40 005;40 005;40 005;11;440 055;5.28%
15/05/2012;40 000;40 000;40 000;40 000;10;400 000;-0.01%
18/05/2012;40 000;40 000;40 000;40 000;6;240 000;0.00%
21/05/2012;40 000;40 000;40 000;40 000;35;1 400 000;0.00%
23/05/2012;40 000;40 000;40 000;40 000;10;400 000;0.00%
29/05/2012;40 000;40 000;40 000;40 000;1;40 000;0.00%
31/05/2012;40 000;40 000;40 000;40 000;14;560 000;0.00%
04/06/2012;40 000;40 000;40 000;40 000;3;120 000;0.00%
06/06/2012;40 000;40 000;40 000;40 000;3;120 000;0.00%
07/06/2012;40 000;40 000;40 000;40 000;3;120 000;0.00%
11/06/2012;40 000;40 000;40 000;40 000;6;240 000;0.00%
13/06/2012;40 000;40 000;40 000;40 000;12;480 000;0.00%
14/06/2012;40 000;40 000;40 000;40 000;8;320 000;0.00%
19/06/2012;40 000;40 000;40 000;40 000;10;400 000;0.00%
25/06/2012;40 100;40 100;40 100;40 100;10;401 000;0.25%
28/06/2012;40 100;40 100;40 100;40 100;6;240 600;0.00%
06/07/2012;40 100;40 100;40 100;40 100;12;481 200;0.00%
09/07/2012;40 100;40 100;40 100;40 100;4;160 400;0.00%
11/07/2012;40 100;40 100;40 100;40 100;5;200 500;0.00%
24/07/2012;40 100;40 100;40 100;40 100;116;4 651 600;0.00%
26/07/2012;40 000;40 000;40 000;40 000;59;2 360 000;-0.25%
27/07/2012;40 000;40 000;40 000;40 000;7;280 000;0.00%
30/07/2012;40 000;40 000;40 000;40 000;35;1 400 000;0.00%
08/08/2012;40 020;40 020;40 020;40 020;18;720 360;0.05%
13/08/2012;40 000;40 000;40 000;40 000;25;1 000 000;-0.05%
14/08/2012;37 000;37 000;37 000;37 000;16;592 000;-7.50%
