Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
18/01/2012;387;387;387;387;23;8 901;7.50%
19/01/2012;387;387;387;387;35;13 545;0.00%
27/01/2012;387;387;387;387;50;19 350;0.00%
30/01/2012;387;387;387;387;55;21 285;0.00%
03/02/2012;378;378;378;378;13;4 914;-2.33%
07/02/2012;350;350;350;350;18;6 300;-7.41%
08/02/2012;324;324;324;324;14;4 536;-7.43%
10/02/2012;320;320;320;320;20;6 400;-1.23%
14/02/2012;320;320;320;320;5;1 600;0.00%
15/02/2012;320;320;320;320;4;1 280;0.00%
20/02/2012;296;296;296;296;10;2 960;-7.50%
22/02/2012;296;296;296;296;5;1 480;0.00%
28/02/2012;280;280;280;280;40;11 200;-5.41%
01/03/2012;280;280;280;280;27;7 560;0.00%
02/03/2012;280;280;280;280;4;1 120;0.00%
07/03/2012;280;280;280;280;60;16 800;0.00%
13/03/2012;259;259;259;259;8;2 072;-7.50%
15/03/2012;259;259;259;259;52;13 468;0.00%
21/03/2012;259;259;259;259;32;8 288;0.00%
27/03/2012;259;259;259;259;65;16 835;0.00%
28/03/2012;258;258;258;258;20;5 160;-0.39%
29/03/2012;258;258;258;258;30;7 740;0.00%
03/04/2012;259;259;259;259;31;8 029;0.00%
04/04/2012;259;259;259;259;50;12 950;0.00%
15/05/2012;299;299;299;299;30;8 970;15.44%
18/05/2012;300;300;300;300;30;9 000;0.33%
30/05/2012;300;300;300;300;3;900;0.00%
31/05/2012;300;300;300;300;70;21 000;0.00%
01/06/2012;300;300;300;300;1;300;0.00%
04/06/2012;300;300;300;300;30;9 000;0.00%
05/06/2012;280;280;280;280;8;2 240;-6.67%
07/06/2012;300;300;300;300;50;15 000;7.14%
08/06/2012;300;300;300;300;10;3 000;0.00%
11/06/2012;300;300;300;300;3;900;0.00%
13/06/2012;300;300;300;300;11;3 300;0.00%
14/06/2012;300;300;300;300;21;6 300;0.00%
21/06/2012;320;320;320;320;10;3 200;6.67%
25/06/2012;320;320;320;320;7;2 240;0.00%
26/06/2012;320;320;320;320;10;3 200;0.00%
28/06/2012;320;320;320;320;4;1 280;0.00%
06/07/2012;300;300;300;300;70;21 000;-6.25%
09/07/2012;300;300;300;300;20;6 000;0.00%
11/07/2012;300;300;300;300;10;3 000;0.00%
12/07/2012;280;280;280;280;69;19 320;-6.67%
16/07/2012;259;259;259;259;10;2 590;-7.50%
23/07/2012;278;278;278;278;11;3 058;7.34%
24/07/2012;278;278;278;278;20;5 560;0.00%
26/07/2012;298;298;298;298;12;3 576;7.19%
27/07/2012;298;298;298;298;40;11 920;0.00%
30/07/2012;298;298;298;298;21;6 258;0.00%
01/08/2012;298;298;298;298;3;894;0.00%
09/08/2012;298;298;298;298;17;5 066;0.00%
10/08/2012;298;298;298;298;3;894;0.00%
28/08/2012;298;298;298;298;1;298;0.00%
29/08/2012;298;298;298;298;10;2 980;0.00%
30/08/2012;298;298;298;298;2;596;0.00%
04/09/2012;298;298;298;298;10;2 980;0.00%
12/09/2012;276;276;276;276;17;4 692;-7.38%
19/09/2012;276;276;276;276;2;552;0.00%
21/09/2012;288;288;288;288;16;4 608;4.35%
24/09/2012;276;276;276;276;15;4 140;-4.17%
05/10/2012;276;276;276;276;11;3 036;0.00%
10/10/2012;280;280;280;280;16;4 480;1.45%
11/10/2012;280;280;280;280;24;6 720;0.00%
19/10/2012;280;280;280;280;10;2 800;0.00%
22/10/2012;276;276;276;276;20;5 520;-1.43%
24/10/2012;276;276;276;276;50;13 800;0.00%
25/10/2012;276;276;276;276;1;276;0.00%
30/10/2012;276;276;276;276;5;1 380;0.00%
31/10/2012;276;276;276;276;24;6 624;0.00%
05/11/2012;256;256;256;256;10;2 560;-7.25%
06/11/2012;256;256;256;256;3;768;0.00%
08/11/2012;256;256;256;256;13;3 328;0.00%
14/11/2012;256;256;256;256;359;91 904;0.00%
16/11/2012;275;275;275;275;38;10 450;7.42%
19/11/2012;280;280;280;280;44;12 320;1.82%
20/11/2012;280;280;280;280;40;11 200;0.00%
27/11/2012;280;280;280;280;30;8 400;0.00%
28/11/2012;280;280;280;280;40;11 200;0.00%
04/12/2012;280;280;280;280;10;2 800;0.00%
07/12/2012;280;280;280;280;40;11 200;0.00%
17/12/2012;259;259;259;259;13;3 367;-7.50%
18/12/2012;240;240;240;240;88;21 120;-7.34%
21/12/2012;240;240;240;240;53;12 720;0.00%
16/01/2013;240;240;240;240;8;1 920;0.00%
17/01/2013;240;240;240;240;42;10 080;0.00%
21/01/2013;240;240;240;240;40;9 600;0.00%
22/01/2013;240;240;240;240;172;41 280;0.00%
28/01/2013;240;240;240;240;7;1 680;0.00%
30/01/2013;240;240;240;240;35;8 400;0.00%
29/03/2013;277;277;277;277;8;2 216;7.36%
11/04/2013;280;280;280;280;10;2 800;1.08%
07/05/2013;301;301;301;301;10;3 010;7.50%
08/05/2013;322;322;322;322;10;3 220;6.98%
10/05/2013;346;346;346;346;86;29 756;7.45%
13/05/2013;372;372;372;372;10;3 720;7.51%
14/05/2013;400;400;400;400;55;22 000;7.53%
15/05/2013;400;400;400;400;39;15 600;0.00%
16/05/2013;400;400;400;400;6;2 400;0.00%
17/05/2013;428;428;428;428;100;42 800;7.00%
22/05/2013;460;460;460;460;10;4 600;7.48%
23/05/2013;460;460;460;460;337;155 020;0.00%
24/05/2013;494;494;494;494;10;4 940;7.39%
28/05/2013;530;530;530;530;10;5 300;7.29%
29/05/2013;570;570;570;570;32;18 240;7.55%
30/05/2013;612;612;612;612;12;7 344;7.37%
31/05/2013;658;658;658;658;10;6 580;7.52%
03/06/2013;707;707;707;707;73;51 611;7.45%
04/06/2013;760;760;760;760;10;7 600;7.50%
05/06/2013;817;817;817;817;8;6 536;7.50%
06/06/2013;878;878;878;878;10;8 780;7.47%
07/06/2013;944;944;944;944;18;16 992;7.52%
10/06/2013;1 014;1 014;1 014;1 014;311;315 354;7.42%
11/06/2013;1 090;1 090;1 090;1 090;28;30 520;7.50%
12/06/2013;1 172;1 172;1 172;1 172;430;503 960;7.52%
13/06/2013;1 196;1 196;1 196;1 196;10;11 960;2.05%
18/06/2013;1 106;1 106;1 106;1 106;55;60 830;-7.53%
19/06/2013;1 080;1 080;1 080;1 080;20;21 600;-2.35%
20/06/2013;999;999;999;999;106;105 894;-7.50%
21/06/2013;999;999;999;999;1;999;0.00%
26/06/2013;960;960;960;960;43;41 280;-3.90%
28/06/2013;888;888;888;888;10;8 880;-7.50%
01/07/2013;880;880;880;880;62;54 560;-0.90%
02/07/2013;814;814;814;814;72;58 608;-7.50%
03/07/2013;753;753;753;753;23;17 319;-7.49%
05/07/2013;809;809;809;809;13;10 517;7.44%
08/07/2013;870;870;870;870;88;76 560;7.54%
15/07/2013;899;899;899;899;9;8 091;3.33%
16/07/2013;966;966;966;966;97;93 702;7.45%
22/07/2013;968;968;968;968;50;48 400;0.21%
23/07/2013;968;968;968;968;1;968;0.00%
25/07/2013;968;968;968;968;1;968;0.00%
26/07/2013;968;968;968;968;7;6 776;0.00%
05/08/2013;1 040;1 040;1 040;1 040;10;10 400;7.44%
16/08/2013;1 118;1 118;1 118;1 118;10;11 180;7.50%
19/08/2013;1 160;1 160;1 160;1 160;54;62 640;3.76%
20/08/2013;1 160;1 160;1 160;1 160;53;61 480;0.00%
21/08/2013;1 160;1 160;1 160;1 160;5;5 800;0.00%
22/08/2013;1 160;1 160;1 160;1 160;296;343 360;0.00%
23/08/2013;1 160;1 160;1 160;1 160;211;244 760;0.00%
26/08/2013;1 160;1 160;1 160;1 160;74;85 840;0.00%
27/08/2013;1 160;1 160;1 160;1 160;223;258 680;0.00%
28/08/2013;1 160;1 160;1 160;1 160;200;232 000;0.00%
30/08/2013;1 160;1 160;1 160;1 160;110;127 600;0.00%
03/09/2013;1 160;1 160;1 160;1 160;65;75 400;0.00%
04/09/2013;1 160;1 160;1 160;1 160;35;40 600;0.00%
06/09/2013;1 160;1 160;1 160;1 160;200;232 000;0.00%
09/09/2013;1 160;1 160;1 160;1 160;24;27 840;0.00%
11/09/2013;1 200;1 200;1 200;1 200;10;12 000;3.45%
12/09/2013;1 200;1 200;1 200;1 200;10;12 000;0.00%
13/09/2013;1 200;1 200;1 200;1 200;10;12 000;0.00%
18/09/2013;1 110;1 110;1 110;1 110;2;2 220;-7.50%
20/09/2013;1 160;1 160;1 160;1 160;4;4 640;4.50%
25/09/2013;1 160;1 160;1 160;1 160;3;3 480;0.00%
26/09/2013;1 200;1 200;1 200;1 200;42;50 400;3.45%
30/09/2013;1 200;1 200;1 200;1 200;4;4 800;0.00%
02/10/2013;1 200;1 200;1 200;1 200;60;72 000;0.00%
03/10/2013;1 200;1 200;1 200;1 200;3;3 600;0.00%
08/10/2013;1 160;1 160;1 160;1 160;118;136 880;-3.33%
11/10/2013;1 160;1 160;1 160;1 160;181;209 960;0.00%
14/10/2013;1 240;1 240;1 240;1 240;19;23 560;6.90%
16/10/2013;1 280;1 280;1 280;1 280;88;112 640;3.23%
17/10/2013;1 280;1 280;1 280;1 280;3;3 840;0.00%
21/10/2013;1 200;1 200;1 200;1 200;8;9 600;-6.25%
