Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
05/01/2012;253;253;253;253;10;2 530;1.20%
11/01/2012;256;256;256;256;11;2 816;1.19%
12/01/2012;256;256;256;256;10;2 560;0.00%
17/01/2012;251;251;251;251;60;15 060;-1.95%
18/01/2012;256;256;256;256;20;5 120;1.99%
20/01/2012;256;256;256;256;22;5 632;0.00%
23/01/2012;256;256;256;256;20;5 120;0.00%
27/01/2012;260;260;260;260;50;13 000;1.56%
30/01/2012;260;260;260;260;12;3 120;0.00%
02/02/2012;260;260;260;260;9;2 340;0.00%
03/02/2012;260;260;260;260;8;2 080;0.00%
06/02/2012;260;260;260;260;14;3 640;0.00%
07/02/2012;260;260;260;260;15;3 900;0.00%
10/02/2012;251;251;251;251;50;12 550;-3.46%
17/02/2012;250;250;250;250;60;15 000;-0.40%
22/02/2012;251;251;251;251;22;5 522;0.40%
24/02/2012;270;270;270;270;840 016;226 804 320;7.57%
27/02/2012;250;250;250;250;12;3 000;-7.41%
29/02/2012;252;252;252;252;53;13 356;0.80%
01/03/2012;260;260;260;260;200;52 000;3.17%
02/03/2012;260;260;260;260;50;13 000;0.00%
07/03/2012;270;270;270;270;216;58 320;3.85%
08/03/2012;270;270;270;270;98;26 460;0.00%
12/03/2012;276;276;276;276;67;18 492;2.22%
13/03/2012;276;276;276;276;159;43 884;0.00%
14/03/2012;280;280;280;280;15;4 200;1.45%
15/03/2012;294;294;294;294;20;5 880;5.00%
16/03/2012;316;316;316;316;132;41 712;7.48%
20/03/2012;316;316;316;316;55;17 380;0.00%
21/03/2012;316;316;316;316;810;255 960;0.00%
22/03/2012;318;318;318;318;112;35 616;0.63%
23/03/2012;320;320;320;320;127;40 640;0.63%
27/03/2012;344;344;344;344;30;10 320;7.50%
29/03/2012;396;396;396;396;48;19 008;15.12%
30/03/2012;396;396;396;396;11;4 356;0.00%
03/04/2012;396;396;396;396;278;110 088;0.00%
04/04/2012;396;396;396;396;110;43 560;0.00%
05/04/2012;396;396;396;396;253;100 188;0.00%
06/04/2012;380;380;380;380;28;10 640;-4.04%
10/04/2012;370;370;370;370;46;17 020;-2.63%
12/04/2012;340;340;340;340;10;3 400;-8.11%
13/04/2012;340;340;340;340;51;17 340;0.00%
16/04/2012;328;328;328;328;28;9 184;-3.53%
17/04/2012;316;316;316;316;14;4 424;-3.66%
19/04/2012;316;316;316;316;116;36 656;0.00%
20/04/2012;316;316;316;316;54;17 064;0.00%
23/04/2012;316;316;316;316;50;15 800;0.00%
24/04/2012;316;316;316;316;121;38 236;0.00%
26/04/2012;330;330;330;330;10;3 300;4.43%
27/04/2012;320;320;320;320;16;5 120;-3.03%
30/04/2012;320;320;320;320;3;960;0.00%
02/05/2012;320;320;320;320;16;5 120;0.00%
03/05/2012;320;320;320;320;16;5 120;0.00%
07/05/2012;330;330;330;330;10;3 300;3.13%
08/05/2012;330;330;330;330;47;15 510;0.00%
09/05/2012;330;330;330;330;33;10 890;0.00%
10/05/2012;340;340;340;340;48;16 320;3.03%
11/05/2012;340;340;340;340;5;1 700;0.00%
15/05/2012;340;340;340;340;15;5 100;0.00%
18/05/2012;340;340;340;340;29;9 860;0.00%
21/05/2012;340;340;340;340;39;13 260;0.00%
22/05/2012;330;330;330;330;40;13 200;-2.94%
23/05/2012;330;330;330;330;84;27 720;0.00%
24/05/2012;330;330;330;330;7;2 310;0.00%
29/05/2012;330;330;330;330;24;7 920;0.00%
30/05/2012;330;330;330;330;12;3 960;0.00%
31/05/2012;330;330;330;330;19;6 270;0.00%
01/06/2012;330;330;330;330;15;4 950;0.00%
04/06/2012;330;330;330;330;84;27 720;0.00%
05/06/2012;330;330;330;330;41;13 530;0.00%
07/06/2012;330;330;330;330;65;21 450;0.00%
08/06/2012;340;340;340;340;50;17 000;3.03%
11/06/2012;360;360;360;360;110;39 600;5.88%
12/06/2012;380;380;380;380;74;28 120;5.56%
13/06/2012;380;380;380;380;139;52 820;0.00%
14/06/2012;370;370;370;370;18;6 660;-2.63%
15/06/2012;380;380;380;380;317;120 460;2.70%
18/06/2012;390;390;390;390;88;34 320;2.63%
20/06/2012;400;400;400;400;10;4 000;2.56%
21/06/2012;390;390;390;390;14;5 460;-2.50%
25/06/2012;400;400;400;400;196;78 400;2.56%
26/06/2012;420;420;420;420;158;66 360;5.00%
27/06/2012;420;420;420;420;13;5 460;0.00%
28/06/2012;420;420;420;420;43;18 060;0.00%
02/07/2012;420;420;420;420;15;6 300;0.00%
03/07/2012;390;390;390;390;40;15 600;-7.14%
04/07/2012;390;390;390;390;336;131 040;0.00%
05/07/2012;390;390;390;390;680;265 200;0.00%
09/07/2012;400;400;400;400;16;6 400;2.56%
11/07/2012;400;400;400;400;31;12 400;0.00%
16/07/2012;400;400;400;400;15;6 000;0.00%
24/07/2012;400;400;400;400;13;5 200;0.00%
25/07/2012;380;380;380;380;19;7 220;-5.00%
31/07/2012;400;400;400;400;108;43 200;5.26%
02/08/2012;400;400;400;400;10;4 000;0.00%
09/08/2012;428;428;428;428;15;6 420;7.00%
10/08/2012;400;400;400;400;106;42 400;-6.54%
13/08/2012;430;430;430;430;101;43 430;7.50%
14/08/2012;430;430;430;430;6;2 580;0.00%
17/08/2012;430;430;430;430;6;2 580;0.00%
21/08/2012;430;430;430;430;50;21 500;0.00%
22/08/2012;430;430;430;430;259;111 370;0.00%
23/08/2012;430;430;430;430;18;7 740;0.00%
24/08/2012;430;430;430;430;2;860;0.00%
27/08/2012;430;430;430;430;10;4 300;0.00%
30/08/2012;440;440;440;440;33;14 520;2.33%
31/08/2012;440;440;440;440;480;211 200;0.00%
03/09/2012;440;440;440;440;230;101 200;0.00%
04/09/2012;473;473;473;473;20;9 460;7.50%
05/09/2012;473;473;473;473;106;50 138;0.00%
07/09/2012;480;480;480;480;12;5 760;1.48%
10/09/2012;508;508;508;508;74;37 592;5.83%
11/09/2012;546;546;546;546;126;68 796;7.48%
12/09/2012;546;546;546;546;280;152 880;0.00%
13/09/2012;540;540;540;540;329;177 660;-1.10%
14/09/2012;530;530;530;530;76;40 280;-1.85%
17/09/2012;520;520;520;520;30;15 600;-1.89%
18/09/2012;500;500;500;500;140;70 000;-3.85%
19/09/2012;500;500;500;500;4;2 000;0.00%
20/09/2012;500;500;500;500;3;1 500;0.00%
21/09/2012;500;500;500;500;41;20 500;0.00%
24/09/2012;530;530;530;530;1 127;597 310;6.00%
25/09/2012;530;530;530;530;1 559;826 270;0.00%
26/09/2012;530;530;530;530;193;102 290;0.00%
28/09/2012;542;542;542;542;37;20 054;0.00%
