Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;1 500;1 500;1 500;1 500;478;717 000;0.00%
03/01/2020;1 500;1 500;1 500;1 500;2 139;3 208 500;0.00%
06/01/2020;1 495;1 500;1 500;1 495;1 104;1 653 240;-0.33%
07/01/2020;1 445;1 450;1 450;1 445;392;567 420;-3.34%
08/01/2020;1 445;1 445;1 445;1 445;90;130 050;0.00%
09/01/2020;1 495;1 445;1 495;1 445;1 981;2 912 070;3.46%
10/01/2020;1 500;1 495;1 500;1 495;945;1 415 138;0.33%
13/01/2020;1 495;1 495;1 495;1 495;1 188;1 776 060;-0.33%
14/01/2020;1 500;1 495;1 500;1 495;670;1 003 325;0.33%
15/01/2020;1 585;1 500;1 585;1 500;16 019;24 709 308;5.67%
16/01/2020;1 610;1 610;1 610;1 610;6 060;9 756 600;1.58%
17/01/2020;1 650;1 610;1 650;1 610;905;1 475 150;2.48%
20/01/2020;1 625;1 650;1 650;1 625;525;859 688;-1.52%
21/01/2020;1 655;1 645;1 655;1 645;796;1 313 400;1.85%
22/01/2020;1 700;1 655;1 700;1 655;3 492;5 857 830;2.72%
23/01/2020;1 800;1 700;1 800;1 700;5 170;9 047 500;5.88%
24/01/2020;1 800;1 800;1 800;1 800;1 056;1 900 800;0.00%
27/01/2020;1 875;1 900;1 900;1 875;5 629;10 624 738;4.17%
28/01/2020;1 900;1 870;1 900;1 870;16 248;30 627 480;1.33%
29/01/2020;1 910;1 905;1 910;1 905;1 677;3 198 878;0.53%
30/01/2020;1 900;1 910;1 910;1 900;24 471;46 617 255;-0.52%
31/01/2020;1 900;1 895;1 900;1 895;8 773;16 646 768;0.00%
03/02/2020;1 915;1 885;1 915;1 885;1 617;3 072 300;0.79%
04/02/2020;1 950;1 900;1 950;1 900;1 633;3 143 525;1.83%
05/02/2020;1 955;1 955;1 955;1 955;3 000;5 865 000;0.26%
06/02/2020;1 950;1 950;1 950;1 950;1 238;2 414 100;-0.26%
07/02/2020;1 900;1 900;1 900;1 900;7 150;13 585 000;-2.56%
10/02/2020;1 900;1 800;1 900;1 800;721;1 333 850;0.00%
11/02/2020;1 900;1 910;1 910;1 900;14 468;27 561 540;0.00%
12/02/2020;1 900;1 910;1 910;1 900;14 468;27 561 540;0.00%
13/02/2020;1 900;1 945;1 945;1 900;2 762;5 309 945;0.00%
14/02/2020;1 900;1 800;1 900;1 800;2 511;4 645 350;0.00%
17/02/2020;1 905;1 900;1 905;1 900;8 382;15 946 755;0.26%
18/02/2020;1 915;1 910;1 915;1 910;8 643;16 529 738;0.52%
19/02/2020;1 925;1 915;1 925;1 915;1 420;2 726 400;0.52%
20/02/2020;1 915;1 915;1 915;1 915;5 652;10 823 580;-0.52%
21/02/2020;1 930;1 915;1 930;1 915;609;1 170 803;0.78%
24/02/2020;1 915;1 930;1 930;1 915;2 139;4 112 228;-0.78%
