Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
10/01/2020;6 500;6 500;6 500;6 500;24;156 000;-4.41%
13/01/2020;6 500;6 370;6 500;6 370;29;186 615;0.00%
14/01/2020;6 495;6 495;6 495;6 495;10;64 950;-0.08%
29/01/2020;6 010;6 010;6 010;6 010;24;144 240;-7.47%
30/01/2020;6 000;6 000;6 000;6 000;50;300 000;-0.17%
04/02/2020;5 800;5 800;5 800;5 800;12;69 600;-3.33%
07/02/2020;5 650;5 650;5 650;5 650;5;28 250;-2.59%
10/02/2020;5 500;5 500;5 500;5 500;5;27 500;-2.65%
14/02/2020;5 300;5 300;5 300;5 300;9;47 700;-3.64%
17/02/2020;4 910;4 910;4 910;4 910;210;1 031 100;-7.36%
18/02/2020;4 910;4 910;4 910;4 910;50;245 500;0.00%
20/02/2020;4 895;4 895;4 895;4 895;5;24 475;-0.31%
21/02/2020;4 890;4 895;4 895;4 890;13;63 603;-0.10%
25/02/2020;4 525;4 525;4 525;4 525;16;72 400;-7.46%
26/02/2020;4 430;4 435;4 435;4 430;21;93 083;-2.10%
27/02/2020;4 760;4 345;4 760;4 345;1 809;8 235 473;7.45%
03/03/2020;4 750;4 745;4 750;4 745;11;52 223;-0.21%
05/03/2020;4 700;4 700;4 700;4 700;5;23 500;-1.05%
06/03/2020;4 695;4 695;4 695;4 695;6;28 170;-0.11%
11/03/2020;4 450;4 345;4 450;4 345;135;593 663;-5.22%
12/03/2020;4 345;4 345;4 345;4 345;65;282 425;-2.36%
13/03/2020;4 340;4 400;4 400;4 340;281;1 227 970;-0.12%
16/03/2020;4 335;4 335;4 335;4 335;50;216 750;-0.12%
20/03/2020;4 100;4 100;4 100;4 100;21;86 100;-5.42%
23/03/2020;4 100;4 095;4 100;4 095;252;1 032 570;0.00%
24/03/2020;4 095;4 100;4 100;4 095;61;249 948;-0.12%
25/03/2020;4 100;4 100;4 100;4 100;1;4 100;0.12%
27/03/2020;4 000;4 000;4 000;4 000;50;200 000;-2.44%
30/03/2020;3 900;3 950;3 950;3 900;18;70 650;-2.50%
01/04/2020;4 200;4 000;4 200;4 000;260;1 066 000;2.44%
02/04/2020;4 200;4 200;4 200;4 200;191;802 200;0.00%
06/04/2020;4 200;4 200;4 200;4 200;100;420 000;0.00%
07/04/2020;4 200;4 200;4 200;4 200;50;210 000;0.00%
10/04/2020;4 190;4 190;4 190;4 190;506;2 120 140;-0.24%
13/04/2020;4 190;4 190;4 190;4 190;506;2 120 140;0.00%
14/04/2020;4 000;4 190;4 190;4 000;554;2 268 630;-4.53%
15/04/2020;4 000;4 000;4 000;4 000;50;200 000;0.00%
20/04/2020;3 800;3 750;3 800;3 750;282;1 064 550;-5.00%
21/04/2020;3 700;3 800;3 800;3 700;2 311;8 666 250;-2.63%
22/04/2020;3 700;3 700;3 700;3 700;1 445;5 346 500;0.00%
23/04/2020;3 600;3 650;3 650;3 600;121;438 625;-2.70%
24/04/2020;3 330;3 600;3 600;3 330;1 125;3 898 125;-7.50%
27/04/2020;3 085;3 575;3 575;3 085;2 164;7 206 120;-7.36%
28/04/2020;3 000;3 000;3 000;3 000;1 581;4 743 000;-2.76%
29/04/2020;2 855;3 000;3 000;2 855;671;1 964 353;-4.83%
30/04/2020;3 065;3 065;3 065;3 065;22;67 430;7.36%
01/05/2020;3 065;3 065;3 065;3 065;22;67 430;0.00%
05/05/2020;3 290;3 290;3 290;3 290;149;490 210;7.34%
06/05/2020;3 535;3 535;3 535;3 535;1;3 535;7.45%
07/05/2020;3 600;3 535;3 600;3 535;121;431 668;1.84%
08/05/2020;3 600;3 600;3 600;3 600;94;338 400;0.00%
12/05/2020;3 600;3 600;3 600;3 600;40;144 000;0.00%
13/05/2020;3 600;3 665;3 665;3 600;624;2 266 680;0.00%
14/05/2020;3 670;3 650;3 670;3 650;25;91 500;1.94%
19/05/2020;3 670;3 670;3 670;3 670;5;18 350;0.00%
22/05/2020;3 600;3 600;3 600;3 600;15;54 000;-1.91%
25/05/2020;3 500;3 500;3 500;3 500;67;234 500;-2.78%
26/05/2020;3 325;3 430;3 430;3 325;256;864 640;-5.00%
27/05/2020;3 500;3 500;3 500;3 500;117;409 500;5.26%
28/05/2020;3 500;3 500;3 500;3 500;695;2 432 500;0.00%
02/06/2020;3 500;3 670;3 670;3 500;41;146 985;0.00%
03/06/2020;3 600;3 500;3 600;3 500;416;1 476 800;2.86%
04/06/2020;3 930;3 670;3 930;3 670;1 556;5 912 800;9.17%
05/06/2020;4 000;3 820;4 000;3 820;528;2 064 480;1.78%
09/06/2020;4 200;3 900;4 200;3 900;50;202 500;5.00%
11/06/2020;4 500;4 200;4 500;4 200;305;1 326 750;7.14%
12/06/2020;4 835;4 500;4 835;4 500;60;280 050;7.44%
16/06/2020;4 500;4 500;4 500;4 500;20;90 000;-6.93%
17/06/2020;4 200;4 195;4 200;4 195;705;2 959 238;-6.67%
18/06/2020;4 200;4 200;4 200;4 200;2;8 400;0.00%
19/06/2020;4 200;4 120;4 200;4 120;140;582 400;0.00%
22/06/2020;4 200;4 200;4 200;4 200;10;42 000;0.00%
23/06/2020;4 200;4 200;4 200;4 200;272;1 142 400;0.00%
26/06/2020;4 375;4 350;4 375;4 350;138;602 025;4.17%
01/07/2020;4 250;4 250;4 250;4 250;22;93 500;-1.05%
02/07/2020;4 295;4 295;4 295;4 295;3;12 885;1.06%
03/07/2020;4 250;4 250;4 250;4 250;125;531 250;-1.05%
07/07/2020;4 250;4 245;4 250;4 245;32;135 920;0.00%
08/07/2020;4 500;4 500;4 500;4 500;50;225 000;5.88%
09/07/2020;4 830;4 830;4 830;4 830;250;1 207 500;7.33%
10/07/2020;4 700;4 700;4 700;4 700;5;23 500;-2.69%
13/07/2020;4 500;4 500;4 500;4 500;630;2 835 000;-4.26%
15/07/2020;4 695;4 500;4 695;4 500;3 105;14 275 238;4.33%
16/07/2020;4 695;4 695;4 695;4 695;5;23 475;0.00%
17/07/2020;4 695;4 690;4 695;4 690;270;1 266 975;0.00%
21/07/2020;4 695;4 695;4 695;4 695;4 800;22 536 000;0.00%
23/07/2020;4 820;4 820;4 820;4 820;193;930 260;2.66%
24/07/2020;4 820;4 820;4 820;4 820;2 281;10 994 420;0.00%
27/07/2020;5 100;5 100;5 100;5 100;50;255 000;5.81%
28/07/2020;5 200;5 200;5 200;5 200;707;3 676 400;1.96%
29/07/2020;5 100;5 100;5 100;5 100;59;300 900;-1.92%
30/07/2020;4 850;4 880;4 880;4 850;109;530 285;-4.90%
31/07/2020;4 850;4 880;4 880;4 850;109;530 285;0.00%
03/08/2020;5 000;4 750;5 000;4 750;610;2 973 750;3.09%
04/08/2020;5 000;5 000;5 000;5 000;157;785 000;0.00%
10/08/2020;5 000;4 630;5 000;4 630;130;625 950;0.00%
14/08/2020;5 000;4 800;5 000;4 800;1 597;7 825 300;0.00%
17/08/2020;4 995;4 750;4 995;4 750;153;745 493;-0.10%
18/08/2020;4 900;4 900;4 900;4 900;60;294 000;-1.90%
24/08/2020;4 945;4 945;4 945;4 945;5;24 725;0.92%
