Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;1 033;1 033;1 033;1 033;345;356 500;0.32%
03/01/2020;1 030;1 030;1 030;1 030;2 445;2 518 350;-0.32%
06/01/2020;1 030;1 030;1 030;1 030;1 092;1 124 760;0.00%
07/01/2020;1 017;1 020;1 020;1 017;442;450 103;-1.29%
08/01/2020;1 017;1 017;1 017;1 017;1 114;1 132 567;0.00%
09/01/2020;1 000;1 013;1 013;1 000;4 902;4 934 680;-1.64%
10/01/2020;1 003;1 013;1 013;1 003;3 652;3 682 433;0.33%
13/01/2020;1 007;1 003;1 007;1 003;18 903;18 997 515;0.33%
14/01/2020;1 023;1 007;1 023;1 007;604;613 060;1.66%
15/01/2020;1 017;1 020;1 020;1 017;1 911;1 946 035;-0.65%
16/01/2020;1 033;1 023;1 033;1 023;5 988;6 157 660;1.64%
17/01/2020;1 033;1 033;1 033;1 033;2 655;2 743 500;0.00%
20/01/2020;1 040;1 033;1 040;1 033;8 026;8 320 287;0.65%
21/01/2020;1 067;1 040;1 067;1 040;2 169;2 284 680;2.56%
22/01/2020;1 100;1 067;1 100;1 067;1 422;1 540 500;3.12%
23/01/2020;1 127;1 133;1 133;1 127;3 255;3 678 150;2.42%
24/01/2020;1 117;1 127;1 127;1 117;5 628;6 312 740;-0.89%
27/01/2020;1 113;1 117;1 117;1 113;265;295 475;-0.30%
28/01/2020;1 123;1 113;1 123;1 113;445;497 658;0.90%
29/01/2020;1 123;1 120;1 123;1 120;3 679;4 126 612;0.00%
30/01/2020;1 107;1 107;1 107;1 107;9 093;10 062 920;-1.48%
31/01/2020;1 117;1 113;1 117;1 113;27 292;30 430 580;0.90%
03/02/2020;1 107;1 123;1 123;1 107;5 925;6 606 375;-0.90%
04/02/2020;1 067;1 067;1 067;1 067;9 283;9 901 867;-3.61%
05/02/2020;1 087;1 070;1 087;1 070;54 594;58 870 530;1.87%
06/02/2020;1 087;1 087;1 087;1 087;6 343;6 892 727;0.00%
07/02/2020;1 083;1 087;1 087;1 083;3 942;4 277 070;-0.31%
10/02/2020;1 077;1 077;1 077;1 077;4 290;4 618 900;-0.62%
11/02/2020;1 053;1 067;1 067;1 053;7 050;7 473 000;-2.17%
12/02/2020;1 053;1 067;1 067;1 053;7 050;7 473 000;0.00%
13/02/2020;1 060;1 053;1 060;1 053;3 466;3 662 407;0.63%
14/02/2020;1 023;1 033;1 033;1 023;1 270;1 305 983;-3.46%
17/02/2020;1 033;1 033;1 033;1 033;9 531;9 848 700;0.98%
18/02/2020;1 033;1 033;1 033;1 033;8 209;8 482 633;0.00%
19/02/2020;1 007;1 033;1 033;1 007;5 220;5 324 400;-2.58%
20/02/2020;1 017;1 010;1 017;1 010;300 660;304 668 800;0.99%
21/02/2020;1 033;1 033;1 033;1 033;4 255;4 396 833;1.64%
24/02/2020;1 020;1 033;1 033;1 020;1 399;1 436 307;-1.29%
25/02/2020;1 053;1 033;1 053;1 033;2 758;2 877 513;3.27%
26/02/2020;1 033;1 053;1 053;1 033;1 477;1 541 003;-1.90%
27/02/2020;1 027;1 033;1 033;1 027;157;161 710;-0.65%
28/02/2020;1 020;1 027;1 027;1 020;672;687 680;-0.65%
02/03/2020;1 067;1 027;1 067;1 027;3 615;3 783 700;4.58%
03/03/2020;1 067;1 020;1 067;1 020;7 314;7 630 940;0.00%
04/03/2020;1 060;1 067;1 067;1 060;2 365;2 514 783;-0.63%
05/03/2020;1 053;1 033;1 053;1 033;1 081;1 127 843;-0.63%
06/03/2020;1 033;1 040;1 040;1 033;622;644 807;-1.90%
09/03/2020;1 013;1 033;1 033;1 013;5 002;5 118 713;-1.94%
10/03/2020;1 030;1 033;1 033;1 030;468;482 820;1.64%
11/03/2020;1 013;1 013;1 013;1 013;1 866;1 890 880;-1.62%
12/03/2020;1 027;1 013;1 027;1 013;3 234;3 298 680;1.32%
13/03/2020;1 057;1 027;1 057;1 027;15 660;16 312 500;2.92%
16/03/2020;1 027;1 037;1 037;1 027;127;131 022;-2.84%
17/03/2020;1 007;1 037;1 037;1 007;1 177;1 202 502;-1.95%
18/03/2020;1 050;1 020;1 050;1 020;3 669;3 797 415;4.30%
19/03/2020;1 053;1 050;1 053;1 050;87;91 495;0.32%
20/03/2020;1 010;1 053;1 053;1 010;1 486;1 533 057;-4.11%
23/03/2020;1 033;1 053;1 053;1 033;750;782 500;2.31%
24/03/2020;1 010;1 013;1 013;1 010;1 492;1 509 407;-2.26%
25/03/2020;1 000;1 010;1 010;1 000;1 759;1 767 795;-0.99%
26/03/2020;1 000;1 000;1 000;1 000;652;652 000;0.00%
27/03/2020;1 010;1 000;1 010;1 000;432;434 160;1.00%
30/03/2020;1 000;1 010;1 010;1 000;3 097;3 112 485;-0.99%
01/04/2020;987;1 003;1 003;987;2 329;2 317 355;-1.33%
02/04/2020;997;987;997;987;1 012;1 003 567;1.01%
03/04/2020;967;1 000;1 000;967;297;292 050;-3.01%
06/04/2020;967;967;967;967;211;203 967;0.00%
07/04/2020;967;967;967;967;915;884 500;0.00%
08/04/2020;957;960;960;957;493;472 458;-1.03%
09/04/2020;960;967;967;960;804;774 520;0.35%
10/04/2020;967;963;967;963;138;133 170;0.69%
13/04/2020;967;963;967;963;138;133 170;0.00%
14/04/2020;960;960;960;960;321;308 160;-0.69%
15/04/2020;950;960;960;950;420;401 100;-1.04%
16/04/2020;970;960;970;960;4 834;4 664 810;2.11%
17/04/2020;973;973;973;973;5 451;5 305 640;0.34%
