Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;14;14;14;14;298;4 172;0.00%
03/01/2020;14;14;14;14;11 900;166 600;0.00%
06/01/2020;14;14;14;14;675 552;9 457 728;0.00%
07/01/2020;13;14;14;13;1 428 452;19 284 102;-7.14%
08/01/2020;14;13;14;13;213 151;2 877 539;7.69%
09/01/2020;14;13;14;13;10 949;147 812;0.00%
10/01/2020;13;14;14;13;121 631;1 642 019;-7.14%
13/01/2020;13;14;14;13;141 275;1 907 213;0.00%
14/01/2020;13;14;14;13;76 391;1 031 279;0.00%
15/01/2020;14;13;14;13;26 778;361 503;7.69%
16/01/2020;13;14;14;13;860;11 610;-7.14%
17/01/2020;14;14;14;14;8 626;120 764;7.69%
20/01/2020;14;14;14;14;198 879;2 784 306;0.00%
21/01/2020;13;14;14;13;14 500;195 750;-7.14%
22/01/2020;13;14;14;13;26 000;351 000;0.00%
23/01/2020;13;13;13;13;111 446;1 448 798;0.00%
24/01/2020;14;14;14;14;4 823;67 522;7.69%
27/01/2020;13;13;13;13;1 065 279;13 848 627;-7.14%
28/01/2020;13;13;13;13;24 205;314 665;0.00%
29/01/2020;13;13;13;13;9 996 327;129 952 251;0.00%
30/01/2020;13;13;13;13;108 489;1 410 357;0.00%
31/01/2020;13;13;13;13;444 755;5 781 815;0.00%
03/02/2020;13;13;13;13;135 426;1 760 538;0.00%
04/02/2020;13;13;13;13;1 647 054;21 411 702;0.00%
05/02/2020;13;13;13;13;256 224;3 330 912;0.00%
06/02/2020;13;13;13;13;165 163;2 147 119;0.00%
07/02/2020;13;13;13;13;55 497;721 461;0.00%
10/02/2020;13;13;13;13;11 328;147 264;0.00%
11/02/2020;13;13;13;13;77 619;1 009 047;0.00%
12/02/2020;13;13;13;13;77 619;1 009 047;0.00%
13/02/2020;13;13;13;13;237 700;3 090 100;0.00%
14/02/2020;13;13;13;13;49 500;643 500;0.00%
17/02/2020;13;13;13;13;190 715;2 479 295;0.00%
18/02/2020;13;13;13;13;250 100;3 251 300;0.00%
19/02/2020;13;13;13;13;25 160;327 080;0.00%
