Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;1 350;1 370;1 370;1 350;100;136 000;3.05%
03/01/2020;1 370;1 350;1 370;1 350;475;646 000;1.48%
07/01/2020;1 310;1 370;1 370;1 310;297;397 980;-4.38%
08/01/2020;1 310;1 310;1 310;1 310;180;235 800;0.00%
09/01/2020;1 310;1 310;1 310;1 310;90;117 900;0.00%
10/01/2020;1 310;1 310;1 310;1 310;15;19 650;0.00%
13/01/2020;1 325;1 325;1 325;1 325;258;341 850;1.15%
14/01/2020;1 400;1 325;1 400;1 325;99;134 888;5.66%
15/01/2020;1 400;1 400;1 400;1 400;82;114 800;0.00%
17/01/2020;1 400;1 400;1 400;1 400;2 220;3 108 000;0.00%
20/01/2020;1 500;1 400;1 500;1 400;577;836 650;7.14%
21/01/2020;1 550;1 505;1 550;1 505;180;274 950;3.33%
22/01/2020;1 665;1 665;1 665;1 665;11 287;18 792 855;7.42%
23/01/2020;1 700;1 700;1 700;1 700;42;71 400;2.10%
24/01/2020;1 690;1 695;1 695;1 690;336;568 680;-0.59%
27/01/2020;1 700;1 690;1 700;1 690;340;576 300;0.59%
28/01/2020;1 670;1 680;1 680;1 670;241;403 675;-1.76%
29/01/2020;1 670;1 660;1 670;1 660;47;78 255;0.00%
31/01/2020;1 635;1 635;1 635;1 635;100;163 500;-2.10%
03/02/2020;1 650;1 650;1 650;1 650;90;148 500;0.92%
04/02/2020;1 600;1 600;1 600;1 600;18 900;30 240 000;-3.03%
05/02/2020;1 550;1 600;1 600;1 550;4 590;7 229 250;-3.13%
06/02/2020;1 500;1 595;1 595;1 500;5 135;7 946 413;-3.23%
07/02/2020;1 450;1 500;1 500;1 450;9 261;13 659 975;-3.33%
10/02/2020;1 500;1 500;1 500;1 500;160;240 000;3.45%
11/02/2020;1 425;1 440;1 440;1 425;215;307 988;-5.00%
12/02/2020;1 425;1 440;1 440;1 425;215;307 988;0.00%
13/02/2020;1 445;1 400;1 445;1 400;373;530 593;1.40%
14/02/2020;1 400;1 400;1 400;1 400;50;70 000;-3.11%
17/02/2020;1 400;1 405;1 405;1 400;500;701 250;0.00%
18/02/2020;1 350;1 350;1 350;1 350;3 800;5 130 000;-3.57%
19/02/2020;1 400;1 400;1 400;1 400;91;127 400;3.70%
20/02/2020;1 350;1 400;1 400;1 350;308;423 500;-3.57%
21/02/2020;1 350;1 350;1 350;1 350;700;945 000;0.00%
24/02/2020;1 350;1 350;1 350;1 350;106;143 100;0.00%
25/02/2020;1 250;1 345;1 345;1 250;1 806;2 343 285;-7.41%
26/02/2020;1 250;1 250;1 250;1 250;2 440;3 050 000;0.00%
27/02/2020;1 250;1 255;1 255;1 250;150;187 875;0.00%
28/02/2020;1 340;1 340;1 340;1 340;45;60 300;7.20%
02/03/2020;1 340;1 340;1 340;1 340;106;142 040;0.00%
10/03/2020;1 420;1 340;1 420;1 340;478;659 640;5.97%
11/03/2020;1 340;1 340;1 340;1 340;62;83 080;-5.63%
12/03/2020;1 345;1 345;1 345;1 345;5 235;7 041 075;0.37%
13/03/2020;1 345;1 440;1 440;1 345;117;162 923;0.00%
16/03/2020;1 340;1 340;1 340;1 340;10;13 400;-0.37%
17/03/2020;1 440;1 440;1 440;1 440;2;2 880;7.46%
18/03/2020;1 340;1 340;1 340;1 340;141;188 940;-6.94%
23/03/2020;1 440;1 400;1 440;1 400;10 575;15 016 500;7.46%
25/03/2020;1 440;1 440;1 440;1 440;70;100 800;0.00%
26/03/2020;1 400;1 400;1 400;1 400;99;138 600;-2.78%
27/03/2020;1 340;1 340;1 340;1 340;25;33 500;-4.29%
30/03/2020;1 340;1 340;1 340;1 340;70;93 800;0.00%
01/04/2020;1 400;1 400;1 400;1 400;4;5 600;6.46%
02/04/2020;1 370;1 370;1 370;1 370;11;15 070;-2.14%
03/04/2020;1 350;1 350;1 350;1 350;42;56 700;-1.46%
08/04/2020;1 350;1 350;1 350;1 350;100;135 000;0.00%
10/04/2020;1 325;1 325;1 325;1 325;5;6 625;-1.85%
13/04/2020;1 325;1 325;1 325;1 325;5;6 625;0.00%
14/04/2020;1 250;1 300;1 300;1 250;150;191 250;-5.66%
15/04/2020;1 250;1 250;1 250;1 250;10;12 500;0.00%
16/04/2020;1 250;1 250;1 250;1 250;72;90 000;0.00%
17/04/2020;1 250;1 250;1 250;1 250;45;56 250;0.00%
21/04/2020;1 200;1 200;1 200;1 200;147;176 400;-4.00%
22/04/2020;1 200;1 200;1 200;1 200;670;804 000;0.00%
23/04/2020;1 160;1 160;1 160;1 160;800;928 000;-3.33%
24/04/2020;1 200;1 200;1 200;1 200;3;3 600;3.45%
27/04/2020;1 250;1 250;1 250;1 250;17;21 250;4.17%
28/04/2020;1 250;1 250;1 250;1 250;89;111 250;0.00%
29/04/2020;1 300;1 300;1 300;1 300;5;6 500;4.00%
04/05/2020;1 300;1 280;1 300;1 280;216;278 640;0.00%
05/05/2020;1 325;1 325;1 325;1 325;100;132 500;1.92%
07/05/2020;1 300;1 300;1 300;1 300;165;214 500;-1.89%
15/05/2020;1 325;1 325;1 325;1 325;180;238 500;1.92%
18/05/2020;1 325;1 325;1 325;1 325;10;13 250;0.00%
19/05/2020;1 325;1 325;1 325;1 325;5;6 625;0.00%
25/05/2020;1 325;1 325;1 325;1 325;5;6 625;0.00%
27/05/2020;1 295;1 325;1 325;1 295;15;19 650;-2.26%
28/05/2020;1 200;1 200;1 200;1 200;6;7 200;-7.34%
02/06/2020;1 200;1 200;1 200;1 200;4;4 800;0.00%
03/06/2020;1 290;1 290;1 290;1 290;10;12 900;7.50%
08/06/2020;1 200;1 200;1 200;1 200;10;12 000;-6.98%
09/06/2020;1 200;1 200;1 200;1 200;396;475 200;0.00%
12/06/2020;1 200;1 205;1 205;1 200;225;270 563;0.00%
17/06/2020;1 200;1 280;1 280;1 200;7;8 680;0.00%
18/06/2020;1 200;1 110;1 200;1 110;363;419 265;0.00%
19/06/2020;1 110;1 110;1 110;1 110;102;113 220;-7.50%
23/06/2020;1 100;1 100;1 100;1 100;10 020;11 022 000;-0.90%
08/07/2020;1 100;1 100;1 100;1 100;350;385 000;0.00%
09/07/2020;1 100;1 100;1 100;1 100;3;3 300;0.00%
13/07/2020;1 180;1 150;1 180;1 150;2;2 330;7.27%
14/07/2020;1 100;1 100;1 100;1 100;457;502 700;-6.78%
15/07/2020;1 020;1 020;1 020;1 020;110;112 200;-7.27%
16/07/2020;950;950;950;950;1 075;1 021 250;-6.86%
20/07/2020;950;950;950;950;128;121 600;0.00%
22/07/2020;1 000;1 000;1 000;1 000;9;9 000;5.26%
23/07/2020;1 075;1 020;1 075;1 020;41;42 948;7.50%
27/07/2020;1 100;1 100;1 100;1 100;25;27 500;2.33%
29/07/2020;1 075;1 075;1 075;1 075;16;17 200;-2.27%
30/07/2020;1 020;1 020;1 020;1 020;35;35 700;-5.12%
31/07/2020;1 020;1 020;1 020;1 020;35;35 700;0.00%
03/08/2020;985;1 000;1 000;985;1 632;1 619 760;-3.43%
10/08/2020;985;985;985;985;40;39 400;0.00%
11/08/2020;980;985;985;980;50;49 125;-0.51%
12/08/2020;980;980;980;980;51;49 980;0.00%
13/08/2020;970;975;975;970;724;704 090;-1.02%
17/08/2020;970;970;970;970;5;4 850;0.00%
18/08/2020;990;985;990;985;505;498 688;2.06%
21/08/2020;990;990;990;990;5;4 950;0.00%
24/08/2020;1 060;990;1 060;990;101;103 525;7.07%
25/08/2020;1 060;1 055;1 060;1 055;302;319 365;0.00%
26/08/2020;1 135;1 135;1 135;1 135;11;12 485;7.08%
27/08/2020;1 220;1 220;1 220;1 220;246;300 120;7.49%
28/08/2020;1 310;1 310;1 310;1 310;50;65 500;7.38%
31/08/2020;1 310;1 310;1 310;1 310;2 589;3 391 590;0.00%
02/09/2020;1 310;1 300;1 310;1 300;396;516 780;0.00%
08/09/2020;1 295;1 290;1 295;1 290;86;111 155;-1.15%
09/09/2020;1 295;1 295;1 295;1 295;575;744 625;0.00%
10/09/2020;1 300;1 300;1 300;1 300;144;187 200;0.39%
11/09/2020;1 300;1 300;1 300;1 300;56;72 800;0.00%
15/09/2020;1 310;1 310;1 310;1 310;5;6 550;0.77%
16/09/2020;1 290;1 300;1 300;1 290;270;349 650;-1.53%
18/09/2020;1 250;1 250;1 250;1 250;410;512 500;-3.10%
21/09/2020;1 250;1 250;1 250;1 250;112;140 000;0.00%
22/09/2020;1 250;1 250;1 250;1 250;50;62 500;0.00%
23/09/2020;1 250;1 250;1 250;1 250;50;62 500;0.00%
24/09/2020;1 250;1 250;1 250;1 250;50;62 500;0.00%
25/09/2020;1 250;1 250;1 250;1 250;50;62 500;0.00%
01/10/2020;1 300;1 300;1 300;1 300;150;195 000;0.00%
05/10/2020;1 300;1 300;1 300;1 300;330;429 000;0.00%
06/10/2020;1 300;1 300;1 300;1 300;345;448 500;0.00%
13/10/2020;1 300;1 300;1 300;1 300;170;221 000;0.00%
14/10/2020;1 300;1 250;1 300;1 250;328;418 200;0.00%
19/10/2020;1 295;1 295;1 295;1 295;10;12 950;-0.38%
20/10/2020;1 290;1 290;1 290;1 290;46;59 340;-0.39%
22/10/2020;1 280;1 280;1 280;1 280;1 000;1 280 000;-0.78%
26/10/2020;1 280;1 280;1 280;1 280;100;128 000;0.00%
27/10/2020;1 290;1 290;1 290;1 290;423;545 670;0.78%
28/10/2020;1 300;1 295;1 300;1 295;603;782 393;0.78%
29/10/2020;1 300;1 295;1 300;1 295;603;782 393;0.00%
30/10/2020;1 350;1 310;1 350;1 310;247;328 510;3.85%
02/11/2020;1 350;1 350;1 350;1 350;109;147 150;0.00%
03/11/2020;1 395;1 395;1 395;1 395;13;18 135;3.33%
04/11/2020;1 400;1 395;1 400;1 395;285;398 288;0.36%
09/11/2020;1 400;1 400;1 400;1 400;55;77 000;0.00%
10/11/2020;1 380;1 380;1 380;1 380;3;4 140;-1.43%
11/11/2020;1 380;1 400;1 400;1 380;891;1 238 490;0.00%
12/11/2020;1 400;1 400;1 400;1 400;72;100 800;1.45%
13/11/2020;1 390;1 380;1 390;1 380;1 970;2 728 450;-0.71%
18/11/2020;1 320;1 320;1 320;1 320;250;330 000;-5.04%
19/11/2020;1 320;1 320;1 320;1 320;20;26 400;0.00%
23/11/2020;1 390;1 345;1 390;1 345;3 977;5 438 548;5.30%
24/11/2020;1 490;1 400;1 490;1 400;1 505;2 174 725;7.19%
25/11/2020;1 490;1 490;1 490;1 490;358;533 420;0.00%
27/11/2020;1 500;1 500;1 500;1 500;659;988 500;0.67%
30/11/2020;1 390;1 390;1 390;1 390;40;55 600;-7.33%
02/12/2020;1 340;1 340;1 340;1 340;12;16 080;-3.60%
03/12/2020;1 315;1 315;1 315;1 315;60;78 900;-1.87%
04/12/2020;1 400;1 400;1 400;1 400;10;14 000;6.46%
