Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;7 700;7 750;7 750;7 700;2 052;15 851 700;0.00%
03/01/2020;7 700;7 710;7 710;7 700;560;4 314 800;0.00%
06/01/2020;7 700;7 750;7 750;7 700;1 626;12 560 850;0.00%
07/01/2020;7 780;7 700;7 780;7 700;1 076;8 328 240;1.04%
08/01/2020;7 780;7 700;7 780;7 700;1 144;8 854 560;0.00%
09/01/2020;7 785;7 785;7 785;7 785;1 103;8 586 855;0.06%
10/01/2020;7 715;7 700;7 715;7 700;797;6 142 878;-0.90%
13/01/2020;7 725;7 845;7 845;7 725;174;1 354 590;0.13%
14/01/2020;7 730;7 845;7 845;7 730;520;4 049 500;0.06%
15/01/2020;7 845;7 845;7 845;7 845;20;156 900;1.49%
16/01/2020;7 810;7 845;7 845;7 810;62;485 305;-0.45%
17/01/2020;7 820;7 810;7 820;7 810;107;836 205;0.13%
20/01/2020;8 000;7 815;8 000;7 815;49;387 468;2.30%
21/01/2020;8 005;8 000;8 005;8 000;203;1 624 508;0.06%
22/01/2020;8 000;8 005;8 005;8 000;482;3 857 205;-0.06%
23/01/2020;8 010;8 005;8 010;8 005;335;2 682 513;0.13%
24/01/2020;8 200;8 100;8 200;8 100;3 494;28 476 100;2.37%
27/01/2020;8 195;8 100;8 195;8 100;395;3 218 263;-0.06%
28/01/2020;8 170;8 100;8 170;8 100;98;797 230;-0.31%
29/01/2020;8 200;8 100;8 200;8 100;2 530;20 619 500;0.37%
30/01/2020;8 280;8 200;8 280;8 200;1 788;14 733 120;0.98%
31/01/2020;8 300;8 200;8 300;8 200;382;3 151 500;0.24%
03/02/2020;8 300;8 400;8 400;8 300;1 670;13 944 500;0.00%
04/02/2020;8 500;8 300;8 500;8 300;11 722;98 464 800;2.41%
05/02/2020;8 505;8 500;8 505;8 500;41 985;356 977 463;0.06%
06/02/2020;8 505;8 500;8 505;8 500;3 919;33 321 298;0.00%
07/02/2020;8 520;8 510;8 520;8 510;515;4 385 225;0.18%
10/02/2020;8 510;8 525;8 525;8 510;1 484;12 639 970;-0.12%
11/02/2020;8 505;8 550;8 550;8 505;4 552;38 817 180;-0.06%
12/02/2020;8 505;8 550;8 550;8 505;4 552;38 817 180;0.00%
13/02/2020;8 455;8 500;8 500;8 455;389;3 297 748;-0.59%
14/02/2020;8 515;8 455;8 515;8 455;511;4 335 835;0.71%
17/02/2020;8 650;8 520;8 650;8 520;1 068;9 168 780;1.59%
18/02/2020;8 650;8 650;8 650;8 650;196;1 695 400;0.00%
19/02/2020;8 750;8 650;8 750;8 650;59;513 300;1.16%
20/02/2020;8 665;8 695;8 695;8 665;165;1 432 200;-0.97%
21/02/2020;8 700;8 670;8 700;8 670;4 113;35 721 405;0.40%
24/02/2020;8 670;8 700;8 700;8 670;490;4 255 650;-0.34%
25/02/2020;8 750;8 655;8 750;8 655;814;7 083 835;0.92%
26/02/2020;8 700;8 700;8 700;8 700;6 880;59 856 000;-0.57%
27/02/2020;8 655;8 680;8 680;8 655;244;2 114 870;-0.52%
28/02/2020;8 655;8 655;8 655;8 655;1 406;12 168 930;0.00%
02/03/2020;8 655;8 650;8 655;8 650;1 611;13 939 178;0.00%
03/03/2020;8 655;8 655;8 655;8 655;100;865 500;0.00%
04/03/2020;8 650;8 655;8 655;8 650;193;1 669 933;-0.06%
05/03/2020;8 670;8 670;8 670;8 670;84;728 280;0.23%
06/03/2020;8 725;8 700;8 725;8 700;55;479 188;0.63%
09/03/2020;8 720;8 720;8 720;8 720;360;3 139 200;-0.06%
10/03/2020;8 675;8 700;8 700;8 675;2 689;23 360 688;-0.52%
