Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
09/01/2020;600;600;600;600;540;324 000;0.00%
13/01/2020;605;605;605;605;16;9 680;0.83%
14/01/2020;600;600;600;600;100;60 000;-0.83%
15/01/2020;600;600;600;600;300;180 000;0.00%
16/01/2020;600;600;600;600;210;126 000;0.00%
20/01/2020;600;600;600;600;15 000;9 000 000;0.00%
21/01/2020;600;600;600;600;100;60 000;0.00%
24/01/2020;630;635;635;630;27;17 078;5.00%
27/01/2020;600;600;600;600;1 700;1 020 000;-4.76%
29/01/2020;570;580;580;570;5 500;3 162 500;-5.00%
03/02/2020;600;570;600;570;400;234 000;5.26%
04/02/2020;580;600;600;580;150;88 500;-3.33%
10/02/2020;585;585;585;585;15;8 775;0.86%
11/02/2020;585;585;585;585;18;10 530;0.00%
12/02/2020;585;585;585;585;18;10 530;0.00%
17/02/2020;600;600;600;600;290;174 000;2.56%
20/02/2020;600;600;600;600;20;12 000;0.00%
21/02/2020;590;590;590;590;10 000;5 900 000;-1.67%
25/02/2020;595;595;595;595;20;11 900;0.85%
27/02/2020;560;595;595;560;61;35 228;-5.88%
05/03/2020;560;560;560;560;15 000;8 400 000;0.00%
06/03/2020;560;560;560;560;340;190 400;0.00%
09/03/2020;560;560;560;560;179;100 240;0.00%
12/03/2020;560;560;560;560;20;11 200;0.00%
13/03/2020;560;560;560;560;292;163 520;0.00%
16/03/2020;560;560;560;560;35;19 600;0.00%
17/03/2020;560;560;560;560;50;28 000;0.00%
19/03/2020;560;560;560;560;596;333 760;0.00%
20/03/2020;540;560;560;540;20 005;11 002 750;-3.57%
23/03/2020;530;550;550;530;1 514;817 560;-1.85%
24/03/2020;500;500;500;500;661;330 500;-5.66%
25/03/2020;500;500;500;500;14 340;7 170 000;0.00%
26/03/2020;500;500;500;500;300;150 000;0.00%
30/03/2020;500;500;500;500;1;500;0.00%
02/04/2020;490;490;490;490;42 218;20 686 820;-2.00%
03/04/2020;525;525;525;525;6;3 150;7.14%
07/04/2020;490;490;490;490;37 842;18 542 580;-6.67%
15/04/2020;490;490;490;490;300;147 000;0.00%
16/04/2020;490;525;525;490;52 053;26 416 898;0.00%
17/04/2020;525;525;525;525;1 006;528 150;7.14%
20/04/2020;560;560;560;560;1;560;6.67%
21/04/2020;560;560;560;560;433;242 480;0.00%
23/04/2020;520;520;520;520;1 710;889 200;-7.14%
28/04/2020;490;490;490;490;108 259;53 046 910;-5.77%
30/04/2020;525;525;525;525;1;525;7.14%
01/05/2020;525;525;525;525;1;525;0.00%
04/05/2020;560;560;560;560;7;3 920;6.67%
05/05/2020;560;565;565;560;3 211;1 806 188;0.00%
06/05/2020;560;560;560;560;801;448 560;0.00%
07/05/2020;600;600;600;600;650;390 000;7.14%
08/05/2020;600;600;600;600;10;6 000;0.00%
11/05/2020;560;560;560;560;1 198;670 880;-6.67%
12/05/2020;590;580;590;580;20;11 700;5.36%
14/05/2020;590;590;590;590;172;101 480;0.00%
15/05/2020;600;600;600;600;65;39 000;1.69%
18/05/2020;555;600;600;555;1 369;790 598;-7.50%
19/05/2020;515;515;515;515;126;64 890;-7.21%
22/05/2020;510;500;510;500;1 550;782 750;-0.97%
25/05/2020;510;510;510;510;100;51 000;0.00%
26/05/2020;515;515;515;515;535;275 525;0.98%
27/05/2020;500;515;515;500;65 000;32 987 500;-2.91%
09/06/2020;535;535;535;535;71;37 985;7.00%
11/06/2020;575;575;575;575;1;575;7.48%
12/06/2020;600;600;600;600;20;12 000;4.35%
15/06/2020;625;600;625;600;679;415 888;4.17%
16/06/2020;610;610;610;610;319;194 590;-2.40%
18/06/2020;580;615;615;580;5 037;3 009 608;-4.92%
19/06/2020;580;580;580;580;1 846;1 070 680;0.00%
23/06/2020;580;580;580;580;150;87 000;0.00%
24/06/2020;580;580;580;580;1 092;633 360;0.00%
03/07/2020;600;600;600;600;75;45 000;3.45%
06/07/2020;605;605;605;605;25;15 125;0.83%
07/07/2020;605;605;605;605;197;119 185;0.00%
08/07/2020;590;605;605;590;1 150;687 125;-2.48%
09/07/2020;590;590;590;590;2 025;1 194 750;0.00%
10/07/2020;580;590;590;580;1 325;775 125;-1.69%
15/07/2020;540;580;580;540;100;56 000;-6.90%
21/07/2020;570;570;570;570;4;2 280;5.56%
24/07/2020;610;610;610;610;100;61 000;7.02%
04/08/2020;610;605;610;605;200;121 500;0.00%
11/08/2020;580;580;580;580;677;392 660;-4.92%
17/08/2020;560;560;560;560;19 138;10 717 280;-3.45%
21/08/2020;560;560;560;560;105;58 800;0.00%
28/08/2020;530;530;530;530;250;132 500;-5.36%
31/08/2020;530;530;530;530;1 000;530 000;0.00%
01/09/2020;530;530;530;530;1 025;543 250;0.00%
02/09/2020;500;500;500;500;101 025;50 512 500;-5.66%
03/09/2020;520;520;520;520;520;270 400;4.00%
08/09/2020;485;485;485;485;590;286 150;-6.73%
15/09/2020;485;485;485;485;100 000;48 500 000;0.00%
17/09/2020;485;485;485;485;70;33 950;0.00%
18/09/2020;485;490;490;485;130 850;63 789 375;0.00%
02/10/2020;490;490;490;490;57;27 930;-2.00%
05/10/2020;505;490;505;490;131;65 173;3.06%
07/10/2020;505;505;505;505;10;5 050;0.00%
09/10/2020;505;505;505;505;27;13 635;0.00%
12/10/2020;505;505;505;505;27;13 635;0.00%
13/10/2020;490;490;490;490;120;58 800;-2.97%
14/10/2020;490;490;490;490;128;62 720;0.00%
16/10/2020;500;500;500;500;381;190 500;2.04%
21/10/2020;500;500;500;500;40;20 000;0.00%
30/10/2020;485;505;505;485;1 080;534 600;-3.00%
02/11/2020;485;485;485;485;5 060;2 454 100;0.00%
04/11/2020;485;485;485;485;5 060;2 454 100;0.00%
05/11/2020;485;485;485;485;742;359 870;0.00%
06/11/2020;475;475;475;475;57 670;27 393 250;-2.06%
09/11/2020;450;450;450;450;20;9 000;-5.26%
10/11/2020;450;450;450;450;5 143;2 314 350;0.00%
11/11/2020;450;450;450;450;72 370;32 566 500;0.00%
12/11/2020;450;450;450;450;200 800;90 360 000;0.00%
13/11/2020;450;450;450;450;36 793;16 556 850;0.00%
18/11/2020;450;450;450;450;8 865;3 989 250;0.00%
19/11/2020;450;455;455;450;3 120;1 411 800;0.00%
20/11/2020;440;450;450;440;180;80 100;-2.22%
23/11/2020;470;450;470;450;240 240;110 510 400;6.82%
24/11/2020;475;475;475;475;358;170 050;1.06%
26/11/2020;475;475;475;475;1 135;539 125;0.00%
27/11/2020;475;475;475;475;3 492;1 658 700;0.00%
01/12/2020;475;475;475;475;20;9 500;0.00%
04/12/2020;475;475;475;475;100;47 500;0.00%
07/12/2020;475;475;475;475;25;11 875;0.00%
08/12/2020;475;475;475;475;16;7 600;0.00%
09/12/2020;470;475;475;470;764;360 990;-1.05%
10/12/2020;470;470;470;470;496;233 120;0.00%
14/12/2020;475;475;475;475;50;23 750;1.06%
15/12/2020;475;475;475;475;40;19 000;0.00%
16/12/2020;475;475;475;475;10;4 750;0.00%
17/12/2020;475;450;475;450;495;228 938;0.00%
18/12/2020;475;475;475;475;30;14 250;0.00%
