Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;16 900;16 500;16 900;16 500;497;8 299 900;-0.56%
03/01/2020;16 800;16 500;16 800;16 500;26;432 900;-0.59%
06/01/2020;16 500;16 695;16 695;16 500;222;3 684 645;-1.79%
07/01/2020;16 000;16 005;16 005;16 000;831;13 298 078;-3.03%
08/01/2020;15 000;16 000;16 000;15 000;2 846;44 113 000;-6.25%
09/01/2020;15 500;15 000;15 500;15 000;24 709;376 812 250;3.33%
10/01/2020;15 500;15 010;15 500;15 010;18 647;284 459 985;0.00%
13/01/2020;15 500;15 020;15 500;15 020;69 461;1 059 974 860;0.00%
14/01/2020;15 500;15 500;15 500;15 500;34 530;535 215 000;0.00%
15/01/2020;15 535;15 500;15 535;15 500;191;2 963 843;0.23%
16/01/2020;15 650;15 600;15 650;15 600;17;265 625;0.74%
17/01/2020;16 000;15 650;16 000;15 650;1 019;16 125 675;2.24%
20/01/2020;16 000;16 000;16 000;16 000;5 973;95 568 000;0.00%
21/01/2020;16 000;16 000;16 000;16 000;1 608;25 728 000;0.00%
22/01/2020;15 800;16 000;16 000;15 800;4 918;78 196 200;-1.25%
23/01/2020;15 800;15 800;15 800;15 800;1 151;18 185 800;0.00%
24/01/2020;15 800;15 800;15 800;15 800;5 580;88 164 000;0.00%
27/01/2020;15 700;15 710;15 710;15 700;10 591;166 331 655;-0.63%
28/01/2020;15 600;15 650;15 650;15 600;39 444;616 312 500;-0.64%
29/01/2020;15 600;15 600;15 600;15 600;27 246;425 037 600;0.00%
30/01/2020;15 600;15 550;15 600;15 550;2 472;38 501 400;0.00%
31/01/2020;15 550;15 550;15 550;15 550;2 672;41 549 600;-0.32%
03/02/2020;15 550;15 500;15 550;15 500;3 604;55 952 100;0.00%
04/02/2020;15 500;15 405;15 500;15 405;1 460;22 560 650;-0.32%
05/02/2020;15 405;15 500;15 500;15 405;2 990;46 202 975;-0.61%
06/02/2020;15 110;15 410;15 410;15 110;4 020;61 345 200;-1.91%
07/02/2020;15 000;15 105;15 105;15 000;20 848;313 814 520;-0.73%
10/02/2020;14 500;15 000;15 000;14 500;1 153;17 006 750;-3.33%
11/02/2020;15 000;14 705;15 000;14 705;4 335;64 385 588;3.45%
12/02/2020;15 000;14 705;15 000;14 705;4 335;64 385 588;0.00%
13/02/2020;14 600;14 600;14 600;14 600;6 320;92 272 000;-2.67%
14/02/2020;14 600;14 600;14 600;14 600;1 073;15 665 800;0.00%
17/02/2020;14 995;14 600;14 995;14 600;14 302;211 633 845;2.71%
18/02/2020;14 995;14 975;14 995;14 975;1 413;21 173 805;0.00%
19/02/2020;14 600;14 800;14 800;14 600;3 041;44 702 700;-2.63%
20/02/2020;14 600;14 705;14 705;14 600;2 105;30 843 513;0.00%
21/02/2020;14 600;14 605;14 605;14 600;2 227;32 519 768;0.00%
24/02/2020;14 700;14 500;14 700;14 500;1 746;25 491 600;0.68%
25/02/2020;14 500;14 600;14 600;14 500;20 560;299 148 000;-1.36%
26/02/2020;14 600;14 700;14 700;14 600;3 306;48 432 900;0.69%
27/02/2020;15 000;15 000;15 000;15 000;52 309;784 635 000;2.74%
28/02/2020;14 995;15 000;15 000;14 995;1 417;21 251 458;-0.03%
02/03/2020;15 500;14 800;15 500;14 800;771;11 680 650;3.37%
03/03/2020;15 000;15 000;15 000;15 000;1 767;26 505 000;-3.23%
04/03/2020;14 800;15 000;15 000;14 800;4 813;71 713 700;-1.33%
05/03/2020;14 720;14 805;14 805;14 720;2 118;31 266 975;-0.54%
06/03/2020;14 720;14 920;14 920;14 720;778;11 529 960;0.00%
09/03/2020;14 600;14 720;14 720;14 600;5 257;77 067 620;-0.82%
10/03/2020;14 700;14 600;14 700;14 600;2 910;42 631 500;0.68%
11/03/2020;14 500;14 600;14 600;14 500;12 477;181 540 350;-1.36%
12/03/2020;14 500;14 500;14 500;14 500;14 319;207 625 500;0.00%
13/03/2020;14 500;14 500;14 500;14 500;1 767;25 621 500;0.00%
16/03/2020;14 300;14 500;14 500;14 300;7 414;106 761 600;-1.38%
17/03/2020;14 090;14 285;14 285;14 090;5 346;75 846 375;-1.47%
18/03/2020;13 990;14 000;14 000;13 990;3 120;43 664 400;-0.71%
19/03/2020;13 500;13 950;13 950;13 500;77 727;1 066 803 075;-3.50%
20/03/2020;13 500;13 895;13 895;13 500;30 545;418 390 138;0.00%
23/03/2020;13 125;13 500;13 500;13 125;63 154;840 737 625;-2.78%
24/03/2020;13 245;13 205;13 245;13 205;1 783;23 580 175;0.91%
25/03/2020;13 225;13 215;13 225;13 215;3 225;42 634 500;-0.15%
26/03/2020;13 000;13 200;13 200;13 000;4 595;60 194 500;-1.70%
27/03/2020;12 995;13 125;13 125;12 995;4 091;53 428 460;-0.04%
30/03/2020;12 995;12 995;12 995;12 995;5 695;74 006 525;0.00%
01/04/2020;12 970;12 985;12 985;12 970;5 100;66 185 250;-0.19%
02/04/2020;12 970;12 970;12 970;12 970;5 419;70 284 430;0.00%
03/04/2020;13 000;13 000;13 000;13 000;34 807;452 491 000;0.23%
06/04/2020;13 000;13 000;13 000;13 000;10 341;134 433 000;0.00%
07/04/2020;13 000;12 995;13 000;12 995;20 061;260 742 848;0.00%
08/04/2020;13 000;12 995;13 000;12 995;86 940;1 130 002 650;0.00%
09/04/2020;13 000;13 000;13 000;13 000;19 505;253 565 000;0.00%
10/04/2020;13 000;13 050;13 050;13 000;4 300;56 007 500;0.00%
