Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;620;610;620;610;532;327 180;2.48%
06/01/2020;655;630;655;630;809;519 783;5.65%
07/01/2020;675;675;675;675;15 888;10 724 400;3.05%
08/01/2020;710;700;710;700;655;461 775;5.19%
09/01/2020;760;750;760;750;257;194 035;7.04%
10/01/2020;765;765;765;765;750;573 750;0.66%
13/01/2020;760;760;760;760;3;2 280;-0.65%
14/01/2020;745;745;745;745;20;14 900;-1.97%
15/01/2020;725;725;725;725;1 038;752 550;-2.68%
16/01/2020;675;715;715;675;641;445 495;-6.90%
17/01/2020;685;630;685;630;261;171 608;1.48%
20/01/2020;650;635;650;635;2 014;1 293 995;-5.11%
21/01/2020;680;680;680;680;325;221 000;4.62%
22/01/2020;680;680;680;680;820;557 600;0.00%
23/01/2020;680;680;680;680;3 125;2 125 000;0.00%
24/01/2020;670;675;675;670;519;349 028;-1.47%
27/01/2020;670;670;670;670;624;418 080;0.00%
28/01/2020;690;680;690;680;2 386;1 634 410;2.99%
29/01/2020;680;685;685;680;959;654 518;-1.45%
30/01/2020;690;685;690;685;612;420 750;1.47%
31/01/2020;695;695;695;695;1 273;884 735;0.72%
03/02/2020;680;695;695;680;3 615;2 485 313;-2.16%
04/02/2020;680;680;680;680;175;119 000;0.00%
05/02/2020;675;680;680;675;953;645 658;-0.74%
06/02/2020;680;670;680;670;793;535 275;0.74%
07/02/2020;675;680;680;675;988;669 370;-0.74%
10/02/2020;650;675;675;650;571;378 288;-3.70%
11/02/2020;650;650;650;650;285;185 250;0.00%
12/02/2020;650;650;650;650;285;185 250;0.00%
13/02/2020;600;620;620;600;1 032;629 520;-7.69%
14/02/2020;585;600;600;585;259;153 458;-2.50%
17/02/2020;575;585;585;575;3 120;1 809 600;-1.71%
18/02/2020;570;570;570;570;676;385 320;-0.87%
19/02/2020;575;575;575;575;609;350 175;0.88%
20/02/2020;590;600;600;590;6;3 570;2.61%
21/02/2020;565;590;590;565;1 200;693 000;-4.24%
24/02/2020;600;570;600;570;3 300;1 930 500;6.19%
25/02/2020;600;600;600;600;661;396 600;0.00%
26/02/2020;600;600;600;600;1 041;624 600;0.00%
27/02/2020;590;600;600;590;1 085;645 575;-1.67%
28/02/2020;590;600;600;590;157;93 415;0.00%
03/03/2020;590;590;590;590;548;323 320;0.00%
04/03/2020;590;590;590;590;160;94 400;0.00%
05/03/2020;590;590;590;590;1 309;772 310;0.00%
06/03/2020;575;575;575;575;96;55 200;-2.54%
09/03/2020;565;590;590;565;1 362;786 555;-1.74%
10/03/2020;570;575;575;570;1 035;592 538;0.88%
11/03/2020;570;570;570;570;258;147 060;0.00%
12/03/2020;570;575;575;570;754;431 665;0.00%
13/03/2020;570;570;570;570;601;342 570;0.00%
16/03/2020;575;575;575;575;568;326 600;0.88%
17/03/2020;575;575;575;575;165;94 875;0.00%
18/03/2020;575;575;575;575;1 066;612 950;0.00%
19/03/2020;575;575;575;575;1 469;844 675;0.00%
20/03/2020;600;575;600;575;719;422 413;4.35%
23/03/2020;575;600;600;575;400;235 000;-4.17%
24/03/2020;575;575;575;575;2 213;1 272 475;0.00%
25/03/2020;580;575;580;575;9 290;5 364 975;0.87%
26/03/2020;580;575;580;575;3 272;1 889 580;0.00%
27/03/2020;580;585;585;580;1 278;744 435;0.00%
30/03/2020;580;580;580;580;60;34 800;0.00%
02/04/2020;585;600;600;585;34;20 145;-2.50%
03/04/2020;575;580;580;575;1 861;1 074 728;-1.71%
06/04/2020;590;590;590;590;1;590;2.61%
08/04/2020;600;590;600;590;236;140 420;1.69%
09/04/2020;580;580;580;580;60;34 800;-3.33%
14/04/2020;590;575;590;575;638;371 635;1.72%
15/04/2020;580;580;580;580;260;150 800;-1.69%
16/04/2020;620;620;620;620;400;248 000;6.90%
17/04/2020;620;620;620;620;50;31 000;0.00%
20/04/2020;600;620;620;600;1 060;646 600;-3.23%
21/04/2020;620;620;620;620;5;3 100;3.33%
23/04/2020;665;665;665;665;235;156 275;7.26%
24/04/2020;700;680;700;680;1 519;1 048 110;5.26%
27/04/2020;650;650;650;650;200;130 000;-7.14%
28/04/2020;640;640;640;640;401;256 640;-1.54%
29/04/2020;595;595;595;595;260;154 700;-7.03%
30/04/2020;555;560;560;555;7 159;3 991 143;-6.72%
01/05/2020;555;560;560;555;7 159;3 991 143;0.00%
04/05/2020;515;550;550;515;1 460;777 450;-7.21%
05/05/2020;480;515;515;480;314;156 215;-6.80%
06/05/2020;455;480;480;455;10 630;4 969 525;-5.21%
07/05/2020;450;460;460;450;865;393 575;-1.10%
08/05/2020;425;420;425;420;670;283 075;-5.56%
11/05/2020;395;425;425;395;3 378;1 384 980;-7.06%
12/05/2020;420;415;420;415;1 609;671 758;6.33%
13/05/2020;450;425;450;425;456;199 500;7.14%
14/05/2020;480;450;480;450;5 188;2 412 420;6.67%
15/05/2020;515;500;515;500;370;187 775;7.29%
18/05/2020;550;520;550;520;264;141 240;6.80%
19/05/2020;585;585;585;585;70;40 950;6.36%
22/05/2020;580;580;580;580;2 102;1 219 160;-0.85%
25/05/2020;580;585;585;580;2 088;1 216 260;0.00%
26/05/2020;555;555;555;555;79;43 845;-4.31%
27/05/2020;515;515;515;515;11;5 665;-7.21%
28/05/2020;515;505;515;505;1 739;886 890;0.00%
29/05/2020;550;515;550;515;1 495;796 088;6.80%
01/06/2020;550;515;550;515;1 495;796 088;0.00%
02/06/2020;550;555;555;550;352;194 480;0.00%
03/06/2020;525;550;550;525;177;95 138;-4.55%
04/06/2020;525;505;525;505;918;472 770;0.00%
05/06/2020;525;525;525;525;1 130;593 250;0.00%
08/06/2020;525;525;525;525;110;57 750;0.00%
09/06/2020;525;520;525;520;784;409 640;0.00%
10/06/2020;525;525;525;525;2 276;1 194 900;0.00%
11/06/2020;525;560;560;525;2 442;1 324 785;0.00%
12/06/2020;525;505;525;505;281;144 715;0.00%
15/06/2020;500;505;505;500;3 228;1 622 070;-4.76%
16/06/2020;500;500;500;500;123;61 500;0.00%
17/06/2020;500;500;500;500;1 251;625 500;0.00%
18/06/2020;500;500;500;500;2 660;1 330 000;0.00%
19/06/2020;505;505;505;505;340;171 700;1.00%
22/06/2020;525;510;525;510;685;354 488;3.96%
23/06/2020;525;525;525;525;1 353;710 325;0.00%
24/06/2020;515;525;525;515;1 251;650 520;-1.90%
25/06/2020;520;515;520;515;36;18 630;0.97%
26/06/2020;540;525;540;525;284;151 230;3.85%
30/06/2020;580;540;580;540;459;257 040;7.41%
01/07/2020;580;580;580;580;1 972;1 143 760;0.00%
02/07/2020;600;615;615;600;51;30 983;3.45%
03/07/2020;555;580;580;555;44;24 970;-7.50%
06/07/2020;570;595;595;570;13;7 573;2.70%
07/07/2020;540;550;550;540;663;361 335;-5.26%
08/07/2020;535;535;535;535;121;64 735;-0.93%
09/07/2020;525;510;525;510;1 000;517 500;-1.87%
10/07/2020;525;520;525;520;113;59 043;0.00%
13/07/2020;525;500;525;500;1 203;616 538;0.00%
15/07/2020;500;515;515;500;782;396 865;-4.76%
16/07/2020;510;500;510;500;1 628;822 140;2.00%
17/07/2020;500;500;500;500;200;100 000;-1.96%
20/07/2020;505;505;505;505;48;24 240;1.00%
