Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;1 700;1 700;1 700;1 700;1 981 066;3 367 812 200;0.00%
03/01/2020;1 580;1 600;1 600;1 580;89;141 510;-7.06%
06/01/2020;1 540;1 545;1 545;1 540;190;293 075;-2.53%
07/01/2020;1 450;1 500;1 500;1 450;327;482 325;-5.84%
08/01/2020;1 450;1 455;1 455;1 450;10 391;15 092 928;0.00%
09/01/2020;1 450;1 490;1 490;1 450;2 573;3 782 310;0.00%
10/01/2020;1 450;1 445;1 450;1 445;19 631;28 415 873;0.00%
13/01/2020;1 450;1 450;1 450;1 450;2;2 900;0.00%
14/01/2020;1 450;1 425;1 450;1 425;141;202 688;0.00%
15/01/2020;1 425;1 425;1 425;1 425;79;112 575;-1.72%
16/01/2020;1 390;1 390;1 390;1 390;350;486 500;-2.46%
17/01/2020;1 300;1 385;1 385;1 300;185;248 363;-6.47%
20/01/2020;1 300;1 315;1 315;1 300;145;189 588;0.00%
21/01/2020;1 250;1 315;1 315;1 250;3 700;4 745 250;-3.85%
22/01/2020;1 300;1 300;1 300;1 300;7 464;9 703 200;4.00%
23/01/2020;1 300;1 300;1 300;1 300;2 184;2 839 200;0.00%
24/01/2020;1 390;1 350;1 390;1 350;1 245;1 705 650;6.92%
27/01/2020;1 400;1 405;1 405;1 400;580;813 450;0.72%
28/01/2020;1 400;1 390;1 400;1 390;65;90 675;0.00%
29/01/2020;1 400;1 400;1 400;1 400;452;632 800;0.00%
30/01/2020;1 440;1 400;1 440;1 400;19;26 980;2.86%
31/01/2020;1 400;1 400;1 400;1 400;693;970 200;-2.78%
03/02/2020;1 400;1 400;1 400;1 400;6 235;8 729 000;0.00%
04/02/2020;1 400;1 400;1 400;1 400;4 163;5 828 200;0.00%
05/02/2020;1 390;1 400;1 400;1 390;2 147;2 995 065;-0.71%
06/02/2020;1 390;1 400;1 400;1 390;215;299 925;0.00%
07/02/2020;1 390;1 390;1 390;1 390;2 300;3 197 000;0.00%
10/02/2020;1 400;1 400;1 400;1 400;3 652;5 112 800;0.72%
11/02/2020;1 395;1 395;1 395;1 395;109;152 055;-0.36%
12/02/2020;1 395;1 395;1 395;1 395;109;152 055;0.00%
13/02/2020;1 395;1 400;1 400;1 395;85;118 788;0.00%
14/02/2020;1 390;1 395;1 395;1 390;197;274 323;-0.36%
17/02/2020;1 400;1 395;1 400;1 395;2 031;2 838 323;0.72%
