Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;850;850;850;850;75;63 750;6.25%
03/01/2020;900;850;900;850;1 133;991 375;5.88%
06/01/2020;900;895;900;895;1 231;1 104 823;0.00%
07/01/2020;890;900;900;890;710;635 450;-1.11%
08/01/2020;840;850;850;840;99;83 655;-5.62%
09/01/2020;780;860;860;780;1 503;1 232 460;-7.14%
10/01/2020;790;795;795;790;1 139;902 658;1.28%
13/01/2020;775;800;800;775;244;192 150;-1.90%
14/01/2020;750;775;775;750;1 112;847 900;-3.23%
15/01/2020;805;805;805;805;17;13 685;7.33%
16/01/2020;850;850;850;850;185;157 250;5.59%
17/01/2020;850;850;850;850;90;76 500;0.00%
20/01/2020;850;840;850;840;694;586 430;0.00%
21/01/2020;890;850;890;850;37;32 190;4.71%
22/01/2020;890;890;890;890;154;137 060;0.00%
23/01/2020;890;870;890;870;1 175;1 034 000;0.00%
24/01/2020;880;880;880;880;151;132 880;-1.12%
27/01/2020;860;880;880;860;406;353 220;-2.27%
28/01/2020;860;860;860;860;567;487 620;0.00%
29/01/2020;860;850;860;850;547;467 685;0.00%
30/01/2020;860;850;860;850;682;583 110;0.00%
31/01/2020;885;860;885;860;692;603 770;2.91%
03/02/2020;860;880;880;860;5 349;4 653 630;-2.82%
04/02/2020;860;860;860;860;1 788;1 537 680;0.00%
05/02/2020;885;880;885;880;34 047;30 046 478;2.91%
06/02/2020;885;885;885;885;4 128;3 653 280;0.00%
07/02/2020;850;895;895;850;2 549;2 224 003;-3.95%
10/02/2020;805;860;860;805;8 230;6 851 475;-5.29%
11/02/2020;815;850;850;815;18 358;15 283 035;1.24%
12/02/2020;815;850;850;815;18 358;15 283 035;0.00%
13/02/2020;800;815;815;800;425;343 188;-1.84%
14/02/2020;800;800;800;800;937;749 600;0.00%
17/02/2020;800;800;800;800;2 126;1 700 800;0.00%
18/02/2020;800;800;800;800;94;75 200;0.00%
19/02/2020;790;800;800;790;186;147 870;-1.25%
20/02/2020;790;800;800;790;207;164 565;0.00%
21/02/2020;790;790;790;790;2 468;1 949 720;0.00%
24/02/2020;815;780;815;780;3 662;2 920 445;3.16%
25/02/2020;810;810;810;810;652;528 120;-0.61%
26/02/2020;810;810;810;810;270;218 700;0.00%
27/02/2020;810;810;810;810;522;422 820;0.00%
28/02/2020;810;805;810;805;93;75 098;0.00%
02/03/2020;810;810;810;810;337;272 970;0.00%
03/03/2020;810;810;810;810;2 184;1 769 040;0.00%
04/03/2020;810;810;810;810;495;400 950;0.00%
05/03/2020;815;815;815;815;55;44 825;0.62%
06/03/2020;800;815;815;800;1 413;1 140 998;-1.84%
09/03/2020;800;815;815;800;686;553 945;0.00%
10/03/2020;800;800;800;800;1 849;1 479 200;0.00%
11/03/2020;800;805;805;800;2 470;1 982 175;0.00%
12/03/2020;830;800;830;800;1 858;1 514 270;3.75%
13/03/2020;815;830;830;815;127;104 458;-1.81%
16/03/2020;800;815;815;800;621;501 458;-1.84%
17/03/2020;795;800;800;795;378;301 455;-0.63%
18/03/2020;795;800;800;795;139;110 853;0.00%
19/03/2020;795;795;795;795;546;434 070;0.00%
20/03/2020;770;795;795;770;208;162 760;-3.14%
23/03/2020;750;790;790;750;2 388;1 838 760;-2.60%
24/03/2020;800;770;800;770;9;7 065;6.67%
26/03/2020;795;795;795;795;385;306 075;-0.63%
27/03/2020;740;740;740;740;892;660 080;-6.92%
30/03/2020;740;785;785;740;590;449 875;0.00%
01/04/2020;735;755;755;735;2 782;2 072 590;-2.00%
02/04/2020;700;750;750;700;5 527;4 007 075;-4.76%
03/04/2020;700;700;700;700;475;332 500;0.00%
06/04/2020;700;700;700;700;375;262 500;0.00%
07/04/2020;700;700;700;700;6 633;4 643 100;0.00%
08/04/2020;700;700;700;700;1 309;916 300;0.00%
09/04/2020;700;700;700;700;231;161 700;0.00%
10/04/2020;695;700;700;695;228;159 030;-0.71%
13/04/2020;695;700;700;695;228;159 030;0.00%
14/04/2020;695;700;700;695;2 475;1 726 313;0.00%
15/04/2020;700;700;700;700;150;105 000;0.72%
16/04/2020;700;695;700;695;1 474;1 028 115;0.00%
17/04/2020;675;700;700;675;789;542 438;-3.57%
20/04/2020;700;675;700;675;508;349 250;3.70%
21/04/2020;675;700;700;675;2 841;1 953 188;-3.57%
22/04/2020;650;695;695;650;598;402 155;-3.70%
23/04/2020;650;650;650;650;2;1 300;0.00%
24/04/2020;635;680;680;635;4 929;3 240 818;-2.31%
27/04/2020;635;635;635;635;4 417;2 804 795;0.00%
28/04/2020;645;645;645;645;1 610;1 038 450;1.57%
29/04/2020;645;650;650;645;695;450 013;0.00%
30/04/2020;600;640;640;600;6 104;3 784 480;-6.98%
01/05/2020;600;640;640;600;6 104;3 784 480;0.00%
04/05/2020;600;600;600;600;3 300;1 980 000;0.00%
05/05/2020;600;645;645;600;3 610;2 247 225;0.00%
06/05/2020;600;600;600;600;4 282;2 569 200;0.00%
07/05/2020;600;645;645;600;1 475;918 188;0.00%
08/05/2020;600;605;605;600;3 087;1 859 918;0.00%
11/05/2020;600;600;600;600;5 899;3 539 400;0.00%
12/05/2020;600;600;600;600;6 078;3 646 800;0.00%
13/05/2020;625;625;625;625;3 154;1 971 250;4.17%
14/05/2020;600;625;625;600;7 242;4 435 725;-4.00%
15/05/2020;640;625;640;625;605;382 663;6.67%
18/05/2020;630;625;630;625;2 132;1 337 830;-1.56%
19/05/2020;600;635;635;600;4 568;2 820 740;-4.76%
22/05/2020;630;630;630;630;1 181;744 030;5.00%
25/05/2020;635;600;635;600;1 977;1 220 798;0.79%
26/05/2020;590;640;640;590;2 125;1 306 875;-7.09%
27/05/2020;605;605;605;605;3 167;1 916 035;2.54%
28/05/2020;600;630;630;600;3 407;2 095 305;-0.83%
29/05/2020;600;580;600;580;18 541;10 939 190;0.00%
01/06/2020;600;580;600;580;18 541;10 939 190;0.00%
