Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;1 850;1 850;1 850;1 850;3 408;6 304 800;2.49%
03/01/2020;1 885;1 850;1 885;1 850;6 680;12 474 900;1.89%
06/01/2020;1 825;1 830;1 830;1 825;8 328;15 219 420;-3.18%
07/01/2020;1 850;1 828;1 850;1 828;1 016;1 868 170;1.37%
08/01/2020;1 900;1 903;1 903;1 900;3 858;7 335 023;2.70%
09/01/2020;1 900;1 880;1 900;1 880;2 650;5 008 500;0.00%
10/01/2020;1 850;1 853;1 853;1 850;5 780;10 700 225;-2.63%
13/01/2020;1 825;1 833;1 833;1 825;1 700;3 108 875;-1.35%
14/01/2020;1 825;1 830;1 830;1 825;1 996;3 647 690;0.00%
15/01/2020;1 850;1 850;1 850;1 850;3 002;5 553 700;1.37%
16/01/2020;1 850;1 895;1 895;1 850;280;524 300;0.00%
17/01/2020;1 875;1 850;1 875;1 850;10 600;19 742 500;1.35%
20/01/2020;1 875;1 855;1 875;1 855;4 036;7 527 140;0.00%
21/01/2020;1 905;1 903;1 905;1 903;1 904;3 624 740;1.60%
23/01/2020;1 950;1 905;1 950;1 905;1 004;1 935 210;2.36%
24/01/2020;1 950;1 948;1 950;1 948;1 494;2 911 433;0.00%
27/01/2020;1 998;1 950;1 998;1 950;3 630;7 164 713;2.44%
28/01/2020;1 950;1 950;1 950;1 950;2 174;4 239 300;-2.38%
29/01/2020;1 950;1 925;1 950;1 925;3 808;7 378 000;0.00%
30/01/2020;1 950;1 950;1 950;1 950;30 464;59 404 800;0.00%
31/01/2020;1 950;1 950;1 950;1 950;4 370;8 521 500;0.00%
03/02/2020;1 925;1 945;1 945;1 925;236;456 660;-1.28%
04/02/2020;1 925;1 950;1 950;1 925;5 344;10 354 000;0.00%
05/02/2020;1 950;1 948;1 950;1 948;1 860;3 624 675;1.30%
06/02/2020;1 950;1 950;1 950;1 950;546;1 064 700;0.00%
07/02/2020;1 930;1 930;1 930;1 930;280;540 400;-1.03%
10/02/2020;1 925;1 950;1 950;1 925;3 382;6 552 625;-0.26%
11/02/2020;1 915;1 915;1 915;1 915;1 192;2 282 680;-0.52%
12/02/2020;1 915;1 915;1 915;1 915;1 192;2 282 680;0.00%
13/02/2020;1 915;1 890;1 915;1 890;2 192;4 170 280;0.00%
14/02/2020;1 918;1 925;1 925;1 918;1 360;2 612 900;0.13%
17/02/2020;1 918;1 918;1 918;1 918;396;759 330;0.00%
18/02/2020;1 918;1 918;1 918;1 918;452;866 710;0.00%
19/02/2020;1 925;1 920;1 925;1 920;1 540;2 960 650;0.39%
20/02/2020;1 920;1 918;1 920;1 918;634;1 216 488;-0.26%
21/02/2020;1 918;1 920;1 920;1 918;2 214;4 248 113;-0.13%
24/02/2020;1 900;1 925;1 925;1 900;2 082;3 981 825;-0.91%
25/02/2020;1 900;1 913;1 913;1 900;1 144;2 180 750;0.00%
26/02/2020;1 900;1 850;1 900;1 850;1 492;2 797 500;0.00%
27/02/2020;1 825;1 850;1 850;1 825;340;624 750;-3.95%
28/02/2020;1 878;1 900;1 900;1 878;186;351 308;2.88%
02/03/2020;1 900;1 878;1 900;1 878;594;1 121 918;1.20%
03/03/2020;1 900;1 900;1 900;1 900;482;915 800;0.00%
04/03/2020;1 950;1 950;1 950;1 950;2 344;4 570 800;2.63%
05/03/2020;1 945;1 900;1 945;1 900;2 800;5 383 000;-0.26%
06/03/2020;1 905;1 905;1 905;1 905;1 820;3 467 100;-2.06%
09/03/2020;1 850;1 925;1 925;1 850;1 318;2 487 725;-2.89%
10/03/2020;1 855;1 850;1 855;1 850;244;452 010;0.27%
11/03/2020;1 950;1 855;1 950;1 855;786;1 495 365;5.12%
12/03/2020;1 948;1 948;1 948;1 948;40;77 900;-0.13%
13/03/2020;1 925;1 948;1 948;1 925;936;1 812 330;-1.16%
16/03/2020;1 900;1 900;1 900;1 900;1 316;2 500 400;-1.30%
17/03/2020;1 900;1 923;1 923;1 900;3 038;5 806 378;0.00%
18/03/2020;1 903;1 903;1 903;1 903;830;1 579 075;0.13%
19/03/2020;1 898;1 900;1 900;1 898;1 644;3 121 545;-0.26%
20/03/2020;1 895;1 900;1 900;1 895;1 798;3 411 705;-0.13%
23/03/2020;1 848;1 895;1 895;1 848;1 590;2 975 288;-2.51%
24/03/2020;1 848;1 800;1 848;1 800;1 474;2 688 208;0.00%
25/03/2020;1 823;1 825;1 825;1 823;516;941 055;-1.35%
26/03/2020;1 823;1 823;1 823;1 823;1 102;2 008 395;0.00%
27/03/2020;1 748;1 800;1 800;1 748;2 942;5 218 373;-4.12%
30/03/2020;1 725;1 743;1 743;1 725;684;1 185 885;-1.29%
01/04/2020;1 745;1 725;1 745;1 725;1 300;2 255 500;1.16%
02/04/2020;1 725;1 723;1 725;1 723;1 426;2 458 068;-1.15%
03/04/2020;1 700;1 725;1 725;1 700;5 426;9 292 025;-1.45%
06/04/2020;1 700;1 700;1 700;1 700;1 154;1 961 800;0.00%
07/04/2020;1 750;1 700;1 750;1 700;1 666;2 873 850;2.94%
08/04/2020;1 800;1 748;1 800;1 748;3 014;5 346 083;2.86%
09/04/2020;1 850;1 800;1 850;1 800;780;1 423 500;2.78%
10/04/2020;1 850;1 850;1 850;1 850;800;1 480 000;0.00%
13/04/2020;1 850;1 850;1 850;1 850;800;1 480 000;0.00%
14/04/2020;1 850;1 925;1 925;1 850;29 436;55 560 450;0.00%
15/04/2020;1 853;1 853;1 853;1 853;590;1 092 975;0.14%
16/04/2020;1 850;1 853;1 853;1 850;10 438;19 323 348;-0.13%
17/04/2020;1 850;1 845;1 850;1 845;6 460;11 934 850;0.00%
20/04/2020;1 850;1 850;1 850;1 850;4 246;7 855 100;0.00%
21/04/2020;1 988;1 850;1 988;1 850;762;1 462 088;7.43%
22/04/2020;1 850;1 875;1 875;1 850;9 398;17 503 775;-6.92%
23/04/2020;1 850;1 848;1 850;1 848;20 398;37 710 803;0.00%
24/04/2020;1 850;1 850;1 850;1 850;6 004;11 107 400;0.00%
27/04/2020;1 850;1 850;1 850;1 850;7 460;13 801 000;0.00%
28/04/2020;1 850;1 848;1 850;1 848;4 868;8 999 715;0.00%
29/04/2020;1 850;1 848;1 850;1 848;22 878;42 295 703;0.00%
30/04/2020;1 850;1 848;1 850;1 848;1 852;3 423 885;0.00%
01/05/2020;1 850;1 848;1 850;1 848;1 852;3 423 885;0.00%
04/05/2020;1 850;1 850;1 850;1 850;1 978;3 659 300;0.00%
05/05/2020;1 988;1 850;1 988;1 850;11 580;22 219 125;7.43%
06/05/2020;1 988;1 985;1 988;1 985;1 432;2 844 310;0.00%
07/05/2020;1 985;1 985;1 985;1 985;100;198 500;-0.13%
08/05/2020;1 985;1 950;1 985;1 950;5 280;10 388 400;0.00%
11/05/2020;1 975;1 985;1 985;1 975;330;653 400;-0.50%
12/05/2020;1 950;1 973;1 973;1 950;1 518;2 977 178;-1.27%
13/05/2020;1 650;1 700;1 700;1 650;320;536 000;-15.38%
14/05/2020;1 640;1 648;1 648;1 640;1 046;1 719 363;-0.61%
15/05/2020;1 553;1 635;1 635;1 553;2 770;4 414 688;-5.34%
18/05/2020;1 550;1 575;1 575;1 550;3 986;6 228 125;-0.16%
19/05/2020;1 550;1 575;1 575;1 550;2 452;3 831 250;0.00%
22/05/2020;1 573;1 550;1 573;1 550;1 030;1 608 088;1.45%
25/05/2020;1 563;1 570;1 570;1 563;3 078;4 820 918;-0.64%
26/05/2020;1 500;1 563;1 563;1 500;10 874;16 650 813;-4.00%
27/05/2020;1 550;1 500;1 550;1 500;14 360;21 899 000;3.33%
28/05/2020;1 563;1 550;1 563;1 550;9 072;14 118 300;0.81%
29/05/2020;1 575;1 563;1 575;1 563;2 360;3 702 250;0.80%
01/06/2020;1 575;1 563;1 575;1 563;2 360;3 702 250;0.00%
02/06/2020;1 573;1 565;1 573;1 565;4 658;7 307 238;-0.16%
03/06/2020;1 578;1 575;1 578;1 575;9 098;14 340 723;0.32%
04/06/2020;1 580;1 580;1 580;1 580;7 840;12 387 200;0.16%
05/06/2020;1 698;1 583;1 698;1 583;2 080;3 411 200;7.44%
08/06/2020;1 700;1 700;1 700;1 700;884;1 502 800;0.15%
09/06/2020;1 718;1 705;1 718;1 705;1 170;2 002 163;1.03%
10/06/2020;1 723;1 723;1 723;1 723;1 304;2 246 140;0.29%
11/06/2020;1 723;1 725;1 725;1 723;3 602;6 208 948;0.00%
12/06/2020;1 723;1 723;1 723;1 723;3 914;6 741 865;0.00%
15/06/2020;1 703;1 703;1 703;1 703;6 910;11 764 275;-1.16%
16/06/2020;1 720;1 723;1 723;1 720;6 380;10 981 575;1.03%
17/06/2020;1 825;1 745;1 825;1 745;10 208;18 221 280;6.10%
18/06/2020;1 815;1 813;1 815;1 813;700;1 269 625;-0.55%
19/06/2020;1 825;1 755;1 825;1 755;11 274;20 180 460;0.55%
22/06/2020;1 815;1 825;1 825;1 815;1 980;3 603 600;-0.55%
23/06/2020;1 820;1 820;1 820;1 820;1 644;2 992 080;0.28%
24/06/2020;1 813;1 800;1 813;1 800;3 092;5 584 925;-0.41%
25/06/2020;1 800;1 803;1 803;1 800;8 326;14 997 208;-0.69%
26/06/2020;1 800;1 810;1 810;1 800;4 284;7 732 620;0.00%
30/06/2020;1 900;1 805;1 900;1 805;15 926;29 502 915;5.12%
01/07/2020;1 800;1 875;1 875;1 800;4 010;7 368 375;-5.26%
02/07/2020;1 768;1 800;1 800;1 768;216;385 290;-1.81%
03/07/2020;1 768;1 768;1 768;1 768;4 226;7 469 455;0.00%
06/07/2020;1 748;1 800;1 800;1 748;1 532;2 717 385;-1.13%
