Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;2 219;2 116;2 219;2 116;3 836;8 313 331;4.87%
03/01/2020;2 188;2 188;2 188;2 188;544;1 190 000;-1.41%
06/01/2020;2 188;2 219;2 219;2 188;3 620;7 975 313;0.00%
07/01/2020;2 125;2 125;2 125;2 125;48;102 000;-2.86%
08/01/2020;2 125;2 125;2 125;2 125;256;544 000;0.00%
09/01/2020;2 063;2 119;2 119;2 063;1 664;3 478 800;-2.94%
10/01/2020;2 122;2 122;2 122;2 122;1;2 122;2.88%
13/01/2020;2 063;2 122;2 122;2 063;2 912;6 092 450;-2.80%
14/01/2020;2 003;2 063;2 063;2 003;214;435 022;-2.88%
15/01/2020;2 059;2 063;2 063;2 059;1 417;2 920 348;2.81%
16/01/2020;2 125;2 063;2 125;2 063;1 676;3 509 125;3.19%
17/01/2020;2 125;2 125;2 125;2 125;619;1 315 375;0.00%
20/01/2020;2 125;2 125;2 125;2 125;668;1 419 500;0.00%
21/01/2020;2 125;2 125;2 125;2 125;448;952 000;0.00%
22/01/2020;2 128;2 128;2 128;2 128;4;8 513;0.15%
23/01/2020;2 188;2 188;2 188;2 188;8 016;17 535 000;2.79%
24/01/2020;2 191;2 188;2 191;2 188;1 849;4 047 577;0.14%
27/01/2020;2 188;2 194;2 194;2 188;1 731;3 791 972;-0.14%
28/01/2020;2 184;2 181;2 184;2 181;796;1 737 519;-0.14%
29/01/2020;2 156;2 184;2 184;2 156;7 025;15 246 445;-1.29%
30/01/2020;2 219;2 131;2 219;2 131;433;941 775;2.90%
31/01/2020;2 250;2 269;2 269;2 250;92;207 863;1.41%
03/02/2020;2 406;2 253;2 406;2 253;2 888;6 728 138;6.94%
04/02/2020;2 253;2 375;2 375;2 253;1 089;2 520 014;-6.36%
05/02/2020;2 253;2 253;2 253;2 253;249;561 028;0.00%
06/02/2020;2 250;2 281;2 281;2 250;470;1 064 844;-0.14%
07/02/2020;2 250;2 253;2 253;2 250;968;2 179 513;0.00%
10/02/2020;2 188;2 250;2 250;2 188;2 640;5 857 500;-2.78%
11/02/2020;2 188;2 125;2 188;2 125;2 656;5 727 000;0.00%
12/02/2020;2 188;2 125;2 188;2 125;2 656;5 727 000;0.00%
13/02/2020;2 125;2 125;2 125;2 125;524;1 113 500;-2.86%
14/02/2020;2 128;2 125;2 128;2 125;1 403;2 983 567;0.15%
17/02/2020;2 128;2 128;2 128;2 128;305;649 078;0.00%
18/02/2020;2 125;2 125;2 125;2 125;208;442 000;-0.15%
19/02/2020;2 125;2 128;2 128;2 125;179;380 655;0.00%
20/02/2020;2 125;2 125;2 125;2 125;1 320;2 805 000;0.00%
