Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
03/01/2020;435;435;435;435;500;217 500;0.00%
06/01/2020;415;435;435;415;496;210 800;-4.60%
07/01/2020;415;430;430;415;1 269;536 153;0.00%
08/01/2020;405;415;415;405;750;307 500;-2.41%
09/01/2020;415;400;415;400;23 343;9 512 273;2.47%
14/01/2020;430;430;430;430;30 148;12 963 640;3.61%
15/01/2020;450;435;450;435;37;16 373;4.65%
16/01/2020;450;450;450;450;2 753;1 238 850;0.00%
17/01/2020;450;450;450;450;15;6 750;0.00%
20/01/2020;480;450;480;450;440;204 600;6.67%
21/01/2020;480;480;480;480;60;28 800;0.00%
22/01/2020;455;455;455;455;530;241 150;-5.21%
23/01/2020;470;470;470;470;2;940;3.30%
24/01/2020;460;470;470;460;805;374 325;-2.13%
27/01/2020;465;460;465;460;60;27 750;1.09%
28/01/2020;465;465;465;465;15;6 975;0.00%
29/01/2020;460;465;465;460;1 010;467 125;-1.08%
30/01/2020;460;460;460;460;20;9 200;0.00%
31/01/2020;465;465;465;465;490;227 850;1.09%
03/02/2020;450;495;495;450;1 857;877 433;-3.23%
04/02/2020;450;450;450;450;1 168;525 600;0.00%
05/02/2020;450;450;450;450;500;225 000;0.00%
06/02/2020;455;450;455;450;259;117 198;1.11%
07/02/2020;450;455;455;450;2 125;961 563;-1.10%
10/02/2020;450;455;455;450;385;174 213;0.00%
11/02/2020;450;450;450;450;38 202;17 190 900;0.00%
12/02/2020;450;450;450;450;38 202;17 190 900;0.00%
13/02/2020;445;450;450;445;1 000;447 500;-1.11%
14/02/2020;450;450;450;450;950;427 500;1.12%
17/02/2020;450;450;450;450;90;40 500;0.00%
18/02/2020;450;450;450;450;2 311;1 039 950;0.00%
20/02/2020;450;425;450;425;3 278;1 434 125;0.00%
21/02/2020;450;450;450;450;3 200;1 440 000;0.00%
24/02/2020;450;450;450;450;2 675;1 203 750;0.00%
26/02/2020;480;480;480;480;1;480;6.67%
