Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;8 000;7 400;8 000;7 400;63;485 100;0.00%
03/01/2020;8 000;8 000;8 000;8 000;3;24 000;0.00%
06/01/2020;8 000;7 405;8 000;7 405;568;4 375 020;0.00%
07/01/2020;8 000;7 500;8 000;7 500;48;372 000;0.00%
09/01/2020;7 800;7 505;7 800;7 505;389;2 976 823;-2.50%
10/01/2020;7 900;7 500;7 900;7 500;359;2 764 300;1.28%
14/01/2020;7 950;7 850;7 950;7 850;1 285;10 151 500;0.63%
15/01/2020;7 900;7 800;7 900;7 800;250;1 962 500;-0.63%
17/01/2020;7 805;7 805;7 805;7 805;138;1 077 090;-1.20%
20/01/2020;7 800;7 805;7 805;7 800;68;530 570;-0.06%
22/01/2020;7 900;7 600;7 900;7 600;294;2 278 500;1.28%
23/01/2020;7 800;7 800;7 800;7 800;15;117 000;-1.27%
24/01/2020;7 900;7 900;7 900;7 900;64;505 600;1.28%
27/01/2020;7 900;7 800;7 900;7 800;233;1 829 050;0.00%
28/01/2020;7 800;7 800;7 800;7 800;1 550;12 090 000;-1.27%
29/01/2020;7 800;7 800;7 800;7 800;1 017;7 932 600;0.00%
30/01/2020;7 800;7 600;7 800;7 600;130;1 001 000;0.00%
31/01/2020;7 800;7 800;7 800;7 800;1 549;12 082 200;0.00%
03/02/2020;7 800;7 800;7 800;7 800;92;717 600;0.00%
04/02/2020;7 800;7 745;7 800;7 745;231;1 795 448;0.00%
05/02/2020;7 800;7 780;7 800;7 780;812;6 325 480;0.00%
06/02/2020;7 800;7 800;7 800;7 800;6 328;49 358 400;0.00%
07/02/2020;7 800;7 900;7 900;7 800;2 010;15 778 500;0.00%
10/02/2020;7 800;7 800;7 800;7 800;6 546;51 058 800;0.00%
11/02/2020;7 800;7 780;7 800;7 780;5 027;39 160 330;0.00%
12/02/2020;7 800;7 780;7 800;7 780;5 027;39 160 330;0.00%
13/02/2020;7 800;7 800;7 800;7 800;5 750;44 850 000;0.00%
14/02/2020;7 800;7 800;7 800;7 800;2 100;16 380 000;0.00%
17/02/2020;7 800;7 800;7 800;7 800;1 550;12 090 000;0.00%
18/02/2020;7 800;7 800;7 800;7 800;165;1 287 000;0.00%
19/02/2020;7 800;7 800;7 800;7 800;366;2 854 800;0.00%
20/02/2020;7 795;7 750;7 795;7 750;101;785 023;-0.06%
21/02/2020;7 800;7 800;7 800;7 800;3;23 400;0.06%
24/02/2020;7 675;7 700;7 700;7 675;220;1 691 250;-1.60%
25/02/2020;7 800;7 675;7 800;7 675;511;3 953 863;1.63%
26/02/2020;7 790;7 700;7 790;7 700;221;1 711 645;-0.13%
27/02/2020;7 800;7 550;7 800;7 550;155;1 189 625;0.13%
28/02/2020;7 795;7 795;7 795;7 795;39;304 005;-0.06%
02/03/2020;7 790;7 405;7 790;7 405;306;2 324 835;-0.06%
05/03/2020;7 795;7 410;7 795;7 410;238;1 809 395;0.06%
06/03/2020;7 900;7 300;7 900;7 300;220;1 672 000;1.35%
09/03/2020;7 800;7 790;7 800;7 790;175;1 364 125;-1.27%
10/03/2020;7 700;7 700;7 700;7 700;300;2 310 000;-1.28%
11/03/2020;7 885;7 600;7 885;7 600;55;425 838;2.40%
12/03/2020;7 700;7 700;7 700;7 700;245;1 886 500;-2.35%
13/03/2020;7 800;7 700;7 800;7 700;3 967;30 744 250;1.30%
16/03/2020;7 700;7 600;7 700;7 600;115;879 750;-1.28%
17/03/2020;7 700;7 750;7 750;7 700;140;1 081 500;0.00%
18/03/2020;7 795;7 795;7 795;7 795;1;7 795;1.23%
19/03/2020;7 700;7 500;7 700;7 500;57;433 200;-1.22%
20/03/2020;7 695;7 500;7 695;7 500;23;174 743;-0.06%
23/03/2020;7 700;7 500;7 700;7 500;190;1 444 000;0.06%
24/03/2020;7 690;7 510;7 690;7 510;392;2 979 200;-0.13%
25/03/2020;7 650;7 500;7 650;7 500;167;1 265 025;-0.52%
26/03/2020;7 700;7 450;7 700;7 450;450;3 408 750;0.65%
27/03/2020;7 600;7 600;7 600;7 600;130;988 000;-1.30%
01/04/2020;7 700;7 500;7 700;7 500;172;1 307 200;0.00%
03/04/2020;7 700;7 125;7 700;7 125;473;3 506 113;0.00%
08/04/2020;7 590;7 590;7 590;7 590;3;22 770;-1.43%
09/04/2020;7 580;7 585;7 585;7 580;65;492 863;-0.13%
10/04/2020;7 575;7 575;7 575;7 575;122;924 150;-0.07%
13/04/2020;7 575;7 575;7 575;7 575;122;924 150;0.00%
14/04/2020;7 600;7 600;7 600;7 600;75;570 000;0.33%
16/04/2020;7 600;7 400;7 600;7 400;1 830;13 725 000;0.00%
17/04/2020;7 695;7 595;7 695;7 595;73;558 085;1.25%
21/04/2020;7 700;7 200;7 700;7 200;1 390;10 355 500;0.06%
22/04/2020;7 600;7 600;7 600;7 600;100;760 000;-1.30%
23/04/2020;7 500;7 030;7 500;7 030;125;908 125;-1.32%
24/04/2020;7 500;7 500;7 500;7 500;172;1 290 000;0.00%
27/04/2020;7 600;7 600;7 600;7 600;115;874 000;1.33%
28/04/2020;7 500;7 500;7 500;7 500;145;1 087 500;-1.32%
29/04/2020;7 600;7 555;7 600;7 555;25;189 438;1.33%
30/04/2020;7 600;7 595;7 600;7 595;15;113 963;0.00%
01/05/2020;7 600;7 595;7 600;7 595;15;113 963;0.00%
04/05/2020;7 600;7 455;7 600;7 455;371;2 792 703;0.00%
06/05/2020;7 600;7 600;7 600;7 600;646;4 909 600;0.00%
08/05/2020;7 745;7 745;7 745;7 745;10;77 450;1.91%
11/05/2020;7 600;7 300;7 600;7 300;115;856 750;-1.87%
12/05/2020;7 600;7 600;7 600;7 600;130;988 000;0.00%
13/05/2020;7 600;7 600;7 600;7 600;179;1 360 400;0.00%
14/05/2020;7 600;7 600;7 600;7 600;8;60 800;0.00%
15/05/2020;7 600;7 600;7 600;7 600;200;1 520 000;0.00%
18/05/2020;7 700;7 550;7 700;7 550;85;648 125;1.32%
19/05/2020;7 700;7 700;7 700;7 700;15;115 500;0.00%
22/05/2020;7 600;7 600;7 600;7 600;178;1 352 800;-1.30%
25/05/2020;7 600;7 600;7 600;7 600;111;843 600;0.00%
26/05/2020;7 600;7 550;7 600;7 550;80;606 000;0.00%
27/05/2020;7 600;7 450;7 600;7 450;1 052;7 916 300;0.00%
28/05/2020;7 600;7 600;7 600;7 600;50;380 000;0.00%
02/06/2020;7 600;7 600;7 600;7 600;757;5 753 200;0.00%
04/06/2020;7 600;7 500;7 600;7 500;125;943 750;0.00%
05/06/2020;7 600;7 505;7 600;7 505;333;2 514 983;0.00%
09/06/2020;7 600;7 600;7 600;7 600;1 549;11 772 400;0.00%
10/06/2020;7 580;7 450;7 580;7 450;775;5 824 125;-0.26%
11/06/2020;7 450;7 430;7 450;7 430;1 860;13 838 400;-1.72%
12/06/2020;7 595;7 500;7 595;7 500;274;2 068 015;1.95%
15/06/2020;7 595;7 500;7 595;7 500;13;98 118;0.00%
16/06/2020;7 555;7 455;7 555;7 455;7 250;54 411 250;-0.53%
17/06/2020;7 510;7 500;7 510;7 500;2 300;17 261 500;-0.60%
18/06/2020;7 600;7 600;7 600;7 600;2 460;18 696 000;1.20%
19/06/2020;7 745;7 600;7 745;7 600;136;1 043 460;1.91%
22/06/2020;7 745;7 745;7 745;7 745;10;77 450;0.00%
24/06/2020;7 700;7 700;7 700;7 700;67;515 900;-0.58%
25/06/2020;7 600;7 700;7 700;7 600;80;612 000;-1.30%
26/06/2020;7 600;7 030;7 600;7 030;367;2 684 605;0.00%
30/06/2020;7 650;7 650;7 650;7 650;160;1 224 000;0.00%
01/07/2020;7 600;7 550;7 600;7 550;195;1 477 125;-0.65%
02/07/2020;7 645;7 500;7 645;7 500;55;416 488;0.59%
03/07/2020;7 770;7 650;7 770;7 650;82;632 220;1.64%
06/07/2020;7 575;7 770;7 770;7 575;17;130 433;-2.51%
07/07/2020;7 500;7 575;7 575;7 500;52;391 950;-0.99%
08/07/2020;7 425;7 500;7 500;7 425;25;186 563;-1.00%
10/07/2020;7 425;7 425;7 425;7 425;355;2 635 875;0.00%
13/07/2020;7 425;7 425;7 425;7 425;1 488;11 048 400;0.00%
14/07/2020;7 395;7 390;7 395;7 390;1 583;11 702 328;-0.40%
15/07/2020;7 390;7 385;7 390;7 385;2 590;19 133 625;-0.07%
17/07/2020;7 300;6 845;7 300;6 845;25;176 813;-1.22%
20/07/2020;7 345;6 840;7 345;6 840;339;2 404 358;0.62%
21/07/2020;7 300;7 335;7 335;7 300;420;3 073 350;-0.61%
