Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
07/01/2020;130;125;130;125;580;73 950;0.00%
08/01/2020;125;125;125;125;3 620;452 500;-3.85%
13/01/2020;130;130;130;130;370;48 100;4.00%
14/01/2020;130;130;130;130;1 220;158 600;0.00%
15/01/2020;125;125;125;125;2 510;313 750;-3.85%
20/01/2020;125;130;130;125;250;31 875;0.00%
23/01/2020;130;130;130;130;700;91 000;4.00%
24/01/2020;130;130;130;130;2 054;267 020;0.00%
27/01/2020;125;130;130;125;2 335;297 713;-3.85%
28/01/2020;125;125;125;125;10;1 250;0.00%
31/01/2020;125;125;125;125;205;25 625;0.00%
04/02/2020;120;130;130;120;535;66 875;-4.00%
05/02/2020;125;125;125;125;100;12 500;4.17%
06/02/2020;125;125;125;125;2 090;261 250;0.00%
11/02/2020;125;125;125;125;170;21 250;0.00%
12/02/2020;125;125;125;125;170;21 250;0.00%
13/02/2020;125;125;125;125;1 580;197 500;0.00%
14/02/2020;125;125;125;125;1;125;0.00%
20/02/2020;120;125;125;120;152;18 620;-4.00%
24/02/2020;115;115;115;115;500;57 500;-4.17%
27/02/2020;115;115;115;115;250;28 750;0.00%
28/02/2020;120;115;120;115;180;21 150;4.35%
05/03/2020;125;125;125;125;15;1 875;4.17%
06/03/2020;120;120;120;120;440;52 800;-4.00%
09/03/2020;115;115;115;115;500;57 500;-4.17%
10/03/2020;115;115;115;115;103;11 845;0.00%
12/03/2020;115;115;115;115;305;35 075;0.00%
19/03/2020;115;115;115;115;16;1 840;0.00%
20/03/2020;115;115;115;115;104;11 960;0.00%
23/03/2020;120;120;120;120;10;1 200;4.35%
25/03/2020;120;120;120;120;16;1 920;0.00%
26/03/2020;115;115;115;115;326;37 490;-4.17%
30/03/2020;115;115;115;115;100;11 500;0.00%
07/04/2020;120;120;120;120;1 792;215 040;4.35%
16/04/2020;115;115;115;115;585;67 275;-4.17%
17/04/2020;115;115;115;115;120;13 800;0.00%
20/04/2020;115;115;115;115;100;11 500;0.00%
21/04/2020;115;115;115;115;80;9 200;0.00%
27/04/2020;120;120;120;120;5;600;4.35%
28/04/2020;125;125;125;125;5;625;4.17%
29/04/2020;125;125;125;125;16;2 000;0.00%
30/04/2020;125;125;125;125;100;12 500;0.00%
01/05/2020;125;125;125;125;100;12 500;0.00%
04/05/2020;120;120;120;120;100;12 000;-4.00%
05/05/2020;120;120;120;120;9 510;1 141 200;0.00%
13/05/2020;120;120;120;120;50;6 000;0.00%
15/05/2020;120;120;120;120;510;61 200;0.00%
27/05/2020;115;115;115;115;200;23 000;-4.17%
28/05/2020;110;115;115;110;210;23 625;-4.35%
29/05/2020;110;110;110;110;225;24 750;0.00%
01/06/2020;110;110;110;110;225;24 750;0.00%
04/06/2020;110;110;110;110;134;14 740;0.00%
15/06/2020;115;115;115;115;400;46 000;4.55%
19/06/2020;120;120;120;120;10;1 200;4.35%
22/06/2020;125;125;125;125;90;11 250;4.17%
23/06/2020;125;125;125;125;200;25 000;0.00%
24/06/2020;125;125;125;125;230;28 750;0.00%
01/07/2020;125;125;125;125;367;45 875;0.00%
02/07/2020;130;130;130;130;1 280;166 400;4.00%
03/07/2020;135;135;135;135;1 150;155 250;3.85%
06/07/2020;145;145;145;145;301;43 645;7.41%
07/07/2020;155;155;155;155;226;35 030;6.90%
08/07/2020;165;165;165;165;930;153 450;6.45%
09/07/2020;175;175;175;175;63;11 025;6.06%
10/07/2020;185;185;185;185;210;38 850;5.71%
13/07/2020;195;190;195;190;458;88 165;5.41%
14/07/2020;205;205;205;205;215;44 075;5.13%
15/07/2020;220;220;220;220;310;68 200;7.32%
16/07/2020;235;235;235;235;1 525;358 375;6.82%
17/07/2020;220;235;235;220;2 612;594 230;-6.38%
20/07/2020;205;205;205;205;27;5 535;-6.82%
21/07/2020;190;190;190;190;10;1 900;-7.32%
22/07/2020;190;185;190;185;94;17 625;0.00%
23/07/2020;185;185;185;185;1 201;222 185;-2.63%
24/07/2020;175;185;185;175;330;59 400;-5.41%
27/07/2020;165;165;165;165;2 214;365 310;-5.71%
28/07/2020;165;165;165;165;110;18 150;0.00%
30/07/2020;160;160;160;160;40;6 400;-3.03%
31/07/2020;160;160;160;160;40;6 400;0.00%
03/08/2020;165;160;165;160;1 040;169 000;3.13%
04/08/2020;155;160;160;155;84;13 230;-6.06%
10/08/2020;155;155;155;155;88;13 640;0.00%
11/08/2020;145;155;155;145;200;30 000;-6.45%
12/08/2020;145;145;145;145;1 660;240 700;0.00%
14/08/2020;140;140;140;140;670;93 800;-3.45%
17/08/2020;135;140;140;135;670;92 125;-3.57%
18/08/2020;135;135;135;135;50;6 750;0.00%
21/08/2020;135;140;140;135;3 850;529 375;0.00%
24/08/2020;135;140;140;135;5 210;716 375;0.00%
25/08/2020;140;140;140;140;3 500;490 000;3.70%
26/08/2020;135;135;135;135;1 000;135 000;-3.57%
27/08/2020;135;140;140;135;2 315;318 313;0.00%
28/08/2020;135;135;135;135;4 695;633 825;0.00%
01/09/2020;135;135;135;135;770;103 950;0.00%
07/09/2020;130;130;130;130;270;35 100;-3.70%
08/09/2020;130;130;130;130;800;104 000;0.00%
09/09/2020;130;130;130;130;5;650;0.00%
10/09/2020;125;125;125;125;90;11 250;-3.85%
11/09/2020;125;125;125;125;1 445;180 625;0.00%
15/09/2020;130;130;130;130;1;130;4.00%
17/09/2020;130;130;130;130;106;13 780;0.00%
18/09/2020;130;130;130;130;2 000;260 000;0.00%
21/09/2020;130;130;130;130;280;36 400;0.00%
22/09/2020;125;125;125;125;320;40 000;-3.85%
23/09/2020;125;125;125;125;320;40 000;0.00%
24/09/2020;125;125;125;125;320;40 000;0.00%
25/09/2020;125;125;125;125;320;40 000;0.00%
30/09/2020;135;135;135;135;200;27 000;3.85%
01/10/2020;135;135;135;135;1 826;246 510;0.00%
02/10/2020;135;135;135;135;30;4 050;0.00%
05/10/2020;135;125;135;125;217;28 210;0.00%
06/10/2020;130;135;135;130;5 083;673 498;-3.70%
09/10/2020;135;135;135;135;5;675;3.85%
12/10/2020;135;135;135;135;5;675;0.00%
13/10/2020;135;130;135;130;401;53 133;0.00%
14/10/2020;130;135;135;130;502;66 515;-3.70%
15/10/2020;135;135;135;135;10;1 350;3.85%
16/10/2020;135;135;135;135;30;4 050;0.00%
19/10/2020;135;135;135;135;12;1 620;0.00%
22/10/2020;135;135;135;135;300;40 500;0.00%
26/10/2020;135;130;135;130;340;45 050;0.00%
27/10/2020;130;135;135;130;1 977;261 953;-3.70%
28/10/2020;130;130;130;130;1 858;241 540;0.00%
29/10/2020;130;130;130;130;1 858;241 540;0.00%
30/10/2020;135;135;135;135;5;675;3.85%
02/11/2020;145;145;145;145;5;725;7.41%
03/11/2020;135;145;145;135;4 007;560 980;-6.90%
04/11/2020;145;145;145;145;7;1 015;7.41%
05/11/2020;145;145;145;145;100;14 500;0.00%
06/11/2020;150;145;150;145;30;4 425;3.45%
10/11/2020;145;150;150;145;205;30 238;-3.33%
12/11/2020;140;135;140;135;55;7 563;-3.45%
13/11/2020;140;140;140;140;100;14 000;0.00%
16/11/2020;140;140;140;140;12;1 680;0.00%
17/11/2020;140;140;140;140;500;70 000;0.00%
19/11/2020;140;145;145;140;12;1 710;0.00%
20/11/2020;140;140;140;140;120;16 800;0.00%
23/11/2020;140;140;140;140;74;10 360;0.00%
24/11/2020;140;140;140;140;259;36 260;0.00%
25/11/2020;140;140;140;140;2 100;294 000;0.00%
27/11/2020;140;140;140;140;500;70 000;0.00%
02/12/2020;140;135;140;135;36 000;4 950 000;0.00%
03/12/2020;145;145;145;145;2 150;311 750;3.57%
04/12/2020;150;145;150;145;17 880;2 637 300;3.45%
07/12/2020;160;160;160;160;721;115 360;6.67%
08/12/2020;170;170;170;170;800;136 000;6.25%
09/12/2020;180;170;180;170;4 730;827 750;5.88%
10/12/2020;190;170;190;170;6 070;1 092 600;5.56%
11/12/2020;190;190;190;190;272;51 680;0.00%
23/12/2020;190;180;190;180;2 510;464 350;0.00%
29/12/2020;190;190;190;190;7 749;1 472 310;5.56%
30/12/2020;195;190;195;190;955;183 838;2.63%
31/12/2020;200;190;200;190;647;126 165;2.56%
05/01/2021;200;200;200;200;559;111 800;0.00%
06/01/2021;195;195;195;195;10;1 950;-2.50%
11/01/2021;185;185;185;185;15;2 775;-5.13%
12/01/2021;190;190;190;190;15 360;2 918 400;2.70%
13/01/2021;200;200;200;200;3 355;671 000;5.26%
14/01/2021;200;200;200;200;5 942;1 188 400;0.00%
15/01/2021;210;210;210;210;2;420;5.00%
19/01/2021;210;205;210;205;85;17 638;0.00%
20/01/2021;200;210;210;200;870;178 350;-4.76%
21/01/2021;215;200;215;200;9 515;1 974 363;7.50%
22/01/2021;215;205;215;205;61 728;12 962 880;0.00%
25/01/2021;230;200;230;200;1 155;248 325;6.98%
26/01/2021;230;230;230;230;20;4 600;0.00%
27/01/2021;245;215;245;215;922;212 060;6.52%
28/01/2021;230;240;240;230;645;151 575;-6.12%
29/01/2021;245;245;245;245;105;25 725;6.52%
01/02/2021;245;245;245;245;520;127 400;0.00%
03/02/2021;240;240;240;240;3;720;-2.04%
04/02/2021;240;240;240;240;240;57 600;0.00%
08/02/2021;240;240;240;240;27;6 480;0.00%
09/02/2021;235;240;240;235;46;10 925;-2.08%
11/02/2021;235;235;235;235;5;1 175;0.00%
15/02/2021;230;220;230;220;7;1 575;-2.13%
16/02/2021;230;230;230;230;54;12 420;0.00%
17/02/2021;215;215;215;215;2 051;440 965;-6.52%
18/02/2021;200;210;210;200;30 811;6 316 255;-6.98%
19/02/2021;200;200;200;200;1 740;348 000;0.00%
22/02/2021;210;210;210;210;50;10 500;5.00%
24/02/2021;210;210;210;210;50;10 500;0.00%
25/02/2021;225;225;225;225;800;180 000;7.14%
26/02/2021;235;235;235;235;2 310;542 850;4.44%
02/03/2021;220;240;240;220;982;225 860;-6.38%
03/03/2021;220;220;220;220;220;48 400;0.00%
05/03/2021;220;220;220;220;50;11 000;0.00%
16/03/2021;220;220;220;220;6 017;1 323 740;0.00%
17/03/2021;220;220;220;220;100;22 000;0.00%
19/03/2021;210;210;210;210;362;76 020;-4.55%
22/03/2021;205;205;205;205;1;205;-2.38%
24/03/2021;210;210;210;210;360;75 600;2.44%
25/03/2021;210;210;210;210;200;42 000;0.00%
29/03/2021;200;210;210;200;32;6 560;-4.76%
30/03/2021;200;200;200;200;400;80 000;0.00%
07/04/2021;200;200;200;200;340;68 000;0.00%
13/04/2021;215;215;215;215;14;3 010;7.50%
15/04/2021;215;215;215;215;50;10 750;0.00%
16/04/2021;200;200;200;200;441;88 200;-6.98%
19/04/2021;200;200;200;200;200;40 000;0.00%
22/04/2021;200;200;200;200;1 479;295 800;0.00%
26/04/2021;215;215;215;215;1;215;7.50%
27/04/2021;230;220;230;220;134;30 150;6.98%
28/04/2021;245;245;245;245;100;24 500;6.52%
29/04/2021;260;260;260;260;4 000;1 040 000;6.12%
30/04/2021;275;275;275;275;25;6 875;5.77%
03/05/2021;295;295;295;295;1 522;448 990;7.27%
04/05/2021;315;315;315;315;600;189 000;6.78%
05/05/2021;335;335;335;335;2 601;871 335;6.35%
06/05/2021;360;360;360;360;4 140;1 490 400;7.46%
07/05/2021;385;385;385;385;7 162;2 757 370;6.94%
10/05/2021;410;410;410;410;5 030;2 062 300;6.49%
11/05/2021;380;410;410;380;6 842;2 702 590;-7.32%
12/05/2021;380;410;410;380;6 842;2 702 590;0.00%
14/05/2021;380;400;400;380;6 790;2 648 100;0.00%
17/05/2021;405;405;405;405;56 907;23 047 335;6.58%
18/05/2021;400;405;405;400;10 522;4 235 105;-1.23%
19/05/2021;395;400;400;395;5 775;2 295 563;-1.25%
20/05/2021;395;395;395;395;462;182 490;0.00%
21/05/2021;395;395;395;395;10;3 950;0.00%
24/05/2021;395;395;395;395;10;3 950;0.00%
25/05/2021;380;390;390;380;238;91 630;-3.80%
26/05/2021;380;370;380;370;3 686;1 382 250;0.00%
27/05/2021;395;375;395;375;4 350;1 674 750;3.95%
28/05/2021;400;395;400;395;4 206;1 671 885;1.27%
31/05/2021;430;430;430;430;25 200;10 836 000;7.50%
01/06/2021;420;460;460;420;5 850;2 574 000;-2.33%
02/06/2021;420;415;420;415;1 594;665 495;0.00%
03/06/2021;420;420;420;420;422;177 240;0.00%
04/06/2021;450;420;450;420;2 008;873 480;7.14%
