Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;3 695;3 695;3 695;3 695;8;29 560;-7.39%
03/01/2020;3 420;3 450;3 450;3 420;302;1 037 370;-7.44%
06/01/2020;3 180;3 250;3 250;3 180;1 288;4 140 920;-7.02%
07/01/2020;3 180;3 200;3 200;3 180;460;1 467 400;0.00%
08/01/2020;3 070;3 050;3 070;3 050;28;85 680;-3.46%
09/01/2020;3 200;3 075;3 200;3 075;1 288;4 041 100;4.23%
10/01/2020;3 195;3 195;3 195;3 195;1 406;4 492 170;-0.16%
13/01/2020;3 200;3 200;3 200;3 200;405;1 296 000;0.16%
14/01/2020;3 115;3 195;3 195;3 115;411;1 296 705;-2.66%
15/01/2020;3 345;3 185;3 345;3 185;1 433;4 678 745;7.38%
16/01/2020;3 200;3 400;3 400;3 200;1 929;6 365 700;-4.33%
17/01/2020;3 195;3 200;3 200;3 195;1 422;4 546 845;-0.16%
20/01/2020;3 200;3 150;3 200;3 150;749;2 378 075;0.16%
21/01/2020;3 195;3 200;3 200;3 195;1 766;5 646 785;-0.16%
22/01/2020;3 390;3 160;3 390;3 160;4 857;15 906 675;6.10%
23/01/2020;3 390;3 395;3 395;3 390;2 239;7 595 808;0.00%
24/01/2020;3 390;3 390;3 390;3 390;3 527;11 956 530;0.00%
27/01/2020;3 380;3 205;3 380;3 205;2 298;7 566 165;-0.29%
28/01/2020;3 370;3 380;3 380;3 370;41;138 375;-0.30%
29/01/2020;3 350;3 355;3 355;3 350;4 750;15 924 375;-0.59%
30/01/2020;3 350;3 300;3 350;3 300;98;325 850;0.00%
31/01/2020;3 350;3 205;3 350;3 205;1 846;6 050 265;0.00%
03/02/2020;3 150;3 150;3 150;3 150;2 728;8 593 200;-5.97%
04/02/2020;3 350;3 350;3 350;3 350;178;596 300;6.35%
05/02/2020;3 300;3 350;3 350;3 300;7 936;26 387 200;-1.49%
06/02/2020;3 150;3 295;3 295;3 150;250;805 625;-4.55%
07/02/2020;3 100;3 150;3 150;3 100;16 548;51 712 500;-1.59%
10/02/2020;2 900;3 000;3 000;2 900;24 175;71 316 250;-6.45%
11/02/2020;2 900;3 100;3 100;2 900;2 887;8 661 000;0.00%
12/02/2020;2 900;3 100;3 100;2 900;2 887;8 661 000;0.00%
13/02/2020;2 900;2 900;2 900;2 900;5 665;16 428 500;0.00%
14/02/2020;2 900;2 810;2 900;2 810;418;1 193 390;0.00%
17/02/2020;2 900;2 900;2 900;2 900;1 352;3 920 800;0.00%
18/02/2020;2 900;2 895;2 900;2 895;705;2 042 738;0.00%
19/02/2020;2 900;2 900;2 900;2 900;1 064;3 085 600;0.00%
20/02/2020;2 900;2 900;2 900;2 900;2 571;7 455 900;0.00%
21/02/2020;3 000;3 000;3 000;3 000;7 139;21 417 000;3.45%
24/02/2020;2 900;3 000;3 000;2 900;823;2 427 850;-3.33%
25/02/2020;2 850;2 900;2 900;2 850;162;465 750;-1.72%
26/02/2020;2 850;2 850;2 850;2 850;1 544;4 400 400;0.00%
27/02/2020;2 860;2 860;2 860;2 860;285;815 100;0.35%
28/02/2020;3 000;3 000;3 000;3 000;40;120 000;4.90%
02/03/2020;3 000;3 000;3 000;3 000;343;1 029 000;0.00%
03/03/2020;3 000;3 000;3 000;3 000;879;2 637 000;0.00%
