Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;1 348;1 348;1 348;1 348;3 072;4 139 520;-4.43%
03/01/2020;1 325;1 350;1 350;1 325;4 976;6 655 400;-1.67%
06/01/2020;1 328;1 313;1 328;1 313;83 246;109 884 720;0.19%
07/01/2020;1 328;1 325;1 328;1 325;15 058;19 970 673;0.00%
08/01/2020;1 348;1 328;1 348;1 328;2 714;3 629 975;1.51%
09/01/2020;1 348;1 350;1 350;1 348;2 798;3 773 803;0.00%
10/01/2020;1 328;1 350;1 350;1 328;4 304;5 761 980;-1.48%
13/01/2020;1 328;1 328;1 328;1 328;6 298;8 360 595;0.00%
14/01/2020;1 255;1 328;1 328;1 255;1 268;1 637 305;-5.46%
15/01/2020;1 275;1 258;1 275;1 258;840;1 063 650;1.59%
16/01/2020;1 258;1 275;1 275;1 258;3 782;4 788 958;-1.37%
17/01/2020;1 265;1 278;1 278;1 265;504;640 710;0.60%
20/01/2020;1 320;1 325;1 325;1 320;4 090;5 409 025;4.35%
21/01/2020;1 318;1 320;1 320;1 318;5 568;7 342 800;-0.19%
22/01/2020;1 318;1 318;1 318;1 318;3 626;4 777 255;0.00%
23/01/2020;1 320;1 318;1 320;1 318;5 292;6 978 825;0.19%
24/01/2020;1 320;1 318;1 320;1 318;8 440;11 130 250;0.00%
27/01/2020;1 328;1 320;1 328;1 320;3 394;4 492 808;0.57%
28/01/2020;1 350;1 328;1 350;1 328;2 490;3 333 488;1.69%
29/01/2020;1 350;1 350;1 350;1 350;5 110;6 898 500;0.00%
30/01/2020;1 363;1 353;1 363;1 353;574;779 205;0.93%
31/01/2020;1 375;1 355;1 375;1 355;1 932;2 637 180;0.92%
03/02/2020;1 370;1 375;1 375;1 370;6 302;8 649 495;-0.36%
04/02/2020;1 375;1 370;1 375;1 370;1 090;1 496 025;0.36%
05/02/2020;1 403;1 375;1 403;1 375;1 578;2 191 448;2.00%
06/02/2020;1 390;1 395;1 395;1 390;1 032;1 437 060;-0.89%
07/02/2020;1 350;1 388;1 388;1 350;8 330;11 401 688;-2.88%
10/02/2020;1 350;1 375;1 375;1 350;2 020;2 752 250;0.00%
11/02/2020;1 338;1 350;1 350;1 338;1 406;1 889 313;-0.93%
12/02/2020;1 338;1 350;1 350;1 338;1 406;1 889 313;0.00%
13/02/2020;1 325;1 338;1 338;1 325;1 310;1 743 938;-0.93%
14/02/2020;1 325;1 325;1 325;1 325;692;916 900;0.00%
17/02/2020;1 343;1 325;1 343;1 325;2 204;2 939 585;1.32%
18/02/2020;1 303;1 325;1 325;1 303;3 000;3 941 250;-2.98%
19/02/2020;1 325;1 325;1 325;1 325;1 810;2 398 250;1.73%
20/02/2020;1 308;1 325;1 325;1 308;3 972;5 228 145;-1.32%
21/02/2020;1 320;1 320;1 320;1 320;1 012;1 335 840;0.96%
24/02/2020;1 303;1 308;1 308;1 303;1 430;1 866 150;-1.33%
25/02/2020;1 318;1 303;1 318;1 303;4 700;6 157 000;1.15%
26/02/2020;1 318;1 318;1 318;1 318;1 768;2 329 340;0.00%
27/02/2020;1 308;1 318;1 318;1 308;1 696;2 226 000;-0.76%
28/02/2020;1 308;1 318;1 318;1 308;4 486;5 887 875;0.00%
02/03/2020;1 310;1 310;1 310;1 310;1 416;1 854 960;0.19%
03/03/2020;1 338;1 338;1 338;1 338;2 164;2 894 350;2.10%
04/03/2020;1 350;1 340;1 350;1 340;1 730;2 326 850;0.93%
05/03/2020;1 325;1 325;1 325;1 325;710;940 750;-1.85%
06/03/2020;1 348;1 328;1 348;1 328;190;254 125;1.70%
09/03/2020;1 375;1 350;1 375;1 350;4 996;6 807 050;2.04%
10/03/2020;1 395;1 375;1 395;1 375;538;745 130;1.45%
11/03/2020;1 380;1 380;1 380;1 380;540;745 200;-1.08%
12/03/2020;1 365;1 380;1 380;1 365;11 276;15 476 310;-1.09%
13/03/2020;1 380;1 363;1 380;1 363;680;932 450;1.10%
16/03/2020;1 350;1 375;1 375;1 350;1 508;2 054 650;-2.17%
17/03/2020;1 350;1 350;1 350;1 350;3 974;5 364 900;0.00%
18/03/2020;1 363;1 370;1 370;1 363;408;557 430;0.93%
19/03/2020;1 363;1 363;1 363;1 363;29 326;39 956 675;0.00%
20/03/2020;1 388;1 363;1 388;1 363;47 084;64 740 500;1.83%
23/03/2020;1 388;1 395;1 395;1 388;864;1 202 040;0.00%
24/03/2020;1 388;1 388;1 388;1 388;2 052;2 847 150;0.00%
25/03/2020;1 373;1 373;1 373;1 373;20;27 450;-1.08%
26/03/2020;1 350;1 375;1 375;1 350;1 300;1 771 250;-1.64%
27/03/2020;1 350;1 365;1 365;1 350;6 446;8 750 445;0.00%
30/03/2020;1 298;1 348;1 348;1 298;1 776;2 348 760;-3.89%
01/04/2020;1 300;1 300;1 300;1 300;826;1 073 800;-3.35%
02/04/2020;1 300;1 295;1 300;1 295;5 320;6 902 700;0.00%
03/04/2020;1 300;1 275;1 300;1 275;4 220;5 433 250;0.00%
06/04/2020;1 295;1 295;1 295;1 295;582;753 690;-0.38%
07/04/2020;1 300;1 295;1 300;1 295;458;594 255;0.39%
08/04/2020;1 300;1 300;1 300;1 300;2 814;3 658 200;0.00%
09/04/2020;1 300;1 295;1 300;1 295;2 730;3 542 175;0.00%
10/04/2020;1 298;1 250;1 298;1 250;2 632;3 352 510;-0.19%
13/04/2020;1 298;1 250;1 298;1 250;2 632;3 352 510;0.00%
14/04/2020;1 275;1 298;1 298;1 275;330;424 463;-1.73%
15/04/2020;1 250;1 250;1 250;1 250;442;552 500;-1.96%
16/04/2020;1 250;1 250;1 250;1 250;2 834;3 542 500;0.00%
17/04/2020;1 250;1 250;1 250;1 250;4 232;5 290 000;0.00%
20/04/2020;1 250;1 250;1 250;1 250;1 784;2 230 000;0.00%
21/04/2020;1 295;1 250;1 295;1 250;1 004;1 277 590;3.60%
22/04/2020;1 248;1 250;1 250;1 248;3 142;3 923 573;-3.67%
23/04/2020;1 298;1 248;1 298;1 248;914;1 163 065;4.01%
24/04/2020;1 300;1 250;1 300;1 250;1 158;1 476 450;0.19%
27/04/2020;1 300;1 300;1 300;1 300;5 190;6 747 000;0.00%
28/04/2020;1 300;1 300;1 300;1 300;2 588;3 364 400;0.00%
29/04/2020;1 325;1 300;1 325;1 300;80;105 000;1.92%
30/04/2020;1 345;1 300;1 345;1 300;6 364;8 416 390;1.51%
01/05/2020;1 345;1 300;1 345;1 300;6 364;8 416 390;0.00%
04/05/2020;1 345;1 345;1 345;1 345;2 110;2 837 950;0.00%
05/05/2020;1 300;1 345;1 345;1 300;1 014;1 341 015;-3.35%
06/05/2020;1 318;1 343;1 343;1 318;4 494;5 977 020;1.35%
07/05/2020;1 305;1 300;1 305;1 300;4 992;6 502 080;-0.95%
08/05/2020;1 308;1 300;1 308;1 300;552;719 670;0.19%
11/05/2020;1 300;1 300;1 300;1 300;4 614;5 998 200;-0.57%
12/05/2020;1 298;1 300;1 300;1 298;12 184;15 823 970;-0.19%
13/05/2020;1 298;1 300;1 300;1 298;6 078;7 893 803;0.00%
14/05/2020;1 295;1 295;1 295;1 295;2 688;3 480 960;-0.19%
15/05/2020;1 290;1 278;1 290;1 278;7 942;10 195 543;-0.39%
18/05/2020;1 293;1 265;1 293;1 265;1 322;1 690 508;0.19%
19/05/2020;1 290;1 290;1 290;1 290;3 938;5 080 020;-0.19%
22/05/2020;1 290;1 285;1 290;1 285;22 480;28 943 000;0.00%
25/05/2020;1 288;1 288;1 288;1 288;1 250;1 609 375;-0.19%
26/05/2020;1 285;1 275;1 285;1 275;28 936;37 038 080;-0.19%
27/05/2020;1 283;1 288;1 288;1 283;3 288;4 225 080;-0.19%
28/05/2020;1 273;1 285;1 285;1 273;4 352;5 565 120;-0.78%
29/05/2020;1 270;1 253;1 270;1 253;6 256;7 890 380;-0.20%
01/06/2020;1 270;1 253;1 270;1 253;6 256;7 890 380;0.00%
02/06/2020;1 260;1 270;1 270;1 260;3 108;3 931 620;-0.79%
03/06/2020;1 250;1 250;1 250;1 250;5 794;7 242 500;-0.79%
04/06/2020;1 253;1 253;1 253;1 253;5 814;7 282 035;0.20%
05/06/2020;1 298;1 260;1 298;1 260;12 232;15 641 670;3.59%
08/06/2020;1 343;1 300;1 343;1 300;16 312;21 552 230;3.47%
09/06/2020;1 300;1 348;1 348;1 300;3 302;4 371 023;-3.17%
10/06/2020;1 300;1 345;1 345;1 300;5 348;7 072 730;0.00%
11/06/2020;1 360;1 348;1 360;1 348;922;1 248 158;4.62%
12/06/2020;1 360;1 300;1 360;1 300;31 826;42 328 580;0.00%
15/06/2020;1 350;1 360;1 360;1 350;4 562;6 181 510;-0.74%
16/06/2020;1 345;1 348;1 348;1 345;5 546;7 466 303;-0.37%
17/06/2020;1 250;1 300;1 300;1 250;6 590;8 402 250;-7.06%
18/06/2020;1 250;1 250;1 250;1 250;6 658;8 322 500;0.00%
19/06/2020;1 248;1 250;1 250;1 248;2 578;3 219 278;-0.20%
22/06/2020;1 275;1 250;1 275;1 250;1 234;1 557 925;2.20%
23/06/2020;1 275;1 275;1 275;1 275;348;443 700;0.00%
24/06/2020;1 250;1 250;1 250;1 250;3 700;4 625 000;-1.96%
25/06/2020;1 235;1 248;1 248;1 235;1 860;2 308 725;-1.20%
26/06/2020;1 225;1 250;1 250;1 225;642;794 475;-0.81%
30/06/2020;1 200;1 240;1 240;1 200;7 312;8 920 640;-2.83%
01/07/2020;1 248;1 200;1 248;1 200;446;545 793;3.96%
02/07/2020;1 240;1 245;1 245;1 240;2 822;3 506 335;-0.60%
03/07/2020;1 245;1 245;1 245;1 245;1 206;1 501 470;0.40%
06/07/2020;1 200;1 223;1 223;1 200;2 796;3 386 655;-3.61%
07/07/2020;1 220;1 200;1 220;1 200;340;411 400;1.67%
08/07/2020;1 200;1 203;1 203;1 200;2 324;2 791 705;-1.64%
09/07/2020;1 200;1 175;1 200;1 175;8 608;10 222 000;0.00%
10/07/2020;1 200;1 200;1 200;1 200;8 580;10 296 000;0.00%
13/07/2020;1 200;1 200;1 200;1 200;1 058;1 269 600;0.00%
14/07/2020;1 200;1 160;1 200;1 160;1 674;1 975 320;0.00%
15/07/2020;1 200;1 200;1 200;1 200;9 882;11 858 400;0.00%
16/07/2020;1 200;1 200;1 200;1 200;800;960 000;0.00%
17/07/2020;1 203;1 200;1 203;1 200;370;444 463;0.21%
20/07/2020;1 200;1 203;1 203;1 200;2 680;3 219 350;-0.21%
21/07/2020;1 225;1 200;1 225;1 200;1 670;2 024 875;2.08%
22/07/2020;1 240;1 210;1 240;1 210;1 988;2 435 300;1.22%
