Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;2 685;2 700;2 700;2 685;465;1 252 013;-4.11%
03/01/2020;2 695;2 700;2 700;2 695;180;485 550;0.37%
06/01/2020;2 700;2 685;2 700;2 685;5 980;16 101 150;0.19%
07/01/2020;2 700;2 705;2 705;2 700;833;2 251 183;0.00%
08/01/2020;2 700;2 750;2 750;2 700;300;817 500;0.00%
09/01/2020;2 800;2 705;2 800;2 705;1 703;4 687 508;3.70%
10/01/2020;2 705;2 800;2 800;2 705;269;740 423;-3.39%
13/01/2020;2 800;2 705;2 800;2 705;337;927 593;3.51%
14/01/2020;2 790;2 790;2 790;2 790;252;703 080;-0.36%
15/01/2020;2 800;2 705;2 800;2 705;639;1 758 848;0.36%
16/01/2020;3 000;3 000;3 000;3 000;142;426 000;7.14%
17/01/2020;2 995;3 000;3 000;2 995;35;104 913;-0.17%
20/01/2020;3 000;2 995;3 000;2 995;522;1 564 695;0.17%
21/01/2020;3 000;3 000;3 000;3 000;1 251;3 753 000;0.00%
22/01/2020;3 000;3 200;3 200;3 000;265;821 500;0.00%
23/01/2020;3 000;3 000;3 000;3 000;1 135;3 405 000;0.00%
24/01/2020;3 100;3 000;3 100;3 000;391;1 192 550;3.33%
27/01/2020;3 100;3 100;3 100;3 100;4 183;12 967 300;0.00%
28/01/2020;3 195;3 100;3 195;3 100;1 788;5 627 730;3.06%
29/01/2020;3 200;3 255;3 255;3 200;141;455 078;0.16%
30/01/2020;3 200;3 195;3 200;3 195;40;127 900;0.00%
31/01/2020;3 200;3 200;3 200;3 200;347;1 110 400;0.00%
03/02/2020;3 205;3 205;3 205;3 205;47;150 635;0.16%
04/02/2020;3 215;3 210;3 215;3 210;33;106 013;0.31%
06/02/2020;3 210;3 225;3 225;3 210;440;1 415 700;-0.16%
07/02/2020;3 215;3 215;3 215;3 215;5;16 075;0.16%
10/02/2020;3 205;3 210;3 210;3 205;334;1 071 305;-0.31%
11/02/2020;3 215;3 200;3 215;3 200;251;805 083;0.31%
12/02/2020;3 215;3 200;3 215;3 200;251;805 083;0.00%
13/02/2020;2 820;2 800;2 820;2 800;78;219 180;-12.29%
14/02/2020;2 985;2 985;2 985;2 985;10;29 850;5.85%
18/02/2020;2 985;3 195;3 195;2 985;30;92 700;0.00%
19/02/2020;2 985;2 985;2 985;2 985;12;35 820;0.00%
20/02/2020;2 980;2 985;2 985;2 980;57;170 003;-0.17%
24/02/2020;2 800;2 985;2 985;2 800;84;242 970;-6.04%
25/02/2020;2 980;2 985;2 985;2 980;35;104 388;6.43%
26/02/2020;2 900;2 900;2 900;2 900;90;261 000;-2.68%
27/02/2020;2 800;3 000;3 000;2 800;109;316 100;-3.45%
28/02/2020;2 800;2 800;2 800;2 800;769;2 153 200;0.00%
02/03/2020;2 905;2 905;2 905;2 905;6;17 430;3.75%
03/03/2020;2 800;2 900;2 900;2 800;1 840;5 244 000;-3.61%
