Date;Clôture;Plus bas;Plus haut;Ouverture;Volume Titres;Volume FCFA;Variation %
02/01/2020;1 700;1 700;1 700;1 700;141;239 700;0.00%
06/01/2020;1 690;1 690;1 690;1 690;50;84 500;-0.59%
07/01/2020;1 565;1 565;1 565;1 565;100;156 500;-7.40%
08/01/2020;1 500;1 500;1 500;1 500;1 022;1 533 000;-4.15%
09/01/2020;1 500;1 500;1 500;1 500;478;717 000;0.00%
10/01/2020;1 400;1 500;1 500;1 400;334;484 300;-6.67%
13/01/2020;1 305;1 300;1 305;1 300;3 150;4 102 875;-6.79%
14/01/2020;1 300;1 305;1 305;1 300;1 390;1 810 475;-0.38%
15/01/2020;1 300;1 300;1 300;1 300;986;1 281 800;0.00%
16/01/2020;1 300;1 300;1 300;1 300;589;765 700;0.00%
17/01/2020;1 300;1 300;1 300;1 300;1 398;1 817 400;0.00%
20/01/2020;1 300;1 300;1 300;1 300;679;882 700;0.00%
21/01/2020;1 330;1 330;1 330;1 330;7;9 310;2.31%
22/01/2020;1 330;1 330;1 330;1 330;1 026;1 364 580;0.00%
23/01/2020;1 425;1 330;1 425;1 330;7 940;10 937 350;7.14%
24/01/2020;1 425;1 425;1 425;1 425;108;153 900;0.00%
27/01/2020;1 425;1 400;1 425;1 400;2 279;3 219 088;0.00%
28/01/2020;1 400;1 400;1 400;1 400;2 092;2 928 800;-1.75%
29/01/2020;1 400;1 400;1 400;1 400;1 891;2 647 400;0.00%
30/01/2020;1 400;1 400;1 400;1 400;136;190 400;0.00%
31/01/2020;1 500;1 495;1 500;1 495;135;202 163;7.14%
03/02/2020;1 400;1 425;1 425;1 400;3 532;4 988 950;-6.67%
04/02/2020;1 400;1 400;1 400;1 400;109;152 600;0.00%
05/02/2020;1 450;1 405;1 450;1 405;7 737;11 044 568;3.57%
06/02/2020;1 450;1 450;1 450;1 450;7 643;11 082 350;0.00%
07/02/2020;1 450;1 450;1 450;1 450;5 000;7 250 000;0.00%
10/02/2020;1 450;1 455;1 455;1 450;871;1 265 128;0.00%
11/02/2020;1 450;1 450;1 450;1 450;25 898;37 552 100;0.00%
12/02/2020;1 450;1 450;1 450;1 450;25 898;37 552 100;0.00%
13/02/2020;1 450;1 450;1 450;1 450;20;29 000;0.00%
14/02/2020;1 450;1 450;1 450;1 450;430;623 500;0.00%
17/02/2020;1 450;1 455;1 455;1 450;3 500;5 083 750;0.00%
18/02/2020;1 450;1 460;1 460;1 450;2 420;3 521 100;0.00%
19/02/2020;1 495;1 450;1 495;1 450;524;771 590;3.10%
20/02/2020;1 450;1 500;1 500;1 450;203;299 425;-3.01%
24/02/2020;1 450;1 500;1 500;1 450;1 058;1 560 550;0.00%
25/02/2020;1 455;1 450;1 455;1 450;135;196 088;0.34%
26/02/2020;1 450;1 450;1 450;1 450;512;742 400;-0.34%
27/02/2020;1 450;1 460;1 460;1 450;58;84 390;0.00%
28/02/2020;1 500;1 500;1 500;1 500;5;7 500;3.45%
02/03/2020;1 495;1 495;1 495;1 495;33;49 335;-0.33%
03/03/2020;1 495;1 495;1 495;1 495;21;31 395;0.00%
04/03/2020;1 450;1 450;1 450;1 450;74;107 300;-3.01%
05/03/2020;1 450;1 450;1 450;1 450;231;334 950;0.00%
09/03/2020;1 450;1 460;1 460;1 450;2 545;3 702 975;0.00%
10/03/2020;1 460;1 460;1 460;1 460;80;116 800;0.69%
11/03/2020;1 480;1 470;1 480;1 470;1 371;2 022 225;1.37%
12/03/2020;1 500;1 490;1 500;1 490;108;161 460;1.35%
13/03/2020;1 495;1 500;1 500;1 495;200;299 500;-0.33%
16/03/2020;1 500;1 480;1 500;1 480;4 881;7 272 690;0.33%
17/03/2020;1 495;1 500;1 500;1 495;3 924;5 876 190;-0.33%
18/03/2020;1 490;1 480;1 490;1 480;362;537 570;-0.33%
19/03/2020;1 485;1 490;1 490;1 485;1 261;1 875 738;-0.34%
20/03/2020;1 480;1 480;1 480;1 480;800;1 184 000;-0.34%
23/03/2020;1 450;1 480;1 480;1 450;633;927 345;-2.03%
24/03/2020;1 425;1 400;1 425;1 400;839;1 185 088;-1.72%
25/03/2020;1 400;1 400;1 400;1 400;483;676 200;-1.75%
26/03/2020;1 350;1 300;1 350;1 300;12 011;15 914 575;-3.57%
30/03/2020;1 300;1 300;1 300;1 300;1 560;2 028 000;-3.70%
01/04/2020;1 295;1 295;1 295;1 295;36;46 620;-0.38%
